director_facebook_likes,gross,genres,actor_1_name,actor_3_name,facenumber_in_poster,num_user_for_reviews,country,content_rating,budget,actor_2_facebook_likes,imdb_score
0,261970615,Adventure|Family|Fantasy|Mystery,Daniel Radcliffe,Emma Watson,1,858,UK,PG,100000000,10000,7.4
258,167007184,Action|Adventure|Thriller,Eva Green,Ivana Milicevic,1,2301,UK,PG-13,150000000,1000,8.0
13000,180011740,Action|Adventure|Sci-Fi|Thriller,Cary-Hiroyuki Tagawa,Erick Avari,0,1368,USA,PG-13,100000000,658,5.7
0,204843350,Action|Sci-Fi,Joe Morton,S. Epatha Merkerson,0,983,USA,R,102000000,604,8.5
0,97030725,Biography|Crime|Drama|History|Romance,Johnny Depp,Stephen Graham,1,585,USA,R,100000000,23000,7.0
0,130127620,Biography|Crime|Drama,Denzel Washington,RZA,0,458,USA,R,100000000,782,7.8
0,146282411,Action|Comedy|Thriller,Jamie Lee Curtis,Tom Arnold,0,351,USA,R,115000000,1000,7.2
12000,65452312,Action|Crime|Thriller,Denzel Washington,Michael Rispoli,1,285,USA,R,100000000,464,6.4
80,148383780,Comedy|Romance,Robert De Niro,Teri Polo,10,152,USA,PG-13,100000000,713,5.5
285,119219978,Action|Comedy|Crime,Dwayne Johnson,Derek Jeter,2,316,USA,PG-13,100000000,8000,6.7
55,101228120,Action|Drama|Mystery|Thriller,Vanessa Williams,Roma Maffia,1,131,USA,R,100000000,773,6.1
16000,162804648,Drama|Western,Leonardo DiCaprio,Ato Essandoh,1,1193,USA,R,100000000,11000,8.5
21,100117603,Animation|Drama|Family|Musical|Romance,Demi Moore,Bill Fagerbakke,0,230,USA,G,100000000,700,6.9
10,89296573,Adventure|Animation|Comedy|Family|Fantasy,Eartha Kitt,John Fiedler,1,297,USA,G,100000000,452,7.3
165,85017401,Action|Adventure|Thriller,Jason Statham,Bruce Willis,3,474,USA,R,92000000,13000,6.7
226,173005002,Action|Adventure|Comedy|Family|Mystery,Nicolas Cage,Annie Parisse,0,692,USA,PG,100000000,625,6.9
14,75030163,Action|Adventure|Family|Fantasy,Djimon Hounsou,Gary Lewis,0,1690,USA,PG,100000000,762,5.1
0,77222184,Adventure|Drama|Family|Fantasy,Catherine O'Hara,Max Records,0,388,Germany,PG,100000000,468,6.8
456,34964818,Adventure|Family|Fantasy,Hugh Jackman,Nonso Anozie,4,186,USA,PG,150000000,548,5.8
77,107515297,Adventure|Animation|Family|Fantasy,Josh Hutcherson,Troy Evans,2,113,USA,PG,100000000,151,6.7
207,67631157,Action|Romance|Thriller,Johnny Depp,Rufus Sewell,0,374,USA,PG-13,100000000,11000,6.0
0,66862068,Action|Fantasy|Horror|Mystery,CCH Pounder,Udo Kier,0,524,USA,R,83000000,1000,5.7
380,57366262,Adventure|Drama|Thriller,Leonardo DiCaprio,Stephen Collins,0,657,Germany,R,100000000,3000,8.0
17000,116866727,Biography|Comedy|Crime|Drama,Leonardo DiCaprio,Jon Favreau,3,1138,USA,R,100000000,11000,8.2
541,184031112,Action|Adventure|Fantasy,Michael Gough,Debi Mazar,4,539,USA,PG-13,100000000,710,5.4
719,54700065,Action|Sci-Fi|War,Jake Busey,Seth Gilliam,0,1049,USA,R,105000000,475,7.2
670,27098580,Drama|Sci-Fi,Tom Hanks,Jim Broadbent,5,828,Germany,R,102000000,5000,7.5
0,55673333,Action|Adventure|Animation|Family|Fantasy,Abbie Cornish,Anthony LaPaglia,1,160,USA,PG,80000000,653,7.0
26,40198710,Action|Crime|Fantasy|Romance|Thriller,Frances Conroy,Alex Borstein,0,660,USA,PG-13,100000000,825,3.3
420,72660029,Action|Adventure,Dwayne Johnson,Ingrid Bolsø Berdal,0,269,USA,PG-13,100000000,3000,6.0
63,38120554,Adventure|Animation|Family|Sci-Fi,Joseph Gordon-Levitt,Michael Wincott,0,217,USA,PG,140000000,770,7.1
52,49392095,Adventure|Comedy|Sci-Fi,Will Ferrell,Bobb'e J. Thompson,1,224,USA,PG-13,100000000,735,5.4
385,39292022,Action|Adventure|Thriller,Jason Statham,Harrison Ford,15,351,USA,PG-13,90000000,13000,6.1
19,28772222,Action|Crime|Sport|Thriller,Ray Winstone,Delroy Lindo,1,163,USA,PG-13,105000000,897,5.3
6,17010646,Comedy|Family|Fantasy,Jamie Kennedy,Ben Stein,0,239,USA,PG,84000000,294,2.2
2000,24985612,Action|Adventure|Biography|Drama|History|Thriller,Chris Hemsworth,Frank Dillane,0,161,USA,PG-13,100000000,911,7.0
31,4411102,Action|Comedy|Sci-Fi,Rosario Dawson,Burt Young,1,164,USA,PG-13,100000000,695,3.8
521,35024475,Action|Drama|Thriller|War,Matt Damon,Igal Naor,1,261,France,R,100000000,537,6.9
20,130174897,Adventure|Animation|Comedy|Family,Francesca Capaldi,Bill Melendez,0,155,USA,G,99000000,42,7.2
342,10200000,Drama|Mystery|Thriller,Ben Gazzara,Campbell Scott,0,263,USA,PG,10000000,508,7.3
208,202007640,Action|Adventure|Fantasy|Thriller,Dwayne Johnson,Patricia Velasquez,5,890,USA,PG-13,98000000,3000,6.3
17000,77679638,Crime|Drama,Leonardo DiCaprio,Jim Broadbent,3,1166,USA,R,100000000,14000,7.5
611,9213,Drama|History|Romance|War,Christian Bale,Shigeo Kobayashi,2,130,China,R,94000000,196,7.6
9,58867694,Animation|Comedy|Family|Sport,Jeff Bridges,Jon Heder,0,112,USA,PG,100000000,11000,6.8
0,59475623,Comedy|Sci-Fi|Thriller,Jon Lovitz,Roger Bart,1,407,USA,PG-13,90000000,2000,5.2
0,108638745,Drama|History|War,Ioan Gruffudd,Ewen Bremner,0,1103,USA,R,92000000,820,7.7
116,86897182,Comedy,Will Ferrell,Katherine LaNasa,0,177,USA,R,95000000,331,6.2
