duration,actor_3_name,plot_keywords,language
92,Sean Hayes,mule|nun|orphanage|tennis court|the three stooges,English
77,Joanna Lumley,arranged marriage|bride|corpse|groom|woods,English
118,Derek Luke,coach|college basketball|national championship|ncaa|texas,English
121,Daniel Kaluuya,critically acclaimed|drug cartel|juarez mexico|u.s. mexico border|war on drugs,English
124,Oona Laurence,boxer|boxing training|death of wife|male in shower|rage,English
99,Reggie Lee,evil|fight|hell|psychic|psychologist,English
112,Ellen Burstyn,hit by a pickup truck|immortality|paramedic|resuscitation|san francisco california,English
111,Emmanuelle Vaugier,africa|eyeglasses|money|texas|veteran,English
107,Facundo Lombard,dance|dance crew|dancer|mortgage|new york city,English
104,Sanoe Lake,bikini|female surfer|sister sister relationship|surfing contest|swimsuit,English
113,Danny Rhodes,author|fate|novelist|professor|writer,English
113,Megan Franich,alaska|small town|snow|vampire|winter,English
95,Kristen Connolly,cabin in the woods|dark humor|hatchet|killed in an elevator|robot,English
86,Method Man,king|persian|spartan|training|xerxes,English
126,Philip Baker Hall,accountant|bounty hunter|fbi|mafia|mob,English
101,Richard Dawson,game of death|government conspiracy|latina|oppression|police,English
102,Tisha Campbell-Martin,eclipse|florist|nerd|plant|shop,English
111,John Macmillan,assassin|female warrior|martial arts|playground|training,English
60,Liam James,family drama|lie|missing child|political campaign|secret,English
95,Robin Shou,alternate reality|battle|martial arts|mortal kombat|warrior,English
98,Randall Park,bus stop|college|community college|scooter|speech class,English
100,Portia Doubleday,outcast|prom|self injury|telekinesis|tragic event,English
118,Jasika Nicole,ballroom|dance|dance teacher|student|teacher,English
28,Kevin Dillon,actor|fame|friendship between men|hollywood california|sitcom,English
125,Kevin Dunn,alliterative title|football|football coach|football practice|football team,English
94,Richard Schiff,businessman|ring|thief|vulgarity|washington d.c.,English
79,Tom Kane,hope|key|machine|number|rag doll,English
106,Katie Lowes,clinical trial|female protagonist|neuropharmacology|psychiatrist|side effect,English
111,Luke Mably,denmark|king|love|prince|wisconsin,English
63,Huell Howser,disney|owl|rabbit|sequel|tiger,English
85,Cheri Oteri,1980s|buddy|high school|prequel to cult favorite|teenager,English
108,Graham Beckel,hip hop|liberal|politics|senator|truth,English
139,Aunjanue Ellis,1970s|1980s|african american|breaking the fourth wall|mother son relationship,English
127,Tom Everett Scott,cancer|job|love|new york|professor,English
106,Traci Lords,android|ex cop|serial killer|virtual character come to life|virtual reality,English
95,Wanda Sykes,architect|boyfriend girlfriend relationship|superhero|superhero spoof|supernatural power,English
118,Edgar Ramírez,confession|demonic possession|exorcism|flickering light|priest,English
108,Richard Roxburgh,cave|expedition|panic|rebreather|underwater,English
105,Dave Annable,electronic devices|gynecologist|little black book|plan|set up,English
131,David Paymer,kissing while having sex|kitchen|reference to princess diana|wedding band|wedding ring,English
104,Paul Sorvino,baseball|baseball movie|cartoon on tv|dodge viper|retirement,English
133,Aisha Hinds,argument|evidence|fingerprints|murder|murder weapon,English
94,Nick Chinlund,boy|disease|hemophagia|speed|vampire,English
109,Hugh Dillon,criminal|mobster|new year's eve|police|sergeant,English
96,Patrick Kilpatrick,forger|hitman|passport|police|replacement,English
105,Will Patton,disk|floppy disk|mafia|prison|prisoner,English
99,Riley Smith,creature feature|human versus spider|spider|spider feature|woman sheriff,English
112,Judy Greer,female nudity|male objectification|pfizer|viagra|zoloft,English
108,Deborah Kara Unger,death|fbi|forensics|murder|serial killer,English
126,Sissy Spacek,based on true story|innocence|lawsuit|mine|sexual harassment,English
98,Natasha Henstridge,dentist|face slap|flashback|hitman|killing an animal,English
104,Delphine Chanéac,dna|experiment|genetics|interspecies sex|scientist,English
110,Jordan Prentice,alien|duck|laser|planet|singer,English
130,Frank Grillo,brother in law|corruption|drug dealer|drugs|police,English
93,Marcel Iures,cave|diver|diving|flare|parasite,English
96,Robert Costanzo,gambling|novel|stenographer|writer|writer's block,English
114,Mark Camacho,flashback|flashback within a flashback|multiple perspectives|obsession|split screen,English
106,Sandra Vergara,neighbor|remake|suburb|teenager|vampire,English
150,Wes Studi,captain|fort|love|native american|trade,English
100,Jürgen Prochnow,27th century|fighter pilot|orchestral music score|outer space|space opera,English
