director_facebook_likes,genres,movie_title,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,movie_facebook_likes
43,Horror|Thriller,Eden Lake ,1,http://www.imdb.com/title/tt1020530/?ref_=fn_tt_tt_1,357,English,0
308,Thriller,Plush ,2,http://www.imdb.com/title/tt2226519/?ref_=fn_tt_tt_1,24,English,604
6,Action|Comedy|Fantasy|Horror,Vampire Killers ,3,http://www.imdb.com/title/tt1020885/?ref_=fn_tt_tt_1,91,English,0
5,Action|Crime|Drama,Gangster's Paradise: Jerusalema ,2,http://www.imdb.com/title/tt0783532/?ref_=fn_tt_tt_1,23,English,1000
0,Crime|Drama|Thriller,Freeze Frame ,1,http://www.imdb.com/title/tt0363095/?ref_=fn_tt_tt_1,41,English,205
6,Horror,Grave Encounters ,0,http://www.imdb.com/title/tt1703199/?ref_=fn_tt_tt_1,235,English,0
5,Comedy|Horror,Stitches ,0,http://www.imdb.com/title/tt2126362/?ref_=fn_tt_tt_1,53,English,0
0,Crime|Drama|Horror|Mystery|Thriller,Nine Dead ,0,http://www.imdb.com/title/tt0959329/?ref_=fn_tt_tt_1,64,English,0
0,Documentary,To Be Frank, Sinatra at 100 ,0,http://www.imdb.com/title/tt4704314/?ref_=fn_tt_tt_1,,English,0
11000,Comedy,Bananas ,3,http://www.imdb.com/title/tt0066808/?ref_=fn_tt_tt_1,105,English,0
0,Thriller,Supercapitalist ,0,http://www.imdb.com/title/tt1734586/?ref_=fn_tt_tt_1,9,English,115
5,Action|Crime|Drama|Thriller,Rockaway ,1,http://www.imdb.com/title/tt0796355/?ref_=fn_tt_tt_1,6,English,44
,Comedy|Drama,Wings             ,5,http://www.imdb.com/title/tt0098948/?ref_=fn_tt_tt_1,56,English,1000
0,Crime|Drama|Film-Noir|Mystery|Thriller,The Lady from Shanghai ,1,http://www.imdb.com/title/tt0040525/?ref_=fn_tt_tt_1,175,English,0
0,Horror|Thriller,No Man's Land: The Rise of Reeker ,0,http://www.imdb.com/title/tt1090671/?ref_=fn_tt_tt_1,31,English,153
10,Crime|Drama,Highway ,3,http://www.imdb.com/title/tt0165361/?ref_=fn_tt_tt_1,67,English,912
68,Comedy|Crime|Drama,Small Apartments ,6,http://www.imdb.com/title/tt1272886/?ref_=fn_tt_tt_1,26,English,0
8,Comedy,Coffee Town ,3,http://www.imdb.com/title/tt2234025/?ref_=fn_tt_tt_1,19,English,0
5,Comedy|Fantasy|Musical|Sci-Fi,The Ghastly Love of Johnny X ,2,http://www.imdb.com/title/tt1754633/?ref_=fn_tt_tt_1,19,English,655
17,Comedy|Drama,All Is Bright ,1,http://www.imdb.com/title/tt1462901/?ref_=fn_tt_tt_1,23,English,825
2,Horror|Mystery,The Torture Chamber of Dr. Sadism ,0,http://www.imdb.com/title/tt0062235/?ref_=fn_tt_tt_1,36,German,200
10,Comedy|Drama,Straight A's ,3,http://www.imdb.com/title/tt2024506/?ref_=fn_tt_tt_1,20,English,0
44,Comedy|Musical,A Funny Thing Happened on the Way to the Forum ,0,http://www.imdb.com/title/tt0060438/?ref_=fn_tt_tt_1,72,English,805
909,Documentary,Slacker Uprising ,0,http://www.imdb.com/title/tt0850669/?ref_=fn_tt_tt_1,15,English,69
531,Action|Adventure|History|Western,The Legend of Hell's Gate: An American Conspiracy ,1,http://www.imdb.com/title/tt1220217/?ref_=fn_tt_tt_1,14,English,651
6,Comedy|Horror,The Walking Deceased ,0,http://www.imdb.com/title/tt3499458/?ref_=fn_tt_tt_1,25,English,0
20000,Drama|Horror|Mystery|Thriller,The Curse of Downers Grove ,1,http://www.imdb.com/title/tt1772261/?ref_=fn_tt_tt_1,22,English,0
3,Thriller,Shark Lake ,0,http://www.imdb.com/title/tt4416518/?ref_=fn_tt_tt_1,17,English,728
28,Crime|Drama,River's Edge ,2,http://www.imdb.com/title/tt0091860/?ref_=fn_tt_tt_1,111,English,0
35,Drama|Fantasy,Northfork ,0,http://www.imdb.com/title/tt0322659/?ref_=fn_tt_tt_1,122,English,298
58,Action|Thriller,The Marine 4: Moving Target ,2,http://www.imdb.com/title/tt3528666/?ref_=fn_tt_tt_1,15,English,620
