director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,country,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Alejandro G. Iñárritu,115,0,35,Adriana Barraza,Amores Perros ,318,Goya Toledo,animal in title|dog fight|mexico city|multiple perspectives|nonlinear timeline,http://www.imdb.com/title/tt0245712/?ref_=fn_tt_tt_1,Mexico,2000000,79,8.1,11000
Catherine Hardwicke,100,308,374,Holly Hunter,Thirteen ,2186,Kip Pardue,13 year olds|adolescence|friend|peer pressure|teacher,http://www.imdb.com/title/tt0328538/?ref_=fn_tt_tt_1,USA,1500000,482,6.8,0
Elia Kazan,118,603,167,Dean Stockwell,Gentleman's Agreement ,1846,John Garfield,bigotry|jewish|prejudice|racism|writer,http://www.imdb.com/title/tt0039416/?ref_=fn_tt_tt_1,USA,2000000,297,7.4,0
Debra Granik,100,81,179,Jennifer Lawrence,Winter's Bone ,34446,Lauren Sweetser,bail|crystal meth|family relationships|female protagonist|search for father,http://www.imdb.com/title/tt1399683/?ref_=fn_tt_tt_1,USA,2000000,248,7.2,20000
Kevin Macdonald,106,162,3,Nicholas Aaron,Touching the Void ,29,Joe Simpson,bone|climbing|crevasse|partner|rope,http://www.imdb.com/title/tt0379557/?ref_=fn_tt_tt_1,UK,,5,8.1,0
Henry King,106,85,300,Tyrone Power,Alexander's Ragtime Band ,1833,John Carradine,band|dance|ragtime|singer|violinist,http://www.imdb.com/title/tt0029852/?ref_=fn_tt_tt_1,USA,2000000,392,7.0,60
Miranda July,91,244,244,Najarra Townsend,Me and You and Everyone We Know ,1349,Miranda July,fellatio|seven word title|shoe salesman|title directed by female|written by director,http://www.imdb.com/title/tt0415978/?ref_=fn_tt_tt_1,USA,2000000,363,7.4,0
Charles Ferguson,105,117,18,Matt Damon,Inside Job ,13145,Barney Frank,florida|iceland|interview|new york city new york|recession,http://www.imdb.com/title/tt1645089/?ref_=fn_tt_tt_1,USA,,125,8.3,63000
Max Joseph,96,31,328,Vanessa Lengies,We Are Your Friends ,3013,Jonny Weston,box office flop|critically bashed|male objectification|narcissism|wannabe dj,http://www.imdb.com/title/tt3787590/?ref_=fn_tt_tt_1,UK,2000000,625,6.1,0
Jim Jarmusch,116,0,116,Henry Silva,Ghost Dog: The Way of the Samurai ,675,Richard Portnow,african american|code|dog|pigeon|samurai,http://www.imdb.com/title/tt0165798/?ref_=fn_tt_tt_1,France,,147,7.5,0
David Ayer,116,453,2000,J.K. Simmons,Harsh Times ,50313,Noel Gugliemi,blood splatter|friend|lapd|mexican|violence,http://www.imdb.com/title/tt0433387/?ref_=fn_tt_tt_1,USA,2000000,23000,7.0,0
Jerry Jameson,97,5,349,David Oyelowo,Captive ,2739,Sydelle Noel,auto theft|based on true story|drug addict|kidnapping|violence,http://www.imdb.com/title/tt3268668/?ref_=fn_tt_tt_1,USA,2000000,426,5.3,0
Steven Soderbergh,101,0,685,Julia Roberts,Full Frontal ,11327,Blair Underwood,birthday|friend|hollywood|party|sex,http://www.imdb.com/title/tt0290212/?ref_=fn_tt_tt_1,USA,2000000,724,4.7,134
Kevin Tenney,98,85,186,Kathleen Wilhoite,Witchboard ,901,Rose Marie,evil spirit|hatchet|ouija|ouija board|psychopathic killer,http://www.imdb.com/title/tt0090327/?ref_=fn_tt_tt_1,UK,2000000,194,5.7,0
,22,,344,Stephen Colbert,Strangers with Candy             ,1359,Maria Thayer,alternative comedy|female protagonist|high school|social satire|three word title,http://www.imdb.com/title/tt0194624/?ref_=fn_tt_tt_1,USA,,396,8.1,558
Kenneth Branagh,150,0,401,Julie Christie,Hamlet ,1645,Richard Briers,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1,UK,18000000,591,7.8,0
John Cameron Mitchell,101,263,37,Sook-Yin Lee,Shortbus ,226,Raphael Barker,controversy|ejaculation|male frontal nudity|oral sex|unsimulated sex,http://www.imdb.com/title/tt0367027/?ref_=fn_tt_tt_1,USA,2000000,51,6.5,0
Ari Folman,90,56,0,Ari Folman,Waltz with Bashir ,56,Zahava Solomon,bar|dog|interview|lebanon|nightmare,http://www.imdb.com/title/tt1185616/?ref_=fn_tt_tt_1,Israel,1500000,0,8.0,0
