actor_1_facebook_likes,title_year
210,2014
72,1982
42,1985
861,2007
2000,2015
676,2008
509,1945
1000,2015
114,2005
3000,2014
371,2007
749,1946
730,2001
117,2001
128,2015
120,2007
919,2010
749,2015
846,2015
412,2015
559,1963
40,1989
480,
11000,1973
314,2014
11000,1972
3000,1962
745,1981
483,1994
618,1962
173,1999
120,2011
380,2006
690,2011
654,1961
1000,1940
23,2003
912,1998
14000,2003
50,2004
85,2000
1000,2003
936,1947
34000,2010
21,2003
480,1938
538,2005
13000,2010
804,2015
251,1999
24000,2005
1000,2015
8000,2002
265,1986
459,
597,1996
71,2006
56,2008
178,2003
393,2007
10000,2015
11000,
168,2007
991,2010
373,2005
388,2000
584,1997
189,2010
1000,1985
49000,2004
386,2007
33,1998
353,2000
326,2004
22000,2009
5000,1997
25000,2015
780,
532,2008
584,2003
589,2013
10000,2014
529,2009
787,1993
26000,2005
363,2006
985,2002
160,2015
13000,2008
638,2013
513,2009
29,2008
766,2004
253,2011
121,2012
413,2010
674,2015
11000,1971
473,2012
601,2007
685,
1000,1947
633,2008
15000,2002
2000,2012
34000,2013
416,2012
594,2013
16000,1967
924,2013
907,1966
909,2007
10000,2011
680,2015
2000,2015
11000,2015
18000,1986
548,2003
405,2015
16000,2010
920,2010
161,2013
533,2006
17000,2013
733,2013
40000,1984
41,2008
42,2015
628,2015
463,2010
1000,2009
10000,1951
654,1964
201,2002
2000,2012
595,1973
767,2000
553,2011
141,2015
16000,2011
12000,1993
0,2003
16000,1968
2000,1952
647,2007
467,2016
433,2013
761,2012
486,1998
701,2002
900,2013
86,2013
953,2007
595,1972
1000,2001
635,2010
349,1999
680,2004
638,2013
887,2004
319,1938
862,1953
281,1949
651,2013
489,1999
713,2010
227,2007
327,2014
53,2006
11000,1974
421,2005
963,1969
2000,2003
427,2016
3000,2004
597,2007
633,1988
607,1939
3000,1995
436,2005
378,2001
9,2009
260000,2016
472,1945
991,1994
1000,1998
852,2010
752,1984
827,2000
0,2012
552,2005
801,2013
902,1993
33000,2001
947,2007
393,2014
210,2001
813,2006
1000,2010
936,2006
309,1936
954,2002
634,2007
890,2005
563,2015
826,2005
38,2010
413,2008
87000,2008
310,2015
1000,2012
61,2014
0,2005
199,2005
979,2013
129,2014
341,2014
3000,2015
835,2015
10000,2012
501,2015
708,2015
82,1937
341,2004
984,1968
87,2004
1000,2016
756,2014
412,2014
847,2014
1000,1966
26000,1998
883,1982
416,
280,1998
12000,1996
51,2006
2000,1999
413,2012
13000,1998
210,
0,2014
232,1985
2000,2003
374,2005
700,2010
35000,2009
1000,1940
309,1981
287,1945
796,1984
2000,2012
578,2011
469,1953
595,1941
934,
3000,2014
828,1989
