director_name,gross,genres,movie_imdb_link,num_user_for_reviews,content_rating,imdb_score
Joe Wright,12802907,Drama|Romance,http://www.imdb.com/title/tt1781769/?ref_=fn_tt_tt_1,226,R,6.6
Neill Blomkamp,31569268,Action|Crime|Drama|Sci-Fi|Thriller,http://www.imdb.com/title/tt1823672/?ref_=fn_tt_tt_1,627,R,6.9
Phillip Noyce,66488090,Crime|Drama|Mystery|Thriller,http://www.imdb.com/title/tt0145681/?ref_=fn_tt_tt_1,397,R,6.7
David Fincher,95308367,Crime|Drama|Thriller,http://www.imdb.com/title/tt0258000/?ref_=fn_tt_tt_1,850,R,6.8
Chuck Bowman,,Horror|Thriller,http://www.imdb.com/title/tt0473553/?ref_=fn_tt_tt_1,32,,4.6
David O. Russell,60652036,Action|Adventure|Comedy|Drama|War,http://www.imdb.com/title/tt0120188/?ref_=fn_tt_tt_1,560,R,7.1
Daniel Espinosa,1206135,Crime|Drama|Thriller,http://www.imdb.com/title/tt1014763/?ref_=fn_tt_tt_1,185,R,6.4
Jerry Zucker,56607223,Adventure|Comedy,http://www.imdb.com/title/tt0250687/?ref_=fn_tt_tt_1,497,PG-13,6.4
Iain Softley,50173190,Drama|Mystery|Sci-Fi,http://www.imdb.com/title/tt0272152/?ref_=fn_tt_tt_1,537,PG-13,7.4
James Mangold,47095453,Comedy|Fantasy|Romance,http://www.imdb.com/title/tt0035423/?ref_=fn_tt_tt_1,316,PG-13,6.4
Harold Ramis,37879996,Comedy|Fantasy|Romance,http://www.imdb.com/title/tt0230030/?ref_=fn_tt_tt_1,254,PG-13,6.0
Francis Ford Coppola,25900000,Crime|Drama|Music,http://www.imdb.com/title/tt0087089/?ref_=fn_tt_tt_1,84,R,6.5
James Mangold,53574088,Adventure|Crime|Drama|Western,http://www.imdb.com/title/tt0381849/?ref_=fn_tt_tt_1,560,R,7.8
Olivier Megaton,89253340,Action|Thriller,http://www.imdb.com/title/tt2446042/?ref_=fn_tt_tt_1,323,PG-13,6.0
Steven Soderbergh,37339525,Crime|Drama|Romance|Thriller,http://www.imdb.com/title/tt0120780/?ref_=fn_tt_tt_1,307,R,7.0
Ben Stiller,60154431,Comedy|Drama|Thriller,http://www.imdb.com/title/tt0115798/?ref_=fn_tt_tt_1,345,PG-13,6.0
Deepa Mehta,528972,Drama|Romance|War,http://www.imdb.com/title/tt0150433/?ref_=fn_tt_tt_1,55,Unrated,7.8
Warren Beatty,103738726,Action|Comedy|Crime|Music|Romance|Thriller,http://www.imdb.com/title/tt0099422/?ref_=fn_tt_tt_1,164,PG,6.1
John McTiernan,69304264,Crime|Romance|Thriller,http://www.imdb.com/title/tt0155267/?ref_=fn_tt_tt_1,419,R,6.8
Penny Marshall,29781453,Biography|Comedy|Drama,http://www.imdb.com/title/tt0200027/?ref_=fn_tt_tt_1,210,PG-13,6.4
Ted Kotcheff,,Action|Adventure|Drama,http://www.imdb.com/title/tt0083944/?ref_=fn_tt_tt_1,376,R,7.7
Andrei Tarkovsky,,Drama|Mystery|Sci-Fi,http://www.imdb.com/title/tt0069293/?ref_=fn_tt_tt_1,236,PG,8.1
Paul Bolger,15519841,Adventure|Animation|Comedy|Family|Fantasy,http://www.imdb.com/title/tt0308353/?ref_=fn_tt_tt_1,71,PG,4.5
Stephen Frears,5600000,Drama|Horror|Romance|Thriller,http://www.imdb.com/title/tt0117002/?ref_=fn_tt_tt_1,97,R,5.8
P.J. Hogan,126805112,Comedy|Romance,http://www.imdb.com/title/tt0119738/?ref_=fn_tt_tt_1,169,PG-13,6.3
Joe Roth,93607673,Comedy|Romance,http://www.imdb.com/title/tt0265029/?ref_=fn_tt_tt_1,343,PG-13,5.7
Christopher Nolan,67263182,Drama|Mystery|Thriller,http://www.imdb.com/title/tt0278504/?ref_=fn_tt_tt_1,651,R,7.2
Jonathan Frakes,92001027,Action|Adventure|Drama|Sci-Fi|Thriller,http://www.imdb.com/title/tt0117731/?ref_=fn_tt_tt_1,286,PG-13,7.6
Jimmy Hayward,10539414,Action|Drama|Fantasy|Thriller|Western,http://www.imdb.com/title/tt1075747/?ref_=fn_tt_tt_1,176,PG-13,4.7
Edward Zwick,58918501,Action|Drama|Mystery|Thriller|War,http://www.imdb.com/title/tt0115956/?ref_=fn_tt_tt_1,107,R,6.6
Tom Shadyac,181395380,Comedy|Fantasy|Romance,http://www.imdb.com/title/tt0119528/?ref_=fn_tt_tt_1,243,PG-13,6.8
Brad Furman,14946229,Biography|Crime|Drama|Thriller,http://www.imdb.com/title/tt1355631/?ref_=fn_tt_tt_1,29,R,7.3
Terence Young,,Drama|History|War,http://www.imdb.com/title/tt0084132/?ref_=fn_tt_tt_1,16,PG,2.7
Brian Levant,130512915,Comedy|Family|Fantasy,http://www.imdb.com/title/tt0109813/?ref_=fn_tt_tt_1,85,PG,4.8
Olivier Megaton,139852971,Action|Crime|Thriller,http://www.imdb.com/title/tt1397280/?ref_=fn_tt_tt_1,461,PG-13,6.3
David Zucker,110000082,Comedy,http://www.imdb.com/title/tt0306047/?ref_=fn_tt_tt_1,347,PG-13,5.5
Donald Petrie,106807667,Action|Comedy|Crime|Romance,http://www.imdb.com/title/tt0212346/?ref_=fn_tt_tt_1,370,PG-13,6.2
Eric Brevig,101702060,Action|Adventure|Family|Fantasy|Sci-Fi,http://www.imdb.com/title/tt0373051/?ref_=fn_tt_tt_1,212,PG,5.8
Garry Marshall,95149435,Comedy|Family|Romance,http://www.imdb.com/title/tt0368933/?ref_=fn_tt_tt_1,152,G,5.7
Alan J. Pakula,100768056,Crime|Drama|Mystery|Thriller,http://www.imdb.com/title/tt0107798/?ref_=fn_tt_tt_1,89,PG-13,6.5
Joel Schumacher,92115211,Crime|Drama|Mystery|Thriller,http://www.imdb.com/title/tt0109446/?ref_=fn_tt_tt_1,94,PG-13,6.7
Rob Reiner,93452056,Adventure|Comedy|Drama,http://www.imdb.com/title/tt0825232/?ref_=fn_tt_tt_1,310,PG-13,7.4
Phillip Noyce,83287363,Action|Thriller,http://www.imdb.com/title/tt0105112/?ref_=fn_tt_tt_1,137,R,6.9
Robert Luketic,82931301,Comedy|Romance,http://www.imdb.com/title/tt0369735/?ref_=fn_tt_tt_1,228,PG-13,5.5
Denis Villeneuve,60962878,Crime|Drama|Mystery|Thriller,http://www.imdb.com/title/tt1392214/?ref_=fn_tt_tt_1,620,R,8.1
Antoine Fuqua,76261036,Crime|Drama|Thriller,http://www.imdb.com/title/tt0139654/?ref_=fn_tt_tt_1,633,R,7.7
Dean Parisot,71423726,Adventure|Comedy|Sci-Fi,http://www.imdb.com/title/tt0177789/?ref_=fn_tt_tt_1,609,PG,7.3
Keenen Ivory Wayans,71277420,Comedy,http://www.imdb.com/title/tt0257106/?ref_=fn_tt_tt_1,548,R,5.2
