actor_3_facebook_likes,actor_2_name,actor_1_name,plot_keywords
170,Mary J. Blige,Jennifer Hudson,based on stage musical|based on the bible|christmas|color in title|nativity
1000,50 Cent,Bruce Willis,assassin|fight|mechanic|rescue|rival
50,Shawn Andrews,Kirk Fox,bag over head|buddhist temple|loss of friend|male bonding|nightclub
83,Elaine Cassidy,Fionnula Flanagan,curtain|haunting|mansion|mute|xeroderma pigmentosum
604,Carrie Henn,Michael Biehn,alien|human versus alien|monster|rescue mission|space marine
244,Rex Harrison,Jeremy Brett,colonel|flower girl|professor|street|wager
681,Sarah Michelle Gellar,Muse Watson,beach|corpse|fourth of july|overalls|revenge
613,Damon Wayans Jr.,Rob Riggle,friendship between men|impersonating a police officer|mobster|party|police officer
284,Patrick Gallagher,Virginia Madsen,actor|california|teacher|wine|writer
422,Owain Yeoman,Chris Moss,beer|competition|germany|oktoberfest|prostitute
598,Donald Pleasence,Jamie Lee Curtis,halloween|masked killer|michael myers|slasher|trick or treat
576,Tony Chiu Wai Leung,Jet Li,china|flying|king|palace|sword
503,Molly Shannon,Liam Aiken,dog|friend|neighborhood|planet|star
849,Sanaa Lathan,Harold Perrineau,childbirth|christmas|gay slur|infidelity|punched in the nose
968,Common,Ryan Reynolds,casino|fbi|mafia|mob hit|sniper
298,Gina Holden,Costas Mandylor,blood splatter|self help guru|sequel|support group|survivor
486,Vinessa Shaw,Emmanuelle Vaugier,female on male rape|lent|male rear nudity|masturbation|sex
1000,Olivia Wilde,Jeff Bridges,arcade|bridge|disappearance|escape|warrior
281,Chris Kattan,Will Ferrell,1990s|bar|car accident|nightclub|whipped cream
583,Mary-Kate Olsen,Alex Pettyfer,love|maid|newscaster|student|tutor
580,Greg Nicotero,Dan Byrd,desert|horror movie remake|murder of family|rape|slasher
428,Jenna Boyd,Kevin Grevioux,dental braces|dental headgear|former child star|panties|white panties
89,Valente Rodriguez,Morgan Saylor,coach|high school|place name in title|school|student
826,Loretta Devine,Brandon T. Jackson,block party|eurocopter ec120 colibri|fortune cookie|lottery ticket|reverend
104,Adam Boyer,T.I.,high school|rollerskating rink|spelman college|twin|voice over narration
746,Hana Mae Lee,Anna Kendrick,a cappella|competition|dj|female protagonist|lesbian
505,Brian Dennehy,Marc Blucas,baseball|baseball player|night|rivalry|summer
244,Bridget Fonda,Gary Cole,bag of money|found money|minnesota|screenplay adapted by author|snow
973,Ethan Embry,Alexander Gould,darkness|friend|kiss|nightmare|suicide
323,Larry the Cable Guy,Thomas F. Wilson,diner|food poisoning|health inspector|restaurant|undercover
142,Kevin Clash,Vanessa Williams,based on tv series|blanket|box office flop|rescue|sesame street
625,Lili Taylor,Don Cheadle,catholic|corrupt cop|new york city|police detective|police officer killed
86,David Niven,Ava Gardner,ambassador|boxer rebellion|china|colonialism|peking china
58,Elizabeth Blackmore,Lou Taylor Pucci,book of the dead|demon|h.p. lovecraft|lesbian kiss|promise
399,Harland Williams,Nia Vardalos,greece|greek|tour bus|tour guide|tourist
841,Dennis Quaid,Judy Greer,chief of staff|contest|president|singing|terrorist
488,Margot Kidder,Jim Broadbent,box office flop|dc comics|hair|nuclear disarmament|superman
66,Clé Bennett,DeRay Davis,dance|dance contest|loss of sister|step dancing|teenager
834,Chazz Palminteri,Paul Walker,adult child friendship|corrupt cop|fistfight|gangster|thug
193,Jeremy Northam,Aidan Quinn,colon in title|competition|five word title|golf|temper
161,Paul Freeman,Victor Wong,china|missionary|opium|villain|year 1937
96,Eddie Marsan,Rufus Sewell,duchess|illusionist|magician|prince|supernatural power
60,Melanie Griffith,Tippi Hedren,chase|dead man|jungle|killing a lion|killing a tiger
71,David Murray,Brenda Fricker,criminal|drug lord|gunshot|irish|journalist
55,Brady Corbet,Josh Hutcherson,colombia|dream|love|surfer|village
215,Curtis Armstrong,Janeane Garofalo,amnesia|boxer|conspiracy|police|porn star
