director_name,duration,actor_3_facebook_likes,gross,actor_1_name,actor_3_name,movie_imdb_link,num_user_for_reviews,language,imdb_score
George Sidney,108,244,,Agnes Moorehead,Howard Keel,http://www.imdb.com/title/tt0044030/?ref_=fn_tt_tt_1,46,English,7.0
Mario Van Peebles,95,608,27012,Tom Skerritt,Luke Perry,http://www.imdb.com/title/tt1470020/?ref_=fn_tt_tt_1,9,English,5.9
Jason Stone,108,826,,Topher Grace,Christopher Heyerdahl,http://www.imdb.com/title/tt1666335/?ref_=fn_tt_tt_1,28,English,5.8
Jerry Rees,90,385,,Jon Lovitz,Mindy Sterling,http://www.imdb.com/title/tt0092695/?ref_=fn_tt_tt_1,62,English,7.3
James Algar,120,,76400000,Leopold Stokowski,,http://www.imdb.com/title/tt0032455/?ref_=fn_tt_tt_1,230,English,7.8
William Friedkin,104,109,,Roy Scheider,Tony Lo Bianco,http://www.imdb.com/title/tt0067116/?ref_=fn_tt_tt_1,280,English,7.8
Jaco Booyens,90,0,,Nicole Smolen,Ivette Alvarez,http://www.imdb.com/title/tt3111864/?ref_=fn_tt_tt_1,3,English,6.9
Steve Miner,91,20,36200000,Richard Brooker,Catherine Parks,http://www.imdb.com/title/tt0083972/?ref_=fn_tt_tt_1,372,English,5.7
Danny Steinmann,92,17,21300000,Tiffany Helm,Dominick Brascia,http://www.imdb.com/title/tt0089173/?ref_=fn_tt_tt_1,342,English,4.7
Michael Landon Jr.,117,275,379643,Henry Thomas,A.J. Buckley,http://www.imdb.com/title/tt0810928/?ref_=fn_tt_tt_1,29,English,5.9
Jon Gunn,120,835,12985267,Alexa PenaVega,Madison Pettis,http://www.imdb.com/title/tt4056738/?ref_=fn_tt_tt_1,63,English,5.9
Hayley Cloake,90,306,,Brian Austin Green,Linden Ashby,http://www.imdb.com/title/tt1086841/?ref_=fn_tt_tt_1,9,English,4.3
Tay Garnett,119,275,,Jessica Tandy,Lionel Barrymore,http://www.imdb.com/title/tt0038213/?ref_=fn_tt_tt_1,29,English,7.5
Shyam Madiraju,90,708,,Jessica Lowndes,Brad Schmidt,http://www.imdb.com/title/tt3032282/?ref_=fn_tt_tt_1,4,English,4.8
Harmage Singh Kalirai,90,18,,Saeed Jaffrey,Shobu Kapoor,http://www.imdb.com/title/tt0449000/?ref_=fn_tt_tt_1,14,English,5.8
Rita Merson,97,782,,Ryan Guzman,Jason Ritter,http://www.imdb.com/title/tt1995477/?ref_=fn_tt_tt_1,6,English,5.3
Jon Knautz,90,42,,Rachel Skarsten,Stefanie Drummond,http://www.imdb.com/title/tt0816539/?ref_=fn_tt_tt_1,46,English,6.0
William Wyler,172,188,23650000,Myrna Loy,Dana Andrews,http://www.imdb.com/title/tt0036868/?ref_=fn_tt_tt_1,235,English,8.1
Larry Clark,115,551,510092,Kelli Garner,Brad Renfro,http://www.imdb.com/title/tt0242193/?ref_=fn_tt_tt_1,336,English,7.0
Petter Næss,89,14,313436,Jørgen Langhelle,Sven Nordin,http://www.imdb.com/title/tt0279064/?ref_=fn_tt_tt_1,95,Norwegian,7.6
Robert Fontaine,125,17,3330,Michael Derek,Brad Lee Wind,http://www.imdb.com/title/tt2460506/?ref_=fn_tt_tt_1,1,English,7.2
Jaume Balagueró,78,7,,Manuela Velasco,Carlos Lasarte,http://www.imdb.com/title/tt1038988/?ref_=fn_tt_tt_1,374,Spanish,7.5
Patricia Cardoso,89,650,,Rosie Perez,Cheyenne Haynes,http://www.imdb.com/title/tt1675312/?ref_=fn_tt_tt_1,4,English,6.3
Dan Perri,100,338,,Travis Myers,Carmen Argenziano,http://www.imdb.com/title/tt2317796/?ref_=fn_tt_tt_1,1,English,6.7
Neil Mcenery-West,77,260,,Walter Hendrix III,Louise Brealey,http://www.imdb.com/title/tt3561236/?ref_=fn_tt_tt_1,21,English,4.8
Anthony O'Brien,81,106,,James Ransone,Shaun O'Hagan,http://www.imdb.com/title/tt2215673/?ref_=fn_tt_tt_1,17,English,5.5
Terence Young,115,177,24800000,Robert Shaw,Lois Maxwell,http://www.imdb.com/title/tt0057076/?ref_=fn_tt_tt_1,358,English,7.5
Michael Herz,96,14,792966,Phoebe Legere,Lisa Gaye,http://www.imdb.com/title/tt0098503/?ref_=fn_tt_tt_1,40,English,5.1
,60,213,,Carroll O'Connor,Crystal R. Fox,http://www.imdb.com/title/tt0094484/?ref_=fn_tt_tt_1,24,English,7.4
Woody Allen,89,45,,Woody Allen,Mews Small,http://www.imdb.com/title/tt0070707/?ref_=fn_tt_tt_1,128,English,7.3
David Robert Mitchell,100,159,14673301,Maika Monroe,Jake Weary,http://www.imdb.com/title/tt3235888/?ref_=fn_tt_tt_1,631,English,6.9
Woody Allen,88,258,,Woody Allen,Lynn Redgrave,http://www.imdb.com/title/tt0068555/?ref_=fn_tt_tt_1,78,English,6.8
Robert Mulligan,129,161,,Robert Duvall,William Windom,http://www.imdb.com/title/tt0056592/?ref_=fn_tt_tt_1,471,English,8.4
George Miller,87,41,9003011,Vernon Wells,Kjell Nilsson,http://www.imdb.com/title/tt0082694/?ref_=fn_tt_tt_1,294,English,7.6
Chia-Liang Liu,102,75,11546543,Andy Lau,Ho-Sung Pak,http://www.imdb.com/title/tt0111512/?ref_=fn_tt_tt_1,146,Cantonese,7.6
Stanley Kubrick,152,177,,James Mason,Lois Maxwell,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1,207,English,7.7
Kimberly Peirce,118,103,11533945,Alicia Goranson,Jeannetta Arnette,http://www.imdb.com/title/tt0171804/?ref_=fn_tt_tt_1,434,English,7.6
Chris Kentis,86,32,12555230,Eric Sheffer Stevens,Adam Trese,http://www.imdb.com/title/tt1767382/?ref_=fn_tt_tt_1,154,English,5.3
Florian Henckel von Donnersmarck,137,155,11284657,Sebastian Koch,Martina Gedeck,http://www.imdb.com/title/tt0405094/?ref_=fn_tt_tt_1,407,German,8.5
Alex Kendrick,129,341,34522221,Ben Davies,T.C. Stallings,http://www.imdb.com/title/tt1630036/?ref_=fn_tt_tt_1,175,English,7.0
Robert Rossen,134,366,,George C. Scott,Murray Hamilton,http://www.imdb.com/title/tt0054997/?ref_=fn_tt_tt_1,167,English,8.0
Jack Conway,119,380,,Hedy Lamarr,Claudette Colbert,http://www.imdb.com/title/tt0032273/?ref_=fn_tt_tt_1,34,English,7.1
Sylvain Chomet,80,0,7002255,Michel Robin,Béatrice Bonifassi,http://www.imdb.com/title/tt0286244/?ref_=fn_tt_tt_1,312,French,7.8
Chris Eyre,89,580,6719300,Michael Greyeyes,Gary Farmer,http://www.imdb.com/title/tt0120321/?ref_=fn_tt_tt_1,132,English,7.2
Shari Springer Berman,101,92,6003587,Josh Hutcherson,Daniel Tay,http://www.imdb.com/title/tt0305206/?ref_=fn_tt_tt_1,226,English,7.5
Richard Linklater,80,3,5792822,Vernon Dobtcheff,Marie Pillet,http://www.imdb.com/title/tt0381681/?ref_=fn_tt_tt_1,492,English,8.0
Alejandro G. Iñárritu,115,35,5383834,Adriana Barraza,Goya Toledo,http://www.imdb.com/title/tt0245712/?ref_=fn_tt_tt_1,361,Spanish,8.1
Catherine Hardwicke,100,374,4599680,Holly Hunter,Kip Pardue,http://www.imdb.com/title/tt0328538/?ref_=fn_tt_tt_1,545,English,6.8
Elia Kazan,118,167,,Dean Stockwell,John Garfield,http://www.imdb.com/title/tt0039416/?ref_=fn_tt_tt_1,113,English,7.4
Debra Granik,100,179,6531491,Jennifer Lawrence,Lauren Sweetser,http://www.imdb.com/title/tt1399683/?ref_=fn_tt_tt_1,297,English,7.2
