director_name,actor_2_name,movie_title,actor_3_name,movie_imdb_link,num_user_for_reviews,country,budget,title_year,movie_facebook_likes
James Cameron,Brian Thompson,The Terminator ,Paul Winfield,http://www.imdb.com/title/tt0088247/?ref_=fn_tt_tt_1,692,UK,6500000,1984,13000
Wolfgang Becker,Chulpan Khamatova,Good Bye Lenin! ,Burghart Klaußner,http://www.imdb.com/title/tt0301357/?ref_=fn_tt_tt_1,225,Germany,4800000,2003,11000
Tom Hooper,Mark Bazeley,The Damned United ,Maurice Roëves,http://www.imdb.com/title/tt1226271/?ref_=fn_tt_tt_1,75,UK,10000000,2009,0
Dan O'Bannon,Clu Gulager,The Return of the Living Dead ,Beverly Randolph,http://www.imdb.com/title/tt0089907/?ref_=fn_tt_tt_1,300,USA,4000000,1985,0
,Fortunato Cerlino,Gomorrah             ,Marco D'Amore,http://www.imdb.com/title/tt2049116/?ref_=fn_tt_tt_1,25,Italy,,,0
Kevin Smith,Jason Mewes,Mallrats ,Joey Lauren Adams,http://www.imdb.com/title/tt0113749/?ref_=fn_tt_tt_1,434,USA,6000000,1995,0
Randal Kleiser,Stockard Channing,Grease ,Sid Caesar,http://www.imdb.com/title/tt0077631/?ref_=fn_tt_tt_1,350,USA,6000000,1978,13000
Oliver Stone,Tom Berenger,Platoon ,Kevin Dillon,http://www.imdb.com/title/tt0091763/?ref_=fn_tt_tt_1,505,UK,6000000,1986,9000
Michael Moore,Stevie Wonder,Fahrenheit 9/11 ,Ricky Martin,http://www.imdb.com/title/tt0361596/?ref_=fn_tt_tt_1,1416,USA,6000000,2004,0
George Roy Hill,Ted Cassidy,Butch Cassidy and the Sundance Kid ,Kenneth Mars,http://www.imdb.com/title/tt0064115/?ref_=fn_tt_tt_1,309,USA,6000000,1969,0
Robert Stevenson,Glynis Johns,Mary Poppins ,Elsa Lanchester,http://www.imdb.com/title/tt0058331/?ref_=fn_tt_tt_1,259,USA,6000000,1964,0
