director_name,num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,plot_keywords,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,imdb_score,movie_facebook_likes
Michael Spierig,292,35,125,Jay Laga'aia,Daybreakers ,105797,189,blood|rationing|vampire|vampire society|year 2019,http://www.imdb.com/title/tt0433362/?ref_=fn_tt_tt_1,281,English,R,20000000,6.5,0
Jim Field Smith,180,14,2000,Mike Vogel,She's Out of My League ,101730,5707,airport|airport security|confidence|iphone|love,http://www.imdb.com/title/tt0815236/?ref_=fn_tt_tt_1,131,English,R,20000000,6.4,0
Thomas Bezucha,94,15,3000,Leighton Meester,Monte Carlo ,32951,4257,cell phone|hotel|misunderstanding|monte carlo|young woman,http://www.imdb.com/title/tt1067774/?ref_=fn_tt_tt_1,44,English,PG,20000000,5.8,6000
William Brent Bell,112,19,1000,Adam Goldberg,Stay Alive ,25870,3590,countess|game reality crossover|ghost|group of friends|tower,http://www.imdb.com/title/tt0441796/?ref_=fn_tt_tt_1,281,English,PG-13,9000000,5.1,0
Simon Wincer,20,23,25000,Alan Rickman,Quigley Down Under ,15230,45841,aborigine|australian|australian aborigine|australian outback|rancher,http://www.imdb.com/title/tt0102744/?ref_=fn_tt_tt_1,97,English,PG-13,20000000,6.8,0
Anthony Bell,84,0,681,Kevin Sussman,Alpha and Omega ,10986,2486,arranged marriage|geese|idaho|national park|park,http://www.imdb.com/title/tt1213012/?ref_=fn_tt_tt_1,84,English,PG,20000000,5.3,0
Renny Harlin,120,212,960,Laura Ramsey,The Covenant ,39541,3261,family secret|friendship between men|magic|supernatural power|teenager,http://www.imdb.com/title/tt0475944/?ref_=fn_tt_tt_1,334,English,PG-13,20000000,5.3,3000
Jessica Bendinger,90,31,12000,Jeff Bridges,Stick It ,22604,14903,coach|gymnastics|houston texas|teenager|texas,http://www.imdb.com/title/tt0430634/?ref_=fn_tt_tt_1,124,English,PG-13,,6.4,0
Robert Rodriguez,103,0,87000,Jimmy Bennett,Shorts ,5332,88422,boy|family relationships|rock|twin|two headed person,http://www.imdb.com/title/tt1100119/?ref_=fn_tt_tt_1,37,English,PG,40000000,4.9,431
Gus Van Sant,59,835,1000,Kurtwood Smith,To Die For ,34774,3598,career|fame|murder|new hampshire|television,http://www.imdb.com/title/tt0114681/?ref_=fn_tt_tt_1,162,English,R,20000000,6.8,1000
Henry Joost,86,24,646,Samira Wiley,Nerve ,4303,1780,dare|game|knocked out|motorcycle|online game,http://www.imdb.com/title/tt3531824/?ref_=fn_tt_tt_1,35,English,PG-13,20000000,7.1,0
Ed Harris,190,0,10000,Viggo Mortensen,Appaloosa ,50198,10507,deputy|friend|hanging|rancher|widow,http://www.imdb.com/title/tt0800308/?ref_=fn_tt_tt_1,202,English,R,,6.8,0
John Carpenter,114,0,2000,Sheryl Lee,Vampires ,42664,5123,cross|relic|team|vampire|vampire hunter,http://www.imdb.com/title/tt0120877/?ref_=fn_tt_tt_1,403,English,R,20000000,6.1,0
,6,,0,Pablo Sevilla,Yu-Gi-Oh! Duel Monsters             ,12417,0,anime|based on manga|hero|surrealism|zen,http://www.imdb.com/title/tt0249327/?ref_=fn_tt_tt_1,51,Japanese,,,7.0,124
Alfred Hitchcock,290,13000,606,Janet Leigh,Psycho ,422432,1885,money|motel|rain|shower|theft,http://www.imdb.com/title/tt0054215/?ref_=fn_tt_tt_1,1040,English,R,806947,8.5,18000
