director_name,num_critic_for_reviews,actor_1_facebook_likes,actor_3_name,country,content_rating,budget,title_year
Marc Bennett,2,975,Costas Mandylor,USA,,5000000,2012
Mike Mayhall,,784,Martin Kove,USA,,5000000,2015
Kevin Smith,35,40000,Natasha Lyonne,USA,PG-13,5000000,2016
Stanton Barrett,21,741,Ed Quinn,USA,,,2015
Jirí Menzel,99,61,Milan Lasica,Czech Republic,R,84450000,2006
Fatih Akin,115,595,Birol Ünel,Germany,,4000000,2009
Billy Bob Thornton,104,3000,J.T. Walsh,USA,R,890000,1996
Nick Murphy,195,874,Joseph Mawle,UK,R,3000000,2011
Eli Roth,303,1000,Rick Hoffman,USA,R,4800000,2005
Michael Winterbottom,122,1000,Dylan Moran,UK,R,2800000,2005
Jeff Nichols,359,982,Robert Longstreet,USA,R,5000000,2011
Frank LaLoggia,130,968,Katherine Helmond,USA,R,4700000,1988
Jeremy Brock,64,10000,Tamsin Egerton,UK,PG-13,,2006
Scott Foley,13,927,Dagmara Dominczyk,USA,Unrated,5000000,2014
Tobe Hooper,159,237,Jim Siedow,USA,X,4700000,1986
Sam Peckinpah,54,773,Jason Robards,USA,R,4638783,1973
Nicolas Winding Refn,440,33000,Yayaying Rhatha Phongam,Denmark,R,4800000,2013
Christophe Ali,7,226,Emmanuelle Bercot,France,,,2005
Gabriela Tagliavini,4,571,Camryn Manheim,USA,R,4700000,2011
Shekar,1,5,Dileep Raj,India,,,2013
Shona Auerbach,96,18000,Jack McElhone,UK,PG-13,,2004
Leonard Farlinger,8,584,Stephen McHattie,Canada,R,5000000,2007
Michel Leclerc,87,74,Zinedine Soualem,France,R,4600000,2010
Analeine Cal y Mayor,10,943,Kim Ly,Mexico,,4700000,2013
Tom Kalin,121,13000,Stephen Dillane,Spain,Not Rated,4600000,2007
Robert Sarkies,43,109,Paul Glover,New Zealand,,,2006
Hugh Wilson,45,801,Michael Winslow,USA,R,4500000,1984
Randal Kleiser,36,1000,Leo McKern,USA,R,4500000,1980
Mike Newell,84,1000,Simon Callow,UK,R,4500000,1994
Amy Heckerling,118,1000,Vincent Schiavelli,USA,X,4500000,1982
John Huston,42,232,James Robertson Justice,USA,Unrated,4500000,1956
Spike Lee,202,22000,Aaron Stanford,USA,R,15000000,2002
,5,562,KaDee Strickland,USA,,,
Lana Wachowski,120,3000,Peter Spellos,USA,R,4500000,1996
Darren Aronofsky,234,1000,Louise Lasser,USA,R,4500000,2000
Walter Lang,17,188,Frank McHugh,USA,Approved,,1945
Carlos Saura,35,341,Miguel Ángel Solá,Spain,PG-13,700000000,1998
Oliver Stone,48,854,Juan Fernández,UK,R,4500000,1986
Andrew Erwin,49,589,Patricia Heaton,USA,PG,5000000,2014
Richard Kelly,283,15000,James Duval,USA,R,4500000,2001
Beto Gómez,16,274,Joaquín Cosio,Mexico,PG-13,,2011
Mike van Diem,54,25,Hans Kesting,Netherlands,R,4500000,1997
Jonas Åkerlund,92,835,Debbie Harry,USA,R,2000000,2002
Todd Solondz,159,1000,Charlotte Rampling,USA,R,,2009
Chan-wook Park,202,717,Hye-jeong Kang,South Korea,R,4200000000,2005
René Féret,50,24,Marie Féret,France,,,2010
Barry Skolnick,54,26000,Danny Dyer,UK,R,2500000,2001
Johnnie To,98,155,Josie Ho,Hong Kong,R,35000000,2006
Mateo Gil,92,820,Stephen Rea,Spain,R,,2011
Lukas Moodysson,112,129,Lyubov Agapova,Sweden,R,,2002
Agnieszka Wojtowicz-Vosloo,138,14000,Chandler Canterbury,USA,R,4500000,2009
Kabir Sadanand,9,327,Dimple Kapadia,India,,,2014
Milos Forman,149,888,Louise Fletcher,USA,R,4400000,1975
Peter DeLuise,5,19000,Braeden Lemasters,USA,PG,4400000,2015
Mel Brooks,39,898,Bernadette Peters,USA,PG,4400000,1976
Raja Menon,39,85,Purab Kohli,India,,4400000,2016
,2,662,Megan Follows,Canada,TV-G,,
Ernie Barbarash,29,2000,Lateef Crowder,USA,R,4500000,2014
Nick Love,111,2000,Alan Ford,UK,R,3000000,2012
Jonathan Glazer,149,1000,Amanda Redman,UK,R,,2000
Daniel Espinosa,90,309,Matias Varela,Sweden,R,,2010
Niki Caro,149,446,Tammy Davis,New Zealand,PG-13,6000000,2002
R. Balki,12,464,Paresh Rawal,India,,150000000,2009
Ivan Engler,64,29,Anna Katharina Schwabroh,Switzerland,,4500000,2009
Joe Wright,256,20000,Nonso Anozie,USA,PG,150000000,2015
Kenny Ortega,57,755,Olesya Rulin,USA,TV-G,4200000,2006
,8,1000,Ellen Barkin,USA,,,
Richard Kwietniowski,50,471,Danny Webb,UK,PG-13,,1997
Timur Bekmambetov,232,114,Zhanna Friske,Russia,R,4200000,2004
Neil Jordan,63,1000,Stephen Rea,UK,R,2300000,1992
Bob Clark,75,110,Tony Ganios,Canada,R,4000000,1981
George A. Romero,274,648,Kathleen Munroe,USA,R,4000000,2009
George A. Romero,284,125,S. William Hinzman,USA,Unrated,114000,1968
Sofia Coppola,265,19000,Catherine Lambert,USA,R,4000000,2003
Woody Allen,154,11000,Shelley Duvall,USA,PG,4000000,1977
Cecil B. DeMille,44,232,Cornel Wilde,USA,Not Rated,4000000,1952
Ridley Scott,314,23000,Ben Mendelsohn,UK,PG-13,140000000,2014
Marc Forster,153,13000,Marcus Lyle Brown,USA,R,4000000,2001
Henry Hobson,256,584,David A Cole,USA,PG-13,8500000,2015
Mike Figgis,123,12000,Julian Sands,USA,R,3600000,1995
Duane Journey,46,707,Lochlyn Munro,USA,,4500000,2013
Dan O'Bannon,203,431,Beverly Randolph,USA,R,4000000,1985
Billy Wilder,34,597,David Wayne,USA,PG,4000000,1974
Rob Cohen,149,3000,Adam Hicks,USA,R,4000000,2015
Carol Reed,20,746,Sidney James,USA,Approved,4000000,1956
,9,1000,Bokeem Woodbine,USA,TV-MA,,
Lisa Cholodenko,323,14000,Yaya DaCosta,USA,R,3500000,2010
John Carpenter,172,355,George 'Buck' Flower,USA,R,4000000,1988
John Sturges,111,773,Gordon Jackson,USA,Approved,4000000,1963
William Arntz,74,847,Armin Shimerman,USA,Unrated,,2004
Ed Gass-Donnelly,161,45000,Ashley Bell,France,PG-13,5000000,2013
Richard Linklater,548,230,Libby Villari,USA,R,4000000,2014
Woody Allen,177,19000,Geoff Bell,UK,PG-13,4000000,2006
Tim Burton,230,1000,Erick Avari,USA,PG-13,100000000,2001
DJ Pooh,27,522,DJ Pooh,USA,R,4000000,2001
DJ Pooh,22,939,Faizon Love,USA,R,6000000,2000
