director_name,duration,director_facebook_likes,actor_3_facebook_likes,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,content_rating,budget,aspect_ratio,movie_facebook_likes
Alessandro Carloni,95,5,967,64322,36095,Wayne Knight,0,china|kung fu|panda|pig|village,PG,145000000,2.35,24000
Brad Bird,133,663,690,365104,21768,Michael Nyqvist,3,dubai|kremlin|race against time|russian|terrorist,PG-13,145000000,2.35,35000
Peter Ramsey,97,52,161,123553,20645,Khamani Griffin,0,belief|box office hit|children|new york city|tooth,PG,145000000,1.85,25000
Dean Parisot,90,23,233,110788,1997,David Herman,1,animal abuse|ceo|heist|suburb|unemployment,PG-13,100000000,2.35,2000
Edward Zwick,154,380,445,317166,11945,Chad Lindberg,1,captain|emperor|honor|japan|samurai,R,140000000,2.35,0
Ridley Scott,150,0,748,128682,26490,Ben Mendelsohn,0,egypt|exodus|moses|pharaoh|plague,PG-13,140000000,2.35,51000
J.J. Abrams,127,14000,981,504419,39284,Bruce Greenwood,0,box office hit|future|lifted by the throat|star trek|vulcan,PG-13,150000000,2.35,19000
Sam Raimi,121,0,4000,544665,40484,Kirsten Dunst,0,evil|goblin|spider|spider man|superhero,PG-13,139000000,1.85,5000
Dean DeBlois,102,255,953,221128,23378,America Ferrera,5,dragon|father son relationship|husband wife relationship|mother son relationship|viking,PG,145000000,2.35,46000
Alex Proyas,126,295,284,51892,19769,Bryan Brown,4,ancient egypt|egypt|egyptian|egyptian god|egyptian goddess,PG-13,140000000,2.35,24000
Rob Cohen,121,357,653,45455,2705,Richard Roxburgh,0,artificial intelligence|box office flop|fighter jet|navy|pilot,PG-13,135000000,2.35,0
Zack Snyder,215,0,413,392474,2530,Stephen McHattie,1,conspiracy|cynicism|false promise of the american dream|male full frontal nudity|male nudity,R,130000000,2.35,18000
Richard Donner,127,503,91,127497,6171,Darlene Love,2,kung fu|lapd|martial arts|private investigator|triad,R,140000000,2.35,0
Ang Lee,138,0,258,212106,1814,Celia Weston,0,1980s|c 130 hercules|monster|panzer|san francisco california,PG-13,137000000,1.85,0
Jon M. Chu,122,209,934,146352,31958,Elodie Yung,6,general|gi joe|martial arts|ninja|president,PG-13,130000000,2.35,42000
Breck Eisner,124,42,848,77673,13073,Delroy Lindo,3,beach|civil war|desert|dictator|ship,PG-13,130000000,2.35,0
Hironobu Sakaguchi,106,6,422,72259,15015,Jean Simmons,1,general|military|scientist|soldier|year 2065,PG-13,137000000,1.85,0
Joe Johnston,124,394,2000,508818,19761,Hayley Atwell,0,arctic|captain america|scientist|tesseract|war bond,PG-13,140000000,2.35,46000
Michael Apted,128,150,244,157519,2037,Desmond Llewelyn,2,british|oil|scientist|terrorist|tycoon,PG-13,135000000,2.35,2000
Peter Weir,138,608,168,168207,1205,David Threlfall,1,1800s|napoleonic wars|pursuit|royal navy|ship,PG-13,150000000,2.35,0
Bill Condon,115,386,12000,185394,59177,Taylor Lautner,3,battle|friend|super strength|vampire|vision,PG-13,120000000,2.35,65000
