director_facebook_likes,gross,cast_total_facebook_likes,plot_keywords,title_year
23,6755271,3004,flashing breasts|hitchhiker|vampire|vampire hunter|virus,2001
82,,13591,colonel|mission|partisan|spy|traitor,1978
3,6157157,3942,gambling|imagination|television|television station|tv show,1989
4,6088249,5202,co worker|game tester|loss of virginity|roommate|snack,2006
84,5480318,2691,flatulence|menstrual blood|nomad|nursing school|title directed by female,1998
0,,2589,gang|gun|harmonica|killing|woman in bathtub,1968
4000,5308707,5245,friendship|loudmouth|money laundering|new york city|stripper,2001
0,5009677,19404,computer|contract|earth|moon|solitude,2009
7,4328294,5900,bar mitzvah|carried in a chair|hebrew|party|rite of passage,2006
0,4074023,55,3d|imax|plesiosaur|sea|water,2010
460,4306697,2820,anger|bus|child|lawyer|school,1997
22,3950029,416,catholic church|community|monastery|monk|terrorist,2010
19,4040588,25676,airport|california|flat tire|overalls|wine,2008
3,,1324,breasts growing|coors light|drugs|hospital|spinning in grave,1982
0,3049135,14574,fantasy life|friend|friendship|love|teenage crush,1994
35,4700361,6617,heaven|hospital|praying|pronounced dead|recovery,2015
7,2711210,10517,alcoholic|beer|bicycle|new neighbor|yard sale,2010
52,1980338,1209,blackmail|client|private detective|private investigator|tycoon,1998
122,1082044,24994,alienation|conscience|insomnia|paranoia|urban gothic,2004
261,1100000,1201,bare breasts|drugs|existentialism|new york city|redemption,1992
52,2445646,12897,based on true story|cia|cocaine|journalist|smear campaign,2014
263,2221809,1582,car|comic book|comic book artist|iphone|memory,2010
13,296665,5185,drug dealer|drugs|gay|homosexual|party,2003
57,3219029,1836,murder|neo nazi|punk band|skinhead|suspense,2015
0,,1665,marriage|orgasm|school|sex|swimming,2006
0,830210,3382,box office flop|critically bashed|economy|individual versus society|rescue,2014
0,1040879,648,caper|escapade|motel|robbery|texas,1996
18000,326308,13718,bar|box office flop|hostage|new orleans louisiana|police,1996
0,240425,172,africa|hindu|india|muslim|south africa,2007
239,228830,6,abu ghraib|abuse|prison|slow motion|torture,2008
0,,498,explosion|hitchhiking|punk|trauma|truck driver,1980
27,223615,2958,cabin|chainsaw|college kid|hillbilly|vacation,2010
6,124720,4987,christmas|fable|old man,2008
5,,538,engineer|ethics|mountain|railroad|south america,1947
204,99147,3207,cola|desert|ice cream cone|teenage girl|vomiting,1998
3,,2984,breasts|campus|college|tentacle|virginity,2004
0,65069140,1010,farm|handheld camera|impostor|rap|rock paper scissors,2015
0,65087,408,blood splatter|iraq|murder|rape|soldier,2007
34,16066,1789,death|love|marriage|secret|suspicion,2004
,,5203,catholic|death row|inmate|oklahoma city|sexual promiscuity,
110,,117,alien|alien abduction|conspiracy|secret base|ufo,2015
57,,526,apartment|concierge|girl|hitchcockian|stalking,2011
46,,1258,countryside|deformed|farmer|gangster|kidnapping,2008
65,,3724,african american policeman|police|policeman|policewoman|vomiting,2009
799,,10727,flatulence|march|penguin|south pole|spoof,2006
0,,3217,,2009
,,4092,best friend|friend|police|police department|psychic,
