num_critic_for_reviews,actor_3_facebook_likes,genres,actor_1_name,actor_3_name,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
157,622,Comedy,Adam Sandler,Will Forte,argument|reference to vanilla ice|statutory rape|teacher student relationship|teacher student sex,198,English,USA,R,70000000,2012,3000,5.6,2.35,12000
60,40,Action|Adventure|Fantasy,Dennis Quaid,Terry O'Neill,dragon|england|human dragon relationship|king|knight,139,English,USA,PG-13,57000000,1996,663,6.4,2.35,0
117,455,Action|Comedy|Crime|Drama,Salma Hayek,Chris Penn,diamond|fbi|fbi agent|island|thief,147,English,USA,PG-13,58000000,2004,3000,6.3,2.35,782
287,1000,Action|Fantasy|Thriller,Nicolas Cage,Christopher Lambert,deal with the devil|devil|eastern europe|ghost rider|monk,331,English,USA,PG-13,57000000,2011,1000,4.3,2.35,18000
96,58,Drama|Music|Romance|War,Christian Bale,Mihalis Giannatos,captain|greek|island|italian|love,220,English,UK,R,57000000,2001,243,5.9,2.35,0
26,676,Comedy|Romance,Barry Corbin,Brian Austin Green,anger management|argument|irony|sarcasm|therapist,54,English,USA,,,,701,6.7,16.0,0
125,650,Action|Comedy|Drama|Family|Thriller,Vin Diesel,Tate Donovan,bodyguard|death of husband|male nanny|nanny|wrestling match,225,English,Canada,PG,56000000,2005,799,5.5,2.35,0
117,348,Action|Crime,Dwayne Johnson,Michael Bowen,casino|football|sheriff|special forces|violence,221,English,USA,PG-13,56000000,2004,795,6.2,2.35,0
149,194,Comedy|Drama,Tom Hanks,Sam Anderson,amputee|love|vietnam|vietnam war|war hero,1398,English,USA,PG-13,55000000,1994,294,8.8,2.35,59000
131,639,Animation|Comedy|Family|Fantasy|Music,Jesse McCartney,Matthew Gray Gubler,based on cartoon|chipmunk|concert|fart joke|talking animal,146,English,USA,PG,60000000,2007,718,5.2,1.85,0
150,708,Comedy,Robert De Niro,Teri Polo,cat|cia|jewish|male nurse|nurse,507,English,USA,PG-13,55000000,2000,713,7.0,1.85,0
