num_critic_for_reviews,duration,actor_1_facebook_likes,budget
174,97,1000,5000000
151,110,838,5000000
276,103,7000,5000000
12,94,901,5000000
18,102,492,3500000
28,77,2000,5000000
95,134,205,5000000
74,129,977,5000000
179,90,11000,5000000
125,134,882,
22,104,1000,4500000
92,95,1000,5000000
196,93,1000,5000000
9,106,1000,5000000
31,109,2000,6000000
309,101,17000,5000000
15,139,535,5000000
36,99,13000,5000000
129,100,935,5000000
168,95,567,5000000
444,94,11000,5000000
123,93,742,5000000
173,106,269,2000000
246,99,605,4000000
74,82,1000,5000000
68,135,11000,5000000
144,88,742,5000000
96,89,690,5000000
42,110,801,5000000
29,107,926,5000000
228,86,520,5000000
195,91,968,8000000
203,103,155,5000000
44,90,21000,8000000
14,141,746,5000000
59,92,729,5000000
45,99,849,8000000
42,79,998,800000
12,96,927,5000000
29,82,93,5000000
121,92,3000,5000000
135,112,150,6000000
27,106,559,5000000
56,90,847,5000000
22,126,11000,5000000
59,150,859,5000000
61,90,2000,
60,91,1000,5000000
164,145,973,5000000
81,95,4000,5000000
415,97,18000,5000000
43,90,2000,
7,41,55,5000000
120,112,990,5000000
195,122,186,4000000
109,110,25000,5000000
21,87,922,5000000
93,108,14000,5000000
12,121,4000,5000000
155,97,8000,5000000
81,116,624,5000000
204,94,23000,5000000
19,103,722,5000000
163,112,10000,5000000
248,91,967,5000000
39,98,3000,5000000
322,95,727,5000000
50,88,740,5000000
12,99,578,5000000
83,91,387,7000000
37,97,10000,5000000
16,136,75,
121,118,6,
24,94,311,2200000
324,89,948,
27,90,3000,5000000
9,95,197,3209000
31,90,1000,2000000
35,95,889,5000000
371,94,432,5000000
133,90,343,5000000
13,103,811,5000000
9,60,1000,
56,91,46,5000000
191,102,331,5000000
80,92,570,2500000
19,87,866,5000000
19,80,3000,
,90,695,
38,44,1000,
44,105,745,5000000
3,67,979,10000000
6,95,989,
,87,708,5000000
64,94,12000,5000000
8,109,1000,5000000
64,130,1000,5000000
2,,975,5000000
,88,784,5000000
35,88,40000,5000000
21,97,741,
99,113,61,84450000
115,99,595,4000000
104,148,3000,890000
195,107,874,3000000
303,93,1000,4800000
122,94,1000,2800000
359,121,982,5000000
130,118,968,4700000
64,98,10000,
13,82,927,5000000
159,101,237,4700000
54,106,773,4638783
440,90,33000,4800000
7,79,226,
4,87,571,4700000
1,,5,
96,105,18000,
8,89,584,5000000
87,100,74,4600000
10,92,943,4700000
121,97,13000,4600000
43,100,109,
45,96,801,4500000
36,104,1000,4500000
84,117,1000,4500000
118,90,1000,4500000
42,115,232,4500000
202,108,22000,15000000
5,43,562,
120,109,3000,4500000
234,102,1000,4500000
17,100,188,
35,115,341,700000000
48,122,854,4500000
49,98,589,5000000
283,133,15000,4500000
16,105,274,
54,122,25,4500000
92,106,835,2000000
159,98,1000,
202,112,717,4200000000
50,120,24,
54,99,26000,2500000
98,110,155,35000000
92,102,820,
112,109,129,
138,104,14000,4500000
9,134,327,
149,133,888,4400000
5,85,19000,4400000
39,87,898,4400000
39,130,85,4400000
2,199,662,
29,103,2000,4500000
111,112,2000,3000000
149,89,1000,
90,124,309,
149,101,446,6000000
12,133,464,150000000
64,112,29,4500000
256,111,20000,150000000
57,98,755,4200000
8,60,1000,
50,93,471,
232,104,114,4200000
63,112,1000,2300000
75,94,110,4000000
274,90,648,4000000
284,96,125,114000
265,101,19000,4000000
154,93,11000,4000000
44,152,232,4000000
314,150,23000,140000000
153,112,13000,4000000
256,95,584,8500000
123,111,12000,3600000
46,86,707,4500000
203,108,431,4000000
34,105,597,4000000
149,91,3000,4000000
20,105,746,4000000
9,60,1000,
323,106,14000,3500000
172,93,355,4000000
111,172,773,4000000
74,109,847,
161,93,45000,5000000
548,165,230,4000000
177,96,19000,4000000
230,119,1000,100000000
27,93,522,4000000
22,82,939,6000000
157,101,658,3200000
70,120,862,4000000
125,81,49000,4000000
10,82,584,
160,107,798,25000000
300,105,382,3400000
69,86,986,4000000
143,110,16000,4000000
50,127,204,4000000
46,90,812,
51,110,4000,4000000
163,104,769,4000000
52,96,960,8000000
40,110,721,4000000
50,84,925,4000000
45,94,834,4000000
121,93,497,4000000
114,96,730,4000000
270,88,1000,4000000
116,101,420,4000000
115,102,48,4000000
15,87,721,4000000
122,83,947,
35,103,1000,4500000
41,99,979,4000000
31,106,2000,4000000
332,115,690,
232,117,12000,4000000
43,99,419,3000000
68,102,10000,1300000
51,85,945,1500000
33,86,759,4000000
26,120,623,4000000
109,106,617,9500000
34,103,736,14000000
31,93,578,2500000
141,112,18000,16000000
19,100,4000,4000000
64,113,331,4000000
215,98,530,650000
5,23,254,
12,92,18000,4000000
70,106,585,4000000
46,119,3000,4000000
135,99,762,4000000
38,90,686,
8,120,114,4000000
34,168,713,4000000
36,93,223,4000000
35,96,431,3950000
6,103,650,4000000
39,93,763,4000000
182,84,399,
14,81,166,4000000
3,84,637,4000000
3,94,544,4000000
1,141,11000,100000000
62,120,559,2000000
161,121,3000,3800000
157,226,503,3977000
31,104,507,4000000
53,152,773,3800000
1,92,881,
21,107,277,3768785
246,97,414,
42,115,119,8000000
78,95,963,3500000
41,102,89,3700000
61,99,117,3800000
112,109,3000,2000000
349,113,14000,30000000
55,25,443,
88,113,183,3600000
122,91,1000,3500000
134,88,628,3500000
11,88,2000,5000000
20,97,826,3500000
28,97,851,3500000
22,42,912,
95,85,3000,3500000
31,121,575,3716946
79,134,255,3500000
25,149,157,3500000
22,121,606,3500000
110,116,195,2000000
425,92,648,3500000
19,93,625,3500000
43,96,385,3500000
127,105,3000,3500000
262,129,827,2000000
184,87,1000,3500000
33,94,430,
252,37,634,3600000
31,81,560,3000000
139,97,984,1000000
39,106,174,3500000
337,103,29,19900000
30,101,827,3500000
265,102,622,68000000
50,98,11000,3500000
50,91,4000,3500000
9,105,426,3500000
15,98,368,3500000
5,104,922,1000000
1,45,773,
4,96,708,3500000
44,148,2000,3500000
6,100,21,3500000
17,86,603,3500000
7,92,2000,3500000
9,88,795,3500000
3,90,1000,3440000
55,94,1000,3400000
169,80,11000,8000000
