director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,movie_title,num_voted_users,cast_total_facebook_likes,plot_keywords,language,country,budget,movie_facebook_likes
Darren Aronofsky,234,102,0,167,Mark Margolis,Drama,Requiem for a Dream ,573541,2235,addiction|diet pill|drug addiction|fast motion scene|heroin,English,USA,4500000,38000
Walter Lang,17,100,9,37,Jeanne Crain,Musical|Romance,State Fair ,2756,496,fair|farm|iowa|newspaper|state fair,English,USA,,501
Carlos Saura,35,115,98,4,Juan Luis Galiardo,Drama|Musical,Tango ,2412,371,dancer|director|love|musical filmmaking|tango,Spanish,Spain,700000000,539
Oliver Stone,48,122,0,491,John Savage,Drama|History|Thriller|War,Salvador ,15175,2762,1980s|el salvador|political thriller|reagan administration|war journalism,English,UK,4500000,1000
Andrew Erwin,49,98,10,402,Sarah Drew,Comedy,Moms' Night Out ,10483,2705,blogger|pastor|reference to the shawshank redemption|taser|tasered,English,USA,5000000,0
Richard Kelly,283,133,219,701,Mary McDonnell,Drama|Sci-Fi|Thriller,Donnie Darko ,580999,17040,1980s|death|insanity|parallel universe|time travel,English,USA,4500000,33000
Beto Gómez,16,105,5,122,Gerardo Taracena,Adventure|Comedy|Western,Saving Private Perez ,1592,793,conflicted hero|flashback|mission|rescue|rescue mission,Spanish,Mexico,,0
Mike van Diem,54,122,4,3,Fedja van Huêt,Crime|Drama|Mystery,Character ,9171,48,bailiff|lawyer|office|police|school,Dutch,Netherlands,4500000,689
Jonas Åkerlund,92,106,68,391,Nicholas Gonzalez,Comedy|Crime|Drama,Spun ,32357,2110,male nudity|meth|meth lab|nudity|speed freak,English,USA,2000000,3000
Todd Solondz,159,98,377,844,Shirley Henderson,Comedy|Drama,Life During Wartime ,5465,5041,forgiveness|ghost|new jersey|pedophile|three sisters,English,USA,,0
Chan-wook Park,202,112,0,38,Yeong-ae Lee,Crime|Drama,Lady Vengeance ,53508,907,cake|christian|lesbian sex|oral sex|pregnant schoolgirl,Korean,South Korea,4200000000,4000
René Féret,50,120,0,9,Clovis Fouin,Biography|Drama|Music|Romance,Mozart's Sister ,1213,53,mozart|musical prodigy|royal court|singer|talent,French,France,,0
Barry Skolnick,54,99,0,798,Jason Flemyng,Comedy|Drama|Sport,Mean Machine ,29463,29325,inmate|prison|prison guard|soccer|soccer star,English,UK,2500000,0
Johnnie To,98,110,143,76,Anthony Chau-Sang Wong,Action|Crime|Thriller,Exiled ,6919,398,baby|friendship|macau|practical joke|selfie,Cantonese,Hong Kong,35000000,528
Mateo Gil,92,102,3,327,Dominique McElligott,Action|Adventure|Western,Blackthorn ,7390,1950,assumed identity|bolivia|butch cassidy|doctor|thief,English,Spain,,0
Lukas Moodysson,112,109,187,0,Artyom Bogucharskiy,Crime|Drama,Lilya 4-Ever ,35464,131,abandoned by mother|poverty|sex trade|teenage prostitution|unpaid bill,Russian,Sweden,,0
