num_critic_for_reviews,actor_3_facebook_likes,gross,genres,actor_1_name,actor_3_name,plot_keywords,content_rating,title_year,imdb_score,aspect_ratio
177,227,229074524,Action|Adventure|Sci-Fi,Ariana Richards,Vanessa Lee Chester,capture|dinosaur|island|jurassic|jurassic park,PG-13,1997,6.5,1.85
181,179,193136719,Adventure|Animation|Comedy|Family,Jada Pinkett Smith,Andy Richter,escape|jungle|lemur|madagascar|zoo,PG,2005,6.9,1.85
372,18,35286428,Drama|Sci-Fi|Thriller,Charlie Hunnam,Rita Davies,chaos|england|long take|survival|violence,R,2006,7.9,1.85
290,505,157299717,Action|Adventure|Sci-Fi,Hugh Jackman,Bruce Davison,first part|mutant|professor|superhero|superhero team,PG-13,2000,7.4,2.35
316,988,134568845,Action|Crime|Fantasy|Thriller,Angelina Jolie Pitt,Common,assassin|bobble head doll|femme fatale|rejuvenation|strong female lead,R,2008,6.7,2.35
122,904,134006721,Action|Adventure|Thriller,Nicolas Cage,Bokeem Woodbine,alcatraz|fbi|general|hostage|rocket,R,1996,7.4,2.35
164,241,195329763,Action|Adventure|Animation|Comedy|Family|Fantasy,Denis Leary,Jay Leno,flood|mammoth|no opening credits|squirrel|valley,PG,2006,6.9,1.85
147,328,120776832,Comedy|Romance,Adam Sandler,Allen Covert,dream|hawaii|hawaiian shirt|short term memory loss|veterinarian,PG-13,2004,6.8,2.35
219,260,118823091,Comedy|Drama|Family|Music|Musical|Romance,Jerry Stiller,Paul Dooley,audition|best friend|dance|friend|tv dance show,PG,2007,6.7,2.35
167,394,41814863,Horror|Mystery|Thriller,James D'Arcy,Izabella Scorupco,archeologist|church|excavation|faith|relic,R,2004,5.1,2.0
70,692,97360069,Action|Adventure|Comedy|Family|Sci-Fi,Matthew Broderick,Rupert Everett,actor playing multiple roles|claw|gadget|inspector|police,PG,1999,4.1,1.85
384,963,117698894,Crime|Mystery|Thriller,Morgan Freeman,Michael Kelly,bank|fbi|heist|interpol|magician,PG-13,2013,7.3,2.35
179,4000,162001186,Comedy,Steve Buscemi,Salma Hayek,basketball|coach|daughter|high school|high school basketball,PG-13,2010,6.0,1.85
151,232,77032279,Comedy|Drama,Tom Hanks,Barry Shabaka Henley,airport|construction site|fish out of water|flight attendant|man without a country,PG-13,2004,7.3,1.85
