director_facebook_likes,num_voted_users,aspect_ratio
143,92781,2.35
49,12519,2.35
956,6782,1.85
176,9334,2.35
12,7277,1.85
133,2427,1.85
11,16444,2.35
109,524,2.35
608,17933,2.35
752,3174,2.35
333,11077,1.85
2,6069,2.35
168,11704,1.85
50,12053,1.85
10,9928,1.85
0,60460,1.85
0,259837,1.85
473,167089,2.35
143,123390,1.85
162,36542,1.85
38,28159,1.85
,12590,1.33
133,44795,1.85
454,185845,2.35
148,5602,1.85
,271,
101,248354,1.85
448,64556,2.35
143,85022,1.85
272,98348,1.85
26,912,1.78
209,74351,1.85
0,551363,2.35
294,182910,2.35
0,790926,1.85
49,47876,1.85
212,36108,1.85
36,6276,1.85
8,116625,1.37
58,42614,1.85
51,72803,1.85
38,16979,2.35
19,222099,1.85
13,28805,1.85
0,37611,1.85
174,12983,2.35
19,357579,1.85
13,9285,1.85
17,6528,2.35
84,19547,1.85
6,24834,1.85
15,7984,1.85
5,31371,1.85
12,12676,2.35
0,220475,1.85
232,289508,2.35
0,254404,1.85
7,4339,1.85
13,15664,1.85
134,21406,1.85
16000,132149,2.35
35,19707,2.35
18,1520,
412,161288,2.35
799,20033,1.85
0,21212,1.66
26,16059,1.85
76,335,
7,3116,1.85
15,27675,1.85
2,25541,2.35
16,21530,2.35
24,60407,2.35
107,63084,1.85
37,18442,2.35
80,28573,2.35
83,4767,2.35
460,56264,1.85
150,1595,1.85
260,88037,2.35
0,28068,1.85
139,351274,1.85
29,922,1.85
41,14143,1.85
187,5254,2.35
83,7199,1.85
115,82331,2.35
11000,31414,2.35
122,88241,1.85
32,90,
0,5663,2.35
43,77305,1.85
218,16281,2.35
18000,26493,2.35
97,14354,1.85
12000,163492,2.35
28,9957,2.35
164,75675,2.35
187,28483,2.35
261,14193,1.85
10,24012,2.35
19,3256,1.37
44,114762,1.85
39,132386,1.85
3000,79330,2.35
44,5648,2.35
220,6921,1.85
34,13371,1.85
20,165792,1.85
60,14757,2.35
383,61753,1.33
16,31943,2.35
50,2676,2.35
607,284252,1.37
14000,412454,2.35
80,315549,1.85
2,12029,1.85
23,39798,1.85
167,34579,2.35
167,22147,1.85
120,91414,2.35
293,216486,1.85
