num_critic_for_reviews,director_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,imdb_score
106,43,Shirley Knight,308,24044532,Drama|Romance,Sonia Braga,Angel Eyes ,1440,Kari Matchett,0,apartment|fate|gun|love|mysterious man,5.6
55,11,Ken Marino,854,22770864,Comedy|Drama,Jim Belushi,Joe Somebody ,2765,Kelly Lynch,1,bully|co worker|divorce|fight|karate,5.5
172,2000,Frank Langella,40000,18653746,Mystery|Thriller,Johnny Depp,The Ninth Gate ,42344,Lena Olin,1,bare butt|gnosticism|lucifer|rare book|sex,6.7
47,150,Paul Guilfoyle,24000,17305211,Crime|Drama|Mystery|Thriller,J.K. Simmons,Extreme Measures ,24547,Bill Nunn,0,cartoon on tv|doctor|emergency room|hospital|nudity,6.1
107,65,Dagmara Dominczyk,628,16991902,Drama|Music,Beth Grant,Rock Star ,1265,Matthew Glave,0,cover band|fired from a job|heavy metal|rock star|tribute band,6.2
323,304,Gabourey Sidibe,940,47536959,Drama,Mo'Nique,Precious ,3277,Mariah Carey,0,abuse|african american lesbian|lesbian|lesbian couple|school,7.3
37,0,Jason Marsden,12000,10300000,Adventure|Drama,Jeff Bridges,White Squall ,16237,Ethan Embry,4,acrophobia|jamaica|male bonding|prostitute|tragedy,6.6
297,0,Richard Masur,957,13782838,Horror|Mystery|Sci-Fi,Wilford Brimley,The Thing ,1757,David Clennon,0,alien creature|alien life form|antarctica|isolation|paranoia,8.2
302,123,Nolan Gerard Funk,14000,41997790,Action|Sci-Fi|Thriller,Vin Diesel,Riddick ,17551,Bokeem Woodbine,0,alien|left for dead|mercenary|survival|vomiting,6.4
38,11,Claudia Stedelin,37,6482195,Crime|Mystery|Thriller,Gregory Scott Cummins,Switchback ,74,Ted Markland,1,deputy|fbi agent|knife held to throat|serial killer|sheriff,6.4
31,49,Usher Raymond,1000,623374,Action|Adventure|Drama|Thriller|Western,Tom Skerritt,Texas Rangers ,2120,Leonor Varela,2,army|mexican|orphan|texas|texas ranger,5.2
118,27,Toby Jones,13000,7871693,Adventure|Family|Fantasy|Sci-Fi,Bill Murray,City of Ember ,15494,Harry Treadaway,0,box|food|mayor|pipeworks|scientist,6.5
546,0,Jeffrey W. Jenkins,378,16377274,Drama,Mike Howard,The Master ,427,Bruce Goodchild,31,drifter|past life regression|psychological testing|right hand man|scientology,7.1
21,2,Ryan Cartwright,4000,,Adventure|Comedy|History|Romance,Hayden Christensen,Virgin Territory ,4900,David Walliams,2,breasts|nude nun|plague|russian nobleman|two word title,4.8
86,39,Nicole Beharie,2000,9589875,Biography|Drama|Sport,Dennis Quaid,The Express ,5162,Charles S. Dutton,0,african american|coach|football movie|nonlinear timeline|syracuse university,7.3
194,5,Maggie Siff,17000,34912982,Action|Adventure|Sci-Fi|Thriller,Chloë Grace Moretz,The 5th Wave ,19974,Nick Robinson,0,alien|attack|based on novel|based on young adult novel|fear,5.2
437,0,Phylicia Rashad,13000,109712885,Drama|Sport,Sylvester Stallone,Creed ,15106,Graham McTavish,1,boxing|boxing match|fight|montage|philadelphia,7.7
378,0,Jon Hamm,10000,92173235,Crime|Drama|Thriller,Jeremy Renner,The Town ,14296,Owen Burke,7,bank manager|bank robbery|criminal gang|heist|prison,7.6
170,52,Dennis Quaid,10000,41102171,Comedy|Drama|Romance,Anna Kendrick,What to Expect When You're Expecting ,13396,Thomas Lennon,12,baby|expecting twins|hawaiian shirt|photographer|pregnancy,5.7
341,1000,Brad Pitt,24000,60338891,Comedy|Drama,J.K. Simmons,Burn After Reading ,36093,Kevin Sussman,0,cia|divorce|embassy|gym|memoir,7.0
139,3,Anthony Simcoe,18000,48006503,Adventure|Comedy|Family|Fantasy,Gerard Butler,Nim's Island ,18178,Christopher James Baker,3,author|girl|island|reading|scientist,6.0
393,2000,Olivia Wilde,26000,26903709,Action|Biography|Drama|Sport,Chris Hemsworth,Rush ,37206,Alexandra Maria Lara,0,1970s|female rear nudity|formula 1|rivalry|sex with a nurse,8.1
224,0,Neil Flynn,786,22450975,Drama,Patton Oswalt,Magnolia ,1906,Jim Meskimen,1,abusive father|coincidence|fictional game show|fictional quiz show|multiple storyline,8.0
203,0,Tracy Morgan,13000,44867349,Action|Comedy|Crime,Bruce Willis,Cop Out ,14483,Kevin Pollak,2,baseball card|detective|partner|thief|wedding,5.6
148,11,Damon Wayans Jr.,2000,46813366,Comedy|Romance,Alison Brie,How to Be Single ,4882,Nicholas Braun,4,motor scooter|new york city|newborn baby|scooter|single,6.1
131,188,Michael Roark,11000,72279690,Drama|Family,Morgan Freeman,Dolphin Tale ,14209,Harry Connick Jr.,5,boy|dolphin|prosthetics|tail|trap,6.9
350,308,Taylor Lautner,17000,191449475,Drama|Fantasy|Romance,Kristen Stewart,Twilight ,44060,Anna Kendrick,1,blood|high school|love|school|vampire,5.2
129,415,Laura Harring,18000,71026631,Crime|Drama|Thriller,Denzel Washington,John Q ,20970,Anne Heche,1,health care|heart transplant|hospital|hostage|insurance,7.0
40,10,Dave Chappelle,789,68208190,Action|Comedy|Crime|Thriller,Peter Greene,Blue Streak ,2986,Tamala Jones,1,detective|diamond|jewel|police|thief,6.3
289,43,Molly C. Quinn,740,150368971,Comedy|Crime,Laura-Leigh,We're the Millers ,3425,Thomas Lennon,4,fake family|male frontal nudity|marijuana|mexico|stripper,7.0
14,35,Fedor Bondarchuk,463,,Action|Adventure|Sci-Fi,Yuliya Snigir,Obitaemyy ostrov ,599,Aleksey Serebryakov,0,22nd century|first part|friend|guard|space opera,5.3
72,84,M.C. Gainey,551,50129186,Action|Crime|Drama|Mystery|Thriller,Kathleen Quinlan,Breakdown ,1874,J.T. Walsh,0,car breakdown|diner|jeep|paranoia|violence,6.9
89,883,Klaus Maria Brandauer,180,55500000,Action|Adventure|Thriller,Bernie Casey,Never Say Never Again ,762,Barbara Carrera,3,british|character says now that you're on the case i hope we're going to have some gratuitous sex and violence|cruise missile|missile|nuclear warhead,6.2
265,38,Collette Wolfe,496,50213619,Comedy|Sci-Fi,Charlie McDermott,Hot Tub Time Machine ,1272,Crystal Lowe,8,cheating wife|drug reference|maintenance man|male vomiting|promiscuous woman,6.4
54,188,Taylor Blackwell,11000,42019483,Drama|Family,Morgan Freeman,Dolphin Tale 2 ,13904,Harry Connick Jr.,0,dolphin|latex gloves|medical scrubs|purple gloves|turtle,6.4
