language,budget,imdb_score
English,20000000,7.1
English,21000000,5.8
English,21000000,6.7
English,35000000,5.8
English,31000000,6.8
English,18000000,8.5
English,18000000,6.6
English,19400870,7.7
English,20000000,4.7
English,28000000,6.4
English,33000000,5.5
English,19000000,8.6
English,20000000,7.0
English,20000000,7.1
English,20000000,5.7
English,20000000,3.7
English,20000000,7.5
English,32000000,4.6
English,20000000,4.9
English,20000000,6.9
English,35000000,7.1
English,18000000,5.8
English,30000000,7.0
English,37000000,5.4
English,20000000,7.3
English,20000000,7.1
English,20000000,5.8
English,20000000,8.1
English,20000000,5.7
English,20000000,4.4
English,20000000,7.9
English,20000000,7.6
English,20000000,4.8
English,1800000,7.8
English,20000000,6.7
English,20000000,2.7
English,20000000,5.8
English,20000000,7.5
English,20000000,5.4
English,20000000,4.1
English,20000000,5.9
English,30000000,6.3
English,,7.0
English,20000000,6.8
English,,3.5
English,20000000,2.3
English,20000000,6.9
English,20000000,8.1
English,22000000,6.1
English,20000000,5.0
English,20000000,5.5
English,20000000,6.2
English,20000000,6.2
English,20000000,5.9
English,20000000,6.3
English,20000000,6.7
English,20000000,3.5
English,25000000,7.5
English,19800000,6.6
English,20000000,7.5
English,30000000,7.2
English,11000000,4.8
English,20000000,6.6
English,20000000,3.5
English,20000000,6.7
English,20000000,7.6
English,20000000,6.3
English,35000000,5.5
English,19000000,6.3
English,20000000,6.5
English,,5.6
English,20000000,6.9
English,20000000,7.6
English,27000000,3.9
English,20000000,6.1
English,20000000,7.3
English,20000000,8.3
English,20000000,5.8
English,20000000,6.8
English,20000000,7.0
English,20000000,5.9
English,20000000,6.5
English,20000000,6.4
English,20000000,5.8
English,9000000,5.1
English,20000000,6.8
English,20000000,5.3
English,20000000,5.3
English,,6.4
English,40000000,4.9
English,20000000,6.8
English,20000000,7.1
English,,6.8
English,20000000,6.1
Japanese,,7.0
English,806947,8.5
English,40000000,5.9
English,20000000,6.3
English,20000000,5.9
English,20000000,5.4
English,20000000,7.0
English,30000000,6.9
English,20000000,7.5
English,15000000,8.2
English,20000000,5.9
English,20000000,5.0
English,19000000,7.3
English,20000000,6.4
English,20000000,6.6
Cantonese,20000000,7.8
English,,6.7
English,35000000,4.0
Dari,20000000,7.6
English,20000000,7.7
English,20000000,5.8
English,37000000,5.2
English,20000000,5.6
English,20000000,5.3
English,,7.4
English,20000000,6.6
English,19500000,6.2
English,25000000,1.9
English,27000000,5.7
English,20000000,6.6
English,20000000,6.0
English,20000000,6.1
English,40000000,4.8
English,20000000,6.2
English,20000000,7.5
English,20000000,6.3
English,30000000,7.1
English,22000000,6.6
English,20000000,6.1
English,20000000,6.7
English,22000000,5.6
English,20000000,7.2
English,20000000,4.3
English,20000000,6.4
English,20000000,7.1
English,20000000,6.3
English,20000000,7.4
English,20000000,6.1
English,20000000,6.6
English,20000000,6.0
English,20000000,6.8
English,9000000,7.4
English,20000000,6.8
English,21000000,7.2
English,20000000,1.9
English,33000000,5.5
English,20000000,4.5
English,20000000,6.3
English,20000000,7.0
English,20000000,6.7
English,20000000,2.8
English,20000000,5.0
English,,7.5
English,12000000,4.3
English,20000000,5.6
English,22000000,6.2
English,20000000,5.3
English,10000000,7.4
English,20000000,7.4
English,15000000,6.5
English,8700000,7.1
English,20000000,7.2
English,20000000,2.3
English,20000000,6.4
English,20000000,6.1
English,20000000,7.0
English,20000000,6.5
English,20000000,7.0
English,20000000,7.0
English,20000000,4.9
English,20000000,6.9
English,21000000,7.5
Japanese,2400000000,8.4
French,20000000,6.9
English,20000000,4.5
English,2000000,7.4
English,20000000,7.0
English,20000000,2.8
English,20000000,7.5
English,40000000,7.1
English,24000000,6.4
English,20000000,6.7
English,10000000,5.3
Japanese,2127519898,6.9
English,20000000,6.2
English,,6.3
English,20000000,6.4
Cantonese,,6.5
French,140000000,6.0
English,20000000,5.1
English,22000000,5.5
English,,7.2
English,20000000,5.4
English,,5.7
English,13000,5.2
Mandarin,25000000,6.2
English,20000000,6.7
English,20000000,5.8
English,,7.0
English,20000000,4.8
English,20000000,7.2
English,20000000,5.6
English,27220000,6.4
Mandarin,19400000,7.5
German,20000000,7.4
English,22000000,8.0
English,20000000,5.7
English,19000000,6.8
English,20000000,5.9
English,15000000,7.2
English,20000000,5.5
English,19000000,8.4
English,19000000,8.5
English,19000000,5.6
English,13000000,4.1
English,27000000,5.0
English,19000000,6.1
English,18000000,5.4
English,15000000,7.1
English,,6.6
English,19000000,3.6
English,20000000,6.5
Japanese,19000000,8.6
Mandarin,,6.2
English,25000000,7.0
English,19000000,7.6
English,19000000,6.5
English,19000000,6.4
English,19000000,6.7
English,23000000,6.3
English,,6.4
English,19000000,5.7
English,19000000,6.3
Hebrew,,7.8
English,19000000,6.0
English,19000000,7.7
English,15000000,6.2
Chinese,,5.7
English,18500000,7.7
English,18500000,6.4
English,18000000,6.4
English,18000000,6.9
English,18000000,7.3
English,18000000,7.3
English,18000000,6.2
English,17000000,6.6
English,20000000,6.7
English,17000000,5.7
English,16000000,3.1
English,17000000,6.3
English,18000000,5.7
English,18000000,7.1
English,17000000,7.0
English,18000000,6.1
English,21000000,6.6
English,15000000,7.8
English,18000000,8.3
English,20000000,3.9
English,17000000,7.0
English,18000000,6.7
English,19800000,7.3
English,,7.5
English,18000000,6.3
English,18000000,7.8
English,18000000,7.3
English,15000000,7.6
English,25000000,5.3
English,18000000,7.9
English,18000000,5.3
English,1000000,6.8
English,18000000,7.1
English,18000000,7.2
English,18000000,5.8
English,18000000,5.8
English,18000000,8.3
English,18000000,5.6
English,18000000,6.8
English,18000000,5.0
English,18000000,7.6
English,18000000,6.7
English,18000000,6.7
English,17000000,5.7
English,18000000,5.2
English,18000000,7.5
English,30000000,7.2
English,18000000,5.3
English,18000000,6.5
