num_critic_for_reviews,actor_2_name,actor_1_name,movie_title,num_voted_users,facenumber_in_poster,movie_imdb_link,actor_2_facebook_likes,imdb_score,movie_facebook_likes
61,Sid Caesar,Jonathan Winters,"It's a Mad, Mad, Mad, Mad World ",29323,0,http://www.imdb.com/title/tt0057193/?ref_=fn_tt_tt_1,898,7.6,0
232,Lola Dueñas,Carmen Maura,Volver ,76681,1,http://www.imdb.com/title/tt0441909/?ref_=fn_tt_tt_1,114,7.6,0
62,Joe Flaherty,John Vernon,Heavy Metal ,23516,0,http://www.imdb.com/title/tt0082509/?ref_=fn_tt_tt_1,176,6.7,0
106,Michael Angarano,Jizelle Jade,Gentlemen Broncos ,9006,7,http://www.imdb.com/title/tt1161418/?ref_=fn_tt_tt_1,947,6.1,0
56,Jim Broadbent,Robert Downey Jr.,Richard III ,11612,3,http://www.imdb.com/title/tt0114279/?ref_=fn_tt_tt_1,1000,7.5,0
48,Michaela McManus,Scott Glenn,Into the Grizzly Maze ,4486,4,http://www.imdb.com/title/tt1694021/?ref_=fn_tt_tt_1,476,5.3,0
41,Steven Michael Quezada,Bárbara Mori,Kites ,9673,0,http://www.imdb.com/title/tt1198101/?ref_=fn_tt_tt_1,412,6.0,0
439,Kirsten Dunst,Alexander Skarsgård,Melancholia ,128729,1,http://www.imdb.com/title/tt1527186/?ref_=fn_tt_tt_1,4000,7.1,50000
54,Keisha Castle-Hughes,Noah Taylor,Red Dog ,13003,0,http://www.imdb.com/title/tt0803061/?ref_=fn_tt_tt_1,446,7.5,10000
50,Katrina Kaif,Shah Rukh Khan,Jab Tak Hai Jaan ,42296,4,http://www.imdb.com/title/tt2176013/?ref_=fn_tt_tt_1,3000,6.9,12000
392,Yaphet Kotto,Tom Skerritt,Alien ,563827,0,http://www.imdb.com/title/tt0078748/?ref_=fn_tt_tt_1,581,8.5,23000
277,Edwin Neal,Gunnar Hansen,The Texas Chain Saw Massacre ,96410,0,http://www.imdb.com/title/tt0072271/?ref_=fn_tt_tt_1,371,7.5,0
259,Scout Taylor-Compton,Kristen Stewart,The Runaways ,39260,2,http://www.imdb.com/title/tt1017451/?ref_=fn_tt_tt_1,908,6.6,0
66,Paul Michael Glaser,Topol,Fiddler on the Roof ,29839,0,http://www.imdb.com/title/tt0067093/?ref_=fn_tt_tt_1,343,8.0,0
