director_name,duration,actor_3_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,movie_title,plot_keywords,movie_imdb_link,content_rating,title_year,aspect_ratio
Woody Allen,124,563,11000,Comedy|Drama|Romance,Woody Allen,New York Stories ,12 year old|artist|hotel|three word title|written and directed by cast member,http://www.imdb.com/title/tt0097965/?ref_=fn_tt_tt_1,PG,1989,1.85
Steve Gomer,76,47,595,Adventure|Family,Trevor Morgan,Barney's Great Adventure ,apostrophe in title|critically bashed|hit on the head with a ball|punctuation in title|tyrannosaurus rex,http://www.imdb.com/title/tt0120598/?ref_=fn_tt_tt_1,G,1998,1.85
RZA,107,353,746,Action,Rick Yune,The Man with the Iron Fists ,blacksmith|box office flop|chop socky|critically bashed|village,http://www.imdb.com/title/tt1258972/?ref_=fn_tt_tt_1,R,2012,2.35
Dean Parisot,91,629,925,Comedy|Drama|Romance,Catherine O'Hara,Home Fries ,baby|infidelity|pilot|pregnant|waitress,http://www.imdb.com/title/tt0119304/?ref_=fn_tt_tt_1,PG-13,1998,1.85
Mark Piznarski,96,670,989,Drama|Romance,Bruce Greenwood,Here on Earth ,diner|love|private school|school|small town,http://www.imdb.com/title/tt0195778/?ref_=fn_tt_tt_1,PG-13,2000,1.85
Terry Gilliam,142,1000,22000,Drama|Sci-Fi,Robert De Niro,Brazil ,black comedy|bureaucracy|dream|terrorist|wrongful arrest,http://www.imdb.com/title/tt0088846/?ref_=fn_tt_tt_1,R,1985,1.85
Sean McNamara,103,782,1000,Family|Music|Romance,Oliver James,Raise Your Voice ,music school|scholarship|small town|stage fright|three word title,http://www.imdb.com/title/tt0361696/?ref_=fn_tt_tt_1,PG,2004,2.35
,60,186,443,Drama|Fantasy|Mystery|Sci-Fi,David Ogden Stiers,The Dead Zone             ,psychic|psychic power|psychometry|spin off|supernatural power,http://www.imdb.com/title/tt0281432/?ref_=fn_tt_tt_1,TV-14,,
Joel Coen,117,12000,22000,Comedy|Crime,Philip Seymour Hoffman,The Big Lebowski ,death|drug|nihilism|rug|white russian,http://www.imdb.com/title/tt0118715/?ref_=fn_tt_tt_1,R,1998,1.85
Craig Brewer,116,539,3000,Drama|Music,Justin Timberlake,Black Snake Moan ,breasts|nipples visible through clothing|nudity|rear entry sex|white panties,http://www.imdb.com/title/tt0462200/?ref_=fn_tt_tt_1,R,2006,2.35
Ron Shelton,118,274,556,Crime|Drama|Romance|Thriller,Khandi Alexander,Dark Blue ,corrupt|criminal|investigation|lapd|police,http://www.imdb.com/title/tt0279331/?ref_=fn_tt_tt_1,R,2002,2.35
Michael Winterbottom,108,254,11000,Biography|Drama|History|Thriller|War,Angelina Jolie Pitt,A Mighty Heart ,fbi|journalist|missing|pakistan|reporter,http://www.imdb.com/title/tt0829459/?ref_=fn_tt_tt_1,R,2007,2.35
David Raynr,94,612,11000,Comedy|Drama|Romance,James Franco,Whatever It Takes ,male objectification|manipulative behavior|modern day adaptation|narcissistic woman|promiscuous woman,http://www.imdb.com/title/tt0202402/?ref_=fn_tt_tt_1,PG-13,2000,1.85
Mort Nathan,97,461,890,Comedy,Vivica A. Fox,Boat Trip ,gay|hot air balloon|rejecting a marriage proposal|talking to a dog|vomiting on someone,http://www.imdb.com/title/tt0285462/?ref_=fn_tt_tt_1,R,2002,1.85
Oliver Parker,97,692,14000,Comedy|Drama|Romance,Colin Firth,The Importance of Being Earnest ,comedy of manners|false identity|farce|love|period drama,http://www.imdb.com/title/tt0278500/?ref_=fn_tt_tt_1,PG,2002,2.35
Dan Curtis,99,224,1000,Fantasy|Romance,Jennifer Jason Leigh,The Love Letter ,antique|desk|letter|love|time travel,http://www.imdb.com/title/tt0140340/?ref_=fn_tt_tt_1,Unrated,1998,1.33
Wil Shriner,91,596,8000,Adventure|Comedy|Family,Logan Lerman,Hoot ,fight|florida|montana|owl|school,http://www.imdb.com/title/tt0453494/?ref_=fn_tt_tt_1,PG,2006,1.85
Martin McDonagh,107,39,65,Comedy|Crime|Drama,Elizabeth Berrington,In Bruges ,bruges|bullet|hope|irish|tourist,http://www.imdb.com/title/tt0780536/?ref_=fn_tt_tt_1,R,2008,2.35
Tina Gordon Chism,95,426,931,Comedy|Romance,Tyler James Williams,Peeples ,african american,http://www.imdb.com/title/tt1699755/?ref_=fn_tt_tt_1,PG-13,2013,2.35
Peter Cattaneo,102,1000,15000,Comedy|Music,Emma Stone,The Rocker ,20 years later|drummer|hdtv|rock band|rock star,http://www.imdb.com/title/tt1031969/?ref_=fn_tt_tt_1,PG-13,2008,1.85
Vicky Jenson,88,360,24000,Comedy|Romance,J.K. Simmons,Post Grad ,graduation|graduation speech|title directed by female|tv studio|unemployment,http://www.imdb.com/title/tt1142433/?ref_=fn_tt_tt_1,PG-13,2009,1.85
Gus Van Sant,106,363,13000,Drama,Matt Damon,Promised Land ,corporate greed|corporation|natural gas|salesman|small town,http://www.imdb.com/title/tt2091473/?ref_=fn_tt_tt_1,R,2012,1.85
Woody Allen,92,386,860,Comedy|Romance,Larry David,Whatever Works ,atheist|limp|quantum mechanics|religion|runaway,http://www.imdb.com/title/tt1178663/?ref_=fn_tt_tt_1,PG-13,2009,1.85
Mary Lambert,105,275,477,Drama|Mystery|Thriller,Matthew Settle,The In Crowd ,clique|country club|female protagonist|lip gloss|title directed by female,http://www.imdb.com/title/tt0163676/?ref_=fn_tt_tt_1,PG-13,2000,1.85
Tommy Lee Jones,107,289,572,Adventure|Crime|Drama|Mystery|Western,Levon Helm,Three Burials ,cemetery|friend|journey|mexico|promise,http://www.imdb.com/title/tt0419294/?ref_=fn_tt_tt_1,R,2005,2.35
Peter Kassovitz,120,693,49000,Drama|War,Robin Williams,Jakob the Liar ,german|ghetto|hope|nazi|radio,http://www.imdb.com/title/tt0120716/?ref_=fn_tt_tt_1,PG-13,1999,1.85
Shane Black,103,611,21000,Comedy|Crime|Mystery,Robert Downey Jr.,Kiss Kiss Bang Bang ,actor|detective sergeant|hotel|nightclub|thief,http://www.imdb.com/title/tt0373469/?ref_=fn_tt_tt_1,R,2005,2.35
Rodman Flender,92,577,890,Comedy|Fantasy|Horror|Thriller,Vivica A. Fox,Idle Hands ,breasts|female frontal nudity|nude woman murdered|slow motion scene|trailer home,http://www.imdb.com/title/tt0138510/?ref_=fn_tt_tt_1,R,1999,1.85
David Lynch,147,669,6000,Drama|Mystery|Thriller,Naomi Watts,Mulholland Drive ,amnesia|car accident|female protagonist|lesbian sex|loss of memory,http://www.imdb.com/title/tt0166924/?ref_=fn_tt_tt_1,R,2001,1.85
Katja von Garnier,98,220,837,Drama|Fantasy|Horror|Romance,Olivier Martinez,Blood and Chocolate ,colorado|love|murder|rocky mountains|werewolf,http://www.imdb.com/title/tt0397044/?ref_=fn_tt_tt_1,PG-13,2007,2.35
Woody Allen,98,557,12000,Comedy|Drama|Romance,Anthony Hopkins,You Will Meet a Tall Dark Stranger ,call girl|charlatan|fortune teller|manuscript|writer,http://www.imdb.com/title/tt1182350/?ref_=fn_tt_tt_1,R,2010,1.85
Mark Romanek,103,844,10000,Drama|Romance|Sci-Fi,Andrew Garfield,Never Let Me Go ,boarding school|childhood|love|love triangle|organ donation,http://www.imdb.com/title/tt1334260/?ref_=fn_tt_tt_1,R,2010,2.35
,286,527,857,Drama|History|Thriller,Anna Silk,The Company             ,cia|mole|revolution|spy|ussr,http://www.imdb.com/title/tt0488352/?ref_=fn_tt_tt_1,,,1.78
Brad Anderson,111,25,918,Crime|Drama|Mystery|Thriller,Thomas Kretschmann,Transsiberian ,35 mm digital camera|drugs|murder|train|travel,http://www.imdb.com/title/tt0800241/?ref_=fn_tt_tt_1,R,2008,2.35
Michael Chapman,98,90,876,Adventure|Drama|Fantasy,Curtis Armstrong,The Clan of the Cave Bear ,cave bear|cro magnon|neanderthal|survival|tradition,http://www.imdb.com/title/tt0090848/?ref_=fn_tt_tt_1,R,1986,2.35
Antonio Banderas,111,617,783,Comedy|Crime|Drama,Meat Loaf,Crazy in Alabama ,abusive husband|alabama|boy|dream|sheriff,http://www.imdb.com/title/tt0142201/?ref_=fn_tt_tt_1,PG-13,1999,2.35
Michael Haneke,111,287,6000,Crime|Drama|Horror|Thriller,Naomi Watts,Funny Games ,breaking the fourth wall|looking at the camera|remake|serial killer|violence,http://www.imdb.com/title/tt0808279/?ref_=fn_tt_tt_1,R,2007,1.85
Khalil Sullins,100,46,192,Drama|Sci-Fi|Thriller,Thomas Stroppel,Listening ,divorce papers|fainting|mind control|playground|technology,http://www.imdb.com/title/tt3153582/?ref_=fn_tt_tt_1,,2014,2.35
Atom Egoyan,116,71,5000,Drama|Thriller,Bob Hoskins,Felicia's Journey ,caterer|catering|chef|friend|lawn mower,http://www.imdb.com/title/tt0165773/?ref_=fn_tt_tt_1,PG-13,1999,2.35
Fritz Lang,145,18,136,Drama|Sci-Fi,Brigitte Helm,Metropolis ,art deco|bible quote|dance|silent film|worker,http://www.imdb.com/title/tt0017136/?ref_=fn_tt_tt_1,Not Rated,1927,1.33
Pierre Morel,84,58,510,Action|Crime|Thriller,David Belle,District B13 ,bomb|gang|police|sister|undercover cop,http://www.imdb.com/title/tt0414852/?ref_=fn_tt_tt_1,R,2004,2.35
Gary Fleder,115,642,12000,Crime|Drama,Steve Buscemi,Things to Do in Denver When You're Dead ,death|finger gun|video message|what happened to epilogue|wheelchair,http://www.imdb.com/title/tt0114660/?ref_=fn_tt_tt_1,R,1995,1.85
Hsiao-Hsien Hou,105,56,1000,Action|Drama,Qi Shu,The Assassin ,black magic|china|love|refusal to kill|wuxia,http://www.imdb.com/title/tt3508840/?ref_=fn_tt_tt_1,Not Rated,2015,1.37
Gregor Jordan,98,730,936,Comedy|Crime|Drama|Thriller|War,Dean Stockwell,Buffalo Soldiers ,berlin wall|germany|murder|soldier|specialist,http://www.imdb.com/title/tt0252299/?ref_=fn_tt_tt_1,R,2001,2.35
Andrey Zvyagintsev,99,9,20,Drama|Mystery|Thriller,Konstantin Lavronenko,The Return ,boy|photograph|return|russian|wilderness,http://www.imdb.com/title/tt0376968/?ref_=fn_tt_tt_1,Unrated,2003,1.85
Tony Jaa,110,7,64,Action,Nirut Sirichanya,Ong-bak 2 ,cult film|elephant|jungle|martial arts|stylized violence,http://www.imdb.com/title/tt0785035/?ref_=fn_tt_tt_1,R,2008,2.35
Neil Marshall,97,570,13000,Action|Adventure|Drama|History|Thriller|War,Michael Fassbender,Centurion ,mushroom|mute|roman soldier|screaming|wood carving,http://www.imdb.com/title/tt1020558/?ref_=fn_tt_tt_1,R,2010,2.35
