director_name,actor_3_facebook_likes,actor_1_name,movie_title,plot_keywords
Rupert Wyatt,81,George Kennedy,The Gambler ,dog|gambler|gambling|gangster|professor
John Wells,8000,Benedict Cumberbatch,August: Osage County ,based on play|incestuous relationship|pedophilia|secret|teenage daughter
Tim Fywell,28,Connie Ray,Ice Princess ,championship|coach|harvard|physics|zamboni
Nigel Cole,165,Aimee Garcia,A Lot Like Love ,flight|hasselblad camera|los angeles california|love|medium format camera
Dexter Fletcher,141,Hugh Jackman,Eddie the Eagle ,1988 winter olympics|coach|ski jumper|winter|winter olympics
Spike Lee,3000,Denzel Washington,He Got Game ,basketball|basketball player|female nudity|porn actor in mainstream movie|prison
Jeremy Leven,977,Johnny Depp,Don Juan DeMarco ,don juan|mental institution|patient|psychiatrist|retirement
,3,Justin Fletcher,Shaun the Sheep             ,farmer|mischief|no dialog|sheep|sheepdog
Lasse Hallström,690,Channing Tatum,Dear John ,army|coin collector|love|surfboard|u.s. army
Sylvain White,619,Chris Evans,The Losers ,hacking|hijacking|martial arts|revenge|special forces
Troy Nixey,155,Bailee Madison,Don't Be Afraid of the Dark ,basement|creature|disappearance|interior designer|mansion
Philip G. Atwell,874,Jason Statham,War ,assassin|betrayal|fbi|fbi agent|yakuza
Paul Thomas Anderson,98,Adam Sandler,Punch-Drunk Love ,harmonium|love|phone sex|pudding|sister
Jeff Schaffer,360,Matt Damon,EuroTrip ,female frontal nudity|male frontal nudity|nudist|nudity|public nudity
Don Michael Paul,223,Claudia Christian,Half Past Dead ,alcatraz|fbi|gold|prison|undercover
Paul Feig,825,Tyler James Williams,Unaccompanied Minors ,airport|black comedy|blizzard|christmas|pennsylvania
James Bridges,418,Dianne Wiest,"Bright Lights, Big City ",estranged wife|fashion show|magazine|new york city|writer
Steve Barron,376,Martin Landau,The Adventures of Pinocchio ,based on novel|human becoming an animal|slow motion|transformation|young boy
Bill Paxton,58,Stephen Dillane,The Greatest Game Ever Played ,champion|golf tournament|golfer|nostalgia|orchestral music score
Richard Kelly,258,Frank Langella,The Box ,alien|library|moral dilemma|nosebleed|supernatural power
Carter Smith,49,Laura Ramsey,The Ruins ,bow and arrow|group of friends|horse|rifle|ruins
