num_critic_for_reviews,duration,actor_2_name,genres,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,num_user_for_reviews,language,content_rating,movie_facebook_likes
222,105,Michael Moore,Crime|Documentary|News,2327,Bernie Sanders,0,188,English,R,10000
27,225,Carroll Baker,Biography|Drama|History,1934,José Ferrer,6,100,English,G,1000
155,111,Michael Kelly,Crime|Drama|Mystery|Thriller,9941,Joe Cole,0,81,English,PG-13,0
111,88,Tony Cox,Comedy,2857,Ike Barinholtz,0,359,English,PG-13,0
107,88,Fred Ward,Action|Crime|Thriller,137712,Lorna Raver,6,110,English,PG-13,0
34,94,Peter Gallagher,Action|Comedy|Crime|Thriller,15183,Joanne Whalley,1,100,English,PG,0
151,117,Ari Graynor,Comedy|Romance,15713,Ed Begley Jr.,1,91,English,R,0
289,95,Vincent Regan,Action|Adventure|Sci-Fi|Thriller,1414,Jacky Ido,2,236,English,PG-13,10000
76,99,Ariel Gade,Comedy,1189,Sam Lerner,1,176,English,PG-13,713
150,96,Clifton Collins Jr.,Action|Crime|Sci-Fi|Thriller,30541,David Carradine,0,223,English,R,0
67,98,Chazz Palminteri,Comedy|Crime,4302,Dianne Wiest,4,86,English,R,979
36,123,Tiffany Dupont,Biography|Drama|History,908,Nimrat Kaur,0,177,English,PG,0
149,101,Tzi Ma,Drama|Mystery|Romance|Thriller|War,3431,Holmes Osborne,2,199,English,R,983
156,102,Hope Davis,Comedy|Drama,13156,Michael Rispoli,1,316,English,R,0
64,94,Wes Studi,Action|Crime|Drama|Sport,2880,Jon Seda,2,88,English,R,977
210,102,Dequina Moore,Comedy|Drama|Fantasy|Romance,500,Jordan Carlos,3,147,English,PG-13,0
113,108,Ashley Scott,Action|Crime|Thriller,2799,Nick Gomez,1,113,English,PG-13,0
390,116,Dylan Minnette,Drama|Fantasy|Horror|Mystery,20258,Kodi Smit-McPhee,0,366,English,R,25000
5,93,Dustin Nguyen,Action|Comedy|Family,1151,Don Stark,0,26,English,PG,444
248,102,Mia Farrow,Comedy,1778,Melonie Diaz,2,235,English,PG-13,0
137,103,Christopher Guest,Comedy|Drama|Music|War,5637,Sarah Solemani,1,180,English,R,0
214,115,Norman Reedus,Action|Crime|Drama|Thriller,27214,Clifton Collins Jr.,3,106,English,R,0
104,96,Lynn Cohen,Comedy,11867,Judy Davis,2,131,English,R,0
81,98,Oliver Platt,Comedy|Romance,4843,David Ramsey,2,121,English,PG-13,311
175,101,Omar Sy,Comedy|Drama,16926,Riccardo Scamarcio,1,129,English,R,25000
20,106,Demi Moore,Comedy|Crime,24887,James Russo,0,42,English,PG-13,855
69,101,Gaby Hoffmann,Comedy|Musical|Romance,1614,Jeff DeRocker,0,140,English,R,0
168,87,Ewen Bremner,Comedy,24324,Kris Marshall,0,199,English,R,0
166,111,Kelly Preston,Action|Crime|Thriller,3309,Edi Gathegi,0,299,English,R,0
160,99,James Frain,Adventure|Drama,23409,Brendan Sexton III,1,117,English,PG-13,10000
32,88,Vanessa Angel,Comedy|Family|Sci-Fi,1343,Peter Wingfield,3,129,English,PG,0
72,83,Susie Essman,Action|Comedy|Crime,1019,Gigi Rice,2,76,English,PG-13,676
53,91,Will Patton,Action|Comedy|Crime,2700,Cedric the Entertainer,3,26,English,PG-13,233
76,108,Nia Vardalos,Comedy|Crime|Music,2730,Dash Mihok,3,117,English,PG-13,924
15,154,Ricardo Montalban,Comedy|Drama|Music|Musical|Romance,2172,Ben Vereen,0,64,English,G,548
401,148,Katherine Waterston,Comedy|Crime|Drama|Mystery|Romance,707,Serena Scott Thomas,0,242,English,R,18000
31,77,Kylie Minogue,Adventure|Animation|Comedy|Family|Fantasy,2185,Jon Stewart,0,114,English,G,346
65,110,Caity Lotz,Drama|Music,3177,Laz Alonso,19,25,English,PG-13,0
26,42,Eric McCormack,Crime|Drama|Mystery|Thriller,2240,Scott Wolf,1,29,English,TV-14,0
45,83,Geoffrey Arend,Comedy|Fantasy,2907,Gary Coleman,2,205,English,PG-13,797
260,107,Demián Bichir,Action|Comedy|Crime|Thriller,2848,Marko Zaror,7,164,English,R,48000
129,100,Ty Olsson,Drama|Horror|Sci-Fi|Thriller,1267,Jackie Burroughs,0,213,English,PG-13,0
58,87,Ashley Scott,Adventure|Comedy,4218,Jeff Garlin,4,120,English,R,847
103,154,Dexter Fletcher,Biography|Comedy|Drama|History|Music|Musical,1690,Lesley Manville,1,202,English,R,608
45,106,Cary-Hiroyuki Tagawa,Drama|War,5705,Michael Rapaport,0,122,English,PG-13,15000
345,99,Viggo Mortensen,Biography|Drama|Thriller,23755,Sarah Gadon,3,190,English,R,36000
232,100,Keanu Reeves,Animation|Drama|Mystery|Sci-Fi|Thriller,39507,Rory Cochrane,0,293,English,R,0
116,116,Abigail Spencer,Biography|Drama|Sport,21200,Leven Rambin,2,75,English,PG,13000
148,94,Darren Shahlavi,Horror|Sci-Fi,838,Karin Konoval,0,521,English,R,1000
79,111,Charlie Saxton,Comedy|Drama|Family|Music|Romance,1573,Ryan Donowho,3,39,English,PG,1000
167,100,Anne Heche,Drama|Mystery|Romance|Thriller,2295,Danny Huston,1,361,English,R,0
350,125,Ashley Williams,Action|Crime|Drama|Thriller,3979,Albert Brooks,0,180,English,R,0
25,114,Michael Greyeyes,Drama|History|Romance|War,3493,Caroline Dhavernas,0,102,English,R,971
99,119,Bill Lake,Biography|Drama,64,Victoria Learn,0,45,English,PG-13,0
231,135,Heath Ledger,Biography|Drama|Music,36398,Tyrone Benskin,0,230,English,R,0
119,93,Bruce Willis,Action|Thriller,30134,Óscar Jaenada,3,113,English,PG-13,0
182,114,Maximilian Schell,Adventure|Comedy|Drama|Romance,3014,Nora Zehetner,4,105,English,PG-13,0
245,124,Jennifer Jason Leigh,Comedy|Drama|Romance,24732,Samantha Morton,0,274,English,R,13000
174,134,Jada Pinkett Smith,Adventure|Animation|Fantasy,2710,Billy Crudup,0,570,Japanese,PG-13,11000
69,114,Peter Coyote,Comedy|Drama|Mystery|Romance|Thriller|War,1776,Virginie Ledoyen,5,53,French,PG-13,235
26,124,Randy Jones,Biography|Comedy|Musical,1462,Caitlyn Jenner,0,74,English,PG,1000
168,104,Noah Taylor,Crime|Drama|Western,2129,Danny Huston,1,232,English,R,0
