director_name,actor_3_facebook_likes,movie_title,actor_3_name,movie_imdb_link,num_user_for_reviews,language,movie_facebook_likes
Brett Ratner,535,Tower Heist ,Judd Hirsch,http://www.imdb.com/title/tt0471042/?ref_=fn_tt_tt_1,194,English,0
Nancy Meyers,213,The Holiday ,Sarah Parish,http://www.imdb.com/title/tt0457939/?ref_=fn_tt_tt_1,483,English,19000
Tony Scott,619,Enemy of the State ,Lisa Bonet,http://www.imdb.com/title/tt0120660/?ref_=fn_tt_tt_1,415,English,0
Nancy Meyers,963,It's Complicated ,Zoe Kazan,http://www.imdb.com/title/tt1230414/?ref_=fn_tt_tt_1,214,English,0
Steven Soderbergh,11000,Ocean's Thirteen ,Brad Pitt,http://www.imdb.com/title/tt0496806/?ref_=fn_tt_tt_1,288,English,0
Roger Allers,624,Open Season ,Jane Krakowski,http://www.imdb.com/title/tt0400717/?ref_=fn_tt_tt_1,100,English,863
Neil Burger,1000,Divergent ,Mekhi Phifer,http://www.imdb.com/title/tt1840309/?ref_=fn_tt_tt_1,713,English,49000
Jean-Jacques Annaud,29,Enemy at the Gates ,Clemens Schick,http://www.imdb.com/title/tt0215750/?ref_=fn_tt_tt_1,662,English,0
Peter Berg,557,The Rundown ,Ewen Bremner,http://www.imdb.com/title/tt0327850/?ref_=fn_tt_tt_1,255,English,0
John McTiernan,330,Last Action Hero ,Joan Plowright,http://www.imdb.com/title/tt0107362/?ref_=fn_tt_tt_1,257,English,0
Rob Marshall,210,Memoirs of a Geisha ,Karl Yune,http://www.imdb.com/title/tt0397535/?ref_=fn_tt_tt_1,548,English,0
Justin Lin,159,The Fast and the Furious: Tokyo Drift ,Nikki Griffin,http://www.imdb.com/title/tt0463985/?ref_=fn_tt_tt_1,378,English,0
Sarah Smith,561,Arthur Christmas ,Michael Palin,http://www.imdb.com/title/tt1430607/?ref_=fn_tt_tt_1,78,English,0
Martin Brest,551,Meet Joe Black ,Jake Weber,http://www.imdb.com/title/tt0119643/?ref_=fn_tt_tt_1,703,English,10000
Andrew Davis,172,Collateral Damage ,Jsu Garcia,http://www.imdb.com/title/tt0233469/?ref_=fn_tt_tt_1,339,English,941
Bob Fosse,87,All That Jazz ,Max Wright,http://www.imdb.com/title/tt0078754/?ref_=fn_tt_tt_1,146,English,0
Tarsem Singh,809,Mirror Mirror ,Danny Woodburn,http://www.imdb.com/title/tt1667353/?ref_=fn_tt_tt_1,208,English,18000
