duration,director_facebook_likes,gross,genres,plot_keywords,budget,actor_2_facebook_likes,imdb_score,aspect_ratio
118,0,37899638,Action|Adventure|Comedy|Fantasy|Thriller,creature|curse|exorcism|girl|village,88000000,13000,5.9,1.85
106,13000,37754208,Action|Comedy|Sci-Fi,alien|general|martian|president|weapon,70000000,770,6.3,2.35
81,92,,Drama|Horror|Mystery|Sci-Fi,boy|giving birth|nurse|sea|ultrasonography,,21,6.4,2.35
117,93,27779888,Action|Adventure|Drama|Thriller,bear|billionaire|crash|survival tactics|wilderness,,1000,6.9,2.35
89,84,38542418,Action|Sci-Fi|Thriller,android|fbi agent|future|murder|robot,80000000,1000,6.3,2.35
145,79,34566746,Drama|History|Thriller,blockade|crisis|cuba|missile|president,80000000,274,7.3,1.85
114,357,32885565,Action|Adventure|Drama|Thriller,collapsing tunnel|explosion|new jersey|tunnel|weimaraner,80000000,10000,5.8,1.85
87,43,36073232,Adventure|Animation|Family,brother|dinosaur|head butt|hero|orphan,80000000,396,5.2,2.35
119,64,21471685,Action|Adventure|Sci-Fi,alien|bad acting|pulp fiction|resistance fighter|voyager golden record,44000000,117,2.4,2.35
91,287,20950820,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,diamond|duck|monkey|spy|stuntman,80000000,739,5.7,2.35
118,252,19673424,Drama|Musical|Romance,based on stage musical based on film|child abuse|film director|italian|mistress,80000000,48,5.8,2.35
116,503,19480739,Action|Adventure|Sci-Fi,castle|france|professor|student|time machine,80000000,18000,5.6,2.35
177,0,17593391,Action|Adventure|Drama|Sci-Fi,drifter|escape|hope|postman|usa,80000000,674,6.0,2.35
97,750,18318000,Adventure|Comedy|Drama|Family|Fantasy,animal|farm|farmer|hotel|pig,80000000,971,5.8,1.85
106,42,27356090,Action|Adventure|Fantasy,box office flop|burned to death|magic|witch|witch hunter,90000000,788,6.0,2.35
106,14,17473245,Action|Sci-Fi|Thriller,astronaut|mars|robot|robot as menace|survival,70000000,0,5.7,2.35
94,0,15131330,Adventure|Animation|Family|Fantasy,boy|debt|garden|princess|treasure,86000000,80,6.0,2.35
104,63,19406406,Documentary|Drama,damselfish|ocean habitat|ocean life|razorfish|spider crab,40000000,63,7.8,2.35
102,0,1891821,Action|Adventure|Horror|Sci-Fi|Thriller,butterfly|hunter|time|time travel|wave,52000000,307,4.2,2.35
105,545,23219748,Action|Adventure|Drama|History|Romance,arena|lava bomb|mount vesuvius|pompeii|slave,80000000,172,5.6,2.35
89,0,,Animation|Family,,8000000,94,4.4,
135,2000,170708996,Biography|Drama,conspiracy|cryptography|mathematician|mental illness|nobel prize,58000000,592,8.2,1.85
73,28,422783777,Adventure|Animation|Drama|Family|Musical,king|prince|scar|uncle|unnecessary guilt,45000000,886,8.5,1.66
94,62,103812241,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,gold|hurricane|island|mountain|mysterious island,79000000,12000,5.8,1.85
95,18,119793567,Animation|Comedy|Family|Fantasy|Sci-Fi,food|inventor|island|orangutan|scientist,78000000,161,6.5,2.35
124,420,92930005,Crime|Drama|Thriller,criminal profile|fbi agent|madman|tabloid reporter|tragic villain,78000000,12000,7.2,2.35
136,394,67286731,Action|Adventure|Western,arab|cowboy|horse|race|sheik,100000000,10000,6.7,2.35
91,221,74158157,Comedy,advertising|advertising executive|commercial|protective male|twins,79000000,11000,3.4,1.85
107,309,127083765,Action|Crime|Thriller,bust|racing|shotgun|street racing|undercover agent,76000000,787,5.9,2.35
108,54,1339152,Adventure|Animation|Drama|Family|Fantasy,aviator|based on book|girl|little girl|the little prince,81200000,11000,7.8,2.35
99,101,15071514,Sci-Fi|Thriller,alien|epidemic|psychiatrist|space shuttle|virus,80000000,422,5.9,1.85
92,5,26000610,Adventure|Animation|Comedy|Family|Fantasy,deforestation|fbi|lighthouse|moose|squirrel,76000000,1000,4.1,1.85
87,11,323505540,Animation|Comedy|Family,animal control|lost animal|mongrel|pet|terrier,75000000,904,6.8,1.85
110,45,66462600,Action|Adventure|Fantasy|Sci-Fi,box office flop|captain nemo|dorian gray|invisible man|steampunk,78000000,872,5.8,2.35
98,275,368049635,Animation|Comedy|Family|Sci-Fi,dating|minion|overprotective father|undercover spy|woman agent,76000000,2000,7.5,1.85
154,776,306124059,Action|Adventure|Sci-Fi,alien|area 51|military|spacecraft|spaceship,75000000,2000,6.9,2.35
129,14000,229074524,Action|Adventure|Sci-Fi,capture|dinosaur|island|jurassic|jurassic park,73000000,506,6.5,1.85
86,35,193136719,Adventure|Animation|Comedy|Family,escape|jungle|lemur|madagascar|zoo,75000000,436,6.9,1.85
109,0,35286428,Drama|Sci-Fi|Thriller,chaos|england|long take|survival|violence,76000000,430,7.9,1.85
104,0,157299717,Action|Adventure|Sci-Fi,first part|mutant|professor|superhero|superhero team,75000000,764,7.4,2.35
110,335,134568845,Action|Crime|Fantasy|Thriller,assassin|bobble head doll|femme fatale|rejuvenation|strong female lead,75000000,11000,6.7,2.35
136,0,134006721,Action|Adventure|Thriller,alcatraz|fbi|general|hostage|rocket,75000000,2000,7.4,2.35
115,107,195329763,Action|Adventure|Animation|Comedy|Family|Fantasy,flood|mammoth|no opening credits|squirrel|valley,80000000,590,6.9,1.85
99,88,120776832,Comedy|Romance,dream|hawaii|hawaiian shirt|short term memory loss|veterinarian,75000000,427,6.8,2.35
117,163,118823091,Comedy|Drama|Family|Music|Musical|Romance,audition|best friend|dance|friend|tv dance show,75000000,339,6.7,2.35
125,212,41814863,Horror|Mystery|Thriller,archeologist|church|excavation|faith|relic,50000000,422,5.1,2.0
110,16,97360069,Action|Adventure|Comedy|Family|Sci-Fi,actor playing multiple roles|claw|gadget|inspector|police,75000000,710,4.1,1.85
125,255,117698894,Crime|Mystery|Thriller,bank|fbi|heist|interpol|magician,75000000,988,7.3,2.35
102,221,162001186,Comedy,basketball|coach|daughter|high school|high school basketball,80000000,11000,6.0,1.85
128,14000,77032279,Comedy|Drama,airport|construction site|fish out of water|flight attendant|man without a country,60000000,466,7.3,1.85
43,,,Drama|Fantasy|Horror|Thriller,based on comic|based on comic book|dc arrowverse|dc comics|supernatural,,560,7.5,16.0
100,87,73023275,Comedy|Family,abandoned hotel|dog|foster home|overalls|playing with a dog,35000000,576,5.4,1.85
124,258,68473360,Action|Adventure|Drama|Thriller,death|die hard scenario|k2|rescue|urination,75000000,826,5.9,1.85
102,0,66636385,Biography|Comedy|Drama|History,afghanistan|arms dealer|based on true story|cia|texas,75000000,15000,7.1,1.85
90,10,160762022,Adventure|Animation|Comedy|Family,anchor|fish|mobster|shark|vegetarian,75000000,17000,6.0,1.85
130,386,103338338,Drama|Music|Musical,1960s|fire|pop chart|singer|trio,70000000,549,6.5,2.35
45,,,Crime|Drama|Mystery,cop|murder|partner|police|protective male,,130,8.3,
118,473,55808744,Comedy|Crime|Music,concert|mobster|russian|sequel|widow,53000000,1000,5.7,2.4
163,14000,47379090,Drama|History|Thriller,arab|black september|israel|jew|munich olympics,70000000,486,7.6,2.35
142,845,43426961,Action|Drama|Thriller|War,dictator|doctor|jungle|rebel|refugee,70000000,1000,6.6,2.35
100,126,47000485,Action|Comedy|Romance|Thriller,hired killer|marriage|neighbor|on the run|store clerk,75000000,1000,5.4,2.35
116,0,45434443,Action|Adventure|Comedy,box office flop|cia agent|criminal organization|kgb agent|nuclear bomb,75000000,509,7.3,2.35
131,274,42044321,Comedy|Drama|Romance,chef|college|housekeeper|letter|mexico,80000000,964,6.5,1.85
91,27,73661010,Animation|Comedy|Family|Fantasy|Mystery,babysitter|halloween|house|neighbor|suburb,75000000,970,6.6,2.35
123,272,41523271,Comedy|Crime|Drama|Romance,bank manager|hypochondriac|love triangle|prison|television,80000000,450,6.6,2.35
134,109,37600435,Action|Adventure|Romance|Thriller,battle|king|king arthur|knight|marriage,55000000,303,5.9,1.85
148,72,39251128,Drama|History|Romance,1860s|children|king|schoolteacher|siam,75000000,103,6.7,2.35
110,763,83503161,Action|Drama|Fantasy|Romance,burned alive|castration|olympus|torture|torture device,75000000,1000,6.1,1.85
113,17,34636443,Action|Crime|Drama|Mystery|Thriller,california|hostage|hostage negotiator|organized crime|police,52000000,13000,6.6,2.35
94,383,22751979,Action|Adventure|Animation|Family|Sci-Fi,alien|captain|escape|pilot|scientist,75000000,1000,6.6,2.35
116,41,30013346,Action|Comedy|Crime|Thriller,audition|kissing while having sex|machismo|murder|sex,75000000,982,5.3,2.35
99,545,14567883,Action|Drama|Sci-Fi,crash survivor|planet|sergeant|soldier|survivor,75000000,722,6.0,2.35
84,10,90820,Drama|Horror|Sci-Fi|Thriller,beach|disease|latex gloves|pandemic|virus,,552,6.0,2.35
93,253,5409517,Animation|Comedy|Fantasy,carnival|coma|death|monkey|nightmare,75000000,889,4.7,1.85
113,212,21009180,Action|Adventure|Drama|Thriller,captain|desert|rescue|stranded|survivor,45000000,845,6.1,2.35
106,0,94999143,Drama|Mystery|Sci-Fi|Thriller,child with gun|comic book|invulnerability|superhero|train crash,75000000,13000,7.2,2.35
91,22,336029560,Action|Animation|Comedy|Family|Sci-Fi,antarctica|minion|queen|super villain|villain,74000000,4000,6.4,1.85
128,0,36381716,Action|Fantasy,alternate reality|escape|girl gang|prostitution|samurai,82000000,2000,6.1,2.35
98,0,55585389,Crime|Mystery|Thriller,assassination|boxing|casino|conspiracy|long take,69000000,854,5.9,2.35
134,272,36976367,Drama|Mystery|Sci-Fi|Thriller,manifestation|ocean|spacecraft|spaceship|sphere,75000000,270,6.0,2.35
97,6,107225164,Action|Animation|Comedy|Family,butt|downward duck|fish|kingfisher|pig,73000000,1000,6.3,1.85
112,72,70224196,Action|Adventure|Comedy|Romance|Thriller,debt|rapper|treasure|treasure hunter|yacht,70000000,1000,5.6,2.35
153,0,51814190,Comedy|Drama,breasts|comedian|craigslist|infidelity|stand up comedian,75000000,561,6.4,1.85
110,532,47456450,Action|Drama|Thriller,al qaeda|bomb making|fbi|saudi arabia|stabbed in the crotch,70000000,638,7.1,2.35
122,285,148213377,Action|Comedy|Sport,car racing|french|friend|nascar|racing,73000000,1000,6.6,2.35
87,41,112950721,Comedy|Family|Fantasy,bear|doctor|false accusation|man with glasses|second part,72000000,692,4.6,2.35
178,0,75600000,Biography|Drama|History|War,14th century|legend|revolt|scotland|tyranny,72000000,466,8.4,2.35
125,0,62647540,Action|Drama|War,american abroad|gulf war|u.s. military|u.s. soldier|usmc,70000000,383,7.1,2.35
87,30,183132370,Adventure|Animation|Comedy,alaska|dome|lake|pig|the simpsons,75000000,440,7.4,2.35
152,0,27796042,Drama|Romance,amnesia|california|communist|small town|writer,72000000,826,6.9,1.85
116,212,32616869,Action|Drama|Sport,car race|german|race car|race car driver|rookie,72000000,658,4.5,2.35
109,218,18947630,Adventure|Drama|Family,circus|death of protagonist|jungle|killing an animal|tiger,59660000,17,7.1,2.35
108,0,114195633,Drama|Mystery|Romance|Thriller,creature|pact|plot twist|village|woods,60000000,2000,6.5,1.85
85,84,144156464,Comedy|Family|Fantasy,box office hit|doctor|dog|first part|tiger,71500000,1000,5.3,1.85
106,0,227965690,Drama|Sci-Fi|Thriller,crop circle|faith|farm|glass of water|loss of faith,72000000,529,6.7,1.85
93,80,436471036,Adventure|Animation|Comedy|Family|Fantasy|Romance,drag queen|physical appearance|princess|queen|sequel,150000000,309,7.2,1.85
117,487,244052771,Adventure|Animation|Comedy|Family|Sport,car|desert|route 66|tow truck|truck,120000000,843,7.2,2.35
116,0,152149590,Comedy|Romance,bride|columnist|journalist|maryland|wedding,70000000,3000,5.5,2.35
132,357,141204016,Action|Adventure|Thriller,agent|nsa|nsa agent|prague|russian,70000000,223,5.8,2.35
92,5,162495848,Adventure|Animation|Comedy|Family|Fantasy,book|magic|pirate|plankton|time machine,74000000,861,6.0,1.85
139,2000,136448821,Crime|Thriller,bounty|fbi|millionaire|money|ransom,80000000,848,6.6,1.85
153,16000,120523073,Adventure|Drama|War,france|german|nazis|revenge|scalping,75000000,11000,8.3,2.35
142,14000,119654900,Adventure|Comedy|Family|Fantasy,1990s|caught in a net|children|duel|hero,70000000,8000,6.7,2.35
101,420,72660029,Action|Adventure,army|greek mythology|hercules|king|mercenary,100000000,3000,6.0,2.35
124,212,117541000,Action|Thriller,airport|fuel|plane|police|terrorist,70000000,982,7.1,2.35
117,69,116643346,Action|Adventure|Crime|Thriller,hostage|police|prison|swat team|training,80000000,1000,6.0,2.35
45,,,Adventure|Drama|Fantasy|Mystery|Thriller,apocalypse|death|husband wife relationship|mother son relationship|murder,,372,7.5,16.0
141,488,100614858,Fantasy|Mystery|Romance|Sci-Fi|Thriller,death|dream|love|lynchian|reality,68000000,834,6.9,1.85
110,0,42272747,Drama|Fantasy|Mystery|Thriller,apartment|bedtime story|eagle|stuttering|swimming pool,70000000,579,5.6,1.85
109,545,80281096,Action|Horror|Sci-Fi|Thriller,alien|antarctica|predator|pyramid|satellite,60000000,766,5.6,2.35
88,84,219613391,Animation|Comedy|Family|Fantasy|Music,adidas|chipmunk|hospital|school|waste container,75000000,1000,4.5,1.85
124,130,78120196,Action|Drama|History|War,air cavalry|battle|major|soldier|vietnamese,75000000,973,7.1,2.35
119,845,98895417,Action|Thriller,political thriller|politics|president|speaker of the house|u.s. president,70000000,11000,6.5,2.35
103,906,70117571,Action|Adventure|Sci-Fi|Thriller,alien|captain|commander|conspiracy|planet,58000000,906,6.4,2.35
