duration,director_facebook_likes,genres,movie_title,actor_3_name,facenumber_in_poster,language,imdb_score,movie_facebook_likes
111,456,Adventure|Family|Fantasy,Pan ,Nonso Anozie,4,English,5.8,24000
92,50,Adventure|Animation|Comedy|Family|Sci-Fi,Mr. Peabody & Sherman ,Karan Brar,2,English,6.9,11000
196,249,Adventure,Troy ,Julian Glover,2,English,7.2,0
93,35,Adventure|Animation|Comedy|Family,Madagascar 3: Europe's Most Wanted ,Cedric the Entertainer,0,English,6.9,17000
133,93,Action|Adventure|Thriller,Die Another Day ,Rick Yune,0,English,6.1,0
116,176,Action|Comedy|Fantasy|Sci-Fi,Ghostbusters ,Zach Woods,4,English,5.5,62000
153,0,Action|Adventure|Sci-Fi|Thriller,Armageddon ,Will Patton,0,English,6.6,11000
88,188,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,Men in Black II ,Rip Torn,2,English,6.1,2000
115,0,Action|Adventure|Animation|Fantasy,Beowulf ,Sebastian Roché,1,English,6.3,3000
95,5,Action|Adventure|Animation|Comedy|Family,Kung Fu Panda 3 ,Wayne Knight,0,English,7.2,24000
133,663,Action|Adventure|Thriller,Mission: Impossible - Ghost Protocol ,Michael Nyqvist,3,English,7.4,35000
97,52,Adventure|Animation|Family|Fantasy,Rise of the Guardians ,Khamani Griffin,0,English,7.3,25000
90,23,Comedy|Crime,Fun with Dick and Jane ,David Herman,1,English,6.1,2000
154,380,Action|Drama|History|War,The Last Samurai ,Chad Lindberg,1,English,7.7,0
150,0,Action|Adventure|Drama,Exodus: Gods and Kings ,Ben Mendelsohn,0,English,6.1,51000
127,14000,Action|Adventure|Sci-Fi,Star Trek ,Bruce Greenwood,0,English,8.0,19000
121,0,Action|Adventure|Fantasy|Romance,Spider-Man ,Kirsten Dunst,0,English,7.3,5000
102,255,Action|Adventure|Animation|Comedy|Family|Fantasy,How to Train Your Dragon 2 ,America Ferrera,5,English,7.9,46000
126,295,Action|Adventure|Fantasy,Gods of Egypt ,Bryan Brown,4,English,5.5,24000
121,357,Action|Adventure|Sci-Fi|Thriller,Stealth ,Richard Roxburgh,0,English,5.0,0
215,0,Action|Drama|Mystery|Sci-Fi,Watchmen ,Stephen McHattie,1,English,7.7,18000
127,503,Action|Crime|Thriller,Lethal Weapon 4 ,Darlene Love,2,English,6.6,0
138,0,Action|Sci-Fi,Hulk ,Celia Weston,0,English,5.7,0
122,209,Action|Adventure|Sci-Fi|Thriller,G.I. Joe: Retaliation ,Elodie Yung,6,English,5.8,42000
124,42,Action|Adventure|Comedy|Thriller,Sahara ,Delroy Lindo,3,English,6.0,0
106,6,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,Final Fantasy: The Spirits Within ,Jean Simmons,1,English,6.4,0
124,394,Action|Adventure|Sci-Fi,Captain America: The First Avenger ,Hayley Atwell,0,English,6.9,46000
128,150,Action|Adventure|Thriller,The World Is Not Enough ,Desmond Llewelyn,2,English,6.4,2000
138,608,Action|Adventure|Drama|History|War,Master and Commander: The Far Side of the World ,David Threlfall,1,English,7.4,0
115,386,Adventure|Drama|Fantasy|Romance,The Twilight Saga: Breaking Dawn - Part 2 ,Taylor Lautner,3,English,5.5,65000
100,750,Animation|Comedy|Family|Musical,Happy Feet 2 ,Common,0,English,5.9,0
135,255,Action|Adventure|Sci-Fi,The Incredible Hulk ,William Hurt,0,English,6.8,0
60,,Action|Crime|Drama|Mystery|Thriller,Miami Vice             ,John Diehl,2,English,7.5,0
117,14000,Adventure|Family|Fantasy,The BFG ,Rafe Spall,0,English,6.8,27000
156,0,Adventure|Drama|Thriller|Western,The Revenant ,Lukas Haas,0,English,8.1,190000
96,13,Adventure|Animation|Comedy|Family|Sport,Turbo ,Ben Schwartz,0,English,6.5,13000
107,563,Adventure|Animation|Comedy|Family|Western,Rango ,Stephen Root,0,English,7.2,26000
92,35,Adventure|Animation|Comedy|Family,Penguins of Madagascar ,Andy Richter,0,English,6.7,11000
115,521,Action|Mystery|Thriller,The Bourne Ultimatum ,Albert Finney,0,English,8.1,0
92,54,Action|Adventure|Animation|Comedy|Family,Kung Fu Panda ,Dan Fogler,0,English,7.6,6000
117,235,Action|Adventure|Comedy|Sci-Fi,Ant-Man ,T.I.,6,English,7.4,61000
146,508,Adventure|Sci-Fi|Thriller,The Hunger Games: Catching Fire ,Sandra Ellis Lafferty,1,English,7.6,82000
115,386,Adventure|Drama|Fantasy|Romance,The Twilight Saga: Breaking Dawn - Part 2 ,Taylor Lautner,3,English,5.5,65000
94,12,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Home ,April Winchell,0,English,6.7,26000
116,14000,Adventure|Sci-Fi|Thriller,War of the Worlds ,Rick Gonzalez,0,English,6.5,0
147,0,Action|Comedy|Crime|Thriller,Bad Boys II ,Jordi Mollà,1,English,6.6,0
90,50,Action|Adventure|Animation|Comedy|Family|Fantasy,Puss in Boots ,Amy Sedaris,0,English,6.7,16000
101,176,Action|Crime|Mystery|Thriller,Salt ,August Diehl,1,English,6.4,23000
138,0,Action|Adventure|Drama,Noah ,Logan Lerman,2,English,5.8,71000
107,14000,Action|Adventure|Family|Mystery,The Adventures of Tintin ,Tony Curran,1,English,7.4,44000
142,0,Adventure|Family|Fantasy|Mystery,Harry Potter and the Prisoner of Azkaban ,Rupert Grint,3,English,7.8,11000
165,1000,Adventure|Drama|Romance|War,Australia ,Eddie Baroo,0,English,6.6,0
100,0,Action|Adventure|Sci-Fi,After Earth ,Glenn Morshower,0,English,4.9,37000
82,0,Adventure|Animation|Family|Thriller,Dinosaur ,Della Reese,1,English,6.5,0
,0,Action|Fantasy,Harry Potter and the Deathly Hallows: Part II ,Ralph Ineson,1,English,7.5,40
98,189,Adventure|Comedy|Family|Fantasy,Night at the Museum: Secret of the Tomb ,Steve Coogan,7,English,6.2,11000
95,96,Action|Animation|Comedy|Family|Sci-Fi,Megamind ,Will Ferrell,3,English,7.3,13000
159,0,Adventure|Family|Fantasy,Harry Potter and the Sorcerer's Stone ,Verne Troyer,4,English,7.5,16000
96,124,Action|Comedy|Fantasy,R.I.P.D. ,Stephanie Szostak,2,English,5.6,20000
120,28,Action|Adventure|Drama|Horror|Sci-Fi,Godzilla Resurgence ,Atsuko Maeda,0,Japanese,8.2,0
143,563,Action|Adventure|Fantasy,Pirates of the Caribbean: The Curse of the Black Pearl ,Jack Davenport,3,English,8.1,10000
