num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,language,country,content_rating,title_year
63,82,12,281,8000,30324946,Comedy|Music|Romance,9271,Dan Hedaya,http://www.imdb.com/title/tt0120770/?ref_=fn_tt_tt_1,239,English,USA,PG-13,1998
148,86,33,583,15000,27854896,Drama|Fantasy|Romance,17396,Erik Knudsen,http://www.imdb.com/title/tt1152398/?ref_=fn_tt_tt_1,129,English,USA,PG-13,2011
265,108,192,580,1000,41777564,Horror,4500,Vinessa Shaw,http://www.imdb.com/title/tt0454841/?ref_=fn_tt_tt_1,855,English,USA,R,2006
75,98,39,428,593,22734486,Comedy,2713,Mary McCormack,http://www.imdb.com/title/tt0325258/?ref_=fn_tt_tt_1,117,English,USA,PG-13,2003
113,129,51,89,427,44469602,Biography|Drama|Sport,952,Diana Maria Riva,http://www.imdb.com/title/tt2097298/?ref_=fn_tt_tt_1,83,English,USA,PG,2015
62,99,17,826,918,24708699,Comedy,4797,Shad Moss,http://www.imdb.com/title/tt0979434/?ref_=fn_tt_tt_1,30,English,USA,PG-13,2010
54,105,49,104,680,21160089,Comedy|Crime|Drama|Music|Romance,1538,Malika,http://www.imdb.com/title/tt0466856/?ref_=fn_tt_tt_1,92,English,USA,PG-13,2006
223,112,36,746,10000,64998368,Comedy|Music|Romance,12676,Ben Platt,http://www.imdb.com/title/tt1981677/?ref_=fn_tt_tt_1,250,English,USA,PG-13,2012
50,108,19,505,973,19693891,Comedy|Drama|Romance|Sport,3344,Bruce Davison,http://www.imdb.com/title/tt0234829/?ref_=fn_tt_tt_1,107,English,USA,PG-13,2001
125,121,0,244,989,16311763,Crime|Drama|Thriller,2365,Chelcie Ross,http://www.imdb.com/title/tt0120324/?ref_=fn_tt_tt_1,416,English,UK,R,1998
81,89,11,973,1000,12693621,Horror|Mystery|Thriller,4060,Marc Blucas,http://www.imdb.com/title/tt0283632/?ref_=fn_tt_tt_1,271,English,USA,PG-13,2002
37,89,0,323,690,15655665,Comedy|Romance,2135,Megyn Price,http://www.imdb.com/title/tt0462395/?ref_=fn_tt_tt_1,112,English,USA,PG-13,2006
44,73,11,142,1000,11634458,Adventure|Comedy|Family|Fantasy|Musical,2020,Caroll Spinney,http://www.imdb.com/title/tt0159421/?ref_=fn_tt_tt_1,37,English,USA,G,1999
197,132,847,625,3000,27154426,Crime|Drama|Thriller,6317,Armando Riesco,http://www.imdb.com/title/tt1210042/?ref_=fn_tt_tt_1,138,English,USA,R,2009
15,154,117,86,715,,Action|Adventure|Drama|History|War,1567,John Ireland,http://www.imdb.com/title/tt0056800/?ref_=fn_tt_tt_1,50,English,USA,Unrated,1963
543,96,201,58,394,54239856,Horror,673,Ellen Sandweiss,http://www.imdb.com/title/tt1288558/?ref_=fn_tt_tt_1,789,English,USA,R,2013
112,98,80,399,567,8662318,Comedy|Romance,2016,Rachel Dratch,http://www.imdb.com/title/tt0865559/?ref_=fn_tt_tt_1,75,English,USA,PG-13,2009
153,107,80,841,2000,7156725,Comedy|Music,5992,Chris Klein,http://www.imdb.com/title/tt0465142/?ref_=fn_tt_tt_1,217,English,USA,PG-13,2006
94,134,22,488,1000,15681020,Action|Adventure|Family|Sci-Fi,3007,William Hootkins,http://www.imdb.com/title/tt0094074/?ref_=fn_tt_tt_1,259,English,UK,PG,1987
62,94,8,66,328,7070459,Drama,760,Conrad Coates,http://www.imdb.com/title/tt0770810/?ref_=fn_tt_tt_1,18,English,Canada,PG-13,2007
157,122,47,834,23000,6855137,Action|Crime|Drama|Thriller,27381,Ivana Milicevic,http://www.imdb.com/title/tt0404390/?ref_=fn_tt_tt_1,419,English,Germany,R,2006
35,128,9,193,767,2694071,Biography|Drama|Romance|Sport,1727,Paul Freeman,http://www.imdb.com/title/tt0375104/?ref_=fn_tt_tt_1,64,English,USA,PG,2004
21,97,3,161,400,2315683,Adventure|Crime|Drama|Romance,805,Clyde Kusatsu,http://www.imdb.com/title/tt0091934/?ref_=fn_tt_tt_1,28,English,UK,PG-13,1986
236,110,168,96,3000,39825798,Drama|Mystery|Romance|Thriller,4210,Jake Wood,http://www.imdb.com/title/tt0443543/?ref_=fn_tt_tt_1,645,English,USA,PG-13,2006
50,102,4,60,634,2000000,Adventure|Horror|Thriller,1262,Zakes Mokae,http://www.imdb.com/title/tt0083001/?ref_=fn_tt_tt_1,27,English,USA,PG,1981
