director_name,duration,actor_2_name
Guillermo del Toro,117,Thomas Kretschmann
Gabriele Muccino,123,Rosario Dawson
Walter Hill,92,Jason Momoa
Francis Ford Coppola,170,Joe Mantegna
Cameron Crowe,123,Kirsten Dunst
Anthony Russo,110,Billy Gardell
Richard Lester,116,Ned Beatty
Martin Brest,121,Lenny Venito
Steven Zaillian,128,Anthony Hopkins
John Singleton,99,Vanessa Williams
Don Bluth,94,Kelsey Grammer
Baz Luhrmann,127,Kylie Minogue
Harold Becker,89,Teri Polo
Scott Cooper,123,Benedict Cumberbatch
Clint Eastwood,135,Chris Bauer
F. Gary Gray,118,Leslie Bibb
Robert Rodriguez,189,Rosario Dawson
Jonathan Demme,172,Kimberly Elise
Curtis Hanson,124,Robert Duvall
Steven Spielberg,141,Tom Hanks
Kathryn Bigelow,157,Harold Perrineau
Peyton Reed,106,John Michael Higgins
Phyllida Lloyd,108,Meryl Streep
Garry Marshall,125,Taylor Lautner
Jay Chandrasekhar,107,Jessica Simpson
Terrence Malick,215,Miranda Otto
David Dobkin,118,Olivia Wilde
Milos Forman,118,Gerry Becker
Martin Scorsese,178,Don Rickles
Pierre Morel,92,Amber Rose Revah
Paul Hunter,104,Mako
Bobby Farrelly,116,Tony Cox
Steve Oedekerk,90,Wanda Sykes
John Whitesell,93,Jorge Garcia
Chris Weitz,130,Kristen Stewart
Andrew Adamson,90,Chris Miller
George Nolfi,106,Michael Kelly
Kevin Reynolds,155,Morgan Freeman
Cameron Crowe,139,Kelly Preston
Seth MacFarlane,112,Seth MacFarlane
James L. Brooks,139,Yeardley Smith
Tom Shadyac,115,Philip Seymour Hoffman
Adam McKay,143,Will Ferrell
Steven Brill,96,Adam Sandler
J.J. Abrams,112,AJ Michalka
Steven Soderbergh,131,Albert Finney
Donald Petrie,116,Adam Goldberg
Phil Lord,112,Craig Roberts
Neil Jordan,123,Tom Cruise
Peyton Reed,104,Zooey Deschanel
Rawson Marshall Thurber,107,Thomas Kretschmann
Chris Columbus,124,Liam Aiken
Sean Anders,96,Linda Cardellini
Rob Marshall,125,Meryl Streep
Spike Lee,129,James Ransone
Brian Helgeland,90,Deborah Kara Unger
Frank Marshall,109,Joe Don Baker
Cameron Crowe,124,Matt Damon
Alex Proyas,121,Ben Mendelsohn
Tom Dey,95,Matthew McConaughey
Hideo Nakata,128,Gary Cole
Glenn Ficarra,118,Emma Stone
Peter Hewitt,80,Mark Christopher Lawrence
Joe Roth,99,Cheech Marin
Bennett Miller,133,Robin Wright
Wolfgang Petersen,127,Morgan Freeman
Jaume Collet-Serra,106,Nate Parker
Andy Fickman,98,Billy Brown
James McTeigue,132,Eddie Marsan
