num_voted_users,language,content_rating,actor_2_facebook_likes,imdb_score
95362,English,R,63,7.9
8465,English,PG,168,3.2
9502,English,R,174,6.5
806,English,R,637,6.9
6000,English,PG-13,625,7.0
299,English,,476,7.4
12560,Hindi,PG-13,329,7.8
14548,English,R,183,6.9
3665,English,R,324,4.4
8239,English,R,257,6.0
9808,English,R,864,6.6
128334,English,G,177,7.8
3943,English,R,233,5.3
8005,English,R,341,5.3
37594,English,PG,350,8.0
8603,English,R,813,7.1
18711,English,R,2000,5.4
15885,English,R,721,6.9
43982,English,R,481,7.4
25063,Zulu,R,64,7.3
55329,English,,11000,7.8
761,English,R,26,6.6
31089,English,R,3000,5.4
356181,Korean,R,78,8.4
3942,English,PG,399,6.3
37495,English,Not Rated,324,6.1
368,English,R,327,5.0
22246,English,R,281,6.9
1289,,PG,366,7.2
47385,English,Not Rated,260,7.3
7625,English,PG-13,476,5.7
2011,English,,539,5.0
37156,English,R,3000,5.3
2948,English,,341,7.9
758,English,PG-13,750,5.0
7988,English,R,317,5.3
48562,English,R,571,6.0
437,English,,37,7.6
11074,German,R,38,7.4
266,English,R,902,5.9
4122,English,R,298,4.1
1238,English,R,325,6.7
30511,English,R,683,5.8
2437,English,R,122,6.2
7358,English,R,634,5.3
1257,English,R,27,3.3
306336,English,PG,25000,6.5
62,English,PG-13,975,6.2
2280,English,R,396,5.9
1370,English,,124,5.5
16987,English,R,1000,5.5
2978,English,R,302,2.6
13599,English,R,606,5.8
13640,English,Approved,754,7.4
118,Italian,,810,5.1
704,English,,715,5.2
976,English,R,747,4.8
520,English,R,779,3.9
240,English,,39,6.2
103749,English,PG,520,7.0
706,English,R,602,6.2
3443,English,R,536,5.9
28951,Portuguese,R,14,8.0
4313,English,Approved,416,7.3
2425,English,,277,4.9
746,English,R,225,6.5
2157,English,,158,4.3
5695,English,PG-13,412,6.4
80961,English,R,139,7.6
55040,French,Unrated,236,6.8
4173,English,PG-13,96,6.1
859,English,R,234,4.0
33567,English,R,247,7.4
175196,English,Not Rated,103,8.3
21359,English,R,448,5.3
291875,English,Passed,421,8.1
112671,English,PG,595,8.0
40800,English,R,529,5.7
27569,Hindi,PG-13,426,8.2
5744,English,R,222,7.1
8856,English,G,81,7.4
745,Panjabi,,85,6.6
1828,Danish,Not Rated,33,5.7
