director_name,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,genres,actor_3_name,num_user_for_reviews,country,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
George P. Cosmatos,96,170,668,Julia Nickson,150415432,Action|Adventure|Thriller|War,Martin Kove,217,USA,R,44000000,738,6.4,2.35,0
Brian Gibson,118,13,643,Demi Moore,44834712,Drama|Thriller,Anne Heche,62,USA,R,44000000,2000,5.6,2.35,353
Norman Ferguson,88,3,40,Dickie Jones,84300000,Animation|Family|Fantasy|Musical,Cliff Edwards,147,USA,Approved,2600000,48,7.5,1.37,0
Michael Cimino,325,517,678,Sam Waterston,1500000,Adventure|Drama|Western,Isabelle Huppert,189,USA,R,44000000,849,6.8,2.35,1000
Len Wiseman,102,235,520,Tony Curran,62318875,Action|Adventure|Fantasy|Sci-Fi|Thriller,Derek Jacobi,502,USA,R,50000000,845,6.8,2.35,0
Paul McGuigan,110,118,287,Spencer Wilding,5773519,Drama|Horror|Sci-Fi|Thriller,Daniel Mays,91,USA,PG-13,40000000,1000,6.0,2.35,11000
Gus Van Sant,136,835,225,Rob Brown,51768623,Drama,Michael Nouri,297,USA,PG-13,43000000,370,7.3,2.35,0
Betty Thomas,103,84,664,Viggo Mortensen,37035515,Comedy|Drama,Elizabeth Perkins,194,USA,PG-13,43000000,10000,6.0,1.37,0
Louis Leterrier,103,255,5000,Jet Li,24520892,Action|Crime|Drama|Thriller,Bob Hoskins,303,France,R,45000000,5000,7.0,2.35,0
Roger Kumble,90,16,16,Lillian Adams,24430272,Comedy|Romance,Chelsea Bond,403,USA,R,43000000,28,5.1,1.85,0
Sydney Pollack,154,521,957,Holly Hunter,158348400,Drama|Mystery|Thriller,Wilford Brimley,142,USA,R,42000000,1000,6.8,1.85,0
Burr Steers,99,23,135,Charlie Tahan,31136950,Drama|Fantasy|Romance,Valerie Tian,75,USA,PG-13,44000000,268,6.5,2.35,0
Simon West,93,165,350,Tony Goldwyn,29113588,Action|Crime|Thriller,Mini Anden,181,USA,R,40000000,956,6.6,2.35,16000
Phil Lord,109,97,839,Dax Flame,138447667,Action|Comedy|Crime,Rob Riggle,345,USA,R,42000000,971,7.2,2.35,39000
Roger Michell,124,50,427,Clarke Peters,116006080,Comedy|Drama|Romance,Dylan Moran,602,UK,PG-13,42000000,437,7.0,2.35,11000
Peter Lord,84,91,206,Miranda Richardson,106793915,Adventure|Animation|Comedy|Drama|Family,Julia Sawalha,358,UK,G,45000000,530,7.0,1.85,0
John Hamburg,90,29,650,Masi Oka,87856565,Comedy|Romance,Debra Messing,268,USA,PG-13,42000000,923,5.9,1.85,0
Reginald Hudlin,117,71,547,Eartha Kitt,70100000,Comedy|Drama|Romance,Geoffrey Holder,41,USA,R,40000000,558,5.4,1.85,0
Paul Feig,123,176,749,William Xifaras,159578352,Action|Comedy|Crime,Demián Bichir,380,USA,R,43000000,815,6.6,2.35,24000
Joseph L. Mankiewicz,251,311,595,Richard Burton,57750000,Biography|Drama|History|Romance,Roddy McDowall,192,UK,Approved,31115000,726,7.0,2.2,0
Frank Coraci,105,153,491,Reggie Lee,45290318,Action|Comedy|Sport,Charice,112,USA,PG,42000000,828,6.5,1.85,17000
Carl Franklin,115,73,505,Adam Scott,41543207,Crime|Drama|Mystery|Thriller,Bruce Davison,175,USA,PG-13,42000000,3000,6.3,2.35,893
Barbra Streisand,122,0,292,Austin Pendleton,41252428,Comedy|Drama|Romance,Mimi Rogers,71,USA,PG-13,42000000,592,6.5,1.85,0
Mark Pellington,119,89,395,Will Patton,35228696,Drama|Horror|Mystery|Thriller,David Eigenberg,460,USA,PG-13,32000000,537,6.5,2.35,0
Larry Charles,81,119,412,Elton John,59992760,Comedy,Slash,396,USA,R,42000000,442,5.8,1.85,0
John Glen,133,46,275,Talisa Soto,34667015,Action|Adventure|Thriller,Anthony Zerbe,317,UK,PG-13,32000000,349,6.6,2.35,0
Catherine Hardwicke,100,308,913,Billy Burke,37652565,Fantasy|Horror|Mystery|Thriller,Virginia Madsen,283,USA,PG-13,42000000,2000,5.4,2.35,20000
John Herzfeld,120,17,808,Charlize Theron,24375436,Action|Crime|Drama|Thriller,Kelsey Grammer,265,USA,R,42000000,9000,6.1,2.35,748
Annabel Jankel,104,5,687,Fisher Stevens,20915465,Adventure|Comedy|Family|Fantasy|Sci-Fi,Fiona Shaw,290,UK,PG,42000000,922,4.0,1.85,0
Andrew Niccol,122,487,16,Jeremy Crutchley,24127895,Crime|Drama|Thriller,Jared Burke,437,USA,R,50000000,43,7.6,2.35,10000
Yimou Zhang,80,611,576,Tony Chiu Wai Leung,84961,Action|Adventure|History,Maggie Cheung,841,China,PG-13,31000000,643,7.9,2.35,0
Julie Anne Robinson,91,30,497,Debbie Reynolds,26404753,Action|Comedy|Crime|Romance|Thriller,Patrick Fischler,169,USA,PG-13,40000000,786,5.3,2.35,19000
Evan Goldberg,112,133,365,Randall Park,6105175,Comedy,Anders Holm,835,USA,R,44000000,392,6.6,2.35,50000
Sngmoo Lee,100,19,433,Dong-gun Jang,5664251,Action|Fantasy|Western,Jed Brophy,102,New Zealand,R,45000000,489,6.3,2.35,0
,30,,253,Gavin MacLeod,,Comedy|War,Bob Hastings,18,USA,TV-G,,284,7.5,4.0,455
Jean-Pierre Jeunet,105,0,52,Dany Boon,1260917,Action|Comedy|Crime,André Dussollier,71,France,R,27000000,172,7.2,2.35,0
Curtis Hanson,110,161,196,Omar Benson Miller,116724075,Drama|Music,Evan Jones,564,USA,R,41000000,418,7.0,2.35,0
Jamel Debbouze,101,326,6,Youssef Hajdi,,Adventure|Animation|Comedy|Family,Mélissa Theuriau,5,France,,,152,4.9,,161
Brian Helgeland,144,241,996,Rufus Sewell,56083966,Action|Adventure|Romance,Bérénice Bejo,658,USA,PG-13,65000000,3000,6.9,2.35,0
Gordon Chan,108,4,96,Lee Evans,22108977,Action|Comedy|Fantasy,Anthony Chau-Sang Wong,132,Hong Kong,PG-13,41000000,312,5.2,2.35,505
M. Night Shyamalan,107,0,766,Haley Joel Osment,293501675,Drama|Mystery|Thriller,Olivia Williams,2073,USA,PG-13,40000000,3000,8.1,1.85,14000
Asger Leth,102,20,54,Mandy Gonzalez,18600911,Action|Crime|Thriller,J. Smith-Cameron,153,USA,PG-13,42000000,81,6.6,2.35,11000
David Frankel,100,64,296,Kevin Pollak,7204138,Comedy,JoBeth Williams,125,USA,PG,41000000,574,6.2,2.35,11000
John G. Avildsen,126,80,225,William Zabka,90800000,Action|Drama|Family|Sport,William Bassett,235,USA,PG,8000000,641,7.2,1.85,0
David O. Russell,138,737,14000,Christian Bale,150117807,Crime|Drama,Bradley Cooper,751,USA,R,40000000,23000,7.3,2.35,63000
Anne Fletcher,108,98,723,Denis O'Hare,163947053,Comedy|Drama|Romance,Craig T. Nelson,273,USA,PG-13,40000000,896,6.7,2.35,10000
