director_name,num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Patrick Lussier,264,725,Jaime King,10000,Jensen Ackles,45603,14159,English,USA,R,15000000,960,5.5,0
Ole Bornedal,264,309,Madison Davenport,941,Kyra Sedgwick,47169,2348,English,USA,PG-13,14000000,459,5.9,17000
Ted Kotcheff,145,535,Brian Dennehy,13000,Sylvester Stallone,172493,15192,English,USA,R,14000000,954,7.7,0
Sylvain White,86,748,Laz Alonso,997,Chris Brown,19505,3544,English,USA,PG-13,14000000,826,5.2,0
Lewis Gilbert,112,238,Desmond Llewelyn,456,Caroline Munro,76477,1326,English,UK,PG,14000000,244,7.1,0
,17,84,Steve Gonsalves,155,Amy Bruni,5563,552,English,USA,,,130,6.6,373
Jamie Blanks,101,648,Loretta Devine,975,Alicia Witt,47814,3500,English,USA,R,14000000,912,5.5,0
Stephen Frears,51,418,Peter Capaldi,18000,Keanu Reeves,52846,35501,English,USA,R,14000000,17000,7.7,0
Tyler Perry,42,490,Phylicia Rashad,849,Eddie Cibrian,6352,2226,English,USA,PG-13,,597,5.4,0
Randal Kleiser,10,25,Klaus Maria Brandauer,327,Seymour Cassel,15730,552,English,USA,PG,14000000,172,6.7,0
Bruce McCulloch,43,636,Elaine Hendrix,8000,Will Ferrell,15047,10792,English,USA,PG-13,14000000,670,5.0,2000
Phyllida Lloyd,331,583,Jim Broadbent,11000,Meryl Streep,82327,12894,English,UK,PG-13,13000000,1000,6.4,18000
Mike Nawrocki,38,8,Mike Nawrocki,23,Phil Vischer,3135,49,English,USA,G,14000000,12,6.6,184
John Singleton,12,279,Khandi Alexander,592,Janet Jackson,8904,1620,English,USA,R,14000000,556,5.9,0
Kevin Bray,40,111,Roger Guenveur Smith,706,Mike Epps,9693,1421,English,USA,R,14000000,266,5.7,530
Wes Craven,34,364,W. Earl Brown,723,John Witherspoon,17262,2348,English,USA,R,20000000,422,4.5,1000
John Boorman,82,467,Richard Burton,931,Linda Blair,16294,2704,English,USA,R,14000000,726,3.7,889
Courtney Solomon,125,50,James D'Arcy,874,Sissy Spacek,22207,1608,English,UK,PG-13,14000000,613,5.0,0
David Zucker,56,636,Tyler Labine,869,Carmen Electra,24038,3007,English,USA,PG-13,14000000,779,4.6,411
David Twohy,160,690,Milla Jovovich,26000,Chris Hemsworth,56338,41359,English,USA,R,14000000,14000,6.5,4000
Rick Famuyiwa,71,625,Lance Gross,953,America Ferrera,5721,3299,English,USA,PG-13,14000000,849,4.9,1000
Alan Cohn,37,654,Linda Cardellini,3000,Alyson Hannigan,11729,6861,English,USA,R,14000000,2000,6.0,645
Franco Zeffirelli,62,55,Joan Plowright,718,Lily Tomlin,9323,1148,English,Italy,PG,12000000,330,6.9,970
Tom Holland,73,514,Bethany Joy Lenz,1000,Joe Mantegna,19805,2777,English,USA,R,8500000,855,5.7,0
Martin Scorsese,59,213,Liza Minnelli,22000,Robert De Niro,13548,23378,English,USA,PG,14000000,740,6.7,932
Spike Lee,25,534,Delroy Lindo,1000,Alfre Woodard,6011,3267,English,USA,PG-13,14000000,848,6.9,905
Chris Rock,97,458,Eliza Coupe,12000,Steve Buscemi,13866,13446,English,USA,R,,490,5.5,488
James Isaac,205,489,Kane Hodder,1000,Peter Mensah,38985,3050,English,USA,R,11000000,935,4.4,0
Shawn Levy,69,799,Donald Faison,934,Frankie Muniz,29008,3707,English,USA,PG,15000000,927,5.4,896
Emilio Estevez,195,383,Nick Cannon,12000,Anthony Hopkins,38142,13528,English,USA,R,14000000,593,7.0,0
Mark Waters,61,169,Ivana Milicevic,878,Monica Potter,11693,2165,English,USA,PG-13,14000000,834,5.4,613
Josh Schwartz,77,635,Jackson Nicoll,962,Thomas McDonell,11233,3715,English,USA,PG-13,14000000,925,5.4,0
Julian Schnabel,259,177,Mathieu Amalric,413,Emmanuelle Seigner,89906,1372,French,France,PG-13,,412,8.0,13000
Todd Field,251,280,Noah Emmerich,14000,Kate Winslet,92781,15337,English,USA,R,26000000,617,7.6,5000
Davis Guggenheim,63,191,Sharon Lawrence,12000,Norman Reedus,12519,12776,English,USA,R,24000000,215,5.9,853
Tony Goldwyn,47,113,Julie Kavner,10000,Viggo Mortensen,6782,10368,English,USA,R,14000000,233,6.6,860
Phillip Noyce,108,15,Terry Pheto,543,Derek Luke,9334,678,English,France,PG-13,14000000,113,6.7,447
Stephen Carpenter,64,102,Angela Featherstone,159,Melissa Sagemiller,7277,417,English,USA,PG-13,14000000,102,3.9,231
James Ivory,20,5,Todd Boyce,423,Seth Gilliam,2427,446,English,France,PG-13,14000000,15,5.7,127
Stephan Elliott,135,548,Kristin Scott Thomas,14000,Colin Firth,16444,16431,English,UK,PG-13,,1000,6.7,2000
James Fargo,2,324,Joseph Cotten,16000,Christopher Lee,524,17250,English,Iran,PG,14000000,469,6.5,76
Mike Leigh,262,43,Ruth Sheen,149,Lesley Manville,17933,390,English,UK,R,8200000,44,6.8,0
Alain Resnais,129,59,Sara Forestier,412,Mathieu Amalric,3174,799,French,France,PG,,74,6.3,512
Costa-Gavras,69,284,Mathieu Kassovitz,380,Sebastian Koch,11077,1429,English,France,Unrated,103000000,326,7.3,0
Chao-Bin Su,50,21,Shawn Yue,149,Woo-sung Jung,6069,243,Mandarin,China,R,12000000,32,6.9,1000
Neil Burger,57,322,Katherine LaNasa,697,John Heard,11704,2243,English,USA,R,15000000,329,7.0,702
Kenneth Lonergan,116,338,Kieran Culkin,13000,Matt Damon,12053,14638,English,USA,R,14000000,1000,6.5,0
