director_name,duration,director_facebook_likes,actor_1_facebook_likes,movie_title,actor_2_facebook_likes
Walter Lang,100,9,188,State Fair ,135
Carlos Saura,115,98,341,Tango ,26
Oliver Stone,122,0,854,Salvador ,652
Andrew Erwin,98,10,589,Moms' Night Out ,416
Richard Kelly,133,219,15000,Donnie Darko ,933
Beto Gómez,105,5,274,Saving Private Perez ,154
Mike van Diem,122,4,25,Character ,20
Jonas Åkerlund,106,68,835,Spun ,601
Todd Solondz,98,377,1000,Life During Wartime ,887
Chan-wook Park,112,0,717,Lady Vengeance ,126
René Féret,120,0,24,Mozart's Sister ,12
Barry Skolnick,99,0,26000,Mean Machine ,1000
Johnnie To,110,143,155,Exiled ,96
Mateo Gil,102,3,820,Blackthorn ,356
Lukas Moodysson,109,187,129,Lilya 4-Ever ,2
Agnieszka Wojtowicz-Vosloo,104,0,14000,After.Life ,1000
Kabir Sadanand,134,0,327,Fugly ,82
Milos Forman,133,869,888,One Flew Over the Cuckoo's Nest ,721
Peter DeLuise,85,358,19000,R.L. Stine's Monsterville: The Cabinet of Souls ,570
Mel Brooks,87,0,898,Silent Movie ,842
Raja Menon,130,6,85,Airlift ,26
,199,,662,Anne of Green Gables             ,517
Ernie Barbarash,103,249,2000,Falcon Rising ,298
Nick Love,112,63,2000,The Sweeney ,1000
Jonathan Glazer,89,143,1000,Sexy Beast ,146
Daniel Espinosa,124,79,309,Easy Money ,254
Niki Caro,101,51,446,Whale Rider ,20
R. Balki,133,12,464,Paa ,374
Ivan Engler,112,0,29,Cargo ,9
Joe Wright,111,456,20000,Pan ,559
Kenny Ortega,98,197,755,High School Musical ,632
,60,,1000,Animal Kingdom             ,557
Richard Kwietniowski,93,23,471,Love and Death on Long Island ,232
Timur Bekmambetov,104,335,114,Night Watch ,28
Neil Jordan,112,277,1000,The Crying Game ,530
Bob Clark,94,84,110,Porky's ,95
George A. Romero,90,0,648,Survival of the Dead ,529
George A. Romero,96,0,125,Night of the Living Dead ,108
Sofia Coppola,101,0,19000,Lost in Translation ,13000
Woody Allen,93,11000,11000,Annie Hall ,636
Cecil B. DeMille,152,309,232,The Greatest Show on Earth ,178
Ridley Scott,150,0,23000,Exodus: Gods and Kings ,892
Marc Forster,112,395,13000,Monster's Ball ,595
Henry Hobson,95,9,584,Maggie ,430
Mike Figgis,111,81,12000,Leaving Las Vegas ,898
Duane Journey,86,2,707,Hansel & Gretel Get Baked ,619
Dan O'Bannon,108,228,431,The Return of the Living Dead ,426
Billy Wilder,105,0,597,The Front Page ,222
Rob Cohen,91,357,3000,The Boy Next Door ,465
Carol Reed,105,82,746,Trapeze ,119
,60,,1000,Saving Grace             ,1000
Lisa Cholodenko,106,450,14000,The Kids Are All Right ,3000
John Carpenter,93,0,355,They Live ,151
John Sturges,172,120,773,The Great Escape ,742
William Arntz,109,0,847,What the #$*! Do We (K)now!? ,670
Ed Gass-Donnelly,93,8,45000,The Last Exorcism Part II ,541
Richard Linklater,165,0,230,Boyhood ,193
Woody Allen,96,11000,19000,Scoop ,427
Tim Burton,119,13000,1000,Planet of the Apes ,658
DJ Pooh,93,69,522,The Wash ,231
DJ Pooh,82,69,939,3 Strikes ,706
Wayne Kramer,101,47,658,The Cooler ,636
John Huston,120,1000,862,The Misfits ,403
Patrick Stettner,81,5,49000,The Night Listener ,780
James Melkonian,82,7,584,The Jerky Boys ,246
Wes Craven,107,0,798,My Soul to Take ,374
J.A. Bayona,105,171,382,The Orphanage ,273
Michael Tiddes,86,89,986,A Haunted House 2 ,713
Roger Avary,110,675,16000,The Rules of Attraction ,977
Alfred Hitchcock,127,13000,204,Topaz ,187
Bob Odenkirk,90,0,812,Let's Go to Prison ,466
Allison Anders,110,99,4000,Four Rooms ,975
Steven Shainberg,104,30,769,Secretary ,413
Rick de Oliveira,96,2,960,The Real Cancun ,12
Oliver Stone,110,0,721,Talk Radio ,246
Christopher Guest,84,378,925,Waiting for Guffman ,729
Jeff Franklin,94,24,834,Love Stinks ,625
John Dahl,93,131,497,You Kill Me ,113
Mike Mills,96,101,730,Thumbsucker ,394
Kevin Smith,88,0,1000,Red State ,947
Dave McKean,101,21,420,Mirrormask ,291
Ron Fricke,102,330,48,Samsara ,0
Ruggero Deodato,87,101,721,The Barbarians ,576
Gavin Wiesen,83,19,947,The Art of Getting By ,685
Mora Stephens,103,5,1000,Zipper ,1000
Mars Callahan,99,60,979,Poolhall Junkies ,665
Mike Figgis,106,81,2000,The Loss of Sexual Innocence ,811
Leos Carax,115,227,690,Holy Motors ,227
David Gordon Green,117,234,12000,Joe ,1000
Stefan Schwartz,99,13,419,Shooting Fish ,254
Renny Harlin,102,212,10000,Prison ,633
Robert Lee King,85,0,945,Psycho Beach Party ,774
Kevin Allen,86,8,759,The Big Tease ,638
Jorge Ramírez Suárez,120,45,623,Buen Día, Ramón ,85
David Schwimmer,106,0,617,Trust ,163
Barry Levinson,103,272,736,An Everlasting Piece ,450
Sam Miller,93,12,578,Among Giants ,29
Anne Fontaine,112,105,18000,Adore ,6000
Dan Ireland,100,137,4000,The Velocity of Gary ,575
Fernando León de Aranoa,113,58,331,Mondays in the Sun ,27
Jim Mickle,98,53,530,Stake Land ,238
,23,,254,Sonny with a Chance             ,248
Stephen Kay,92,19,18000,The Last Time I Committed Suicide ,759
Karim Aïnouz,106,19,585,Futuro Beach ,29
Sam Levinson,119,8,3000,Another Happy Day ,3000
Julian Gilbey,99,7,762,A Lonely Place to Die ,706
Vincenzo Natali,90,165,686,Nothing ,246
