director_name,duration,director_facebook_likes,actor_3_facebook_likes,facenumber_in_poster,country,title_year,movie_facebook_likes
Kathryn Bigelow,157,0,304,0,USA,2012,39000
Peyton Reed,106,235,931,1,USA,2006,0
Phyllida Lloyd,108,58,838,1,USA,2008,10000
Garry Marshall,125,0,11000,12,USA,2010,9000
Jay Chandrasekhar,107,422,379,5,USA,2005,0
Terrence Malick,215,0,463,0,USA,1998,0
David Dobkin,118,71,634,2,USA,2011,13000
Milos Forman,118,869,21,1,UK,1999,0
Martin Scorsese,178,17000,574,2,USA,1995,11000
Pierre Morel,92,180,75,1,France,2010,0
Paul Hunter,104,13,343,3,USA,2003,846
Bobby Farrelly,116,101,79,1,USA,2000,0
Steve Oedekerk,90,176,523,1,Germany,2006,605
John Whitesell,93,14,728,0,USA,2006,1000
Chris Weitz,130,129,12000,2,USA,2009,13000
Andrew Adamson,90,80,21,1,USA,2001,0
George Nolfi,106,53,593,2,USA,2011,36000
Kevin Reynolds,155,58,720,0,USA,1991,0
Cameron Crowe,139,488,597,0,USA,1996,0
Seth MacFarlane,112,3000,1000,1,USA,2012,74000
James L. Brooks,139,274,285,0,USA,1997,11000
Tom Shadyac,115,293,878,1,USA,1998,0
Adam McKay,143,285,7000,2,USA,2013,41000
Steven Brill,96,65,828,1,USA,2002,0
J.J. Abrams,112,14000,417,0,USA,2011,37000
Steven Soderbergh,131,0,658,0,USA,2000,0
Donald Petrie,116,80,651,2,USA,2003,0
Phil Lord,112,97,584,2,USA,2014,24000
Neil Jordan,123,277,4000,0,USA,1994,11000
Peyton Reed,104,235,1000,1,USA,2008,0
Rawson Marshall Thurber,107,43,569,2,USA,2016,10000
Chris Columbus,124,0,701,2,USA,1998,0
Sean Anders,96,51,322,2,USA,2015,13000
Rob Marshall,125,252,10000,1,USA,2014,90000
Spike Lee,129,0,277,2,USA,2006,0
Brian Helgeland,90,241,416,1,USA,1999,0
Frank Marshall,109,155,293,0,USA,1995,0
Cameron Crowe,124,488,1000,3,USA,2011,22000
Alex Proyas,121,295,329,0,USA,2009,0
Tom Dey,95,9,11000,2,USA,2006,2000
Hideo Nakata,128,62,874,0,USA,2005,0
Glenn Ficarra,118,43,7000,7,USA,2011,44000
Peter Hewitt,80,12,58,0,USA,2004,795
Joe Roth,99,148,660,1,USA,2004,0
Bennett Miller,133,152,11000,1,USA,2011,27000
Wolfgang Petersen,127,249,808,3,USA,1995,0
Jaume Collet-Serra,106,174,660,0,UK,2014,24000
Andy Fickman,98,99,433,3,USA,2009,0
James McTeigue,132,160,443,1,USA,2005,48000
David Dobkin,114,71,55,2,USA,2003,955
,45,,132,2,UK,,0
Matthew O'Callaghan,78,5,1000,0,USA,2006,624
Angela Robinson,101,23,541,1,USA,2005,1000
Gary Fleder,113,39,477,0,USA,2001,970
Tommy Wirkola,98,75,467,2,Germany,2013,45000
Adrian Lyne,124,213,372,0,USA,2002,0
D.J. Caruso,109,154,144,1,USA,2011,27000
Stephen Gaghan,128,79,414,0,USA,2005,0
Michael Bay,144,0,681,0,USA,2016,44000
Jorge R. Gutiérrez,95,34,679,1,USA,2014,18000
Richard Loncraine,105,12,935,1,USA,2006,773
Clint Eastwood,121,16000,826,0,USA,1997,1000
Ridley Scott,125,0,957,1,USA,1997,2000
David Fincher,129,21000,283,1,USA,1997,25000
Christophe Gans,132,50,368,0,Canada,2006,0
Howard Deutch,118,41,585,1,USA,2000,0
Jon Hurwitz,113,22,1000,7,USA,2012,39000
F. Gary Gray,140,473,294,2,Germany,1998,3000
Steven Quale,89,77,159,0,USA,2014,15000
John Landis,104,644,174,1,USA,1994,669
Joe Dante,106,287,767,0,USA,1990,0
David Dobkin,141,71,3000,1,USA,2014,47000
Mimi Leder,124,75,258,2,USA,1997,0
Alexander Witt,98,38,706,1,Germany,2004,0
Beeban Kidron,108,17,186,1,UK,2004,0
Carl Franklin,114,73,323,3,USA,2003,1000
Steven Seagal,101,0,158,1,USA,1994,812
Robert Rodriguez,93,0,717,1,USA,2005,0
Danny Boyle,119,0,39,0,USA,2000,0
Garry Marshall,119,0,434,1,USA,2004,718
James McTeigue,99,160,72,0,USA,2009,0
Sam Raimi,137,0,432,0,USA,1999,0
,105,,5,1,UK,,361
Andrew Bergman,117,31,210,1,USA,1996,877
Tom Dey,87,9,1000,0,USA,2010,0
Clint Eastwood,129,16000,447,0,USA,2010,16000
Barbet Schroeder,115,58,401,0,USA,2002,0
Richard Donner,132,503,282,0,France,1995,0
Peter Webber,131,73,163,0,UK,2007,3000
Rob Reiner,95,0,323,1,USA,1999,0
Andrew Niccol,125,487,201,3,USA,2013,43000
John McTiernan,98,323,511,0,Germany,2003,0
Clint Eastwood,110,16000,581,1,USA,2002,705
Tom Tykwer,118,670,294,0,USA,2009,0
John Carpenter,101,0,764,0,USA,1996,0
,60,,398,2,USA,,915
Brad Bird,90,663,521,1,USA,1999,0
Wes Anderson,119,0,639,8,USA,2004,0
Gary Ross,139,378,303,1,USA,2016,10000
Alan Parker,130,317,256,0,USA,2003,0
Stephen Herek,100,65,730,5,USA,2005,779
Jaume Collet-Serra,114,174,655,2,USA,2015,15000
David Cronenberg,96,0,509,1,USA,2007,0
John Stockwell,110,134,795,3,USA,2005,0
Luc Besson,158,0,15,0,France,1999,0
David Gordon Green,102,234,11000,3,USA,2011,18000
Jim Sheridan,84,260,692,0,USA,2011,0
Costa-Gavras,115,333,317,2,USA,1997,697
Patrick Read Johnson,99,32,479,1,USA,1994,0
Roland Joffé,135,596,2000,1,USA,1995,943
Doug Liman,108,218,405,2,USA,2010,9000
,43,,600,3,USA,,0
Tony Scott,127,12000,897,0,France,2005,0
William Friedkin,107,607,602,0,USA,1995,422
Mark Neveldine,95,83,1000,1,USA,2009,0
Richard LaGravenese,124,98,592,7,USA,2013,14000
Danny DeVito,109,0,809,2,UK,2002,0
Ben Stiller,102,0,1000,4,USA,2016,28000
George Armitage,88,5,338,5,USA,2004,288
Mike Nichols,87,0,591,0,USA,2000,255
Patrick Lussier,104,71,982,1,USA,2011,15000
Andrzej Bartkowiak,96,43,77,2,Canada,2009,0
James Wong,85,70,848,1,USA,2001,0
,64,,184,8,USA,,31000
Renny Harlin,104,212,380,5,USA,1990,2000
Richard Curtis,135,628,830,2,UK,2009,21000
Steven Soderbergh,190,0,215,0,USA,2000,0
Steven Spielberg,127,14000,440,5,USA,1989,0
Joe Wright,129,456,0,1,UK,2012,36000
Neill Blomkamp,120,662,502,0,USA,2015,67000
Phillip Noyce,118,176,308,2,USA,1999,0
David Fincher,112,21000,237,0,USA,2002,0
Chuck Bowman,89,42,235,0,USA,2006,352
David O. Russell,114,737,393,1,USA,1999,3000
Daniel Espinosa,137,79,194,3,Czech Republic,2015,18000
Jerry Zucker,112,109,261,8,Canada,2001,0
Iain Softley,120,34,1000,1,USA,2001,0
James Mangold,123,446,821,1,USA,2001,0
Harold Ramis,93,11000,484,2,USA,2000,0
Francis Ford Coppola,123,0,886,1,USA,1984,828
James Mangold,122,446,600,1,USA,2007,0
Olivier Megaton,115,118,482,0,France,2014,38000
Steven Soderbergh,123,0,23,1,USA,1998,0
Ben Stiller,96,0,302,1,USA,1996,0
Deepa Mehta,110,375,59,0,India,1998,522
Warren Beatty,105,631,327,1,USA,1990,2000
John McTiernan,113,323,835,0,USA,1999,0
Penny Marshall,132,545,807,1,USA,2001,0
Ted Kotcheff,93,270,535,1,USA,1982,0
Andrei Tarkovsky,115,0,12,0,Soviet Union,1972,0
Paul Bolger,75,0,677,3,USA,2006,261
Stephen Frears,108,350,77,1,USA,1996,616
P.J. Hogan,105,29,692,1,USA,1997,0
Joe Roth,102,148,135,4,USA,2001,881
Christopher Nolan,118,22000,319,0,USA,2002,0
Jonathan Frakes,111,906,906,2,USA,1996,3000
Jimmy Hayward,81,39,364,1,USA,2010,0
