director_name,director_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,imdb_score,movie_facebook_likes
George P. Cosmatos,170,Dana Delany,2000,56505065,Action|Biography|Drama|History|Romance|Western,Tombstone ,95241,4453,0,http://www.imdb.com/title/tt0108358/?ref_=fn_tt_tt_1,439,English,R,25000000,7.8,11000
Andrzej Bartkowiak,43,Delroy Lindo,5000,55973336,Action|Crime|Thriller,Romeo Must Die ,57040,9082,1,http://www.imdb.com/title/tt0165929/?ref_=fn_tt_tt_1,365,English,R,25000000,6.1,0
Richard Donner,503,Patrick Troughton,264,,Fantasy|Horror|Mystery,The Omen ,80958,673,2,http://www.imdb.com/title/tt0075005/?ref_=fn_tt_tt_1,310,English,R,2800000,7.6,7000
James Wong,70,Gina Holden,440,54098051,Horror,Final Destination 3 ,102861,2420,0,http://www.imdb.com/title/tt0414982/?ref_=fn_tt_tt_1,571,English,R,25000000,5.8,0
Scott Hicks,96,Riley Thomas Stewart,713,60443237,Drama|Romance,The Lucky One ,76882,1852,0,http://www.imdb.com/title/tt1327194/?ref_=fn_tt_tt_1,106,English,PG-13,25000000,6.5,29000
Gabor Csupo,47,Zooey Deschanel,14000,82234139,Adventure|Drama|Family|Fantasy,Bridge to Terabithia ,110390,28071,3,http://www.imdb.com/title/tt0398808/?ref_=fn_tt_tt_1,522,English,PG,17000000,7.2,6000
Marc Forster,395,Kate Winslet,40000,51676606,Biography|Drama|Family,Finding Neverland ,174591,58823,1,http://www.imdb.com/title/tt0308644/?ref_=fn_tt_tt_1,632,English,PG,25000000,7.8,0
Tyler Perry,0,Tika Sumpter,975,52528330,Comedy|Drama,A Madea Christmas ,4265,3202,0,http://www.imdb.com/title/tt2609758/?ref_=fn_tt_tt_1,27,English,PG-13,25000000,4.7,0
Joe Carnahan,248,Frank Grillo,14000,51533608,Action|Adventure|Drama|Thriller,The Grey ,203111,16606,1,http://www.imdb.com/title/tt1601913/?ref_=fn_tt_tt_1,755,English,R,25000000,6.8,32000
John Polson,21,Dylan Baker,22000,51097664,Drama|Horror|Mystery|Thriller,Hide and Seek ,70205,23328,0,http://www.imdb.com/title/tt0382077/?ref_=fn_tt_tt_1,450,English,R,30000000,5.9,0
Adam McKay,285,Will Ferrell,640000,84136909,Comedy,Anchorman: The Legend of Ron Burgundy ,267921,656730,5,http://www.imdb.com/title/tt0357413/?ref_=fn_tt_tt_1,577,English,PG-13,26000000,7.2,0
Martin Scorsese,17000,Mike Starr,22000,46836394,Biography|Crime|Drama,Goodfellas ,728685,24783,3,http://www.imdb.com/title/tt0099685/?ref_=fn_tt_tt_1,989,English,R,25000000,8.7,25000
Harald Zwart,91,Frankie Muniz,1000,47285499,Action|Adventure|Comedy|Crime|Family|Romance|Thriller,Agent Cody Banks ,26755,3037,3,http://www.imdb.com/title/tt0313911/?ref_=fn_tt_tt_1,104,English,PG,26000000,5.0,542
Kirk Jones,52,Kelly Macdonald,14000,47124400,Comedy|Family|Fantasy,Nanny McPhee ,49676,17278,0,http://www.imdb.com/title/tt0396752/?ref_=fn_tt_tt_1,181,English,PG,25000000,6.6,0
Brian De Palma,0,F. Murray Abraham,14000,44700000,Crime|Drama,Scarface ,537442,16464,0,http://www.imdb.com/title/tt0086250/?ref_=fn_tt_tt_1,851,English,R,25000000,8.3,19000
Steve Oedekerk,176,Michael McKean,742,44455658,Action|Adventure|Comedy|Crime,Nothing to Lose ,36253,2457,2,http://www.imdb.com/title/tt0119807/?ref_=fn_tt_tt_1,92,English,R,25000000,6.7,0
Bernardo Bertolucci,973,Joan Chen,1000,43984230,Biography|Drama|History,The Last Emperor ,70274,2451,0,http://www.imdb.com/title/tt0093389/?ref_=fn_tt_tt_1,133,English,PG-13,23000000,7.8,0
Baltasar Kormákur,175,David O'Hara,24000,66489425,Action|Crime|Drama|Thriller,Contraband ,101977,26625,3,http://www.imdb.com/title/tt1524137/?ref_=fn_tt_tt_1,161,English,R,25000000,6.5,0
Brett Ratner,420,Paul Sorvino,695,41067398,Action|Comedy|Crime|Thriller,Money Talks ,22748,2530,2,http://www.imdb.com/title/tt0119695/?ref_=fn_tt_tt_1,41,English,R,25000000,6.1,666
Paul Thomas Anderson,0,Paul F. Tompkins,272,40218903,Drama,There Will Be Blood ,372990,533,0,http://www.imdb.com/title/tt0469494/?ref_=fn_tt_tt_1,1107,English,R,25000000,8.1,16000
Cathy Malkasian,0,Flea,1000,39880476,Adventure|Animation|Comedy|Family|Fantasy,The Wild Thornberrys Movie ,12218,2908,0,http://www.imdb.com/title/tt0282120/?ref_=fn_tt_tt_1,33,English,PG,25000000,5.2,187
John Eng,0,Cree Summer,971,39399750,Adventure|Animation|Comedy|Family|Fantasy|Musical,Rugrats Go Wild ,5674,3017,0,http://www.imdb.com/title/tt0337711/?ref_=fn_tt_tt_1,35,English,PG,25000000,5.6,329
Malcolm D. Lee,92,Eddie Griffin,744,38230435,Action|Comedy,Undercover Brother ,29661,3001,3,http://www.imdb.com/title/tt0279493/?ref_=fn_tt_tt_1,179,English,PG-13,25000000,5.8,0
Ken Kwapis,42,America Ferrera,2000,39008741,Comedy|Drama|Family|Romance,The Sisterhood of the Traveling Pants ,44838,6862,0,http://www.imdb.com/title/tt0403508/?ref_=fn_tt_tt_1,223,English,PG,25000000,6.6,0
Chris Nahon,20,Bridget Fonda,5000,36833473,Action|Crime|Drama|Thriller,Kiss of the Dragon ,53126,7945,1,http://www.imdb.com/title/tt0271027/?ref_=fn_tt_tt_1,254,English,R,25000000,6.6,0
Fred Wolf,29,Katharine McPhee,15000,48237389,Comedy|Romance,The House Bunny ,63969,18789,1,http://www.imdb.com/title/tt0852713/?ref_=fn_tt_tt_1,126,English,PG-13,25000000,5.5,0
Bille Woodruff,23,Keshia Knight Pulliam,1000,36310118,Comedy,Beauty Shop ,13194,3535,1,http://www.imdb.com/title/tt0388500/?ref_=fn_tt_tt_1,59,English,PG-13,,5.5,671
Craig Gillespie,44,Suraj Sharma,4000,36447959,Biography|Drama|Sport,Million Dollar Arm ,35833,6393,0,http://www.imdb.com/title/tt1647668/?ref_=fn_tt_tt_1,96,English,PG,25000000,7.0,10000
Phillip Noyce,176,Meryl Streep,12000,45089048,Drama|Romance|Sci-Fi,The Giver ,86251,36064,3,http://www.imdb.com/title/tt0435651/?ref_=fn_tt_tt_1,260,English,PG-13,25000000,6.5,58000
Dennie Gordon,29,Oliver James,14000,35990505,Comedy|Drama|Family|Romance,What a Girl Wants ,48095,16400,1,http://www.imdb.com/title/tt0286788/?ref_=fn_tt_tt_1,194,English,PG,20000000,5.8,0
Victor Salva,108,Jonathan Breck,296,35143332,Horror,Jeepers Creepers II ,45102,1340,0,http://www.imdb.com/title/tt0301470/?ref_=fn_tt_tt_1,316,English,R,17000000,5.6,0
Mark Helfrich,7,Dan Fogler,1000,35000629,Comedy|Romance,Good Luck Chuck ,74622,2822,1,http://www.imdb.com/title/tt0452625/?ref_=fn_tt_tt_1,150,English,R,25000000,5.6,0
Andrzej Bartkowiak,43,Tom Arnold,5000,34604054,Action|Crime|Drama|Thriller,Cradle 2 the Grave ,34942,6867,2,http://www.imdb.com/title/tt0306685/?ref_=fn_tt_tt_1,185,English,R,30000000,5.8,1000
Stephen Daldry,335,Stephen Dillane,11000,41597830,Drama|Romance,The Hours ,102123,12624,3,http://www.imdb.com/title/tt0274558/?ref_=fn_tt_tt_1,660,English,PG-13,25000000,7.6,0
Andy Fickman,99,Alexandra Breckenridge,17000,33687630,Comedy|Romance,She's the Man ,116762,20109,0,http://www.imdb.com/title/tt0454945/?ref_=fn_tt_tt_1,261,English,PG-13,20000000,6.4,0
Steve Bendelack,68,Emma de Caunes,328,32553210,Comedy|Family,Mr. Bean's Holiday ,88714,794,0,http://www.imdb.com/title/tt0453451/?ref_=fn_tt_tt_1,235,English,PG,25000000,6.3,0
Dwight H. Little,27,Salli Richardson-Whitfield,601,31526393,Action|Adventure|Horror|Thriller,Anacondas: The Hunt for the Blood Orchid ,22243,2730,0,http://www.imdb.com/title/tt0366174/?ref_=fn_tt_tt_1,144,English,PG-13,25000000,4.6,686
Guillaume Canet,0,Lili Taylor,15000,41229,Crime|Drama|Thriller,Blood Ties ,14612,18442,6,http://www.imdb.com/title/tt1747958/?ref_=fn_tt_tt_1,41,English,R,25500000,6.5,0
Kirsten Sheridan,59,Aaron Staton,49000,31655091,Drama|Music,August Rush ,87331,50927,0,http://www.imdb.com/title/tt0426931/?ref_=fn_tt_tt_1,364,English,PG,30000000,7.5,18000
Shekhar Kapur,159,John Gielgud,288,30012990,Biography|Drama|History,Elizabeth ,75973,1006,1,http://www.imdb.com/title/tt0127536/?ref_=fn_tt_tt_1,409,English,R,25000000,7.5,0
Ronny Yu,31,Park Bench,285,32368960,Comedy|Fantasy|Horror|Romance,Bride of Chucky ,39768,667,0,http://www.imdb.com/title/tt0144120/?ref_=fn_tt_tt_1,292,English,R,25000000,5.3,0
Richard Fleischer,130,Richard Anderson,469,14500000,Action|Drama|History|War,Tora! Tora! Tora! ,25019,1548,0,http://www.imdb.com/title/tt0066473/?ref_=fn_tt_tt_1,159,English,G,25000000,7.5,0
Bob Spiers,14,Richard Briers,1000,29247405,Comedy|Family|Music,Spice World ,28377,2176,1,http://www.imdb.com/title/tt0120185/?ref_=fn_tt_tt_1,261,English,PG,25000000,3.3,0
David Gordon Green,234,J.B. Smoove,904,30538669,Comedy,The Sitter ,60202,3850,3,http://www.imdb.com/title/tt1366344/?ref_=fn_tt_tt_1,114,English,R,,5.7,0
Damien Dante Wayans,82,Essence Atkins,756,25615792,Action|Comedy|Music,Dance Flick ,10161,4378,0,http://www.imdb.com/title/tt1153706/?ref_=fn_tt_tt_1,50,English,PG-13,25000000,3.5,657
Frank Darabont,0,Jeffrey DeMunn,11000,28341469,Crime|Drama,The Shawshank Redemption ,1689764,13495,0,http://www.imdb.com/title/tt0111161/?ref_=fn_tt_tt_1,4144,English,R,25000000,9.3,108000
Simon Wincer,23,Paul Hogan,460,25590119,Adventure|Comedy|Crime,Crocodile Dundee in Los Angeles ,19699,1315,0,http://www.imdb.com/title/tt0231402/?ref_=fn_tt_tt_1,119,English,PG,21150000,4.8,387
Bobby Farrelly,101,Lin Shaye,13000,24944213,Comedy|Sport,Kingpin ,63459,16937,2,http://www.imdb.com/title/tt0116778/?ref_=fn_tt_tt_1,185,English,PG-13,27000000,6.9,3000
Rupert Wyatt,81,Cjon Saulsberry,3000,33631221,Crime|Drama|Thriller,The Gambler ,48559,3784,1,http://www.imdb.com/title/tt2039393/?ref_=fn_tt_tt_1,145,English,R,25000000,6.0,0
