director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,actor_3_name,facenumber_in_poster,plot_keywords,title_year,aspect_ratio,movie_facebook_likes
Tay Garnett,7,119,10,275,Greer Garson,509,,Lionel Barrymore,0,immigrant|maid|steel mill|strike|union,1945,1.37,68
Shyam Madiraju,5,90,0,708,Ethan Peck,1000,,Brad Schmidt,2,flare gun|island|plane crash|soccer team|stranded,2015,,452
Harmage Singh Kalirai,10,90,11,18,Zohra Segal,114,,Shobu Kapoor,3,acceptance|coming out to family|gay|large family|wedding,2005,1.85,172
Rita Merson,5,97,5,782,James Wolk,3000,,Jason Ritter,5,claim in title|contraction in title|new york|new york city|woodstock,2014,,107
Jon Knautz,95,90,10,42,Daniel Kash,371,,Stefanie Drummond,2,cult film|demon|monster slayer|uncle|vomiting,2007,1.85,870
William Wyler,97,172,355,188,Teresa Wright,749,23650000,Dana Andrews,5,love|pity|readjusting to civilian life|veteran|world war two veteran,1946,1.37,0
Larry Clark,76,115,184,551,Nick Stahl,730,510092,Brad Renfro,0,cruelty|friend|male frontal nudity|male nudity|pubic hair,2001,1.85,0
Petter Næss,67,89,16,14,Per Christian Ellefsen,117,313436,Sven Nordin,0,friendship|mental illness|poet|sex obsession|virgin,2001,1.85,0
Robert Fontaine,4,125,7,17,Arturo Castro,128,3330,Brad Lee Wind,0,,2015,2.35,305
Jaume Balagueró,252,78,57,7,Pablo Rosso,120,,Carlos Lasarte,0,apartment building|character's point of view camera shot|fire station|subjective camera|television reporter,2007,1.85,15000
Patricia Cardoso,,89,15,650,Martha Higareda,919,,Cheyenne Haynes,1,,2010,1.78,162
Dan Perri,1,100,0,338,David Proval,749,,Carmen Argenziano,0,,2015,2.39,14
Neil Mcenery-West,33,77,0,260,Michael Chapman,846,,Louise Brealey,0,hazmat suit,2015,,275
Anthony O'Brien,19,81,7,106,Maria Doyle Kennedy,412,,Shaun O'Hagan,1,,2015,2.35,380
Terence Young,167,115,92,177,Daniela Bianchi,559,24800000,Lois Maxwell,0,assassin|british agent|british secret service|decoder|russian,1963,1.37,0
Michael Herz,49,96,6,14,Jessica Dublin,40,792966,Lisa Gaye,2,bare breasts|japan|tokyo japan|toxic avenger|troma,1989,1.33,321
,1,60,,213,Alan Autry,480,,Crystal R. Fox,1,detective|mississippi|police|police detective|small town,,1.33,763
Woody Allen,66,89,11000,45,John Beck,11000,,Mews Small,0,frozen|future|health food|leader|police,1973,1.85,0
David Robert Mitchell,533,100,421,159,Ruby Harris,314,14673301,Jake Weary,0,ambiguous ending|being followed|sex scene|supernatural|supernatural being,2014,2.35,45000
Woody Allen,50,88,11000,258,John Carradine,11000,,Lynn Redgrave,5,aphrodisiac|court jester|jester|queen|written and directed by cast member,1972,1.85,0
Robert Mulligan,127,129,89,161,Brock Peters,3000,,William Windom,0,1930s|alabama|lawyer|six year old|trial,1962,1.85,15000
George Miller,177,87,750,41,Bruce Spence,745,9003011,Kjell Nilsson,0,australian|gasoline|post apocalypse|refinery|warrior,1981,2.35,0
Chia-Liang Liu,77,102,32,75,Anita Mui,483,11546543,Ho-Sung Pak,1,battle|fight|fighting|martial artist|snake,1994,2.35,0
Stanley Kubrick,103,152,0,177,Shelley Winters,618,,Lois Maxwell,0,lolita|nymphet|older man young girl relationship|professor|writer,1962,1.66,0
Kimberly Peirce,123,118,108,103,Brendan Sexton III,173,11533945,Jeannetta Arnette,0,drinking|female dressed as male|love|nebraska|transgender,1999,1.85,0
