actor_2_name,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Ingrid Bolsø Berdal,1000,Jesse McCartney,52642,2665,271,1000000,466,5.0,1.85,24000
Ashley Laurence,266,Andrew Robinson,76407,673,335,1000000,209,7.0,1.85,0
Robin Givens,634,Benjamin A. Onyango,4501,1810,102,5000000,420,3.4,2.35,0
Gary Cole,1000,Julian Morris,23021,3155,220,1000000,989,5.9,2.35,816
Naomi Nishida,43,Hiroshi Abe,5442,53,140,1000000000,3,6.0,2.35,339
Mike Vogel,33000,Ryan Gosling,141425,35941,283,3500000,2000,7.4,1.66,25000
Felicity Huffman,2000,Kevin Zegers,36321,3192,230,1000000,508,7.4,1.85,0
Claudiu Trandafir,403,Fernanda Andrade,30570,988,290,1000000,169,4.2,1.85,12000
Cynthia Myers,503,Charles Napier,7584,731,137,900000,46,6.2,2.35,0
Neville Brand,356,James Drury,2636,831,36,1000000,110,6.2,2.35,365
Al Gore,861,Billy West,67654,929,504,,68,7.5,1.85,0
Richard Jaeckel,183,James Brown,7346,510,69,1000000,102,7.2,1.37,624
Keith Richards,543,Mick Jagger,9638,1218,67,,426,7.2,1.85,0
Richard Burgi,640,Daryl Sabara,21468,2082,164,6000000,550,5.4,2.35,12000
Alex Lawther,202,Juliet Stevenson,162,283,5,1100000,47,7.0,1.85,75
Adam Arkin,422,W. Earl Brown,36381,1899,126,1000000,374,7.2,1.85,11000
Eric Schlosser,37,Michael Pollan,42389,42,183,,3,7.9,1.78,37000
Robert Amaya,544,Rachel Hendrix,6110,1147,82,,264,6.8,,0
Callie Thorne,22000,Philip Seymour Hoffman,4195,23461,86,1000000,472,6.7,1.85,392
Jennifer Garner,24000,J.K. Simmons,414345,28817,881,7500000,3000,7.5,1.85,10000
Boyd Holbrook,3000,Ty Burrell,31254,3986,79,,439,6.8,2.35,0
