director_facebook_likes,cast_total_facebook_likes,facenumber_in_poster,movie_imdb_link,content_rating,title_year,actor_2_facebook_likes,movie_facebook_likes
453,50313,2,http://www.imdb.com/title/tt0433387/?ref_=fn_tt_tt_1,R,2005,23000,0
5,2739,1,http://www.imdb.com/title/tt3268668/?ref_=fn_tt_tt_1,PG-13,2015,426,0
0,11327,0,http://www.imdb.com/title/tt0290212/?ref_=fn_tt_tt_1,R,2002,724,134
85,901,1,http://www.imdb.com/title/tt0090327/?ref_=fn_tt_tt_1,R,1986,194,0
,1359,3,http://www.imdb.com/title/tt0194624/?ref_=fn_tt_tt_1,TV-14,,396,558
0,1645,0,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1,PG-13,1996,591,0
263,226,3,http://www.imdb.com/title/tt0367027/?ref_=fn_tt_tt_1,Unrated,2006,51,0
56,56,0,http://www.imdb.com/title/tt1185616/?ref_=fn_tt_tt_1,R,2008,0,0
0,359,1,http://www.imdb.com/title/tt0349159/?ref_=fn_tt_tt_1,PG-13,2003,69,32
117,446,0,http://www.imdb.com/title/tt0912593/?ref_=fn_tt_tt_1,,2007,21,0
22,11184,3,http://www.imdb.com/title/tt3172532/?ref_=fn_tt_tt_1,R,2015,1000,0
,11618,5,http://www.imdb.com/title/tt0212662/?ref_=fn_tt_tt_1,,,289,43
90,408,0,http://www.imdb.com/title/tt0925248/?ref_=fn_tt_tt_1,PG,2007,142,0
129,3427,1,http://www.imdb.com/title/tt1518812/?ref_=fn_tt_tt_1,PG,2010,962,0
13,1136,0,http://www.imdb.com/title/tt0418753/?ref_=fn_tt_tt_1,NC-17,2005,334,592
34,1156,1,http://www.imdb.com/title/tt0229340/?ref_=fn_tt_tt_1,R,2000,159,495
11,3011,4,http://www.imdb.com/title/tt0118866/?ref_=fn_tt_tt_1,PG-13,1997,559,166
10,768,0,http://www.imdb.com/title/tt1695994/?ref_=fn_tt_tt_1,R,2010,131,974
0,1917,1,http://www.imdb.com/title/tt0090095/?ref_=fn_tt_tt_1,R,1985,572,739
0,51441,2,http://www.imdb.com/title/tt0372334/?ref_=fn_tt_tt_1,PG-13,2004,1000,857
