duration,actor_3_facebook_likes,actor_2_name,genres,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,budget,imdb_score,movie_facebook_likes
107,569,Thomas Kretschmann,Action|Comedy|Crime,33354,Megan Park,2,accountant|blooper|espionage|facebook|high school reunion,110,English,USA,50000000,6.6,10000
124,701,Liam Aiken,Comedy|Drama,46482,Herbert Russell,2,attorney|cancer|custody|fashion photographer|photographer,252,English,USA,50000000,6.7,0
96,322,Linda Cardellini,Comedy|Family,54010,Mark L. Young,2,biological father|dad|drinking|product placement|wilhelm scream,130,English,USA,50000000,6.1,13000
125,10000,Meryl Streep,Adventure|Comedy|Drama|Fantasy|Musical,101178,Anna Kendrick,1,based on stage musical|cinderella|little red riding hood|singing|witch,779,English,USA,50000000,6.0,90000
129,277,James Ransone,Crime|Drama|Mystery|Thriller,273108,Peter Gerety,2,bank|detective|negotiation|police|robber,646,English,USA,45000000,7.6,0
90,416,Deborah Kara Unger,Action|Crime|Drama|Thriller,111368,William Devane,1,anti hero|criminal|greed|prostitute|tough guy,394,English,USA,50000000,7.1,0
109,293,Joe Don Baker,Action|Adventure|Mystery|Sci-Fi,34471,Grant Heslov,0,captain|congo|expedition|laser|lost city,147,English,USA,50000000,5.0,0
124,1000,Matt Damon,Comedy|Drama|Family,111003,Stephanie Szostak,3,blocked road|father son relationship|love at first sight|teenage boy|zookeeper,199,English,USA,,7.1,22000
121,329,Ben Mendelsohn,Drama|Mystery|Sci-Fi|Thriller,186879,Chandler Canterbury,0,disaster|end of the world|number|student|time capsule,791,English,USA,50000000,6.2,0
95,11000,Matthew McConaughey,Comedy|Romance,58412,Zooey Deschanel,2,friend|intervention|moving|secret|slacker,242,English,USA,50000000,5.6,2000
128,874,Gary Cole,Horror|Mystery,71153,Sissy Spacek,0,cartoon on tv|foreign language adaptation|second part|videotape|writer,560,English,USA,,5.4,0
118,7000,Emma Stone,Comedy|Drama|Romance,375456,Steve Carell,7,bar|divorce|friend|girl|male objectification,292,English,USA,50000000,7.4,44000
80,58,Mark Christopher Lawrence,Animation|Comedy|Family|Fantasy,58961,Michael Monks,0,cat|dog|first part|lasagna|veterinarian,232,English,USA,35000000,5.0,795
99,660,Cheech Marin,Comedy|Family,27548,Jake Busey,1,act of kindness|christmas|christmas eve|neighbor|vacation,209,English,USA,60000000,5.2,0
133,11000,Robin Wright,Biography|Drama|Sport,283563,Brad Pitt,1,baseball|meeting|statistics|strategy|voice over,312,English,USA,50000000,7.6,27000
127,808,Morgan Freeman,Action|Drama|Thriller,91176,Rene Russo,3,disease|epidemic|monkey|quarantine|virus,130,English,USA,50000000,6.6,0
106,660,Nate Parker,Action|Mystery|Thriller,200647,Scoot McNairy,0,air marshal|death|passenger|terrorist|transatlantic flight,384,English,UK,50000000,7.0,24000
98,433,Billy Brown,Action|Adventure|Family|Fantasy|Sci-Fi|Thriller,43328,Tom Everett Scott,3,alien|military|mountain|spacecraft|ufo,110,English,USA,65000000,5.7,0
132,443,Eddie Marsan,Action|Drama|Thriller,791783,Rupert Graves,1,dystopia|freedom|government|revolution|terrorist,2042,English,USA,54000000,8.2,48000
114,55,Anna-Louise Plowman,Action|Adventure|Comedy,81444,Georgina Chapman,2,1880s|arrow|imperial seal|murder|revenge,192,English,USA,50000000,6.2,955
45,132,Gemma Jones,Crime|Drama,1824,Nicola Walker,2,,9,English,UK,,7.9,0
78,1000,Frank Welker,Adventure|Animation|Comedy|Family,12845,Alexander Gould,0,hat|monkey|museum|shrine|yellow,118,English,USA,50000000,6.6,624
101,541,Thomas Lennon,Adventure|Comedy|Family|Fantasy|Romance|Sport,36431,Cheryl Hines,1,automobile racing|car|mechanic|nascar|street racing,168,English,USA,50000000,4.7,1000
113,477,Jennifer Esposito,Crime|Drama|Mystery|Thriller,40362,Conrad Goode,0,mental institution|post traumatic stress|psychiatrist|vomiting|voyeur,248,English,USA,50000000,6.3,970
98,467,Derek Mears,Action|Fantasy|Horror,159868,Ingrid Bolsø Berdal,2,bounty hunter|brother sister team|death of loved one|hansel and gretel|supernatural power,304,English,Germany,50000000,6.1,45000
124,372,Erik Per Sullivan,Drama|Thriller,63067,Chad Lowe,0,erotic thriller|infidelity|marital infidelity|unfaithfulness|wife's lover murdered by husband,533,English,USA,50000000,6.7,0
109,144,Emily Wickersham,Action|Adventure|Sci-Fi|Thriller,195043,Reuben Langdon,1,based on young adult novel|good versus evil|guardian|human alien|ohio,329,English,USA,60000000,6.1,27000
128,414,Amr Waked,Drama|Thriller,109188,Kayvan Novak,0,cia|hezbollah|lebanon|oil|prince,625,English,USA,50000000,7.0,0
144,681,James Badge Dale,Action|Drama|Thriller|War,47764,David Costabile,0,based on true story|cia agent|libya|mercenary|u.s. ambassador,219,English,USA,50000000,7.4,44000
95,679,Hector Elizondo,Adventure|Animation|Comedy|Family|Fantasy|Romance,45580,Ana de la Reguera,1,afterlife|bullfight|bullfighting|love triangle|mexico,102,English,USA,50000000,7.3,18000
105,935,Harrison Ford,Crime|Thriller,50170,Mary Lynn Rajskub,1,architect|bank|cayman islands|meeting|murder,306,English,USA,50000000,5.8,773
121,826,Mark Margolis,Action|Crime|Drama|Thriller,39529,Scott Glenn,0,death|death of wife|murder|thief|violence,142,English,USA,50000000,6.7,1000
125,957,Demi Moore,Action|Drama|War,60326,John Michael Higgins,1,feminism|hit in the crotch|kicked in the crotch|kicked in the testicles|navy,142,English,USA,50000000,5.8,2000
129,283,Armin Mueller-Stahl,Drama|Mystery|Thriller,261069,Charles Martinet,1,birthday|falling through a glass roof|game|hitchcockian|suicide,506,English,USA,50000000,7.8,25000
132,368,Deborah Kara Unger,Adventure|Horror|Mystery,172792,Alice Krige,0,gothic|police|police officer|silent hill|sleepwalking,1740,English,Canada,50000000,6.6,0
118,585,Jon Favreau,Comedy|Sport,48322,Faizon Love,1,coach|football player|misfits|strike|sumo wrestler,261,English,USA,50000000,6.5,0
113,1000,Dania Ramirez,Comedy,172112,Natasha Lyonne,7,bikini|female female kiss|high school reunion|outdoor sex|upskirt,181,English,USA,50000000,6.7,39000
140,294,Michael Cudlitz,Action|Crime|Drama|Mystery|Thriller,107227,Siobhan Fallon Hogan,2,hostage|innocence|murder|negotiator|police,279,English,Germany,50000000,7.3,3000
89,159,Alycia Debnam-Carey,Action|Thriller,54101,Scott Lawrence,0,danger|graduation|storm|teenage boy|tornado,210,English,USA,50000000,5.8,15000
104,174,Jon Tenney,Action|Comedy|Crime|Thriller,60293,Gilbert R. Hill,1,california|counterfeit|counterfeit money|money|theme park,114,English,USA,55000000,5.5,669
106,767,Robert Picardo,Comedy|Fantasy|Horror,68428,Phoebe Cates,0,gremlin|horror host|hulk hogan|monster|skyscraper,148,English,USA,50000000,6.3,0
141,3000,Robert Duvall,Crime|Drama,136973,Leighton Meester,1,courtroom|dysfunctional family|indiana|lawyer|trial,275,English,USA,50000000,7.4,47000
124,258,Holt McCallany,Action|Thriller,46451,Marcel Iures,2,nuclear explosion|nuclear weapon|russia|train|train crash,156,English,USA,50000000,5.9,0
98,706,Thomas Kretschmann,Action|Horror|Sci-Fi|Thriller,151580,Mike Epps,1,cover up|monster|strong female character|strong female lead|zombie apocalypse,672,English,Germany,45000000,6.2,0
108,186,Jim Broadbent,Comedy|Drama|Romance,74315,Celia Imrie,1,american actress playing british character|intern|prison|six word title|thailand,259,English,UK,40000000,5.9,0
114,323,Sanaa Lathan,Crime|Drama|Romance|Thriller,45895,John Billingsley,3,cancer|florida|insurance|life insurance policy|small town,157,English,USA,50000000,6.5,1000
101,158,Joan Chen,Action|Adventure|Thriller,17997,Sven-Ole Thorsen,1,environmental|murder|oil|oil spill|tribe,140,English,USA,50000000,4.4,812
93,717,Kristin Davis,Action|Adventure|Family|Fantasy,20310,Taylor Dooley,1,boy|bully|dream|dream sequence|planet,177,English,USA,50000000,3.5,0
119,39,Virginie Ledoyen,Adventure|Drama|Thriller,176169,Peter Youngblood Hills,0,love|map|paradise|thailand|travel,548,English,USA,50000000,6.6,0
119,434,Felicity Huffman,Comedy|Drama|Romance,30890,Spencer Breslin,1,fashion show|female protagonist|love|pastor|queens new york city,106,English,USA,50000000,6.0,718
99,72,Ben Miles,Action|Crime|Thriller,58349,Rain,0,critically bashed|kung fu|martial artist|martial arts|ninja,194,English,USA,40000000,6.4,0
137,432,Kelly Preston,Drama|Romance|Sport,26034,Carmine Giovinazzo,0,baseball|baseball movie|detroit tigers|perfect game|pitcher,226,English,USA,50000000,6.5,0
105,5,Bruce Alexander,Crime|Drama|Mystery,4438,John Lyons,1,cult tv|death|detective inspector|four word title|internal affairs,33,English,UK,,7.8,361
117,210,Rumer Willis,Comedy|Crime|Drama|Thriller,34896,Paul Guilfoyle,1,bouncer|breasts|congressman|private dancer|stripper,118,English,USA,40000000,4.3,877
87,1000,Judy Greer,Comedy|Family,11257,Steve Coogan,0,dog|great dane|rivalry|talking animal|talking cat,65,English,USA,50000000,4.2,0
129,447,Jay Mohr,Drama|Fantasy,80140,Cécile De France,0,death|france|near death experience|tsunami|twin brother,323,English,USA,50000000,6.5,16000
115,401,Chris Penn,Crime|Mystery|Thriller,43574,Agnes Bruckner,0,disposing of a dead body|high school student|murder|sociopath|teenage boy,302,English,USA,50000000,6.1,0
132,282,Sylvester Stallone,Action|Crime|Thriller,62981,Kelly Rowan,0,assassin|floppy disk|modem|rival|russian,84,English,France,50000000,6.3,0
131,163,Stephen Walters,Crime|Drama|Thriller,86374,Richard Brake,0,aunt|cannibalism|faked death|medical student|revenge,392,English,UK,50000000,6.2,3000
95,323,Tim Matheson,Comedy|Drama|Romance,18404,Rita Wilson,1,four word title|husband wife relationship|male rear nudity|marriage|summer camp,150,English,USA,50000000,5.9,0
125,201,Chandler Canterbury,Action|Adventure|Romance|Sci-Fi|Thriller,92461,Rachel Roberts,3,alien|alien creature|body snatching|desert|parasite,347,English,USA,40000000,5.9,43000
98,511,Harry Connick Jr.,Action|Crime|Drama|Mystery|Thriller,49926,Tim Daly,0,2000s|army|military crime|necklace yanked off|panama,286,English,Germany,50000000,6.5,0
110,581,Anjelica Huston,Action|Crime|Drama|Mystery|Thriller,34356,Rick Hoffman,1,boat|heart transplant|murder|serial killer|sister,260,English,USA,50000000,6.4,705
118,294,Brían F. O'Byrne,Action|Crime|Drama|Mystery|Thriller,80196,Armin Mueller-Stahl,0,bank|chase|district attorney|interpol|murder,190,English,USA,50000000,6.5,0
101,764,Valeria Golino,Action|Adventure|Sci-Fi|Thriller,54021,Michelle Forbes,0,escape|island|los angeles california|machismo|president's daughter,227,English,USA,50000000,5.7,0
60,398,Brittany Curran,Drama|Mystery|Thriller,7945,Aaron Hill,2,,22,English,USA,,7.5,915
90,521,Harry Connick Jr.,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,128455,M. Emmet Walsh,1,boy|friend|government agent|maine|robot,514,English,USA,70000000,8.0,0
119,639,Anjelica Huston,Adventure|Comedy|Drama,139535,Matthew Gray Gubler,8,expedition|oceanographer|sea|shark|team,632,English,USA,50000000,7.3,0
139,303,Donald Watkins,Action|Biography|Drama|History|War,3077,Jessica Collins,1,american civil war|civil war|u.s. civil war,47,English,USA,50000000,6.7,10000
130,256,Kate Winslet,Crime|Drama|Thriller,88270,Matt Craven,0,activist|death|death row|murder|texas,420,English,USA,50000000,7.5,0
100,730,Vanessa Ferlito,Action|Comedy,19829,Kelli Garner,5,cheerleader|cheerleading movie|neo noir|neo western|texas ranger,94,English,USA,40000000,5.4,779
114,655,Common,Action|Crime|Drama|Thriller,76010,Bruce McGill,2,death|drug dealer|limousine|limousine driver|one night,205,English,USA,50000000,6.6,15000
96,509,Naomi Watts,Crime|Mystery|Thriller,189249,Raza Jaffrey,1,male pubic hair|pubic hair|russian|sex scene|turkish bath,398,English,USA,25000000,7.7,0
110,795,James Frain,Action|Adventure|Crime|Thriller,63599,Ashley Scott,3,bahamas|blood splatter|cocaine|hairy chest|shark,208,English,USA,50000000,5.8,0
158,15,David Bailie,Adventure|Biography|Drama|History|War,55889,Rab Affleck,0,cathedral|dauphin|france|trial|wartime rape,390,English,France,390000000,6.4,0
102,11000,Zooey Deschanel,Adventure|Comedy|Fantasy,85237,James Franco,3,knight|prince|quest|rescue|thong bikini,274,English,USA,49900000,5.6,18000
84,692,Gregory Smith,Drama|Mystery|Thriller,46239,Sarah Gadon,0,closet|father daughter relationship|psychiatric hospital|real life sisters playing sisters|train,137,English,USA,55000000,6.0,0
115,317,Blythe Danner,Crime|Drama|Thriller,16562,William Atherton,2,hostage|museum|natural history museum|news reporter|reporter,73,English,USA,50000000,6.2,697
99,479,Lara Flynn Boyle,Adventure|Comedy|Crime|Drama|Family,33186,Cynthia Nixon,1,baby|baby boy|kidnapping|kidnapping a child|taxi,78,English,USA,50000000,5.9,0
135,2000,Robert Duvall,Drama|Romance,12037,Demi Moore,1,17th century|adultery|letter|pubic hair|swimming,90,English,USA,50000000,5.1,943
108,405,Ty Burrell,Biography|Drama|Thriller,38513,Brooke Smith,2,bush administration|cia|interview|iraq|new york times,127,English,USA,22000000,6.8,9000
43,600,Tony Curran,Action|Drama|Sci-Fi,33535,Grant Bowler,3,alien|alien invasion|planet invasion|post apocalypse|year 2046,149,English,USA,,7.0,0
127,897,Mo'Nique,Action|Biography|Crime|Drama|Thriller,58015,Edgar Ramírez,0,bounty hunter|fbi|female bounty hunter|female nudity|reality show,374,English,France,50000000,6.0,0
107,602,Chazz Palminteri,Crime|Drama|Thriller,9227,Linda Fiorentino,0,blackmail|investigation|murder|panties pulled down|prostitution,70,English,USA,50000000,5.1,422
95,1000,Logan Lerman,Action|Sci-Fi|Thriller,113483,Alison Lohman,1,battle|convict|death|mind control|role playing,245,English,USA,50000000,5.8,0
124,592,Zoey Deutch,Drama|Fantasy|Romance,67796,Pruitt Taylor Vince,7,dream|escape|magic|magic spell|small town,258,English,USA,60000000,6.2,14000
109,809,Vincent Schiavelli,Comedy|Crime|Drama|Thriller,34730,Danny Woodburn,2,children|children's tv show|money|revenge|scandal,341,English,UK,55000000,6.4,0
102,1000,Will Ferrell,Comedy,34964,Justin Theroux,4,chosen one|fashion|fashion model|model|retired,150,English,USA,50000000,4.8,28000
88,338,Andrew Wilson,Comedy|Crime,15880,Willie Nelson,5,breasts|consensual sex|female nudity|judge|surfer,93,English,USA,50000000,4.9,288
87,591,Linda Fiorentino,Comedy|Sci-Fi,8070,Garry Shandling,0,alien|baby|banker|pregnancy|question in title,91,English,USA,50000000,5.6,255
104,982,Billy Burke,Action|Fantasy|Thriller,81800,Katy Mixon,1,baby|cult|oklahoma|sex scene|waitress,211,English,USA,50000000,5.5,15000
96,77,Robin Shou,Action|Crime|Drama|Mystery|Thriller,19824,Josie Ho,2,chun li|crime fighter|gangster|mobster|rescue,179,English,Canada,18000000,3.7,0
85,848,Jet Li,Action|Sci-Fi|Thriller,77684,Delroy Lindo,1,fight|multiverse|police|police officer|prison,294,English,USA,49000000,5.9,0
64,184,Graham McTavish,Drama|Romance|Sci-Fi,50391,Stephen Walters,8,based on novel|clan|scotland|scottish highlands|year 1743,148,English,USA,,8.5,31000
104,380,Gilbert Gottfried,Action|Adventure|Comedy|Crime|Music|Mystery,14429,David Patrick Kelly,5,detective|groupie|murder|music industry|rock n roll,113,English,USA,40000000,6.3,2000
135,830,Charlie Rowe,Comedy|Drama|Music,90932,Tom Sturridge,2,inspired by radio program|inspired by true events|pirate broadcasting|pirate radio|pirate radio station,209,English,UK,,7.4,21000
190,215,Jacob Vargas,Crime|Drama|Thriller,170684,James Lew,0,cocaine|drug smuggling|interlinked stories|judge|mexico,867,English,USA,48000000,7.6,0
127,440,Julian Glover,Action|Adventure|Fantasy,515306,Alison Doody,5,castle|diary|holy grail|map|nazi,477,English,USA,48000000,8.3,0
129,0,Guro Nagelhus Schia,Drama|Romance,70886,Matthew Macfadyen,1,dance|infidelity|marriage|russia|russian,226,English,UK,,6.6,36000
120,502,Sharlto Copley,Action|Crime|Drama|Sci-Fi|Thriller,172965,Jose Pablo Cantillo,0,artificial intelligence|consciousness|future|mind uploading|robot,627,English,USA,49000000,6.9,67000
118,308,Angelina Jolie Pitt,Crime|Drama|Mystery|Thriller,120202,Leland Orser,2,new york city|police|quadriplegic|serial killer|suicide,397,English,USA,48000000,6.7,0
112,237,Dwight Yoakam,Crime|Drama|Thriller,206104,Mel Rodriguez,0,brownstone|burglar|money|panic|panic room,850,English,USA,48000000,6.8,0
89,235,Lochlyn Munro,Horror|Thriller,1263,Steve Bacic,0,bare breasts|genital dismemberment|mulching someone|tooth fairy|woodchipper,32,English,USA,1500000,4.6,352
114,393,Jamie Kennedy,Action|Adventure|Comedy|Drama|War,137854,Mykelti Williamson,1,gold|gulf war|iraq|kuwait|map,560,English,USA,48000000,7.1,3000
137,194,Fares Fares,Crime|Drama|Thriller,40568,Michael Nardone,3,child murderer|murder|sex|soviet union|woman slaps a man,185,English,Czech Republic,50000000,6.4,18000
112,261,Douglas Haase,Adventure|Comedy,93367,Vince Vieluf,8,casino|locker|money|museum|race,497,English,Canada,48000000,6.4,0
120,1000,Jeff Bridges,Drama|Mystery|Sci-Fi,148490,Alfre Woodard,1,extraterrestrial|hospital|patient|planet|science,537,English,USA,48000000,7.4,0
123,821,Natasha Lyonne,Comedy|Fantasy|Romance,64595,Bradley Whitford,1,bridge|brooklyn bridge|falling down an elevator shaft|time travel|time travel romance,316,English,USA,48000000,6.4,0
93,484,Frances O'Connor,Comedy|Fantasy|Romance,81888,Brian Doyle-Murray,2,contract|devil|dream|soul|wish,254,English,USA,48000000,6.0,0
123,886,Bob Hoskins,Crime|Drama|Music,12771,Fred Gwynne,1,brothers hugging|jazz|jealousy|nudity|parole violation,84,English,USA,58000000,6.5,828
122,600,Logan Lerman,Adventure|Crime|Drama|Western,237872,Gretchen Mol,1,outlaw|rancher|small western town|stagecoach|train,560,English,USA,55000000,7.8,0
115,482,Dougray Scott,Action|Thriller,133436,Jon Gries,0,betrayal|death|final showdown|murder|on the run,323,English,France,48000000,6.0,38000
123,23,Albert Brooks,Crime|Drama|Romance|Thriller,71708,Keith Hudson,1,heist|neo noir|one last job|opposites attract|u.s. marshal,307,English,USA,48000000,7.0,0
96,302,Janeane Garofalo,Comedy|Drama|Thriller,122347,Andy Dick,1,cable guy|foreplay|friend|kissing|television,345,English,USA,47000000,6.0,0
110,59,Gulshan Grover,Drama|Romance|War,5639,Eric Peterson,0,friend|hindu|india|muslim|sikh,55,Hindi,India,,7.8,522
105,327,Warren Beatty,Action|Comedy|Crime|Music|Romance|Thriller,47819,Seymour Cassel,1,crime boss|detective|dick tracy|gangster|orphan,164,English,USA,100000000,6.1,2000
113,835,Faye Dunaway,Crime|Romance|Thriller,73068,Denis Leary,0,art|insurance investigator|martinique|painting|trust,419,English,USA,48000000,6.8,0
