num_critic_for_reviews,duration,director_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
364,128,151,1000,Biography|Drama|History,David Oyelowo,61114,3869,Oprah Winfrey,civil rights|courage|protest|selma alabama|u.s. politics,http://www.imdb.com/title/tt1020072/?ref_=fn_tt_tt_1,212,English,PG-13,20000000,1000,7.5,2.35,22000
85,72,0,3000,Adventure|Animation|Family|Musical,Haley Joel Osment,11634,4480,Tony Jay,dog|jungle|shot gun|tiger|village,http://www.imdb.com/title/tt0283426/?ref_=fn_tt_tt_1,58,English,G,20000000,455,5.4,1.85,227
140,89,19,526,Drama|Horror|Mystery|Thriller,Barry Watson,25960,1383,Charles Mesure,boogeyman|childhood|fear|hometown|uncle,http://www.imdb.com/title/tt0357507/?ref_=fn_tt_tt_1,389,English,PG-13,20000000,392,4.1,1.85,1000
184,96,9,826,Drama|Mystery|Thriller,Nia Long,62364,1825,Marc Macaulay,car|car accident|housewife|sheriff|suburb,http://www.imdb.com/title/tt0477071/?ref_=fn_tt_tt_1,337,English,PG-13,20000000,626,5.9,2.35,0
89,77,25,304,Animation|Comedy|Drama|Family|Musical,Kath Soucie,13319,575,Ken Sansom,cartoon tiger|coming of age|tiger|tigger|title directed by female,http://www.imdb.com/title/tt0220099/?ref_=fn_tt_tt_1,53,English,G,30000000,253,6.3,1.78,347
265,123,174,87000,Horror|Mystery|Thriller,Jimmy Bennett,141663,88953,Aryana Engineer,alcoholism|girl|little girl|orphan|troubled marriage,http://www.imdb.com/title/tt1148204/?ref_=fn_tt_tt_1,383,English,R,,1000,7.0,1.85,20000
61,111,132,1000,Adventure|Family,Jay Hernandez,18915,2851,Edgar Arreola,afghanistan|death of marine|dog|dog adoption|man dog relationship,http://www.imdb.com/title/tt3369806/?ref_=fn_tt_tt_1,87,English,PG,20000000,465,6.8,2.35,33000
3,30,,607,Comedy,Lamman Rucker,1922,1530,Denise Boutte,african american|character name in title|family relationships|sitcom,http://www.imdb.com/title/tt1319598/?ref_=fn_tt_tt_1,20,English,,,378,3.5,1.85,211
112,93,82,926,Adventure|Comedy,David Carradine,89687,4293,Fred Willard,chocolate|chocolate factory|factory|orphan|student,http://www.imdb.com/title/tt0799949/?ref_=fn_tt_tt_1,666,English,PG-13,20000000,869,2.3,1.85,0
166,129,468,919,Adventure|Fantasy,William Smith,113068,2024,Sandahl Bergman,actual animal killed|cult|evil sorcerer|gladiator|warlord,http://www.imdb.com/title/tt0082198/?ref_=fn_tt_tt_1,337,English,R,20000000,691,6.9,2.35,0
474,128,310,745,Biography|Crime|Drama|History,Billy Crudup,195333,1058,Brian d'Arcy James,cover up|investigation|journalist|newspaper|sexual abuse,http://www.imdb.com/title/tt1895587/?ref_=fn_tt_tt_1,409,English,R,20000000,168,8.1,1.85,80000
165,110,119,1000,Crime|Drama|Thriller,Jay Hernandez,40469,2382,Robert Pine,interracial couple|lapd|male nudity|neighbor|nudity,http://www.imdb.com/title/tt0947802/?ref_=fn_tt_tt_1,135,English,PG-13,22000000,931,6.1,2.35,0
131,137,70,4000,Horror|Thriller,Sarah Michelle Gellar,38658,5746,Matthew Knight,curse|ghost|haunted house|high school|schoolgirl,http://www.imdb.com/title/tt0433386/?ref_=fn_tt_tt_1,284,English,PG-13,20000000,884,5.0,1.85,930
29,124,8,508,Comedy|Drama|Romance,Richard Lawson,5427,1660,Barry Shabaka Henley,female protagonist|jamaica|six word title|tragic event|vacation,http://www.imdb.com/title/tt0120703/?ref_=fn_tt_tt_1,51,English,R,20000000,270,5.5,1.85,0
