num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,gross,genres,num_voted_users,plot_keywords,country,title_year,imdb_score,aspect_ratio,movie_facebook_likes
157,834,Chazz Palminteri,6855137,Action|Crime|Drama|Thriller,88590,adult child friendship|corrupt cop|fistfight|gangster|thug,Germany,2006,7.4,2.35,0
35,193,Jeremy Northam,2694071,Biography|Drama|Romance|Sport,3222,colon in title|competition|five word title|golf|temper,USA,2004,6.7,2.35,352
21,161,Paul Freeman,2315683,Adventure|Crime|Drama|Romance,4081,china|missionary|opium|villain|year 1937,UK,1986,3.0,1.85,154
236,96,Eddie Marsan,39825798,Drama|Mystery|Romance|Thriller,295375,duchess|illusionist|magician|prince|supernatural power,USA,2006,7.6,1.85,15000
50,60,Melanie Griffith,2000000,Adventure|Horror|Thriller,1275,chase|dead man|jungle|killing a lion|killing a tiger,USA,1981,6.4,2.35,0
106,71,David Murray,1569918,Biography|Crime|Drama|Thriller,16234,criminal|drug lord|gunshot|irish|journalist,Ireland,2003,6.9,2.35,0
106,55,Brady Corbet,106869,Crime|Drama|Romance|Thriller,13762,colombia|dream|love|surfer|village,France,2014,6.6,,0
173,215,Curtis Armstrong,273420,Comedy|Mystery|Sci-Fi|Thriller,32671,amnesia|boxer|conspiracy|police|porn star,France,2006,5.5,2.35,0
41,168,Jess Harnell,,Adventure|Animation|Family|Fantasy,10706,cgi film|computer animation|dragon|hunter,France,2008,6.6,,0
41,255,Jan-Michael Vincent,,Sci-Fi,3701,cockroach|desert|ghost town|giant spider|travel,USA,1977,5.2,2.35,903
145,62,Rick Gomez,4930798,Horror|Thriller,16268,e mail|evil spirit|experiment|fear|supernatural,USA,2012,4.1,2.35,0
31,165,Jamie Lee Curtis,59847242,Comedy|Drama|Family|Romance,55895,best friend|funeral|girl|overalls|summer,USA,1991,6.8,1.85,0
105,260,Ty Burrell,220914,Biography|Drama|Romance,13239,character name in title|diane arbus|male full frontal nudity|photographer|pubic hair,USA,2006,6.5,1.85,0
236,96,Eddie Marsan,39825798,Drama|Mystery|Romance|Thriller,295375,duchess|illusionist|magician|prince|supernatural power,USA,2006,7.6,1.85,15000
