num_critic_for_reviews,director_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,cast_total_facebook_likes,movie_imdb_link,num_user_for_reviews,language,country,actor_2_facebook_likes
54,35,William Katt,980,985341,Drama,3166,http://www.imdb.com/title/tt0162830/?ref_=fn_tt_tt_1,87,English,USA,505
126,9,Scott Mechlowicz,710,603943,Crime|Drama,2655,http://www.imdb.com/title/tt0377091/?ref_=fn_tt_tt_1,154,English,USA,634
17,204,Heather Matarazzo,659,334041,Crime|Drama|Romance,2322,http://www.imdb.com/title/tt0119338/?ref_=fn_tt_tt_1,21,English,USA,529
25,71,Bill Duke,22000,295468,Comedy|Romance,24382,http://www.imdb.com/title/tt0244094/?ref_=fn_tt_tt_1,34,English,USA,1000
11,21,LisaRaye McCoy,597,243347,Crime|Drama|Thriller,2555,http://www.imdb.com/title/tt0326806/?ref_=fn_tt_tt_1,24,English,USA,485
81,12000,Seymour Cassel,778,154077,Comedy|Drama,1440,http://www.imdb.com/title/tt0385056/?ref_=fn_tt_tt_1,53,English,USA,327
155,217,Anna Kendrick,10000,342936,Comedy|Drama|Romance,20480,http://www.imdb.com/title/tt2265398/?ref_=fn_tt_tt_1,106,English,USA,10000
39,0,Ricky Jay,342,151389,Documentary,483,http://www.imdb.com/title/tt2654360/?ref_=fn_tt_tt_1,7,English,USA,79
153,0,Minoru Chiaki,304,269061,Action|Adventure|Drama,338,http://www.imdb.com/title/tt0047478/?ref_=fn_tt_tt_1,596,Japanese,Japan,8
26,6,Greg Speirs,14,133778,Documentary|Sport,44,http://www.imdb.com/title/tt1606829/?ref_=fn_tt_tt_1,9,English,USA,9
10,32,Tina Louise,11000,,Comedy|Music|Romance,11839,http://www.imdb.com/title/tt0104567/?ref_=fn_tt_tt_1,24,English,Switzerland,422
35,681,Jake Sandvig,239,52850,Comedy,734,http://www.imdb.com/title/tt0843850/?ref_=fn_tt_tt_1,12,English,USA,172
230,248,Jack Plotnick,353,98017,Comedy|Fantasy|Horror,1498,http://www.imdb.com/title/tt1612774/?ref_=fn_tt_tt_1,170,English,France,248
165,12,Matt Jones,17000,177343675,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,17883,http://www.imdb.com/title/tt2224026/?ref_=fn_tt_tt_1,214,English,USA,523
9,6,Amber Benson,396,31937,Comedy|Romance,2310,http://www.imdb.com/title/tt0893346/?ref_=fn_tt_tt_1,10,English,USA,326
17,12,Clea DuVall,33000,13134,Drama|Sport,35294,http://www.imdb.com/title/tt0266971/?ref_=fn_tt_tt_1,32,English,USA,1000
344,380,Whitney Able,660,237301,Drama|Sci-Fi|Thriller,1118,http://www.imdb.com/title/tt1470827/?ref_=fn_tt_tt_1,451,English,UK,280
2,0,Joanne Whalley,584,,Drama,1924,http://www.imdb.com/title/tt0377043/?ref_=fn_tt_tt_1,11,English,USA,507
28,0,Ann Dowd,472,12055,Comedy,1047,http://www.imdb.com/title/tt0489212/?ref_=fn_tt_tt_1,10,English,USA,185
29,38,Christa B. Allen,552,1332,Comedy|Horror,2251,http://www.imdb.com/title/tt1865346/?ref_=fn_tt_tt_1,20,English,USA,533
11,0,Zheng Xu,4,,Comedy|Crime,8,http://www.imdb.com/title/tt0843270/?ref_=fn_tt_tt_1,9,Mandarin,China,4
48,3,Jacques Brel,30,,Biography|Documentary|Music,119,http://www.imdb.com/title/tt0486541/?ref_=fn_tt_tt_1,11,English,UK,27
24,395,Alan Ruck,991,,Drama,3309,http://www.imdb.com/title/tt0228277/?ref_=fn_tt_tt_1,10,English,USA,946
166,487,Zoë Kravitz,991,316842,Drama|Thriller,2099,http://www.imdb.com/title/tt3297330/?ref_=fn_tt_tt_1,68,English,USA,943
,2,Rai Alexandra,2,,Thriller,2,http://www.imdb.com/title/tt0455556/?ref_=fn_tt_tt_1,3,English,USA,0
9,3,Bruce Vilanch,387,,Documentary,1235,http://www.imdb.com/title/tt2825768/?ref_=fn_tt_tt_1,3,English,USA,244
48,21,Olivia Williams,25000,,Drama|Romance,26999,http://www.imdb.com/title/tt1937264/?ref_=fn_tt_tt_1,54,English,UK,766
64,32,John McGlothlin,685,,Comedy|Horror,2102,http://www.imdb.com/title/tt1884318/?ref_=fn_tt_tt_1,28,English,USA,492
,0,Dylan Baker,970,,History,3359,http://www.imdb.com/title/tt3417110/?ref_=fn_tt_tt_1,,English,USA,812
1,406,Tim Abell,358,,Action|Mystery|Thriller,1038,http://www.imdb.com/title/tt2909932/?ref_=fn_tt_tt_1,16,English,USA,317
111,33,Katherine Boecher,1000,37188667,Comedy|Drama,1531,http://www.imdb.com/title/tt0275022/?ref_=fn_tt_tt_1,578,English,USA,188
26,0,Katherine Waterston,322,,Mystery|Thriller,630,http://www.imdb.com/title/tt1631707/?ref_=fn_tt_tt_1,45,English,USA,178
1,0,Christian Alvarez,159,,Crime|Drama,206,http://www.imdb.com/title/tt2275671/?ref_=fn_tt_tt_1,1,Spanish,Dominican Republic,15
3,0,Randy Jay Burrell,918,,Action|Romance|Sport,2091,http://www.imdb.com/title/tt3152288/?ref_=fn_tt_tt_1,2,English,USA,402
10,163,Barry Bostwick,636,,Horror|Musical,2438,http://www.imdb.com/title/tt3892618/?ref_=fn_tt_tt_1,20,English,USA,456
1,0,Jennifer Landa,84,,Comedy|Mystery|Thriller,254,http://www.imdb.com/title/tt2190180/?ref_=fn_tt_tt_1,1,English,USA,41
1,431,Joel Paul Reisig,466,,Family,1628,http://www.imdb.com/title/tt4062896/?ref_=fn_tt_tt_1,4,English,USA,431
10,0,Sarah Callan,0,21199,Action|Biography|Documentary|Sport,0,http://www.imdb.com/title/tt2246526/?ref_=fn_tt_tt_1,10,English,USA,0
1,0,Jeff Delaney,385,,Family,683,http://www.imdb.com/title/tt3846442/?ref_=fn_tt_tt_1,1,English,USA,169
525,0,Mila Kunis,44000,234903076,Adventure|Family|Fantasy,73441,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,511,English,USA,15000
96,6,Mark Torgl,488,,Action|Comedy|Horror|Sci-Fi,553,http://www.imdb.com/title/tt0090190/?ref_=fn_tt_tt_1,147,English,USA,11
8,10,George T. Odom,353,2712293,Crime|Drama,380,http://www.imdb.com/title/tt0102989/?ref_=fn_tt_tt_1,11,English,USA,12
92,521,Nicholas Farrell,773,768045,Drama|History|War,976,http://www.imdb.com/title/tt0280491/?ref_=fn_tt_tt_1,120,English,UK,89
1,5,Dennis L.A. White,472,,Action,1752,http://www.imdb.com/title/tt2111292/?ref_=fn_tt_tt_1,5,English,USA,251
365,3,Thomas Lennon,10000,379122,Comedy|Drama|Romance,12496,http://www.imdb.com/title/tt0435623/?ref_=fn_tt_tt_1,54,English,UK,651
88,365,Lloyd Kaufman,907,23000,Comedy|Horror|Musical,1411,http://www.imdb.com/title/tt0462485/?ref_=fn_tt_tt_1,58,English,USA,365
3,0,Cheyenne Jackson,873,,Comedy|Romance,2830,http://www.imdb.com/title/tt2112209/?ref_=fn_tt_tt_1,3,English,USA,469
65,24,Dick Powell,610,2300000,Comedy|Musical|Romance,995,http://www.imdb.com/title/tt0024034/?ref_=fn_tt_tt_1,97,English,USA,105
,0,Jack Canfield,8,,Documentary,10,http://www.imdb.com/title/tt4273494/?ref_=fn_tt_tt_1,10,English,USA,2
71,89,Taylor Nichols,88,2938208,Comedy|Drama|Romance,173,http://www.imdb.com/title/tt0100142/?ref_=fn_tt_tt_1,52,English,USA,74
34,10,Frida Hallgren,690,9910,Comedy|Drama|Music|Romance,774,http://www.imdb.com/title/tt0382330/?ref_=fn_tt_tt_1,94,Swedish,Sweden,24
15,15,Ace Marrero,847,,Drama|Horror|Mystery|Thriller,1151,http://www.imdb.com/title/tt1958007/?ref_=fn_tt_tt_1,6,English,USA,94
220,100,Diedrich Bader,970,44540956,Comedy,3950,http://www.imdb.com/title/tt0374900/?ref_=fn_tt_tt_1,1473,English,USA,759
279,57,Eve Plumb,1000,258113,Crime|Drama|Thriller,1528,http://www.imdb.com/title/tt2359024/?ref_=fn_tt_tt_1,135,English,USA,235
409,110,Ashley Palmer,189,107917283,Horror,330,http://www.imdb.com/title/tt1179904/?ref_=fn_tt_tt_1,1189,English,USA,109
86,147,Jay Adams,22,1293295,Documentary|Sport,54,http://www.imdb.com/title/tt0275309/?ref_=fn_tt_tt_1,88,English,USA,20
131,0,Michael Palin,795,1229197,Adventure|Comedy|Fantasy,2158,http://www.imdb.com/title/tt0071853/?ref_=fn_tt_tt_1,660,English,UK,561
69,25,Jesse Garcia,231,1689999,Drama,771,http://www.imdb.com/title/tt0451176/?ref_=fn_tt_tt_1,48,Spanish,USA,200
8,14,Sue Corcoran,361,11798,Comedy|Fantasy|Horror|Musical,387,http://www.imdb.com/title/tt0396041/?ref_=fn_tt_tt_1,18,English,USA,14
75,,Masi Oka,1000,,Drama|Fantasy|Sci-Fi|Thriller,4908,http://www.imdb.com/title/tt0813715/?ref_=fn_tt_tt_1,379,English,USA,923
72,20,Jonathan Caouette,58,592014,Biography|Documentary,78,http://www.imdb.com/title/tt0390538/?ref_=fn_tt_tt_1,114,English,USA,20
4,4,Chris Cox,93,425899,Documentary,168,http://www.imdb.com/title/tt1560957/?ref_=fn_tt_tt_1,31,English,USA,31
9,0,Paul Elia,935,,Comedy|Horror,2350,http://www.imdb.com/title/tt2403415/?ref_=fn_tt_tt_1,5,English,USA,709
203,385,David Warbeck,48,126387,Horror,123,http://www.imdb.com/title/tt0082307/?ref_=fn_tt_tt_1,253,Italian,Italy,22
11,,Ron Lynch,59,,Animation|Comedy|Drama,81,http://www.imdb.com/title/tt0197159/?ref_=fn_tt_tt_1,82,English,USA,11
148,12,Andrew Daly,642,80276912,Comedy|Romance,1026,http://www.imdb.com/title/tt1033643/?ref_=fn_tt_tt_1,151,English,USA,171
80,3,Jeff Seymour,108,,Horror|Thriller,272,http://www.imdb.com/title/tt0402249/?ref_=fn_tt_tt_1,52,English,Canada,64
46,350,Roshan Seth,114,,Comedy|Drama|Romance,260,http://www.imdb.com/title/tt0091578/?ref_=fn_tt_tt_1,64,English,UK,61
8,0,Adam LeFevre,169,25918,Drama|Horror|Mystery|Thriller,312,http://www.imdb.com/title/tt0299863/?ref_=fn_tt_tt_1,10,English,USA,80
10,0,Michelle Nolden,918,,Drama|Thriller,1163,http://www.imdb.com/title/tt0414510/?ref_=fn_tt_tt_1,5,French,Canada,100
76,0,Ingrid Thulin,440,,Drama,809,http://www.imdb.com/title/tt0069467/?ref_=fn_tt_tt_1,197,Swedish,Sweden,132
69,204,Mae Marsh,436,,Drama|History|War,481,http://www.imdb.com/title/tt0006864/?ref_=fn_tt_tt_1,88,,USA,22
43,3,DeForest Kelley,643,617172,Documentary,2864,http://www.imdb.com/title/tt0120370/?ref_=fn_tt_tt_1,75,English,USA,606
36,4,Bessie Love,77,2808000,Musical|Romance,109,http://www.imdb.com/title/tt0019729/?ref_=fn_tt_tt_1,71,English,USA,28
304,0,Betsy Baker,634,,Fantasy|Horror,813,http://www.imdb.com/title/tt0083907/?ref_=fn_tt_tt_1,740,English,USA,66
