duration,actor_2_name,actor_1_facebook_likes,actor_1_name,actor_3_name,actor_2_facebook_likes,aspect_ratio
107,Patrick Troughton,264,Lee Remick,Billie Whitelaw,139,2.35
89,Maïwenn,447,Cécile De France,Oana Pellea,236,2.35
90,Patrick Brammall,130,Maeve Dermody,Kelly Paterniti,96,1.85
89,Gregory Cruz,679,Q'orianka Kilcher,Allegra Carpenter,234,2.35
116,Paula Jai Parker,275,Isaac Hayes,Elise Neal,247,1.85
120,Joe E. Brown,105,Nehemiah Persoff,George Raft,103,1.66
88,Terry Kiser,935,Kane Hodder,William Butler,448,1.85
102,Terry,695,Margaret Hamilton,Billie Burke,421,1.37
106,Peter Boyle,1000,Madeline Kahn,Teri Garr,595,1.85
95,Shawn Roberts,569,Megan Park,Joe Dinicol,529,1.85
144,Sanjay Dutt,464,Vidya Balan,Jimmy Shergill,426,2.35
113,Patricia Richardson,402,Peter Fonda,Vanessa Zima,222,1.66
118,Kelly Reno,481,Teri Garr,Hoyt Axton,81,1.85
141,Neeru Bajwa,258,Bhavkhandan Singh Rakhra,Diljit Dosanjh,85,
90,Frank Hvam,122,Iben Hjejle,Casper Christensen,33,1.85
109,Cesar Romero,756,Lee Marvin,Jack Warden,370,1.85
95,Ariane Schluter,20,Rijk de Gooyer,Henri Garcin,3,1.85
122,Esther Williams,760,Spencer Tracy,Irene Dunne,675,1.37
93,David Huddleston,1000,Madeline Kahn,Harvey Korman,1000,2.35
97,Tom Everett,158,Judie Aronson,Kimberly Beck,84,1.85
82,Agata Trzebuchowska,88,Joanna Kulig,Agata Kulesza,64,1.33
140,Denholm Elliott,443,Rupert Graves,Simon Callow,249,1.66
86,Laurie Metcalf,833,Joe Lo Truglio,Seymour Cassel,549,
109,Charlize Theron,40000,Johnny Depp,Clea DuVall,9000,1.85
105,Gabrielle Reece,52,Gerry Lopez,Laird John Hamilton,52,
66,Nacho Vigalondo,123,Karra Elejalde,Bárbara Goenaga,76,1.85
99,Bo Huang,11,Jack Kao,Zheng Xu,4,2.35
100,Nick Searcy,331,Brianna Brown,Beth Broderick,272,1.85
103,Debbie Reynolds,804,Rita Moreno,Cyd Charisse,786,1.37
97,Joel Fuhrman,65,Joe Cross,Amy Badberg,2,
86,Alanna Ubach,713,Essence Atkins,J.B. Smoove,584,1.85
87,Zackary Steven Graham,871,Barack Obama,Dinesh D'Souza,118,1.85
119,Tyler Mane,908,Scout Taylor-Compton,Margot Kidder,764,1.85
149,Charlize Theron,15000,Tom Hanks,Ethan Embry,9000,1.37
98,Dan O'Herlihy,381,Tom Atkins,Nancy Kyes,128,2.35
98,M. Emmet Walsh,595,Roddy McDowall,Sal Mineo,521,2.35
112,Melvyn Douglas,617,Patricia Neal,Whit Bissell,189,2.35
75,La'Princess Jackson,1000,David Jason Perez,Dana Hanna,309,1.85
104,Udo Kier,18000,Keanu Reeves,Flea,595,1.78
102,Michael Weston,625,Armando Riesco,Jill Flint,379,2.35
105,Hans Weingartner,15,Hanno Pöschl,Dominik Castell,12,1.85
99,Michel Côté,50,Patrick Huard,Jean Pierre Bergeron,16,1.85
107,Samantha Morton,745,Billy Crudup,Mark Webber,631,2.35
96,Ato Essandoh,643,Joan Chen,Jessica Hecht,265,1.85
101,Christopher Simpson,56,Satish Kaushik,Tannishtha Chatterjee,41,2.35
89,Joshua Ormond,902,Frank Langella,Ana Gasteyer,291,2.35
106,Julian Richings,900,Sarah Polley,Amanda Plummer,648,1.85
95,Jennifer Jason Leigh,8000,Shailene Woodley,Dayo Okeniyi,1000,2.35
34,Elden Henson,882,William Hurt,Michael Bower,577,
101,Tal Bachman,334,Bill Maher,Steve Burg,4,1.78
112,Sheryl Crow,860,Larry David,George W. Bush,130,1.85
100,Diana Scarwid,655,Bruce McGill,Tom Bower,157,1.85
92,Stephen Root,989,Gary Cole,Joel David Moore,939,2.35
100,Carly Schroeder,640,Katharine Ross,George Harris,261,1.85
80,Emily Pearson,191,Dustin Lance Black,Gavin Newsom,12,1.78
106,Anupam Kher,611,Larry Miller,Shriya Saran,397,2.35
103,Rüdiger Vogler,127,Benno Fürmann,Sebastian Blomberg,10,2.35
90,Jacob Vargas,426,Leonor Varela,Tenoch Huerta,399,1.85
96,Rainn Wilson,2000,Linda Cardellini,Paul T. Taylor,973,1.85
89,Piper Mackenzie Harris,794,Ashley Scott,Lochlyn Munro,607,
