genres,num_voted_users
Comedy|Crime,19622
Comedy|Fantasy,78241
Comedy|Drama|Romance,67949
Documentary,3611
Drama,10073
Comedy,22697
Comedy,4377
Comedy|Crime|Romance|Thriller,16224
Comedy|Drama,18762
Action|Crime|Horror|Thriller,53342
Adventure|Fantasy,20275
Documentary|Music,22457
Adventure|Fantasy,2308
Drama|Romance,45293
Drama|Thriller,4091
Drama|Thriller,8535
Drama,2877
Drama|Fantasy,29440
Drama,36494
Comedy|Crime|Romance,6705
Crime|Drama|Horror|Thriller,2705
Comedy|Horror|Mystery,4617
Comedy,2133
Drama,2112
Crime|Drama|Thriller,34224
Comedy,1398
Comedy|Romance,811
Drama|Romance,23334
Comedy|Drama|Romance,1555
Comedy|Drama,9913
Drama|Horror|Sci-Fi,34263
Comedy|Family|Romance,7673
Biography|Drama,1686
Drama,1738
Comedy|Drama,3297
Action|Adventure|Crime|Thriller,22220
Comedy|Fantasy,5137
Adventure|Drama,2488
Drama|Family|History|Musical,6303
Drama|Mystery|Romance|Thriller,2086
Drama|War,3753
Comedy|Drama|Romance,2727
Horror,4146
Horror|Thriller,27781
Horror,1561
Comedy|Romance,1929
Adventure|Biography|Drama|Romance,724
Adventure|Drama|History,67
Biography|Drama|History,23713
Drama|Romance,103493
Drama|History|Romance|War,215340
Biography|Drama,1177
Adventure|War|Western,5294
Drama,257
Biography|Comedy|Musical|Romance|Western,3167
Comedy|Crime|Drama,55982
Drama,2650
Comedy|Crime|Drama,31836
Adventure|Comedy|Musical|Romance,3258
Drama,3579
Comedy|Drama,17770
Action|Mystery|Thriller,210548
Comedy|Drama|War,36265
Drama,76616
Comedy|Drama|Music,82232
Comedy,160281
Action|Thriller,801
Comedy|Drama,74626
Crime|Drama|Thriller,39508
Drama|Music,27418
Comedy|Fantasy|Horror|Thriller,15956
Comedy|Drama|Romance|Western,6350
Biography|Crime|Drama|History,19026
Drama,7071
Action|Crime|Drama|Mystery|Thriller,5941
Thriller,30982
Horror|Mystery,66483
Comedy,1721
Comedy|Drama|Romance,13949
Biography|Drama,24977
Drama|Mystery|Thriller,131831
Horror,49672
Horror|Thriller,4790
Comedy|Fantasy|Horror|Thriller,113451
Action|Adventure|Comedy|Musical,11399
Horror,34532
Drama|History,1024
Comedy|Drama|Fantasy|Horror,54104
Comedy|Romance,1950
Action|Comedy|Sci-Fi,104072
Comedy|Drama,7228
Action|Comedy|Romance,12188
Action|Biography|Crime|Drama|Family|Fantasy,342
Crime|Drama|Mystery|Thriller,1634
Action|Comedy|Crime|Thriller,372
Drama|Thriller,653
Horror|Thriller,961
Action|Animation|Crime|Sci-Fi|Thriller,30434
Documentary,75
Action|Adventure|Fantasy|Thriller,1285
Action|Crime|Drama|Thriller,1928
Drama|Thriller,455
Crime|Mystery|Thriller,610
Comedy,15115
Documentary,45984
Biography|Drama|Thriller,92599
Drama|Romance,1262
Comedy|Drama,28573
Drama|Music,399138
Crime|Drama,533200
Comedy|Music,19194
Biography|Drama|Music,2116
Crime|Drama|Mystery,12304
Drama,170155
Comedy|Family,104908
Drama|Romance,9607
Action|Crime|Drama|Thriller,6549
Comedy,557
Drama|Romance,704
