director_name,actor_1_facebook_likes,facenumber_in_poster,language
J.J. Abrams,1000,0,English
Steven Soderbergh,8000,0,English
Donald Petrie,11000,2,English
Phil Lord,17000,2,English
Neil Jordan,11000,0,English
Peyton Reed,14000,1,English
Rawson Marshall Thurber,12000,2,English
Chris Columbus,8000,2,English
Sean Anders,8000,2,English
Rob Marshall,40000,1,English
Spike Lee,18000,2,English
Brian Helgeland,1000,1,English
Frank Marshall,426,0,English
Cameron Crowe,19000,3,English
Alex Proyas,12000,0,English
Tom Dey,14000,2,English
Hideo Nakata,6000,0,English
Glenn Ficarra,33000,7,English
Peter Hewitt,13000,0,English
Joe Roth,2000,1,English
Bennett Miller,22000,1,English
Wolfgang Petersen,18000,3,English
Jaume Collet-Serra,14000,0,English
Andy Fickman,12000,3,English
James McTeigue,20000,1,English
David Dobkin,154,2,English
,416,2,English
Matthew O'Callaghan,8000,0,English
Angela Robinson,660,1,English
Gary Fleder,1000,0,English
Tommy Wirkola,10000,2,English
Adrian Lyne,838,0,English
D.J. Caruso,15000,1,English
Stephen Gaghan,13000,0,English
Michael Bay,769,0,English
Jorge R. Gutiérrez,17000,1,English
Richard Loncraine,87000,1,English
Clint Eastwood,16000,0,English
Ridley Scott,10000,1,English
David Fincher,495,1,English
Christophe Gans,992,0,English
Howard Deutch,18000,1,English
Jon Hurwitz,3000,7,English
F. Gary Gray,18000,2,English
Steven Quale,490,0,English
John Landis,437,1,English
Joe Dante,16000,0,English
David Dobkin,21000,1,English
Mimi Leder,294,2,English
Alexander Witt,14000,1,English
Beeban Kidron,14000,1,English
Carl Franklin,18000,3,English
