num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,budget
9,0,149,Hans Matheson,2000,Samantha Barks,The Christmas Candle ,844,2909,Lesley Manville,0,angel|candle|christmas|miracle|village,http://www.imdb.com/title/tt2739338/?ref_=fn_tt_tt_1,
34,2,455,Marley Shelton,1000,Ellen Burstyn,The Mighty Macs ,1119,2589,Jennifer Butler,2,basketball|catholic|coach|college|nun,http://www.imdb.com/title/tt1034324/?ref_=fn_tt_tt_1,7000000
7,161,172,Shelley Long,10000,Tom Cruise,Losin' It ,3114,11059,Rick Rossovich,0,apostrophe in title|bare breasts|friendship between men|teen sex comedy|two word title,http://www.imdb.com/title/tt0085868/?ref_=fn_tt_tt_1,7000000
161,127,798,Jimmy Smits,6000,Naomi Watts,Mother and Child ,9727,8876,Carla Gallo,6,adoption|baby|girl|lawyer|sex,http://www.imdb.com/title/tt1121977/?ref_=fn_tt_tt_1,4825000
6,6,375,Terence Hill,963,Catherine Deneuve,March or Die ,2215,2209,Jack O'Halloran,1,arab|bare chested male|foreign legion|french foreign legion|morocco,http://www.imdb.com/title/tt0076175/?ref_=fn_tt_tt_1,9000000
16,8,39,Isabelle Nanty,106,Christian Clavier,Les visiteurs ,24438,215,Valérie Lemercier,1,distant past|future time travel|nobleman|squire|trapped in the past,http://www.imdb.com/title/tt0108500/?ref_=fn_tt_tt_1,50000000
301,0,106,Chris Pontius,227,Nathalie Fay,Somewhere ,35848,684,Erin Wasson,0,actor|boredom|luxury hotel|party|trip,http://www.imdb.com/title/tt1421051/?ref_=fn_tt_tt_1,7000000
52,10,184,Susie Abromeit,756,Geoff Stults,I Hope They Serve Beer in Hell ,7412,1417,Derek Wayne Johnson,1,bachelor party|bare butt|loud sex|sex standing up|topless female nudity,http://www.imdb.com/title/tt1220628/?ref_=fn_tt_tt_1,
12,43,611,Raquel Welch,1000,Taylor Negron,Chairman of the Board ,5143,5213,Larry Miller,1,box office flop|company|invention|roommate|surfer,http://www.imdb.com/title/tt0118836/?ref_=fn_tt_tt_1,10000000
134,58,973,Natalie Portman,23000,Joseph Gordon-Levitt,Hesher ,43965,44969,Rainn Wilson,0,bully|car|car accident|fire|vomiting,http://www.imdb.com/title/tt1403177/?ref_=fn_tt_tt_1,7000000
151,47,13,Mark Wingett,554,Richard E. Grant,Dom Hemingway ,21243,1105,Richard Graham,2,male frontal nudity|male nudity|male rear nudity|nudity|sex scene,http://www.imdb.com/title/tt2402105/?ref_=fn_tt_tt_1,
