director_name,actor_1_facebook_likes,gross,num_voted_users,facenumber_in_poster,movie_imdb_link,language,imdb_score,aspect_ratio,movie_facebook_likes
Bill Paxton,577,15331289,22289,1,http://www.imdb.com/title/tt0388980/?ref_=fn_tt_tt_1,English,7.5,1.85,0
Richard Kelly,902,15045676,76303,1,http://www.imdb.com/title/tt0362478/?ref_=fn_tt_tt_1,English,5.6,2.35,0
Carter Smith,960,17427926,60062,0,http://www.imdb.com/title/tt0963794/?ref_=fn_tt_tt_1,English,5.9,2.35,0
John Schlesinger,774,14983572,9361,1,http://www.imdb.com/title/tt0156841/?ref_=fn_tt_tt_1,English,4.7,1.85,378
Wes Craven,798,14637490,16411,2,http://www.imdb.com/title/tt0872230/?ref_=fn_tt_tt_1,English,4.8,2.35,0
Luke Greenfield,355,14589444,171151,2,http://www.imdb.com/title/tt0265208/?ref_=fn_tt_tt_1,English,6.8,1.85,0
Ringo Lam,900,14095303,15814,1,http://www.imdb.com/title/tt0117011/?ref_=fn_tt_tt_1,English,5.4,2.35,503
Bruce McCulloch,985,13973532,11211,1,http://www.imdb.com/title/tt0265808/?ref_=fn_tt_tt_1,English,5.1,1.85,215
Brian Helgeland,27000,1865774,87682,2,http://www.imdb.com/title/tt3569230/?ref_=fn_tt_tt_1,English,7.0,2.35,43000
Akiva Schaffer,874,13920741,59900,5,http://www.imdb.com/title/tt0787475/?ref_=fn_tt_tt_1,English,6.7,2.35,0
David R. Ellis,963,18860403,20823,0,http://www.imdb.com/title/tt1633356/?ref_=fn_tt_tt_1,English,4.0,1.85,0
Alan Parker,876,13038660,16995,1,http://www.imdb.com/title/tt0145653/?ref_=fn_tt_tt_1,English,7.3,1.85,0
Ivan Reitman,3000,28831145,39357,1,http://www.imdb.com/title/tt2223990/?ref_=fn_tt_tt_1,English,6.8,2.35,14000
Tobe Hooper,338,,15531,0,http://www.imdb.com/title/tt0089489/?ref_=fn_tt_tt_1,English,6.1,2.35,0
,971,,23664,0,http://www.imdb.com/title/tt0175058/?ref_=fn_tt_tt_1,English,7.2,4.0,581
Robert Redford,18000,11538204,23696,0,http://www.imdb.com/title/tt0968264/?ref_=fn_tt_tt_1,English,7.0,2.35,0
Catherine Hardwicke,13000,11008432,43903,0,http://www.imdb.com/title/tt0355702/?ref_=fn_tt_tt_1,English,7.1,1.85,5000
Patricia Riggen,562,12188642,21098,7,http://www.imdb.com/title/tt2006295/?ref_=fn_tt_tt_1,English,6.9,2.35,0
John Carpenter,400,11100000,92464,1,http://www.imdb.com/title/tt0090728/?ref_=fn_tt_tt_1,English,7.3,2.35,19000
Pascal Chaumeil,172,,5525,2,http://www.imdb.com/title/tt1986843/?ref_=fn_tt_tt_1,French,6.3,2.35,853
Gavin O'Connor,27000,13651662,332276,1,http://www.imdb.com/title/tt1291584/?ref_=fn_tt_tt_1,English,8.2,2.35,77000
Neil Jordan,25000,11030963,24145,2,http://www.imdb.com/title/tt0117039/?ref_=fn_tt_tt_1,English,7.1,1.85,0
Ron Maxwell,854,10769960,21940,0,http://www.imdb.com/title/tt0107007/?ref_=fn_tt_tt_1,English,7.7,1.85,0
Kimberly Peirce,23000,10911750,17757,2,http://www.imdb.com/title/tt0489281/?ref_=fn_tt_tt_1,English,6.5,1.85,982
Stephen Gaghan,16000,10719367,7909,3,http://www.imdb.com/title/tt0267248/?ref_=fn_tt_tt_1,English,4.9,2.35,261
Jonathan Kaplan,181,10114315,18693,0,http://www.imdb.com/title/tt0120620/?ref_=fn_tt_tt_1,English,6.4,2.35,0
Ole Bornedal,941,49122319,47169,0,http://www.imdb.com/title/tt0431021/?ref_=fn_tt_tt_1,English,5.9,2.35,17000
Richard Benjamin,3000,10070000,5668,3,http://www.imdb.com/title/tt0117104/?ref_=fn_tt_tt_1,English,6.2,1.85,491
Rod Lurie,10000,10324441,27117,1,http://www.imdb.com/title/tt0999913/?ref_=fn_tt_tt_1,English,5.8,2.35,7000
Lasse Hallström,442,7156933,14581,0,http://www.imdb.com/title/tt0462338/?ref_=fn_tt_tt_1,English,6.7,1.85,348
Craig R. Baxley,174,9286314,4972,1,http://www.imdb.com/title/tt0102984/?ref_=fn_tt_tt_1,English,5.9,1.85,0
John Hillcoat,10000,56692,177401,2,http://www.imdb.com/title/tt0898367/?ref_=fn_tt_tt_1,English,7.3,2.35,32000
John Guillermin,433,,3334,1,http://www.imdb.com/title/tt0088103/?ref_=fn_tt_tt_1,English,4.8,2.35,739
Marcos Siega,843,5654777,4875,3,http://www.imdb.com/title/tt0373416/?ref_=fn_tt_tt_1,English,4.1,2.35,206
J.B. Rogers,849,5516708,11375,2,http://www.imdb.com/title/tt0239949/?ref_=fn_tt_tt_1,English,4.9,1.85,295
Roger Donaldson,12000,5128124,44198,1,http://www.imdb.com/title/tt0412080/?ref_=fn_tt_tt_1,English,7.9,2.35,11000
David R. Ellis,852,34014398,115650,0,http://www.imdb.com/title/tt0417148/?ref_=fn_tt_tt_1,English,5.6,2.35,4000
Rachel Talalay,6000,4064333,24790,0,http://www.imdb.com/title/tt0114614/?ref_=fn_tt_tt_1,English,5.2,2.35,0
Jeffrey W. Byrd,927,4006906,3229,7,http://www.imdb.com/title/tt0388183/?ref_=fn_tt_tt_1,English,4.1,1.85,83
