num_critic_for_reviews,duration,actor_3_facebook_likes,actor_2_name,genres,movie_title,num_voted_users,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
250,92,773,John Ratzenberger,Adventure|Animation|Comedy|Family|Fantasy,"Monsters, Inc. ",585659,1000,8.1,1.85,0
440,138,929,Tao Okamoto,Action|Adventure|Sci-Fi|Thriller,The Wolverine ,328067,992,6.7,2.35,68000
320,136,1000,Liam Neeson,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode I - The Phantom Menace ,534658,14000,6.5,2.35,13000
257,98,12000,Emma Stone,Adventure|Animation|Comedy|Family|Fantasy,The Croods ,150618,15000,7.3,2.35,28000
33,116,141,Santiago Segura,Adventure|Comedy|Family|Fantasy,Asterix at the Olympic Games ,20567,276,5.1,2.35,291
152,153,617,Roger Willie,Action|Drama|War,Windtalkers ,55994,836,6.0,2.35,0
231,120,9000,Sam Claflin,Action|Adventure|Drama|Fantasy,The Huntsman: Winter's War ,37750,11000,6.1,2.35,16000
348,101,429,Danny Woodburn,Action|Adventure|Comedy|Sci-Fi,Teenage Mutant Ninja Turtles ,167085,809,5.9,2.35,62000
738,91,13,Basher Savage,Adventure|Drama|Sci-Fi|Thriller,Gravity ,582917,23,7.8,2.35,147000
93,108,268,Grant Heslov,Action|Adventure|Thriller,Dante's Peak ,62271,293,5.8,2.35,0
181,112,799,Noel Fisher,Action|Adventure|Comedy|Sci-Fi,Teenage Mutant Ninja Turtles: Out of the Shadows ,17533,833,6.3,2.35,12000
369,100,78,Reg E. Cathey,Action|Adventure|Sci-Fi,Fantastic Four ,110486,360,4.3,2.35,41000
179,108,1000,Rami Malek,Action|Adventure|Comedy|Family|Fantasy,Night at the Museum ,234480,3000,6.4,1.85,3000
358,114,884,Ioan Gruffudd,Action|Adventure|Drama|Thriller,San Andreas ,147497,2000,6.1,2.35,52000
160,119,387,Colin Salmon,Action|Adventure|Thriller,Tomorrow Never Dies ,149680,766,6.5,2.35,0
192,142,1000,Adam Baldwin,Action|Drama|History|War,The Patriot ,207613,2000,7.1,2.35,4000
198,125,350,Julia Roberts,Crime|Thriller,Ocean's Twelve ,284852,8000,6.4,2.35,0
233,126,322,Angelina Jolie Pitt,Action|Comedy|Crime|Romance|Thriller,Mr. & Mrs. Smith ,348861,11000,6.5,2.35,0
263,119,1000,Theo James,Adventure|Sci-Fi|Thriller,Insurgent ,154621,5000,6.3,2.35,27000
267,170,827,Adam Scott,Biography|Drama,The Aviator ,264318,3000,7.5,2.35,0
184,85,116,Catherine Tate,Adventure|Comedy|Family|Fantasy,Gulliver's Travels ,53160,392,4.9,2.35,0
447,119,741,Tom Wilkinson,Action|Comedy|Crime|Sci-Fi|Thriller,The Green Hornet ,136019,1000,5.8,2.35,14000
29,60,432,Dirk Benedict,Action|Adventure|Crime,The A-Team             ,25402,554,7.6,4.0,0
366,102,1000,Sullivan Stapleton,Action|Drama|Fantasy|War,300: Rise of an Empire ,225273,1000,6.2,2.35,71000
172,103,111,Tim Gunn,Adventure|Animation|Comedy|Family|Fantasy,The Smurfs ,66593,113,5.5,1.78,31000
104,76,421,Roseanne Barr,Animation|Comedy|Family|Music|Western,Home on the Range ,13581,513,5.4,1.78,304
181,120,943,Theo James,Action|Adventure|Mystery|Sci-Fi|Thriller,Allegiant ,44296,5000,5.8,2.35,12000
327,127,544,Torey Michael Adkins,Action|Drama|Sci-Fi|Sport,Real Steel ,254841,929,7.1,2.35,36000
125,105,40,Nancy O'Dell,Adventure|Animation|Comedy|Family|Fantasy,The Smurfs 2 ,27257,71,5.4,1.85,0
79,121,202,Temuera Morrison,Action|Crime|Romance|Thriller,Speed 2: Cruise Control ,60573,368,3.7,2.35,894
326,114,430,Moises Arias,Action|Sci-Fi,Ender's Game ,184561,635,6.7,2.35,123000
354,129,297,Jonathan Sadowski,Action|Adventure|Thriller,Live Free or Die Hard ,336235,300,7.2,2.35,0
297,171,857,Orlando Bloom,Action|Adventure|Drama|Fantasy,The Lord of the Rings: The Fellowship of the Ring ,1238746,5000,8.8,2.35,21000
188,120,447,Steve Coogan,Action|Adventure|Comedy,Around the World in 80 Days ,68720,1000,5.8,2.35,0
174,165,780,Jada Pinkett Smith,Biography|Drama|Sport,Ali ,79186,851,6.8,2.35,0
109,82,434,Kelly Preston,Adventure|Comedy|Family|Fantasy,The Cat in the Hat ,36033,743,3.8,1.85,946
225,115,466,Bruce Greenwood,Action|Mystery|Sci-Fi|Thriller,"I, Robot ",387632,981,7.1,2.35,0
239,194,195,Orlando Bloom,Action|Adventure|Drama|History|War,Kingdom of Heaven ,217373,5000,7.2,2.35,0
101,84,692,Nathan Lane,Adventure|Comedy|Family|Fantasy,Stuart Little ,94172,886,5.9,1.85,0
228,97,525,Jenifer Lewis,Animation|Family|Fantasy|Musical|Romance,The Princess and the Frog ,89351,578,7.1,1.85,5000
568,151,372,Donald Glover,Adventure|Drama|Sci-Fi,The Martian ,472488,801,8.1,2.35,153000
,22,,,Comedy,"10,000 B.C.             ",6,,7.2,,0
257,136,3000,Steve Buscemi,Action|Adventure|Romance|Sci-Fi|Thriller,The Island ,263329,12000,6.9,2.35,0
62,104,591,Warren Beatty,Comedy|Romance,Town & Country ,4102,631,4.4,1.85,53
175,127,3000,Angelina Jolie Pitt,Action|Crime|Thriller,Gone in Sixty Seconds ,218341,11000,6.5,2.35,0
265,171,695,Connie Nielsen,Action|Drama|Romance,Gladiator ,982637,933,8.5,2.35,21000
252,145,533,Frank Grillo,Action|Mystery|Sci-Fi|Thriller,Minority Report ,399651,798,7.7,2.35,0
232,174,9000,Rupert Grint,Adventure|Family|Fantasy|Mystery,Harry Potter and the Chamber of Secrets ,387616,10000,7.4,2.35,0
400,144,834,Tobias Menzies,Action|Adventure|Thriller,Casino Royale ,470483,1000,8.0,2.35,0
230,119,567,Estella Warren,Action|Adventure|Sci-Fi|Thriller,Planet of the Apes ,177725,658,5.7,2.35,0
210,153,539,Jenette Goldstein,Action|Sci-Fi,Terminator 2: Judgment Day ,744891,604,8.5,2.35,13000
357,140,1000,Christian Bale,Biography|Crime|Drama|History|Romance,Public Enemies ,230931,23000,7.0,2.35,0
300,176,561,Ruby Dee,Biography|Crime|Drama,American Gangster ,324671,782,7.8,1.85,0
94,141,618,Tia Carrere,Action|Comedy|Thriller,True Lies ,190439,1000,7.2,2.35,0
267,106,385,Ramon Rodriguez,Action|Crime|Thriller,The Taking of Pelham 1 2 3 ,149998,464,6.4,2.35,0
180,98,708,Blythe Danner,Comedy|Romance,Little Fockers ,85531,713,5.5,1.85,0
265,116,107,Will Ferrell,Action|Comedy|Crime,The Other Guys ,189806,8000,6.7,2.35,16000
