num_critic_for_reviews,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,num_voted_users,movie_imdb_link,num_user_for_reviews,language,title_year,actor_2_facebook_likes,movie_facebook_likes
117,101,541,Thomas Lennon,660,66002004,Adventure|Comedy|Family|Fantasy|Romance|Sport,36431,http://www.imdb.com/title/tt0400497/?ref_=fn_tt_tt_1,168,English,2005,651,1000
113,113,477,Jennifer Esposito,1000,54997476,Crime|Drama|Mystery|Thriller,40362,http://www.imdb.com/title/tt0260866/?ref_=fn_tt_tt_1,248,English,2001,912,970
349,98,467,Derek Mears,10000,55682070,Action|Fantasy|Horror,159868,http://www.imdb.com/title/tt1428538/?ref_=fn_tt_tt_1,304,English,2013,520,45000
152,124,372,Erik Per Sullivan,838,52752475,Drama|Thriller,63067,http://www.imdb.com/title/tt0250797/?ref_=fn_tt_tt_1,533,English,2002,593,0
288,109,144,Emily Wickersham,15000,55092830,Action|Adventure|Sci-Fi|Thriller,195043,http://www.imdb.com/title/tt1464540/?ref_=fn_tt_tt_1,329,English,2011,348,27000
358,128,414,Amr Waked,13000,50815288,Drama|Thriller,109188,http://www.imdb.com/title/tt0365737/?ref_=fn_tt_tt_1,625,English,2005,903,0
204,144,681,James Badge Dale,769,52822418,Action|Drama|Thriller|War,47764,http://www.imdb.com/title/tt4172430/?ref_=fn_tt_tt_1,219,English,2016,726,44000
156,95,679,Hector Elizondo,17000,50150619,Adventure|Animation|Comedy|Family|Fantasy|Romance,45580,http://www.imdb.com/title/tt2262227/?ref_=fn_tt_tt_1,102,English,2014,995,18000
171,105,935,Harrison Ford,87000,48745150,Crime|Thriller,50170,http://www.imdb.com/title/tt0408345/?ref_=fn_tt_tt_1,306,English,2006,11000,773
76,121,826,Mark Margolis,16000,50007168,Action|Crime|Drama|Thriller,39529,http://www.imdb.com/title/tt0118548/?ref_=fn_tt_tt_1,142,English,1997,1000,1000
97,125,957,Demi Moore,10000,48154732,Action|Drama|War,60326,http://www.imdb.com/title/tt0119173/?ref_=fn_tt_tt_1,142,English,1997,2000,2000
157,129,283,Armin Mueller-Stahl,495,48265581,Drama|Mystery|Thriller,261069,http://www.imdb.com/title/tt0119174/?ref_=fn_tt_tt_1,506,English,1997,294,25000
