num_critic_for_reviews,duration,actor_1_facebook_likes,gross,genres,actor_3_name,movie_imdb_link,num_user_for_reviews,country,content_rating,title_year,actor_2_facebook_likes,aspect_ratio,movie_facebook_likes
191,92,989,114324072,Comedy|Sport,Joel David Moore,http://www.imdb.com/title/tt0364725/?ref_=fn_tt_tt_1,392,USA,PG-13,2004,939,2.35,0
18,100,640,71904,Comedy|Drama|Family,George Harris,http://www.imdb.com/title/tt0465407/?ref_=fn_tt_tt_1,18,USA,PG-13,2006,261,1.85,140
28,80,191,99851,Documentary,Gavin Newsom,http://www.imdb.com/title/tt1484522/?ref_=fn_tt_tt_1,30,USA,R,2010,12,1.78,0
22,106,611,115504,Comedy|Drama|Romance,Shriya Saran,http://www.imdb.com/title/tt1049405/?ref_=fn_tt_tt_1,26,UK,PG-13,2008,397,2.35,0
62,103,127,5725,Horror|Thriller,Sebastian Blomberg,http://www.imdb.com/title/tt0187696/?ref_=fn_tt_tt_1,110,Germany,R,2000,10,2.35,560
47,90,426,75727,Drama|Romance|Sci-Fi|Thriller,Tenoch Huerta,http://www.imdb.com/title/tt0804529/?ref_=fn_tt_tt_1,40,USA,PG-13,2008,399,1.85,0
238,96,2000,322157,Comedy|Crime|Drama,Paul T. Taylor,http://www.imdb.com/title/tt1512235/?ref_=fn_tt_tt_1,203,USA,R,2010,973,1.85,19000
2,89,794,,Comedy|Drama|Family|Romance,Lochlyn Munro,http://www.imdb.com/title/tt1663628/?ref_=fn_tt_tt_1,7,USA,TV-PG,2010,607,,190
95,87,968,,Comedy|Horror,David Masterson,http://www.imdb.com/title/tt3300572/?ref_=fn_tt_tt_1,23,Germany,Not Rated,2015,625,2.35,0
10,94,1000,,Horror,Mark Webber,http://www.imdb.com/title/tt3333870/?ref_=fn_tt_tt_1,2,USA,,2016,677,,89
28,120,1000,5731103,Drama|History,Andre Braugher,http://www.imdb.com/title/tt0116404/?ref_=fn_tt_tt_1,35,USA,R,1996,748,1.85,352
25,101,973,978908,Drama|Horror|Mystery|Thriller,Justine Waddell,http://www.imdb.com/title/tt0486028/?ref_=fn_tt_tt_1,90,Poland,PG-13,2006,872,2.35,250
121,84,586,438653,Adventure|Comedy|Sci-Fi,David Herman,http://www.imdb.com/title/tt0387808/?ref_=fn_tt_tt_1,434,USA,R,2006,497,1.85,79000
10,110,490,,Crime|Drama,Kris Sommerville,http://www.imdb.com/title/tt2945796/?ref_=fn_tt_tt_1,26,UK,R,2015,159,,0
172,101,1000,327919,Crime|Drama,Jack O'Connell,http://www.imdb.com/title/tt0480025/?ref_=fn_tt_tt_1,192,UK,Unrated,2006,788,1.85,11000
20,101,844,,Comedy|Sci-Fi,Bianca Brigitte VanDamme,http://www.imdb.com/title/tt2040578/?ref_=fn_tt_tt_1,82,UK,R,2012,722,2.35,0
8,101,675,,Comedy|Musical,Red Skelton,http://www.imdb.com/title/tt0036628/?ref_=fn_tt_tt_1,28,USA,Passed,1944,659,1.37,144
8,105,847,178739,Drama|Musical,Rene Rosado,http://www.imdb.com/title/tt1307926/?ref_=fn_tt_tt_1,10,USA,PG-13,2011,618,1.85,566
15,97,982,565592,Comedy|Drama|Family,Alexandra Holden,http://www.imdb.com/title/tt0118925/?ref_=fn_tt_tt_1,63,USA,PG,1998,599,1.85,500
14,108,960,,Drama|Family|Musical|Romance,Howard Keel,http://www.imdb.com/title/tt0044030/?ref_=fn_tt_tt_1,46,USA,Approved,1951,715,1.33,438
12,95,1000,27012,Drama,Luke Perry,http://www.imdb.com/title/tt1470020/?ref_=fn_tt_tt_1,9,USA,PG-13,2010,646,2.35,279
48,108,2000,,Thriller,Christopher Heyerdahl,http://www.imdb.com/title/tt1666335/?ref_=fn_tt_tt_1,28,USA,R,2014,1000,,0
17,90,11000,,Adventure|Animation|Comedy|Family|Fantasy|Musical,Mindy Sterling,http://www.imdb.com/title/tt0092695/?ref_=fn_tt_tt_1,62,USA,Not Rated,1987,516,,0
99,120,16,76400000,Animation|Family|Fantasy|Music,,http://www.imdb.com/title/tt0032455/?ref_=fn_tt_tt_1,230,USA,G,1940,0,1.37,3000
138,104,813,,Action|Crime|Drama|Thriller,Tony Lo Bianco,http://www.imdb.com/title/tt0067116/?ref_=fn_tt_tt_1,280,USA,R,1971,165,1.85,0
,90,210,,Drama|Thriller,Ivette Alvarez,http://www.imdb.com/title/tt3111864/?ref_=fn_tt_tt_1,3,USA,PG-13,2014,0,,224
235,91,72,36200000,Horror|Thriller,Catherine Parks,http://www.imdb.com/title/tt0083972/?ref_=fn_tt_tt_1,372,USA,R,1982,31,2.35,0
160,92,42,21300000,Horror|Mystery|Thriller,Dominick Brascia,http://www.imdb.com/title/tt0089173/?ref_=fn_tt_tt_1,342,USA,R,1985,27,1.85,1000
18,117,861,379643,Drama,A.J. Buckley,http://www.imdb.com/title/tt0810928/?ref_=fn_tt_tt_1,29,USA,PG-13,2007,425,1.85,285
11,120,2000,12985267,Drama,Madison Pettis,http://www.imdb.com/title/tt4056738/?ref_=fn_tt_tt_1,63,USA,PG-13,2015,848,,13000
11,90,676,,Thriller,Linden Ashby,http://www.imdb.com/title/tt1086841/?ref_=fn_tt_tt_1,9,USA,R,2008,399,,77
7,119,509,,Drama,Lionel Barrymore,http://www.imdb.com/title/tt0038213/?ref_=fn_tt_tt_1,29,USA,Passed,1945,284,1.37,68
5,90,1000,,Drama|Thriller,Brad Schmidt,http://www.imdb.com/title/tt3032282/?ref_=fn_tt_tt_1,4,Spain,R,2015,800,,452
10,90,114,,Comedy|Drama|Romance,Shobu Kapoor,http://www.imdb.com/title/tt0449000/?ref_=fn_tt_tt_1,14,UK,,2005,79,1.85,172
5,97,3000,,Comedy|Music|Romance,Jason Ritter,http://www.imdb.com/title/tt1995477/?ref_=fn_tt_tt_1,6,USA,,2014,938,,107
95,90,371,,Action|Comedy|Horror,Stefanie Drummond,http://www.imdb.com/title/tt0816539/?ref_=fn_tt_tt_1,46,Canada,R,2007,52,1.85,870
97,172,749,23650000,Drama|Romance|War,Dana Andrews,http://www.imdb.com/title/tt0036868/?ref_=fn_tt_tt_1,235,USA,Not Rated,1946,208,1.37,0
76,115,730,510092,Biography|Crime|Drama,Brad Renfro,http://www.imdb.com/title/tt0242193/?ref_=fn_tt_tt_1,336,USA,R,2001,648,1.85,0
67,89,117,313436,Comedy|Drama,Sven Nordin,http://www.imdb.com/title/tt0279064/?ref_=fn_tt_tt_1,95,Norway,R,2001,21,1.85,0
4,125,128,3330,Crime|Drama,Brad Lee Wind,http://www.imdb.com/title/tt2460506/?ref_=fn_tt_tt_1,1,USA,R,2015,22,2.35,305
252,78,120,,Horror,Carlos Lasarte,http://www.imdb.com/title/tt1038988/?ref_=fn_tt_tt_1,374,Spain,R,2007,9,1.85,15000
,89,919,,Drama,Cheyenne Haynes,http://www.imdb.com/title/tt1675312/?ref_=fn_tt_tt_1,4,USA,TV-PG,2010,718,1.78,162
1,100,749,,Comedy|Drama|Mystery|Romance|Thriller,Carmen Argenziano,http://www.imdb.com/title/tt2317796/?ref_=fn_tt_tt_1,1,USA,,2015,354,2.39,14
33,77,846,,Horror|Sci-Fi|Thriller,Louise Brealey,http://www.imdb.com/title/tt3561236/?ref_=fn_tt_tt_1,21,UK,,2015,366,,275
19,81,412,,Adventure|Drama|Western,Shaun O'Hagan,http://www.imdb.com/title/tt2215673/?ref_=fn_tt_tt_1,17,USA,,2015,308,2.35,380
167,115,559,24800000,Action|Adventure|Thriller,Lois Maxwell,http://www.imdb.com/title/tt0057076/?ref_=fn_tt_tt_1,358,UK,Approved,1963,201,1.37,0
49,96,40,792966,Action|Comedy|Horror|Sci-Fi,Lisa Gaye,http://www.imdb.com/title/tt0098503/?ref_=fn_tt_tt_1,40,USA,R,1989,30,1.33,321
1,60,480,,Crime|Drama|Mystery,Crystal R. Fox,http://www.imdb.com/title/tt0094484/?ref_=fn_tt_tt_1,24,USA,,,360,1.33,763
66,89,11000,,Comedy|Sci-Fi,Mews Small,http://www.imdb.com/title/tt0070707/?ref_=fn_tt_tt_1,128,USA,PG,1973,66,1.85,0
533,100,314,14673301,Horror|Mystery,Jake Weary,http://www.imdb.com/title/tt3235888/?ref_=fn_tt_tt_1,631,USA,R,2014,189,2.35,45000
50,88,11000,,Comedy,Lynn Redgrave,http://www.imdb.com/title/tt0068555/?ref_=fn_tt_tt_1,78,USA,R,1972,300,1.85,0
127,129,3000,,Crime|Drama,William Windom,http://www.imdb.com/title/tt0056592/?ref_=fn_tt_tt_1,471,USA,Not Rated,1962,226,1.85,15000
177,87,745,9003011,Action|Adventure|Sci-Fi|Thriller,Kjell Nilsson,http://www.imdb.com/title/tt0082694/?ref_=fn_tt_tt_1,294,Australia,R,1981,531,2.35,0
77,102,483,11546543,Action|Comedy,Ho-Sung Pak,http://www.imdb.com/title/tt0111512/?ref_=fn_tt_tt_1,146,Hong Kong,R,1994,147,2.35,0
103,152,618,,Crime|Drama|Romance,Lois Maxwell,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1,207,UK,Not Rated,1962,367,1.66,0
123,118,173,11533945,Biography|Crime|Drama|Romance,Jeannetta Arnette,http://www.imdb.com/title/tt0171804/?ref_=fn_tt_tt_1,434,USA,R,1999,148,1.85,0
218,86,120,12555230,Drama|Horror|Mystery|Thriller,Adam Trese,http://www.imdb.com/title/tt1767382/?ref_=fn_tt_tt_1,154,France,R,2011,44,1.85,0
215,137,380,11284657,Drama|Thriller,Martina Gedeck,http://www.imdb.com/title/tt0405094/?ref_=fn_tt_tt_1,407,Germany,R,2006,284,2.35,39000
34,129,690,34522221,Drama,T.C. Stallings,http://www.imdb.com/title/tt1630036/?ref_=fn_tt_tt_1,175,USA,PG-13,2011,589,2.35,10000
100,134,654,,Drama|Sport,Murray Hamilton,http://www.imdb.com/title/tt0054997/?ref_=fn_tt_tt_1,167,USA,Unrated,1961,491,2.35,0
12,119,1000,,Adventure|Drama|Romance|Western,Claudette Colbert,http://www.imdb.com/title/tt0032273/?ref_=fn_tt_tt_1,34,USA,Passed,1940,760,1.37,236
167,80,23,7002255,Animation|Comedy|Drama,Béatrice Bonifassi,http://www.imdb.com/title/tt0286244/?ref_=fn_tt_tt_1,312,France,PG-13,2003,6,1.66,0
56,89,912,6719300,Comedy|Drama,Gary Farmer,http://www.imdb.com/title/tt0120321/?ref_=fn_tt_tt_1,132,Canada,PG-13,1998,752,1.85,0
180,101,14000,6003587,Biography|Comedy|Drama,Daniel Tay,http://www.imdb.com/title/tt0305206/?ref_=fn_tt_tt_1,226,USA,R,2003,119,1.85,0
211,80,50,5792822,Drama|Romance,Marie Pillet,http://www.imdb.com/title/tt0381681/?ref_=fn_tt_tt_1,492,USA,R,2004,8,1.85,13000
157,115,85,5383834,Drama|Thriller,Goya Toledo,http://www.imdb.com/title/tt0245712/?ref_=fn_tt_tt_1,361,Mexico,R,2000,79,1.85,11000
126,100,1000,4599680,Drama,Kip Pardue,http://www.imdb.com/title/tt0328538/?ref_=fn_tt_tt_1,545,USA,R,2003,482,1.85,0
61,118,936,,Drama|Romance,John Garfield,http://www.imdb.com/title/tt0039416/?ref_=fn_tt_tt_1,113,USA,Approved,1947,297,1.37,0
365,100,34000,6531491,Drama,Lauren Sweetser,http://www.imdb.com/title/tt1399683/?ref_=fn_tt_tt_1,297,USA,R,2010,248,1.85,20000
121,106,21,4581222,Adventure|Documentary|Drama|Sport,Joe Simpson,http://www.imdb.com/title/tt0379557/?ref_=fn_tt_tt_1,156,UK,R,2003,5,1.85,0
10,106,480,,Drama|Musical|Romance,John Carradine,http://www.imdb.com/title/tt0029852/?ref_=fn_tt_tt_1,29,USA,Approved,1938,392,1.37,60
151,91,538,3885134,Comedy|Drama,Miranda July,http://www.imdb.com/title/tt0415978/?ref_=fn_tt_tt_1,243,USA,R,2005,363,1.85,0
171,105,13000,4311834,Crime|Documentary,Barney Frank,http://www.imdb.com/title/tt1645089/?ref_=fn_tt_tt_1,129,USA,PG-13,2010,125,2.35,63000
158,96,804,3590010,Drama|Music|Romance,Jonny Weston,http://www.imdb.com/title/tt3787590/?ref_=fn_tt_tt_1,60,UK,R,2015,625,1.85,0
167,116,251,3300230,Action|Crime|Drama|Thriller,Richard Portnow,http://www.imdb.com/title/tt0165798/?ref_=fn_tt_tt_1,346,France,R,1999,147,1.85,0
118,116,24000,3335839,Action|Crime|Drama|Thriller,Noel Gugliemi,http://www.imdb.com/title/tt0433387/?ref_=fn_tt_tt_1,222,USA,R,2005,23000,1.85,0
39,97,1000,2557668,Crime|Drama|Thriller,Sydelle Noel,http://www.imdb.com/title/tt3268668/?ref_=fn_tt_tt_1,22,USA,PG-13,2015,426,1.85,0
108,101,8000,2506446,Comedy|Romance,Blair Underwood,http://www.imdb.com/title/tt0290212/?ref_=fn_tt_tt_1,172,USA,R,2002,724,1.85,134
65,98,265,7369373,Horror|Mystery|Thriller,Rose Marie,http://www.imdb.com/title/tt0090327/?ref_=fn_tt_tt_1,74,UK,R,1986,194,1.85,0
8,22,459,,Comedy,Maria Thayer,http://www.imdb.com/title/tt0194624/?ref_=fn_tt_tt_1,62,USA,TV-14,,396,4.0,558
85,150,597,4414535,Drama,Richard Briers,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1,224,UK,PG-13,1996,591,2.2,0
160,101,71,1984378,Comedy|Drama|Romance,Raphael Barker,http://www.imdb.com/title/tt0367027/?ref_=fn_tt_tt_1,206,USA,Unrated,2006,51,1.78,0
231,90,56,2283276,Animation|Biography|Documentary|Drama|History|War,Zahava Solomon,http://www.imdb.com/title/tt1185616/?ref_=fn_tt_tt_1,156,Israel,R,2008,0,1.85,0
7,120,178,1098224,Adventure,Bruce Newbold,http://www.imdb.com/title/tt0349159/?ref_=fn_tt_tt_1,30,USA,PG-13,2003,69,1.85,32
79,102,393,1430185,Documentary|War,Donald Rumsfeld,http://www.imdb.com/title/tt0912593/?ref_=fn_tt_tt_1,55,USA,,2007,21,1.85,0
168,102,10000,1477002,Drama|Romance,Austin Lyon,http://www.imdb.com/title/tt3172532/?ref_=fn_tt_tt_1,72,USA,R,2015,1000,2.35,0
1,60,11000,,Comedy|Drama|Romance,Debrah Farentino,http://www.imdb.com/title/tt0212662/?ref_=fn_tt_tt_1,26,USA,,,289,1.33,43
107,100,168,1134049,Documentary|History,Neil Armstrong,http://www.imdb.com/title/tt0925248/?ref_=fn_tt_tt_1,44,UK,PG,2007,142,1.85,0
200,104,991,977600,Drama|Western,Shirley Henderson,http://www.imdb.com/title/tt1518812/?ref_=fn_tt_tt_1,98,USA,PG,2010,962,1.33,0
123,89,373,653621,Biography|Documentary|History,Linda Lovelace,http://www.imdb.com/title/tt0418753/?ref_=fn_tt_tt_1,64,USA,NC-17,2005,334,1.85,592
39,99,388,110000,Crime|Drama|Romance,Ajay Naidu,http://www.imdb.com/title/tt0229340/?ref_=fn_tt_tt_1,73,USA,R,2000,159,1.85,495
41,96,584,444354,Comedy|Drama,Jamie Kennedy,http://www.imdb.com/title/tt0118866/?ref_=fn_tt_tt_1,111,UK,PG-13,1997,559,,166
46,86,189,535249,Comedy,Zack Pearlman,http://www.imdb.com/title/tt1695994/?ref_=fn_tt_tt_1,13,USA,R,2010,131,1.85,974
30,98,1000,,Comedy|Drama|Thriller,Jean-Hugues Anglade,http://www.imdb.com/title/tt0090095/?ref_=fn_tt_tt_1,45,France,R,1985,572,2.35,739
