director_name,num_critic_for_reviews,duration,actor_2_name,gross,actor_1_name,num_voted_users,plot_keywords,movie_imdb_link,language,country,content_rating
Steven Quale,277,92,Jacqueline MacInnes Wood,42575718,Emma Bell,83788,blood splatter|death|eyeball run over by car|latex gloves|suspension bridge,http://www.imdb.com/title/tt1622979/?ref_=fn_tt_tt_1,English,USA,R
Kelly Makin,90,102,Burt Young,33864342,Jeanne Tripplehorn,29968,auctioneer|fbi|mafia|mobster|painting,http://www.imdb.com/title/tt0130121/?ref_=fn_tt_tt_1,English,UK,PG-13
Mimi Leder,157,123,Haley Joel Osment,33508922,Kevin Spacey,95860,alcoholism|boy|good deed|protective male|teacher,http://www.imdb.com/title/tt0223897/?ref_=fn_tt_tt_1,English,USA,PG-13
Bobby Farrelly,124,104,KaDee Strickland,42071069,Jimmy Fallon,36223,baltimore orioles|boston red sox|promotion|ups|world series,http://www.imdb.com/title/tt0332047/?ref_=fn_tt_tt_1,English,USA,PG-13
,3,30,Melissa Altro,,Bruce Dinsmore,8495,based on children's book|best friend|character name in title|friend|one word title,http://www.imdb.com/title/tt0169414/?ref_=fn_tt_tt_1,English,Canada,TV-Y
Steven Brill,146,102,Shaun Weiss,32853640,Lisa Ann Walter,50199,bodyguard|bully|generation y|high school|nerd,http://www.imdb.com/title/tt0817538/?ref_=fn_tt_tt_1,English,USA,PG-13
Seth MacFarlane,303,136,Charlize Theron,42615685,Liam Neeson,136093,dancing sheep|fetish|musical scene|racial humor|snake poison,http://www.imdb.com/title/tt2557490/?ref_=fn_tt_tt_1,English,USA,R
Russell Mulcahy,70,93,Peter Boyle,32055248,Jonathan Winters,18723,1930s|bomb|city|invisibility|the shadow,http://www.imdb.com/title/tt0111143/?ref_=fn_tt_tt_1,English,USA,PG-13
Stephen Daldry,283,129,Thomas Horn,31836745,Tom Hanks,81298,fear|mourning|mute|quest|revelation,http://www.imdb.com/title/tt0477302/?ref_=fn_tt_tt_1,English,USA,PG-13
Roger Michell,212,107,Patti D'Arbanville,30993544,Noah Bean,58871,job offer|roller coaster|slow motion action scene|slow motion sequence|television,http://www.imdb.com/title/tt1126618/?ref_=fn_tt_tt_1,English,USA,PG-13
Jim Sheridan,98,117,Bill Duke,30981850,50 Cent,35834,male frontal nudity|male pubic hair|prison|pubic hair|violence,http://www.imdb.com/title/tt0430308/?ref_=fn_tt_tt_1,English,USA,R
Christian Duguay,110,116,Cary-Hiroyuki Tagawa,30199105,Michael Biehn,25346,blood splatter|fbi|murder|secretary general|united nations,http://www.imdb.com/title/tt0160009/?ref_=fn_tt_tt_1,English,USA,R
Chris Columbus,146,135,David Fine,29077547,Rosario Dawson,41685,aids|hiv positive|lawyer|new york city|roommate,http://www.imdb.com/title/tt0294870/?ref_=fn_tt_tt_1,English,USA,PG-13
Chuck Russell,100,107,Jimmy Smits,29374178,Rufus Sewell,12093,easter|fbi|luminol|nurse|omen,http://www.imdb.com/title/tt0163983/?ref_=fn_tt_tt_1,English,USA,R
Sam Weisman,62,90,Valerie Perri,28535768,Oliver Hudson,10446,job interview|manhattan new york city|new york city|remake|sausage,http://www.imdb.com/title/tt0129280/?ref_=fn_tt_tt_1,English,USA,PG-13
John Frankenheimer,70,99,Temuera Morrison,27663982,Marlon Brando,26051,animal experimentation|chimera|island|jungle|mutant,http://www.imdb.com/title/tt0116654/?ref_=fn_tt_tt_1,English,USA,PG-13
Peter Hyams,107,104,Justin Chambers,27053815,Catherine Deneuve,12856,guard|king|murder|musketeer|swordsman,http://www.imdb.com/title/tt0246544/?ref_=fn_tt_tt_1,English,Germany,PG-13
Justin Chadwick,169,115,Scarlett Johansson,26814957,Natalie Portman,84357,children|court|king|king henry viii|love,http://www.imdb.com/title/tt0467200/?ref_=fn_tt_tt_1,English,UK,PG-13
Pat O'Connor,94,119,Charlize Theron,25178165,Keanu Reeves,70292,advertising|cancer|dog|san francisco california|terminal illness,http://www.imdb.com/title/tt0230838/?ref_=fn_tt_tt_1,English,USA,PG-13
Stephen Hopkins,190,99,Andrea Frankle,25117498,Stephen Rea,37412,biblical plague|louisiana|missionary|plague|small town,http://www.imdb.com/title/tt0444682/?ref_=fn_tt_tt_1,English,USA,R
Martin Scorsese,112,112,David Carradine,32645,Robert De Niro,67797,bar|catholic guilt|epilepsy|italian american|money,http://www.imdb.com/title/tt0070379/?ref_=fn_tt_tt_1,English,USA,R
Penny Marshall,12,128,Cliff Robertson,24332324,Ed Begley Jr.,13830,army|basic training|reference to shakespeare's hamlet|teacher|u.s. army,http://www.imdb.com/title/tt0110971/?ref_=fn_tt_tt_1,English,USA,PG-13
Olivier Megaton,201,112,Callum Blue,36665854,Jordi Mollà,76498,female in a shower|female nudity|premarital sex|sex scene|woman wearing a miniskirt,http://www.imdb.com/title/tt1657507/?ref_=fn_tt_tt_1,English,France,PG-13
Frederik Du Chau,34,86,Jaleel White,22717758,Gary Oldman,11156,camelot|dragon|excalibur|knight|sword,http://www.imdb.com/title/tt0120800/?ref_=fn_tt_tt_1,English,USA,G
Michael Caton-Jones,104,108,James Franco,22433915,Robert De Niro,21319,beach|grandson|murder|new york city|police,http://www.imdb.com/title/tt0269095/?ref_=fn_tt_tt_1,English,USA,R
Irwin Winkler,55,128,Nathan Lane,22326247,Mira Sorvino,11232,based on article|blindness|box office flop|massage therapist|regaining sight,http://www.imdb.com/title/tt0132512/?ref_=fn_tt_tt_1,English,USA,PG-13
Joseph Kahn,86,84,Jay Hernandez,21176322,Dane Cook,23747,murder|on the run|security camera|surveillance footage|timebomb,http://www.imdb.com/title/tt0329691/?ref_=fn_tt_tt_1,English,USA,PG-13
Harold Becker,50,111,Martin Landau,20300000,Al Pacino,16741,drug dealer|mayor|new york city|probation|scandal,http://www.imdb.com/title/tt0115907/?ref_=fn_tt_tt_1,English,USA,R
Paul Verhoeven,181,131,Elizabeth Berkley,20302961,Bobbie Phillips,49874,cult film|lap dance|lap dancing|stripper|striptease,http://www.imdb.com/title/tt0114436/?ref_=fn_tt_tt_1,English,France,NC-17
Sofia Coppola,260,123,Shirley Henderson,15962471,Kirsten Dunst,79892,austria|cake|france|queen|versailles,http://www.imdb.com/title/tt0422720/?ref_=fn_tt_tt_1,English,USA,PG-13
Barbet Schroeder,40,101,Michael Rapaport,14942422,Nicolas Cage,14226,beard|female nudity|police brutality|stripper|woman in lingerie,http://www.imdb.com/title/tt0113552/?ref_=fn_tt_tt_1,English,USA,R
Stephen Kay,102,102,Miranda Richardson,14967182,Sylvester Stallone,27305,affair|car crash|enforcer|funeral|murder,http://www.imdb.com/title/tt0208988/?ref_=fn_tt_tt_1,English,USA,R
J.A. Bayona,371,114,Geraldine Chaplin,18996755,Naomi Watts,145270,christmas|resort|thailand|tourist|tsunami,http://www.imdb.com/title/tt1649419/?ref_=fn_tt_tt_1,English,Spain,PG-13
Elaine May,49,107,Warren Beatty,14375181,Carol Kane,8692,cia|emir|hotel|map|morocco,http://www.imdb.com/title/tt0093278/?ref_=fn_tt_tt_1,English,USA,PG-13
Wes Anderson,335,87,Meryl Streep,20999103,Bill Murray,139114,cider|farm|farmer|fox|tale,http://www.imdb.com/title/tt0432283/?ref_=fn_tt_tt_1,English,USA,PG
Stephen Herek,86,103,Stockard Channing,14448589,Angelina Jolie Pitt,19364,football|homeless man|interview|psychic|reporter,http://www.imdb.com/title/tt0282687/?ref_=fn_tt_tt_1,English,USA,PG-13
John Carpenter,40,99,Michael McKean,14358033,Richard Epcar,17365,accident|bar|chase|cia|laboratory,http://www.imdb.com/title/tt0104850/?ref_=fn_tt_tt_1,English,USA,PG-13
Jean-Pierre Jeunet,242,122,Jamel Debbouze,33201661,Mathieu Kassovitz,534262,cheerfulness|female protagonist|garden gnome|magical realism|waitress,http://www.imdb.com/title/tt0211915/?ref_=fn_tt_tt_1,French,France,R
Dennie Gordon,70,91,Bob Saget,14018364,Mary-Kate Olsen,17722,dog|new york city|scholarship|senator|twin,http://www.imdb.com/title/tt0363282/?ref_=fn_tt_tt_1,English,USA,PG
Charles Shyer,135,103,Nia Long,13395939,Omar Epps,43442,best friend|commitment|friend|limousine driver|one night stand,http://www.imdb.com/title/tt0375173/?ref_=fn_tt_tt_1,English,UK,R
Ken Kwapis,125,107,Tim Blake Nelson,20113965,Ted Danson,15231,arctic circle|reporter|small town|volunteer|whale,http://www.imdb.com/title/tt1430615/?ref_=fn_tt_tt_1,English,USA,PG
Ulu Grosbard,54,106,Treat Williams,13376506,Alexa PenaVega,10413,basketball|boy|italian|kidnapping a child|reunion,http://www.imdb.com/title/tt0120646/?ref_=fn_tt_tt_1,English,USA,PG-13
William Malone,104,101,Jeffrey Combs,13208023,Natascha McElhone,17309,bondage gear|bound and gagged|hung by one's wrists|tied to a chair|tied to a table,http://www.imdb.com/title/tt0295254/?ref_=fn_tt_tt_1,English,UK,R
Paul Weitz,157,109,Salma Hayek,13838130,Josh Hutcherson,35990,antidote|based on young adult novel|flyer|spider|vampire,http://www.imdb.com/title/tt0450405/?ref_=fn_tt_tt_1,English,USA,PG-13
Paul McGuigan,159,110,Spencer Wilding,5773519,Daniel Radcliffe,28618,assistant|experiment|frankenstein|medical student|scientist,http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1,English,USA,PG-13
Danny DeVito,78,89,Amber Valletta,9652000,Justin Theroux,46205,christmas|duplex|television|tenant|writer,http://www.imdb.com/title/tt0266489/?ref_=fn_tt_tt_1,English,USA,PG-13
