actor_2_name,genres,actor_1_name,num_voted_users,plot_keywords,movie_imdb_link,num_user_for_reviews,country,content_rating,actor_2_facebook_likes,imdb_score,aspect_ratio
Sarah Gadon,Action|Drama|Fantasy|Horror|War,Dominic Cooper,138582,death of wife|dracula|tarantula|turk|vampire,http://www.imdb.com/title/tt0829150/?ref_=fn_tt_tt_1,423,USA,PG-13,692,6.3,2.35
Bruce Willis,Action|Thriller,Denzel Washington,58023,abduction|martial law|military|new york city|terrorist,http://www.imdb.com/title/tt0133952/?ref_=fn_tt_tt_1,281,USA,R,13000,6.3,2.35
David Kelly,Adventure|Family|Fantasy|Romance,Henry Cavill,212085,king|magic|one word title|pirate|village,http://www.imdb.com/title/tt0486655/?ref_=fn_tt_tt_1,492,UK,PG-13,588,7.7,2.35
Mako,Adventure|Biography|Drama|History|War,Brad Pitt,96385,austria|dalai lama|himalaya|mountain|tibet,http://www.imdb.com/title/tt0120102/?ref_=fn_tt_tt_1,119,USA,PG-13,691,7.0,2.35
Clint Howard,Comedy|Drama,Channing Tatum,43709,best friend|friend|investigation|secret|two word title,http://www.imdb.com/title/tt1578275/?ref_=fn_tt_tt_1,141,USA,PG-13,1000,5.3,2.35
Brooke Smith,Action|Adventure|Comedy|Thriller,Anthony Hopkins,39659,cia|cia agent|terrorist|twin|twin brother,http://www.imdb.com/title/tt0280486/?ref_=fn_tt_tt_1,189,USA,PG-13,405,5.6,2.35
Ben Daniels,Action|Adventure|Horror|Sci-Fi,Dwayne Johnson,88146,commando unit|extra chromosome|first person shooter|special forces|teleportation,http://www.imdb.com/title/tt0419706/?ref_=fn_tt_tt_1,814,UK,R,585,5.2,2.35
Phill Lewis,Action|Adventure|Comedy|Thriller,Gary Cole,41663,boxer|espionage|spy|stealth|top secret,http://www.imdb.com/title/tt0297181/?ref_=fn_tt_tt_1,141,USA,PG-13,229,5.4,1.37
Stephen Rea,Action|Fantasy|Horror,Theo James,117096,battle|cryogenics|detective|scientist|vampire,http://www.imdb.com/title/tt1496025/?ref_=fn_tt_tt_1,271,USA,R,327,6.4,2.35
Shane Hartline,Comedy|Drama|Musical|Romance,James Martin Kelly,61995,concert|love|music industry|panties|pole dancer,http://www.imdb.com/title/tt1336608/?ref_=fn_tt_tt_1,356,USA,PG-13,217,5.9,2.35
