director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,content_rating
10,844,Hayley Atwell,Biography|Drama|History|Romance,6420,Charlotte Rampling,3,PG-13
,94,Art Carney,Comedy|Family,812,Joyce Randolph,4,
181,137,Jean Marsh,Adventure|Family|Fantasy|Horror|Mystery,960,Tim Rose,0,PG
0,324,Lew Temple,Action|Crime|Drama|History|Western,11969,Dwight Yoakam,4,PG-13
22,355,Callum Rennie,Horror|Mystery|Thriller,15790,Vanesa Tomasino,1,R
54,398,Kevin Chamberlin,Crime|Drama|Mystery|Thriller,1721,William Mapother,0,R
43,460,Richard Schiff,Comedy|Drama|Family,2495,Sophie Okonedo,0,PG
0,640,Joel McHale,Action|Adventure|Comedy|Family|Sci-Fi,4311,Daryl Sabara,5,PG
0,638,Jack O'Connell,Crime|Drama|Thriller,10894,Chris Bauer,1,R
31,57,Junix Inocian,Action|Comedy|Crime|Thriller,1044,Paul Barber,2,R
541,638,Philip Seymour Hoffman,Comedy|Crime|Drama,46022,Chris Bauer,1,R
212,749,Clifton Collins Jr.,Crime|Horror|Mystery|Thriller,4186,Eion Bailey,0,R
272,17000,Robin Wright,Comedy|Drama,71973,Kristen Stewart,1,R
278,387,Colin Salmon,Drama|Thriller,3286,John Neville,4,R
0,3,Amy Carson,Drama|Musical|Romance,24,Joseph Kaiser,1,
41,328,Adhir Kalyan,Action|Comedy|Crime,2954,Allen Covert,1,PG
70,512,Julie Gonzalo,Comedy|Family|Fantasy|Music|Romance,3984,Willie Garson,2,PG
0,218,Romany Malco,Comedy|Romance,8341,Gerry Bednob,1,R
108,239,Martin Clunes,Comedy|Drama|Romance,1690,Simon Callow,0,R
71,313,Boyd Holbrook,Crime|Drama|Mystery|Thriller,15428,David Harbour,0,R
425,344,Cathy Moriarty,Action|Comedy|Crime,2403,Penelope Ann Miller,4,PG-13
234,919,Gary Cole,Action|Comedy|Crime,15590,Rosie Perez,3,R
72,343,Dougray Scott,Comedy|Drama|Romance,2747,Jeanne Moreau,1,PG-13
0,648,Michael Jeter,Drama|Romance|Western,5458,Julian Richings,0,R
541,442,Oliver Platt,Drama|Horror|Sci-Fi|Thriller,10493,Hope Davis,5,R
,424,Kaitlin Olson,Comedy,1784,Glenn Howerton,5,TV-MA
0,14,Dirk Bogarde,Drama|History|War,669,Wolfgang Preiss,14,PG
0,178,Carl Gilliard,Mystery|Thriller,1090,Suzie Plakson,0,PG-13
160,392,Michael Landes,Horror|Thriller,3172,Keegan Connor Tracy,0,R
0,577,Tim Blake Nelson,Adventure|Comedy|Crime|Music,3066,Daniel von Bargen,3,PG-13
124,534,Kate Walsh,Action|Fantasy|Horror,3889,Charles S. Dutton,0,R
0,385,Larry Hankin,Comedy|Crime|Drama,13573,Michael Rispoli,4,R
80,2000,Ty Burrell,Comedy|Drama|Romance,28493,Dennis Quaid,2,PG-13
906,528,Paula Garcés,Action|Adventure|Comedy|Sci-Fi|Thriller,3917,Jason George,0,PG
759,67,Todd Allen,Action|Crime|Drama|Western,1154,Brad Leland,4,PG-13
260,3000,Jake Gyllenhaal,Drama|Thriller,42473,Bailee Madison,0,R
8,588,Frankie Muniz,Action|Adventure|Comedy|Family|Romance|Sci-Fi,3742,David Kelly,4,PG
0,307,Common,Comedy|Romance,23456,Seth Meyers,15,PG-13
49,155,Gregory Itzin,Drama|Mystery|Romance|Thriller,11662,Jack Thompson,1,R
160,427,Dave Legeno,Crime|Mystery|Thriller,2356,Kevin McNally,1,R
80,509,Ray Romano,Comedy|Romance,2466,Maura Tierney,2,PG-13
5,535,Mako,Action|Fantasy|Romance|Sci-Fi,2960,Mario Van Peebles,0,PG-13
30,223,Mike Starr,Crime|Drama|Thriller,2228,Judy Davis,3,R
2,512,Chris Bauer,Fantasy|Horror,2170,Monica Keena,2,R
11000,277,Elizabeth Berkley,Comedy|Crime|Mystery|Romance,12534,Peter Gerety,0,PG-13
737,816,Kirstie Alley,Comedy|Romance,19068,Beverly D'Angelo,5,PG-13
0,26,Chelsea Field,Adventure|Family,616,Jessica Wesson,1,PG
763,523,Derek Luke,Action|Mystery|Sci-Fi|Thriller,17847,Sandra Ellis Lafferty,0,PG-13
