num_critic_for_reviews,num_user_for_reviews,language
51,95,English
38,26,French
133,150,English
4,3,English
287,1624,English
222,98,English
6,4,English
16,37,Hindi
242,158,French
147,69,English
93,96,German
253,73,English
224,224,English
392,1902,English
39,206,English
387,881,English
36,29,English
120,276,English
208,2238,English
51,128,English
331,494,English
83,241,English
324,281,English
140,369,English
136,251,English
79,149,English
160,168,English
52,59,English
490,753,English
351,526,English
271,416,English
93,202,English
71,92,English
54,173,English
112,242,English
118,258,English
35,65,English
342,1100,English
14,13,English
137,120,English
50,105,English
261,687,English
96,665,English
180,89,English
28,29,English
750,1498,English
202,922,English
8,21,English
341,324,English
160,97,English
31,79,English
71,37,English
281,247,English
114,308,English
72,100,English
119,276,English
74,249,Aboriginal
25,46,English
39,75,English
27,83,English
27,85,English
11,160,English
29,119,Hindi
158,119,English
223,126,English
25,20,English
97,147,English
117,106,English
389,301,English
9,34,English
34,12,English
7,16,English
161,65,English
6,26,English
16,78,French
301,198,English
52,72,English
12,62,English
134,99,English
151,66,English
103,290,English
39,25,English
133,25,English
104,29,English
121,28,Russian
27,38,English
49,50,English
100,876,English
12,1,Cantonese
112,70,English
10,9,Russian
2,6,
38,138,English
18,42,English
152,408,English
44,162,English
6,6,English
46,38,English
63,51,German
74,129,English
25,65,English
224,160,English
226,156,French
36,21,Italian
54,31,English
142,107,Portuguese
271,291,English
33,31,English
64,183,English
18,63,English
6,33,English
121,201,English
14,54,English
137,418,English
111,166,English
57,171,English
97,160,English
73,84,English
486,375,English
149,263,English
4,21,English
200,119,English
84,135,English
28,35,English
217,92,English
12,18,English
183,143,English
204,692,English
153,225,German
145,75,English
203,300,English
10,25,Italian
93,434,English
124,350,English
120,505,English
288,1416,English
130,309,English
145,259,English
62,283,English
188,191,English
120,316,English
71,250,English
52,43,English
18,50,English
162,1182,English
88,227,English
96,258,English
391,547,English
32,87,English
119,340,English
201,284,English
22,38,English
52,32,English
63,70,English
97,272,English
34,73,English
10,44,English
88,278,English
25,52,English
252,351,English
137,287,English
231,136,English
9,5,English
115,148,English
67,182,English
216,130,English
133,70,Spanish
149,101,English
261,131,English
42,78,English
152,520,English
64,160,English
76,73,English
149,93,English
35,190,English
47,315,English
108,231,English
17,50,English
12,5,English
129,190,English
84,105,English
61,78,English
147,287,English
147,75,English
23,50,English
75,111,English
17,16,English
16,29,English
60,36,French
63,50,English
56,22,English
36,29,English
47,34,English
38,44,English
26,37,English
47,29,English
68,133,English
19,38,English
39,17,English
162,86,English
37,19,English
26,39,English
10,50,English
179,228,English
88,149,French
43,21,English
136,302,English
111,37,Dutch
13,11,English
64,124,English
6,8,English
112,214,Thai
12,21,English
15,42,English
161,438,English
68,81,English
25,36,English
23,31,Hindi
222,148,Spanish
9,6,English
119,252,English
90,213,English
62,202,English
71,104,English
364,314,English
72,169,English
122,488,English
100,144,English
24,44,English
112,110,French
67,67,English
91,153,English
103,418,English
27,69,English
205,41,French
192,664,French
72,12,Japanese
33,321,Hindi
22,8,English
48,31,English
65,117,English
29,47,English
284,121,Norwegian
187,70,English
47,52,English
88,14,English
41,249,English
24,27,Hindi
318,269,English
250,864,English
411,440,English
106,327,English
159,95,English
251,314,English
183,159,English
131,311,English
297,279,English
41,81,Spanish
248,247,English
42,69,English
33,73,English
91,252,English
185,533,English
69,108,English
220,155,English
117,356,English
471,340,English
152,126,English
274,2067,English
336,339,English
174,472,English
151,433,English
276,216,English
12,11,English
18,56,English
28,18,English
95,157,English
74,161,English
179,115,English
125,49,English
22,26,English
92,153,English
196,211,English
9,33,Spanish
31,209,English
309,195,English
15,67,English
36,107,English
129,291,English
168,756,English
444,561,English
123,335,English
173,385,Spanish
246,859,English
74,113,English
68,173,English
144,374,English
96,125,English
42,87,English
29,65,English
228,323,English
195,134,English
203,214,English
44,87,English
14,33,English
59,53,English
45,21,English
42,46,English
12,9,English
29,65,English
121,324,English
135,166,French
27,90,English
56,131,English
22,80,English
59,198,English
61,202,English
60,79,English
164,565,English
81,165,English
415,485,English
43,41,English
7,4,English
120,196,English
195,89,French
109,89,English
21,32,English
93,265,English
12,29,English
155,86,English
81,151,English
204,458,English
19,39,English
163,99,English
248,144,English
39,158,English
322,125,English
50,56,English
12,56,English
83,184,English
37,69,English
16,25,Hindi
121,22,English
24,27,English
324,200,English
27,15,English
9,23,English
31,28,English
35,66,English
371,455,English
133,108,English
13,44,English
9,47,English
56,55,English
191,48,Spanish
80,82,English
19,80,English
19,47,English
,2,English
38,127,English
44,60,English
3,1,English
6,15,English
,3,English
64,47,English
8,3,English
64,153,English
2,2,English
,,English
35,4,English
21,14,English
99,27,Czech
115,26,German
104,309,English
195,112,English
303,1516,English
122,123,English
359,219,English
130,69,English
64,70,English
13,11,English
159,258,English
54,106,English
440,475,English
7,6,French
4,12,English
1,1,Kannada
96,182,English
8,8,English
87,21,French
10,3,English
121,65,English
43,22,English
45,133,English
36,140,English
84,197,English
118,228,English
42,115,English
202,454,English
5,27,English
120,208,English
234,1916,English
17,55,English
35,40,Spanish
48,89,English
49,125,English
283,2110,English
16,14,Spanish
54,68,Dutch
92,199,English
159,37,English
202,131,Korean
50,17,French
54,84,English
98,26,Cantonese
92,40,English
112,206,Russian
138,137,English
9,7,Hindi
149,760,English
5,4,English
39,61,
39,178,Hindi
2,74,English
29,32,English
111,99,English
149,346,English
90,25,Swedish
149,346,English
12,49,Hindi
64,62,German
