director_name,director_facebook_likes,num_voted_users
Vladlen Barbe,0,1159
Richard Rich,24,192
Clint Eastwood,16000,39451
Robert C. Cooper,49,15862
Richard Linklater,0,120036
Kenny Ortega,197,39786
Kim Nguyen,16,33
Jackie Earle Haley,0,5255
Max Färberböck,4,5153
Arie Posin,3,16299
Damian Nieman,0,10771
Mark Tonderai,13,58366
Denis Villeneuve,777,80429
Gabriele Muccino,125,3548
Ian Fitzgibbon,11,5133
José Padilha,294,81644
John R. Leonetti,40,81699
Rachel Perkins,3,1388
John Singleton,309,94139
Luis Valdez,7,21409
Alan Alda,0,3157
Brian De Palma,0,23986
Stephen Sommers,208,6384
Doug Liman,218,59474
Nicole Holofcener,132,19715
Robert Wise,338,25857
Louis Morneau,38,8294
Caroline Link,11,10672
Steve McQueen,0,145395
Matthew Vaughn,905,134070
Sterling Van Wagenen,0,564
Zal Batmanglij,129,41856
Michael Mayer,15,12049
Hans Petter Moland,19,2601
Oren Moverman,38,29608
Ian Sharp,9,2892
Anton Corbijn,210,51353
James Cameron,0,600266
Wolfgang Becker,31,114407
Tom Hooper,0,32307
Dan O'Bannon,228,39856
,,9638
Kevin Smith,0,99033
Randal Kleiser,116,170027
Oliver Stone,0,291603
Michael Moore,909,113152
George Roy Hill,131,152089
Robert Stevenson,55,107408
Robert Redford,0,35130
Frank Coraci,153,68722
Jerome Robbins,34,71919
Harold Ramis,11000,81599
Gary Hardwick,10,3198
Rick Famuyiwa,44,6585
Bryan Singer,0,740918
Stephen Hopkins,81,29659
Walt Becker,12,89128
Darren Aronofsky,0,251349
King Vidor,54,6304
Christopher Guest,378,45859
John Carpenter,0,91017
Spike Lee,0,4756
Fred Savage,0,12339
Sammo Kam-Bo Hung,472,19774
Christopher Guest,378,22408
Donald Petrie,80,18286
,,9277
Peter Howitt,29,52805
Rusty Cundieff,38,4582
Kevin Macdonald,162,145580
Dominique Othenin-Girard,2,22929
Richard Linklater,0,45396
Jean-Jacques Mantello,0,172
Ed Harris,0,23023
Risa Bramon Garcia,112,13010
Brian Klugman,49,59637
Matt Piedmont,4,17169
Raymond De Felitta,20,27301
John Michael McDonagh,51,64794
Deb Hagan,0,11011
Sofia Coppola,0,116910
Mark Herman,39,13892
Zach Cregger,138,18313
Zach Braff,0,29341
Mark Tarlov,3,11439
,,55524
John Cameron Mitchell,263,26300
Sheldon Lettich,23,4195
Jon Knautz,10,522
Billy Ray,53,28855
David Atkins,8,9589
Patrick Stettner,5,3413
Sam Peckinpah,541,63192
Jonathan Levine,129,27266
Michael Crichton,735,11623
Lynne Ramsay,159,6906
Sylvio Tabet,0,2281
Rick Bieber,11,1245
Claude Chabrol,324,2591
Shana Feste,19,7394
Wayne Wang,61,3024
Joey Lauren Adams,781,2330
Peter Cattaneo,11,1940
Fred Zinnemann,160,6454
S.R. Bindler,0,7367
Tony Kaye,194,2143
Greg Marcks,9,38273
Perry Lang,17,2989
Jake Goldberger,2,2050
Stefan Ruzowitzky,24,32512
