duration,director_facebook_likes,actor_1_facebook_likes,cast_total_facebook_likes,plot_keywords,movie_imdb_link,language,country,content_rating,budget,actor_2_facebook_likes,imdb_score
150,6,964,1052,boss|computer|honesty|sales|salesman,http://www.imdb.com/title/tt1434447/?ref_=fn_tt_tt_1,Hindi,India,,,22,7.5
89,136,844,1080,forest|greenhouse|plant|robot|space,http://www.imdb.com/title/tt0067756/?ref_=fn_tt_tt_1,English,USA,GP,1000000,184,6.7
145,80,13000,16094,boxer|hometown hero|philadelphia pennsylvania|protective male|training,http://www.imdb.com/title/tt0075148/?ref_=fn_tt_tt_1,English,USA,PG,960000,1000,8.1
91,2,321,622,female nudity|male nudity|male rear nudity|nudity,http://www.imdb.com/title/tt2723576/?ref_=fn_tt_tt_1,English,Norway,Not Rated,1100000,287,4.9
89,0,2000,4878,california|fog|leper|lighthouse|ship,http://www.imdb.com/title/tt0080749/?ref_=fn_tt_tt_1,English,USA,R,1000000,826,6.8
121,62,883,1371,18th century|rags to riches|secret letter|squire|tutor,http://www.imdb.com/title/tt0057590/?ref_=fn_tt_tt_1,English,UK,Unrated,1000000,269,6.8
83,6,707,1565,blender|computer screen|secret|skype|webcam,http://www.imdb.com/title/tt3713166/?ref_=fn_tt_tt_1,English,USA,R,1000000,305,5.7
110,17000,22000,23525,loner|neo noir|night shift|taxi driver|vigilante,http://www.imdb.com/title/tt0075314/?ref_=fn_tt_tt_1,English,USA,R,1300000,745,8.3
91,287,1000,4438,1980s|forest|lycanthrope|shapeshifting|werewolf transformation,http://www.imdb.com/title/tt0082533/?ref_=fn_tt_tt_1,English,USA,R,1000000,823,6.6
110,92,650,1421,british secret service|hand to hand combat|murder|official james bond series|terrorist plot,http://www.imdb.com/title/tt0055928/?ref_=fn_tt_tt_1,English,UK,Approved,1100000,275,7.3
86,18,1000,2665,abandoned building|chernobyl disaster|exploration|tour guide|van,http://www.imdb.com/title/tt1991245/?ref_=fn_tt_tt_1,English,USA,R,1000000,466,5.0
86,385,266,673,blood|cenobites|creature|demon|male full frontal nudity,http://www.imdb.com/title/tt0093177/?ref_=fn_tt_tt_1,English,UK,R,1000000,209,7.0
120,18,634,1810,alternate universe|christian|christian film|christianity|manipulation,http://www.imdb.com/title/tt4824308/?ref_=fn_tt_tt_1,English,USA,PG,5000000,420,3.4
90,65,1000,3155,e mail|game|school|serial killer|student,http://www.imdb.com/title/tt0384286/?ref_=fn_tt_tt_1,English,USA,PG-13,1000000,989,5.9
99,2,43,53,godzilla|kaiju|monster|orga|ufo,http://www.imdb.com/title/tt0188640/?ref_=fn_tt_tt_1,Japanese,Japan,PG,1000000000,3,6.0
112,310,33000,35941,dog hit by a car|dysfunctional family|falling in love|female in shower|unhappily married woman,http://www.imdb.com/title/tt1120985/?ref_=fn_tt_tt_1,English,USA,R,3500000,2000,7.4
103,2,2000,3192,bail|male full frontal nudity|sex change|stepfather|transsexual,http://www.imdb.com/title/tt0407265/?ref_=fn_tt_tt_1,English,USA,R,1000000,508,7.4
83,19,403,988,critically bashed|demonic possession|exorcism|exorcist|found footage,http://www.imdb.com/title/tt1560985/?ref_=fn_tt_tt_1,English,USA,R,1000000,169,4.2
109,199,503,731,band|drugs|friendship|hollywood|satire,http://www.imdb.com/title/tt0065466/?ref_=fn_tt_tt_1,English,USA,X,900000,46,6.2
89,0,356,831,army|civil war|robbery|soldier|train,http://www.imdb.com/title/tt0049452/?ref_=fn_tt_tt_1,English,USA,,1000000,110,6.2
96,49,861,929,climate|earth|global warming|science|truth,http://www.imdb.com/title/tt0497116/?ref_=fn_tt_tt_1,English,USA,PG,,68,7.5
109,23,183,510,battle|combat|heroic military|sergeant|tarawa,http://www.imdb.com/title/tt0041841/?ref_=fn_tt_tt_1,English,USA,Approved,1000000,102,7.2
122,17000,543,1218,band|concert footage|new york city|rolling stones|three word title,http://www.imdb.com/title/tt0893382/?ref_=fn_tt_tt_1,English,USA,PG-13,,426,7.2
100,0,640,2082,activist|amazon|color in title|rain|rain forest,http://www.imdb.com/title/tt2403021/?ref_=fn_tt_tt_1,English,USA,R,6000000,550,5.4
109,0,202,283,france|gay|language|male masturbation|masturbation,http://www.imdb.com/title/tt2248739/?ref_=fn_tt_tt_1,English,UK,,1100000,47,7.0
95,20,422,1899,falling in love|iron lung|priest|sex surrogate|therapist,http://www.imdb.com/title/tt1866249/?ref_=fn_tt_tt_1,English,USA,R,1000000,374,7.2
94,11,37,42,farming|flesh eating|food|food industry|gluttony,http://www.imdb.com/title/tt1286537/?ref_=fn_tt_tt_1,English,USA,PG,,3,7.9
107,10,544,1147,abortion|anti choice|christian preach|malpractice|unprofessional conduct,http://www.imdb.com/title/tt1720182/?ref_=fn_tt_tt_1,English,USA,PG-13,,264,6.8
104,122,22000,23461,love|marine biologist|nurse|personal ad|plumber,http://www.imdb.com/title/tt0119778/?ref_=fn_tt_tt_1,English,USA,R,1000000,472,6.7
96,655,24000,28817,adoption|baby|friend|pregnancy|school,http://www.imdb.com/title/tt0467406/?ref_=fn_tt_tt_1,English,USA,PG-13,7500000,3000,7.5
93,7,3000,3986,adultery|brother sister relationship|estrangement|siblings|suicide attempt,http://www.imdb.com/title/tt1571249/?ref_=fn_tt_tt_1,English,USA,R,,439,6.8
102,46,321,1263,connecticut|cult|memory|new york|telephone call,http://www.imdb.com/title/tt1441326/?ref_=fn_tt_tt_1,English,USA,R,,300,6.9
84,9,612,1587,abortion|divorced parents|one night stand|pregnancy|pregnant,http://www.imdb.com/title/tt2910274/?ref_=fn_tt_tt_1,English,USA,R,,457,6.8
97,33,496,994,border|mohawk|money|new york|river,http://www.imdb.com/title/tt0978759/?ref_=fn_tt_tt_1,English,USA,R,1000000,238,7.2
91,9,130,198,backup singer|band|bechdel test passed|concert footage|singer,http://www.imdb.com/title/tt2396566/?ref_=fn_tt_tt_1,English,USA,PG-13,1000000,19,7.4
84,56,21000,21124,actor|anilingus|double cross|funeral home|two timing,http://www.imdb.com/title/tt0124179/?ref_=fn_tt_tt_1,English,USA,R,1000000,104,5.6
86,132,778,2400,briefs|cancer|cat|cult film|friend,http://www.imdb.com/title/tt0118113/?ref_=fn_tt_tt_1,English,UK,R,1000000,695,6.8
91,11,1000,2323,dole|male stripper|northern england|steel worker|unemployment,http://www.imdb.com/title/tt0119164/?ref_=fn_tt_tt_1,English,UK,R,3500000,891,7.2
92,2,783,1447,california|car|reference to ralph nader|technology|u.s. president,http://www.imdb.com/title/tt0489037/?ref_=fn_tt_tt_1,English,USA,PG,1000000,659,7.7
94,112,1000,3085,friend|gay|lesbian|photographer|restaurant,http://www.imdb.com/title/tt0222850/?ref_=fn_tt_tt_1,English,USA,R,1000000,826,7.0
92,152,1000,1587,cult film|elvis|elvis presley|nursing home|texas,http://www.imdb.com/title/tt0281686/?ref_=fn_tt_tt_1,English,USA,R,1000000,282,7.2
103,11,2000,5497,based on book|blob|ferris wheel|manuscript|monster,http://www.imdb.com/title/tt1051904/?ref_=fn_tt_tt_1,English,USA,PG,58000000,1000,6.4
100,12,245,295,gang|independent film|prison|racial slur|urban setting,http://www.imdb.com/title/tt0139615/?ref_=fn_tt_tt_1,English,USA,R,1000000,38,7.2
119,13,957,1107,fbi agent|mormon|prayer|sheriff|utah,http://www.imdb.com/title/tt0268200/?ref_=fn_tt_tt_1,English,USA,PG-13,1000000,81,7.2
167,10,353,773,mumbai riots|politician|riot|suicide|tragic event,http://www.imdb.com/title/tt0248012/?ref_=fn_tt_tt_1,Hindi,India,,1000000,186,6.2
92,0,1000,3931,french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor,http://www.imdb.com/title/tt0082517/?ref_=fn_tt_tt_1,English,USA,R,11000000,898,6.9
92,406,406,904,book of mormon|fight|mormon|ray gun|sidekick,http://www.imdb.com/title/tt0124819/?ref_=fn_tt_tt_1,English,USA,NC-17,1000000,203,6.2
108,234,11000,12385,best friend|lake|love|small town|womanizer,http://www.imdb.com/title/tt0299458/?ref_=fn_tt_tt_1,English,USA,R,2500000,552,6.9
97,4,611,1692,dying|to do list|twenty something|underwear|voyeur,http://www.imdb.com/title/tt0119019/?ref_=fn_tt_tt_1,English,USA,R,1000000,394,7.0
88,22,638,1641,contest|poetry|refusing to eat|starving oneself|teenage girl,http://www.imdb.com/title/tt0290145/?ref_=fn_tt_tt_1,English,USA,R,1000000,400,6.7
100,0,844,2289,divorce|friend|jewish|lent|restaurant,http://www.imdb.com/title/tt0160498/?ref_=fn_tt_tt_1,English,USA,R,1000000,625,3.6
100,71,11000,12234,girls' soccer|high school|high school student|soccer coach|teenager,http://www.imdb.com/title/tt2479800/?ref_=fn_tt_tt_1,English,USA,R,,733,6.3
124,13,20,42,arab|christian|israeli|palestinian|violence,http://www.imdb.com/title/tt1077262/?ref_=fn_tt_tt_1,Arabic,Germany,,,13,7.4
88,21,1000,4720,afterlife|camping|death|hitchhiker|suicide,http://www.imdb.com/title/tt0477139/?ref_=fn_tt_tt_1,English,USA,R,1000000,835,7.4
106,135,7000,7098,buddhism|evolution|eye|reincarnation|stuck in elevator,http://www.imdb.com/title/tt2884206/?ref_=fn_tt_tt_1,English,USA,R,,71,7.3
79,2,855,2489,bully comeuppance|high school|painter|reference to led zeppelin|wetting pants,http://www.imdb.com/title/tt0357470/?ref_=fn_tt_tt_1,English,USA,PG-13,1000000,577,6.1
135,0,873,2369,1970s|afterlife|heaven|pedophile|rape,http://www.imdb.com/title/tt0380510/?ref_=fn_tt_tt_1,English,USA,PG-13,65000000,559,6.7
96,50,3,6,death squad|mass killing|musical number|reference to guantanamo bay|surrealism,http://www.imdb.com/title/tt2375605/?ref_=fn_tt_tt_1,Indonesian,UK,Not Rated,1000000,3,8.2
53,141,141,313,afghanistan|detainee|guantanamo bay|taxi|torture,http://www.imdb.com/title/tt0854678/?ref_=fn_tt_tt_1,English,USA,R,1000000,125,7.7
97,10,102,118,new york|new york cosmos|professional sports|soccer|soccer team,http://www.imdb.com/title/tt0489247/?ref_=fn_tt_tt_1,English,UK,PG-13,1000000,7,7.3
120,0,12,15,bare chested male|discipline|imperialism|whipping|white slavery,http://www.imdb.com/title/tt0428609/?ref_=fn_tt_tt_1,English,USA,Unrated,,3,7.4
90,165,978,3258,actress|fame|inside joke|new york|one man show,http://www.imdb.com/title/tt0233699/?ref_=fn_tt_tt_1,English,USA,PG-13,,922,5.7
91,9,53,86,antarctica,http://www.imdb.com/title/tt2361700/?ref_=fn_tt_tt_1,English,New Zealand,PG,1000000,24,7.6
93,0,20,28,artist|denmark|lego|toy|toy company,http://www.imdb.com/title/tt3214286/?ref_=fn_tt_tt_1,English,Denmark,G,1000000,8,6.8
112,74,260000,263584,family relationships|loss of mother|san diego california|single mother|suicide attempt,http://www.imdb.com/title/tt1907639/?ref_=fn_tt_tt_1,English,USA,PG-13,1000000,984,5.6
160,5,724,2024,chocolate|christmas|christmas eve|death|suspect,http://www.imdb.com/title/tt0454431/?ref_=fn_tt_tt_1,Hindi,India,,1500000,668,4.8
95,243,969,3833,cult film|eclipse|haunted house|lunar eclipse|secret,http://www.imdb.com/title/tt1172994/?ref_=fn_tt_tt_1,English,USA,R,900000,962,6.4
93,11,443,1452,arm tattoo|bank robbery|cauterizing a wound|dancing on a table|dinner party,http://www.imdb.com/title/tt1334553/?ref_=fn_tt_tt_1,English,USA,R,500000,298,6.8
88,29,499,1141,gangster|organized crime|robbery|rosh hashanah|safecracking,http://www.imdb.com/title/tt0120813/?ref_=fn_tt_tt_1,English,USA,R,1000000,230,6.1
105,5,590,1042,car racing|crush|hustler|scam|watching television,http://www.imdb.com/title/tt0155197/?ref_=fn_tt_tt_1,English,USA,R,1000000,231,5.2
98,8,96,196,actor|magazine|model|rock band|suburb,http://www.imdb.com/title/tt0161743/?ref_=fn_tt_tt_1,English,USA,R,,71,6.9
82,82,2000,3905,action figure|press conference|superhero|superhero team|toy,http://www.imdb.com/title/tt0181836/?ref_=fn_tt_tt_1,English,USA,R,1000000,571,6.0
89,32,386,1647,birthday|digit in title|love|masturbation|teenager,http://www.imdb.com/title/tt1130087/?ref_=fn_tt_tt_1,English,USA,,1000000,261,6.3
78,0,262,509,female nudity|female pubic hair|masturbation|panties|pubic hair,http://www.imdb.com/title/tt0472259/?ref_=fn_tt_tt_1,English,USA,Not Rated,1000000,163,6.1
97,4,446,928,art exhibition|augmented reality|cocaine|nervous breakdown|speculative fiction,http://www.imdb.com/title/tt3277624/?ref_=fn_tt_tt_1,English,USA,R,1000000,171,5.5
81,0,975,2694,dream sequence|locked in a room|looking at self in mirror|medication|superhero,http://www.imdb.com/title/tt0479162/?ref_=fn_tt_tt_1,English,USA,R,1000000,645,6.9
90,18,491,2633,automobile association of america|cheating|psychic|reference to tom jones the singer|trailer park,http://www.imdb.com/title/tt0124137/?ref_=fn_tt_tt_1,English,USA,R,,490,5.6
97,0,639,1188,cnn reporter|ellipsis in title|matrix|punctuation in title|secret agent,http://www.imdb.com/title/tt0401462/?ref_=fn_tt_tt_1,English,USA,R,1000000,361,1.9
88,53,563,1284,camp|die hard scenario|female protagonist|island|vice president,http://www.imdb.com/title/tt0487156/?ref_=fn_tt_tt_1,English,Germany,R,1000000,288,4.1
96,436,474,920,based on play|character name in title,http://www.imdb.com/title/tt0271020/?ref_=fn_tt_tt_1,English,USA,R,1500000,436,5.4
105,50,327,351,corrupt police|drug cartel|drugs|mexico|police,http://www.imdb.com/title/tt2852376/?ref_=fn_tt_tt_1,Spanish,Mexico,Not Rated,1000000,9,6.8
,3,7,19,pakistan|road trip,http://www.imdb.com/title/tt4590482/?ref_=fn_tt_tt_1,Urdu,Pakistan,,1000000,5,7.0
76,57,442,1635,older woman younger woman relationship|sex with student|teacher|teacher student relationship|title directed by female,http://www.imdb.com/title/tt0323120/?ref_=fn_tt_tt_1,English,USA,Not Rated,1000000,403,6.7
96,0,782,2607,courtroom|independent film|internet|small town|youtube,http://www.imdb.com/title/tt3145220/?ref_=fn_tt_tt_1,English,USA,,1000000,490,5.8
99,0,363,997,police|revenge|sex|suburb|video camera,http://www.imdb.com/title/tt0425151/?ref_=fn_tt_tt_1,English,USA,R,1000000,275,6.2
90,15,984,1752,erotica|masseuse|sister sister relationship|temptation|threesome,http://www.imdb.com/title/tt1414361/?ref_=fn_tt_tt_1,English,USA,R,1000000,157,2.8
94,82,694,964,beatnik|businessman|necrophilia|party|partying,http://www.imdb.com/title/tt0060816/?ref_=fn_tt_tt_1,English,UK,,,196,7.3
87,3,767,1593,,http://www.imdb.com/title/tt0393616/?ref_=fn_tt_tt_1,English,USA,PG,1000000,282,5.8
93,923,34000,52113,basketball|drug abuse|interracial rape|iowa|tween girl,http://www.imdb.com/title/tt1014806/?ref_=fn_tt_tt_1,English,USA,R,,17000,6.5
90,0,1000,1996,,http://www.imdb.com/title/tt0867270/?ref_=fn_tt_tt_1,English,USA,R,1000000,618,6.1
89,23,199,292,cult|homosexual|island|survival horror|zombie,http://www.imdb.com/title/tt1134674/?ref_=fn_tt_tt_1,English,USA,R,500000,37,5.1
83,142,458,1549,reference to snow white|sleeping bag|stepmother stepdaughter relationship|strangulation|totem pole,http://www.imdb.com/title/tt2149137/?ref_=fn_tt_tt_1,English,USA,PG-13,1000000,383,2.2
96,0,90,90,best friend|deportation|moroccan|unrequited love|xenophobia,http://www.imdb.com/title/tt3289362/?ref_=fn_tt_tt_1,Spanish,Spain,Unrated,,0,7.2
90,0,898,2116,business trip|german|love|new york|singer songwriter,http://www.imdb.com/title/tt1679248/?ref_=fn_tt_tt_1,English,USA,,1000000,395,5.7
138,105,592,1350,,http://www.imdb.com/title/tt0826751/?ref_=fn_tt_tt_1,English,USA,PG-13,1000000,207,3.4
84,142,10000,11466,1880s|cowboy|low budget film|shoot out|wild west,http://www.imdb.com/title/tt3359872/?ref_=fn_tt_tt_1,English,USA,PG-13,1000000,854,3.8
83,224,224,344,bare breasts|female frontal nudity|hunter|island|weekend,http://www.imdb.com/title/tt1930294/?ref_=fn_tt_tt_1,English,USA,R,,59,4.7
96,0,335,1226,cabin in the woods|drinking acid|introvert|lesbian kiss|truth or dare,http://www.imdb.com/title/tt1838722/?ref_=fn_tt_tt_1,English,UK,Not Rated,1000000,334,5.6
94,6,92,109,dominance submissiveness|female nudity|human branding|human pet|power exchange,http://www.imdb.com/title/tt0825728/?ref_=fn_tt_tt_1,English,USA,,1000000,17,3.9
90,0,57,231,,http://www.imdb.com/title/tt2655734/?ref_=fn_tt_tt_1,English,Canada,,1000000,40,5.4
95,53,677,1825,bare breasts|based on web series|claustrophobia|doctor|phobia,http://www.imdb.com/title/tt2165765/?ref_=fn_tt_tt_1,English,USA,R,1000000,366,5.2
93,3,214,656,desert|drifter|seduction|siege|zombie,http://www.imdb.com/title/tt2446502/?ref_=fn_tt_tt_1,English,USA,Not Rated,1000000,211,3.5
111,0,657,2677,,http://www.imdb.com/title/tt1604100/?ref_=fn_tt_tt_1,,USA,PG,1000000,608,5.3
