duration,facenumber_in_poster
89,1
96,0
109,0
122,0
100,0
109,0
95,3
94,0
107,1
104,1
96,0
93,2
102,0
84,1
97,1
91,0
84,3
86,2
91,3
92,0
94,1
92,2
103,4
100,0
119,0
167,3
92,0
92,0
108,0
97,0
88,0
100,1
100,0
124,6
88,2
106,0
79,2
135,1
96,1
53,0
97,0
120,0
90,1
91,1
93,0
112,3
160,5
95,0
93,1
88,0
105,2
98,1
82,0
89,1
78,0
97,1
81,0
90,3
97,2
88,2
96,3
105,0
,9
76,0
96,1
99,2
90,4
94,1
87,2
93,3
90,5
89,0
83,1
96,0
90,1
138,6
84,3
83,1
96,2
94,0
90,2
95,0
93,2
111,0
101,0
103,0
87,1
30,8
100,1
90,1
83,0
108,2
100,8
113,0
97,0
104,0
91,0
107,1
85,0
101,2
70,0
88,1
112,1
107,2
78,1
90,4
88,0
92,2
95,1
85,0
86,2
90,1
123,2
93,1
88,1
114,1
88,1
110,1
95,2
83,0
104,0
94,1
87,0
93,4
91,0
90,0
14,1
112,1
75,0
86,0
86,0
89,1
95,0
101,0
89,1
106,1
88,0
99,0
90,1
95,0
85,0
170,0
86,0
,0
97,1
104,
88,0
201,0
108,0
106,2
107,4
84,2
91,3
90,0
103,0
71,1
90,0
67,5
94,2
81,2
81,0
215,0
83,0
106,1
103,4
90,0
88,0
105,3
115,0
90,0
102,2
98,0
87,1
80,0
88,1
83,6
122,0
115,1
86,0
79,1
87,6
97,0
105,2
89,0
120,1
94,0
108,3
102,0
83,1
93,1
86,0
101,0
111,0
90,0
86,3
98,1
91,3
91,0
90,5
88,0
202,6
89,1
97,0
84,0
82,0
94,0
100,3
112,2
94,0
87,3
91,2
87,6
98,1
95,0
87,0
102,0
127,0
96,1
103,3
104,2
90,0
122,0
93,1
90,3
101,1
94,0
97,5
90,0
108,2
82,1
84,2
130,4
91,0
91,4
107,0
82,6
84,0
103,0
86,1
89,2
52,0
98,1
133,15
81,0
92,0
90,0
84,0
91,0
91,0
90,1
96,2
60,4
88,3
92,0
97,3
82,0
22,0
101,2
80,0
97,1
84,0
97,0
