director_name,actor_3_facebook_likes,gross,movie_title,num_voted_users,movie_imdb_link,language,budget
Deborah Anderson,232,,Aroused ,502,http://www.imdb.com/title/tt2403815/?ref_=fn_tt_tt_1,English,150000
Sara Newens,0,5858,Top Spin ,260,http://www.imdb.com/title/tt4219836/?ref_=fn_tt_tt_1,English,150000
Michael Moore,42,6706368,Roger & Me ,22800,http://www.imdb.com/title/tt0098213/?ref_=fn_tt_tt_1,English,160000
Paul Schrader,697,,Cat People ,14193,http://www.imdb.com/title/tt0083722/?ref_=fn_tt_tt_1,English,18000000
Sai Varadan,163,,An American in Hollywood ,100,http://www.imdb.com/title/tt2125430/?ref_=fn_tt_tt_1,English,125000
Zal Batmanglij,100,405614,Sound of My Voice ,15775,http://www.imdb.com/title/tt1748207/?ref_=fn_tt_tt_1,English,
Amal Al-Agroobi,,,The Brain That Sings ,18,http://www.imdb.com/title/tt2638024/?ref_=fn_tt_tt_1,Arabic,125000
Andrew Berends,,,The Blood of My Brother ,102,http://www.imdb.com/title/tt0488873/?ref_=fn_tt_tt_1,English,120000
Lynn Shelton,9,1573712,Your Sister's Sister ,21618,http://www.imdb.com/title/tt1742336/?ref_=fn_tt_tt_1,English,125000
Valentine,,,Romantic Schemer ,172,http://www.imdb.com/title/tt4607906/?ref_=fn_tt_tt_1,English,125000
David Hewlett,405,,A Dog's Breakfast ,3262,http://www.imdb.com/title/tt0796314/?ref_=fn_tt_tt_1,English,120000
David Hewlett,405,,A Dog's Breakfast ,3262,http://www.imdb.com/title/tt0796314/?ref_=fn_tt_tt_1,English,120000
George A. Romero,56,,Night of the Living Dead ,87978,http://www.imdb.com/title/tt0063350/?ref_=fn_tt_tt_1,English,114000
Jean-Luc Godard,5,,Une Femme Mariée ,1962,http://www.imdb.com/title/tt0058701/?ref_=fn_tt_tt_1,French,120000
Nate Parker,400,,The Birth of a Nation ,1197,http://www.imdb.com/title/tt4196450/?ref_=fn_tt_tt_1,English,10000000
Nathan Smith Jones,69,,The Work and the Story ,98,http://www.imdb.com/title/tt0339921/?ref_=fn_tt_tt_1,English,103000
Alex Kendrick,51,10174663,Facing the Giants ,12399,http://www.imdb.com/title/tt0805526/?ref_=fn_tt_tt_1,English,100000
Travis Cluff,7,22757819,The Gallows ,13521,http://www.imdb.com/title/tt2309260/?ref_=fn_tt_tt_1,English,100000
