director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,genres,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,movie_facebook_likes
Peter Segal,147,99,88,328,Peter Dante,11000,Comedy|Romance,50 First Dates ,266103,Allen Covert,2,http://www.imdb.com/title/tt0343660/?ref_=fn_tt_tt_1,456,English,USA,11000
Adam Shankman,219,117,163,260,Elijah Kelley,719,Comedy|Drama|Family|Music|Musical|Romance,Hairspray ,98693,Paul Dooley,9,http://www.imdb.com/title/tt0427327/?ref_=fn_tt_tt_1,401,English,USA,0
Renny Harlin,167,125,212,394,Alan Ford,613,Horror|Mystery|Thriller,Exorcist: The Beginning ,28635,Izabella Scorupco,0,http://www.imdb.com/title/tt0204313/?ref_=fn_tt_tt_1,308,English,USA,893
David Kellogg,70,110,16,692,Rene Auberjonois,2000,Action|Adventure|Comedy|Family|Sci-Fi,Inspector Gadget ,36491,Rupert Everett,0,http://www.imdb.com/title/tt0141369/?ref_=fn_tt_tt_1,231,English,USA,509
Louis Leterrier,384,125,255,963,Common,11000,Crime|Mystery|Thriller,Now You See Me ,447979,Michael Kelly,6,http://www.imdb.com/title/tt1670345/?ref_=fn_tt_tt_1,629,English,USA,105000
Dennis Dugan,179,102,221,4000,Adam Sandler,12000,Comedy,Grown Ups ,181443,Salma Hayek,4,http://www.imdb.com/title/tt1375670/?ref_=fn_tt_tt_1,311,English,USA,12000
Steven Spielberg,151,128,14000,232,Chi McBride,15000,Comedy|Drama,The Terminal ,303864,Barry Shabaka Henley,0,http://www.imdb.com/title/tt0362227/?ref_=fn_tt_tt_1,596,English,USA,16000
,12,43,,218,Matt Ryan,1000,Drama|Fantasy|Horror|Thriller,Constantine             ,36919,Charles Halford,1,http://www.imdb.com/title/tt3489184/?ref_=fn_tt_tt_1,94,English,USA,10000
Thor Freudenthal,107,100,87,446,Kevin Dillon,3000,Comedy|Family,Hotel for Dogs ,16271,Yvette Nicole Brown,4,http://www.imdb.com/title/tt0785006/?ref_=fn_tt_tt_1,57,English,USA,1000
Martin Campbell,134,124,258,748,Scott Glenn,867,Action|Adventure|Drama|Thriller,Vertical Limit ,49536,Ben Mendelsohn,0,http://www.imdb.com/title/tt0190865/?ref_=fn_tt_tt_1,379,English,USA,0
Mike Nichols,269,102,0,15000,Tom Hanks,22000,Biography|Comedy|Drama|History,Charlie Wilson's War ,88451,Jud Tylor,1,http://www.imdb.com/title/tt0472062/?ref_=fn_tt_tt_1,289,English,USA,0
Bibo Bergeron,143,90,10,11000,Martin Scorsese,22000,Adventure|Animation|Comedy|Family,Shark Tale ,132415,Angelina Jolie Pitt,0,http://www.imdb.com/title/tt0307453/?ref_=fn_tt_tt_1,288,English,USA,0
Bill Condon,241,130,386,525,Jennifer Hudson,912,Drama|Music|Musical,Dreamgirls ,55901,Anika Noni Rose,0,http://www.imdb.com/title/tt0443489/?ref_=fn_tt_tt_1,503,English,USA,0
,12,45,,0,Brent Sexton,374,Crime|Drama|Mystery,Life             ,29450,Damian Lewis,1,http://www.imdb.com/title/tt0874936/?ref_=fn_tt_tt_1,67,English,USA,0
F. Gary Gray,161,118,473,680,Christina Milian,12000,Comedy|Crime|Music,Be Cool ,59435,Debi Mazar,4,http://www.imdb.com/title/tt0377471/?ref_=fn_tt_tt_1,323,English,USA,0
Steven Spielberg,298,163,14000,412,Moritz Bleibtreu,745,Drama|History|Thriller,Munich ,176936,Mathieu Amalric,0,http://www.imdb.com/title/tt0408306/?ref_=fn_tt_tt_1,824,English,France,0
Antoine Fuqua,89,142,845,787,Tom Skerritt,13000,Action|Drama|Thriller|War,Tears of the Sun ,93494,Cole Hauser,1,http://www.imdb.com/title/tt0314353/?ref_=fn_tt_tt_1,394,English,USA,0
Robert Luketic,140,100,126,925,Lisa Ann Walter,19000,Action|Comedy|Romance|Thriller,Killers ,72867,Catherine O'Hara,2,http://www.imdb.com/title/tt1103153/?ref_=fn_tt_tt_1,120,English,USA,0
Guy Ritchie,362,116,0,104,Elizabeth Debicki,15000,Action|Adventure|Comedy,The Man from U.N.C.L.E. ,175960,Christian Berkel,2,http://www.imdb.com/title/tt1638355/?ref_=fn_tt_tt_1,360,English,USA,43000
James L. Brooks,124,131,274,138,Paz Vega,11000,Comedy|Drama|Romance,Spanglish ,65668,Sarah Steele,2,http://www.imdb.com/title/tt0371246/?ref_=fn_tt_tt_1,342,English,USA,0
Gil Kenan,190,91,27,925,Jon Heder,12000,Animation|Comedy|Family|Fantasy|Mystery,Monster House ,71137,Catherine O'Hara,0,http://www.imdb.com/title/tt0385880/?ref_=fn_tt_tt_1,229,English,USA,0
Barry Levinson,132,123,272,193,Brían F. O'Byrne,13000,Comedy|Crime|Drama|Romance,Bandits ,57038,Azura Skye,2,http://www.imdb.com/title/tt0219965/?ref_=fn_tt_tt_1,261,English,USA,0
Jerry Zucker,53,134,109,249,Ben Cross,919,Action|Adventure|Romance|Thriller,First Knight ,55350,John Gielgud,3,http://www.imdb.com/title/tt0113071/?ref_=fn_tt_tt_1,180,English,USA,0
Andy Tennant,91,148,72,99,Geoffrey Palmer,582,Drama|History|Romance,Anna and the King ,31080,Randall Duk Kim,2,http://www.imdb.com/title/tt0166485/?ref_=fn_tt_tt_1,217,English,USA,0
Tarsem Singh,284,110,763,222,Daniel Sharman,15000,Action|Drama|Fantasy|Romance,Immortals ,138190,Steve Byers,1,http://www.imdb.com/title/tt1253864/?ref_=fn_tt_tt_1,405,English,USA,30000
Florent-Emilio Siri,152,113,17,759,Bruce Willis,87000,Action|Crime|Drama|Mystery|Thriller,Hostage ,93790,Ransford Doherty,0,http://www.imdb.com/title/tt0340163/?ref_=fn_tt_tt_1,288,English,USA,0
Don Bluth,131,94,383,886,Janeane Garofalo,13000,Action|Adventure|Animation|Family|Sci-Fi,Titan A.E. ,52244,Nathan Lane,0,http://www.imdb.com/title/tt0120913/?ref_=fn_tt_tt_1,377,English,USA,0
Ron Shelton,132,116,41,541,Bruce Greenwood,11000,Action|Comedy|Crime|Thriller,Hollywood Homicide ,31293,Lena Olin,2,http://www.imdb.com/title/tt0329717/?ref_=fn_tt_tt_1,254,English,USA,648
Paul W.S. Anderson,67,99,545,533,Sean Pertwee,933,Action|Drama|Sci-Fi,Soldier ,44248,Jason Scott Lee,1,http://www.imdb.com/title/tt0120157/?ref_=fn_tt_tt_1,373,English,UK,0
David Pastor,130,84,10,394,Kiernan Shipka,3000,Drama|Horror|Sci-Fi|Thriller,Carriers ,35510,Lou Taylor Pucci,0,http://www.imdb.com/title/tt0806203/?ref_=fn_tt_tt_1,119,English,USA,0
Henry Selick,74,93,253,637,Bridget Fonda,3000,Animation|Comedy|Fantasy,Monkeybone ,14280,Megan Mullally,0,http://www.imdb.com/title/tt0166276/?ref_=fn_tt_tt_1,171,English,USA,683
John Moore,114,113,212,568,Tony Curran,2000,Action|Adventure|Drama|Thriller,Flight of the Phoenix ,45815,Miranda Otto,4,http://www.imdb.com/title/tt0377062/?ref_=fn_tt_tt_1,222,English,USA,1000
M. Night Shyamalan,294,106,0,963,Bruce Willis,18000,Drama|Mystery|Sci-Fi|Thriller,Unbreakable ,245152,Michael Kelly,0,http://www.imdb.com/title/tt0217869/?ref_=fn_tt_tt_1,1344,English,USA,0
Kyle Balda,308,91,22,1000,Jon Hamm,7000,Action|Animation|Comedy|Family|Sci-Fi,Minions ,142403,Steve Coogan,0,http://www.imdb.com/title/tt2293640/?ref_=fn_tt_tt_1,275,English,USA,70000
Zack Snyder,435,128,0,826,Abbie Cornish,4000,Action|Fantasy,Sucker Punch ,197584,Scott Glenn,4,http://www.imdb.com/title/tt0978764/?ref_=fn_tt_tt_1,918,English,USA,42000
Brian De Palma,117,98,0,697,Mike Starr,12000,Crime|Mystery|Thriller,Snake Eyes ,64121,John Heard,1,http://www.imdb.com/title/tt0120832/?ref_=fn_tt_tt_1,241,English,USA,880
Barry Levinson,108,134,272,215,James Pickens Jr.,548,Drama|Mystery|Sci-Fi|Thriller,Sphere ,81611,Huey Lewis,3,http://www.imdb.com/title/tt0120184/?ref_=fn_tt_tt_1,274,English,USA,0
Clay Kaytis,141,97,6,415,Josh Gad,22000,Action|Animation|Comedy|Family,The Angry Birds Movie ,27130,Keegan-Michael Key,0,http://www.imdb.com/title/tt1985949/?ref_=fn_tt_tt_1,126,English,USA,14000
Andy Tennant,176,112,72,715,Ray Winstone,11000,Action|Adventure|Comedy|Romance|Thriller,Fool's Gold ,59352,Alexis Dziena,0,http://www.imdb.com/title/tt0770752/?ref_=fn_tt_tt_1,138,English,USA,0
Judd Apatow,230,153,0,130,RZA,11000,Comedy|Drama,Funny People ,100837,Maude Apatow,1,http://www.imdb.com/title/tt1201167/?ref_=fn_tt_tt_1,301,English,USA,0
Peter Berg,234,110,532,461,Frances Fisher,3000,Action|Drama|Thriller,The Kingdom ,101386,Tim McGraw,1,http://www.imdb.com/title/tt0431197/?ref_=fn_tt_tt_1,289,English,USA,0
Adam McKay,164,122,285,989,Leslie Bibb,8000,Action|Comedy|Sport,Talladega Nights: The Ballad of Ricky Bobby ,130776,Gary Cole,5,http://www.imdb.com/title/tt0415306/?ref_=fn_tt_tt_1,437,English,USA,0
Steve Carr,91,87,41,574,Jeffrey Jones,1000,Comedy|Family|Fantasy,Dr. Dolittle 2 ,33884,Kevin Pollak,0,http://www.imdb.com/title/tt0240462/?ref_=fn_tt_tt_1,79,English,USA,266
Mel Gibson,132,178,0,403,Patrick McGoohan,906,Biography|Drama|History|War,Braveheart ,736638,James Robinson,1,http://www.imdb.com/title/tt0112573/?ref_=fn_tt_tt_1,1065,English,USA,17000
Sam Mendes,262,125,0,210,Brian Geraghty,15000,Action|Drama|War,Jarhead ,143525,James Morrison,0,http://www.imdb.com/title/tt0418763/?ref_=fn_tt_tt_1,657,English,Germany,0
David Silverman,299,87,30,433,Yeardley Smith,745,Adventure|Animation|Comedy,The Simpsons Movie ,259083,Marcia Wallace,0,http://www.imdb.com/title/tt0462538/?ref_=fn_tt_tt_1,763,English,USA,0
Frank Darabont,128,152,0,745,Hal Holbrook,940,Drama|Romance,The Majestic ,45031,Jeffrey DeMunn,1,http://www.imdb.com/title/tt0268995/?ref_=fn_tt_tt_1,376,English,USA,0
Renny Harlin,109,116,212,462,Estella Warren,13000,Action|Drama|Sport,Driven ,34435,Cristián de la Fuente,0,http://www.imdb.com/title/tt0132245/?ref_=fn_tt_tt_1,346,English,USA,886
Jean-Jacques Annaud,88,109,218,8,Jean-Claude Dreyfus,21,Adventure|Drama|Family,Two Brothers ,11798,Oanh Nguyen,0,http://www.imdb.com/title/tt0338512/?ref_=fn_tt_tt_1,124,English,France,2000
M. Night Shyamalan,261,108,0,882,Judy Greer,3000,Drama|Mystery|Romance|Thriller,The Village ,193770,William Hurt,0,http://www.imdb.com/title/tt0368447/?ref_=fn_tt_tt_1,2003,English,USA,0
Betty Thomas,73,85,84,595,Raven-Symoné,1000,Comedy|Family|Fantasy,Doctor Dolittle ,74343,Peter Boyle,0,http://www.imdb.com/title/tt0118998/?ref_=fn_tt_tt_1,98,English,USA,694
M. Night Shyamalan,208,106,0,242,Merritt Wever,710,Drama|Sci-Fi|Thriller,Signs ,271592,Cherry Jones,0,http://www.imdb.com/title/tt0286106/?ref_=fn_tt_tt_1,2335,English,USA,0
Andrew Adamson,205,93,80,48,Jennifer Saunders,692,Adventure|Animation|Comedy|Family|Fantasy|Romance,Shrek 2 ,314630,Conrad Vernon,1,http://www.imdb.com/title/tt0298148/?ref_=fn_tt_tt_1,483,English,USA,0
John Lasseter,256,117,487,769,Cheech Marin,1000,Adventure|Animation|Comedy|Family|Sport,Cars ,263853,George Carlin,0,http://www.imdb.com/title/tt0317219/?ref_=fn_tt_tt_1,584,English,USA,0
Garry Marshall,103,116,0,995,Christopher Meloni,8000,Comedy|Romance,Runaway Bride ,74274,Hector Elizondo,2,http://www.imdb.com/title/tt0163187/?ref_=fn_tt_tt_1,255,English,USA,0
Rob Cohen,191,132,357,212,Eve,14000,Action|Adventure|Thriller,xXx ,142569,Leila Arcieri,0,http://www.imdb.com/title/tt0295701/?ref_=fn_tt_tt_1,737,English,USA,10000
Paul Tibbitt,147,92,5,726,Billy West,870,Adventure|Animation|Comedy|Family|Fantasy,The SpongeBob Movie: Sponge Out of Water ,34359,Eddie Deezen,0,http://www.imdb.com/title/tt2279373/?ref_=fn_tt_tt_1,133,English,USA,16000
Ron Howard,79,139,2000,808,Delroy Lindo,960,Crime|Thriller,Ransom ,98989,Rene Russo,1,http://www.imdb.com/title/tt0117438/?ref_=fn_tt_tt_1,158,English,USA,1000
