director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,facenumber_in_poster,plot_keywords,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio
Alan Rudolph,42,110,18,865,Albert Finney,1,breakfast|manitoba|science fiction writer|suicide|writer,R,12000000,1999,883,1.85
Yimou Zhang,101,95,611,3,Ni Yan,1,betrayal|husband wife relationship|murder|noodles|salary,R,,2009,4,2.35
Vincenzo Natali,82,95,165,280,Jeremy Northam,2,brainwashing|corporate espionage|spy|suburb|surprise ending,R,7500000,2002,327,1.85
Chuan Lu,149,132,14,3,Yuanyuan Gao,0,atrocity|battle|chinese|horseback riding|martial arts,R,12000000,2009,32,2.35
Tim Johnson,165,94,12,183,Matt Jones,0,alien friendship|alien invasion|australia|flying car|mother daughter relationship,PG,135000000,2015,523,1.85
Lijun Sun,5,89,0,188,Tom Arnold,0,anthropomorphic animal|china|furry|rabbit,PG,,2011,618,
Takashi Yamazaki,44,138,7,16,Meisa Kuroki,0,alien|battleship|message|radiation|yamato,TV-14,12000000,2010,33,2.35
Renny Harlin,74,113,212,18,Kenneth Cranham,9,cameraman|epic battle|journalist|south ossetia|street shootout,R,20000000,2011,111,2.35
Christopher Smith,156,99,76,42,Michael Dorman,1,deja vu|lost at sea|ship|time loop|trapped in a time loop,R,12000000,2009,168,2.35
Timothy Hines,1,111,0,247,Kelly LeBrock,1,,R,12000000,2015,445,1.85
Randall Wallace,82,99,130,79,Connor Corum,,based on true story|christ|christian|near death experience|pastor,PG,12000000,2014,116,2.35
Guy Ritchie,151,104,0,1000,Brad Pitt,6,boxer|boxing|diamond|fight|gypsy,R,6000000,2000,11000,1.85
David Winters,3,89,49,84,Matt Marr,6,,PG,12000000,2015,85,
Mary Lambert,98,103,52,426,Fred Gwynne,0,cat|cemetery|maine|secret|woods,R,11500000,1989,886,1.85
Akira Kurosawa,25,134,0,4,Tetsu Watanabe,0,air raid|beer|birthday|japan|professor,,11900000,1993,6,1.85
Jamie Thraves,35,100,2,388,Caroline Dhavernas,2,isolated house|promotion|river|small town|stalking,R,11500000,2009,544,2.35
Mabel Cheung,6,130,3,2,Ching Wan Lau,1,,,12000000,2015,27,2.35
Joe Dante,183,106,287,233,Harry Carey Jr.,0,bright light|midnight|pet|small town|water,PG,11000000,1984,281,2.2
George Lucas,282,125,0,504,Peter Cushing,1,death star|empire|galactic war|princess|rebellion,PG,11000000,1977,1000,2.35
Dan Mazer,158,109,11,411,Zoey Deutch,1,female removes her clothes|fondling|voyeur|voyeurism|white panties,R,11500000,2016,851,2.35
David Lean,89,200,767,382,Klaus Kinski,2,bolshevik|poet|poetry|russia|russian revolution,PG-13,11000000,1965,396,2.35
Stephen Daldry,101,114,335,14,Selton Mello,0,bible|key|poverty|slum|wallet,R,,2014,68,2.35
Kenny Ortega,128,112,197,632,Matt Prokop,1,basketball|curtain call|graduation|high school|high school senior,G,11000000,2008,734,1.85
David O. Russell,410,116,737,141,Jack McGee,2,boxer|boxing|boxing match|crack cocaine|lowell massachusetts,R,25000000,2010,238,2.35
Jeff Tremaine,104,92,79,218,Steve-O,0,blindfold|male frontal nudity|male rear nudity|pubic hair|vomiting,R,,2006,362,1.85
