director_name,num_critic_for_reviews,director_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,cast_total_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,aspect_ratio
Kate Connor,8,27,Eric Stoltz,1000,73678,4374,Brendan Fehr,,http://www.imdb.com/title/tt1282046/?ref_=fn_tt_tt_1,8,English,USA,R,3000000,2011,902,
Deon Taylor,63,26,Betsy Russell,487,143000,1495,Noah Segan,blood splatter|chain|murder|mysterious killer|warning,http://www.imdb.com/title/tt1148200/?ref_=fn_tt_tt_1,48,English,USA,R,5000000,2009,298,2.35
Jason Alexander,20,700,Patti LuPone,599,39852,1030,Peter Onorati,1955 chevrolet|nurse|peeping tom|reference to brooklyn dodgers|spying,http://www.imdb.com/title/tt0162236/?ref_=fn_tt_tt_1,25,English,USA,R,3000000,1999,325,1.85
Xavier Gens,174,87,Lauren German,2000,22000,4920,Rosanna Arquette,doggystyle sex|rough sex|sodomy|torture|violent sex,http://www.imdb.com/title/tt1535616/?ref_=fn_tt_tt_1,226,English,Germany,R,3000000,2011,683,2.35
Conor McPherson,90,0,Iben Hjejle,767,128937,975,Jim Norton,ghost|irish|kissing|novelist|widower,http://www.imdb.com/title/tt1346961/?ref_=fn_tt_tt_1,31,English,Ireland,R,,2009,122,1.85
Will Canon,58,8,Scott Mechlowicz,798,,4756,Aaron Yoo,death|detective|house|missing|supernatural,http://www.imdb.com/title/tt1841642/?ref_=fn_tt_tt_1,39,English,USA,R,3000000,2015,634,
Philip Zlotorynski,14,0,Darren Keefe Reiher,231,,313,David Douglas,independent film|spoof,http://www.imdb.com/title/tt0385890/?ref_=fn_tt_tt_1,24,English,USA,R,3000000,2005,27,1.78
Tim Burton,451,13000,Alan Rickman,40000,334185206,79957,Anne Hathaway,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736,English,USA,PG,200000000,2010,25000,1.85
Lance Kawas,,66,Michael Rapaport,1000,,3882,Talia Shire,actor|italian american|mexico|orphan|usa,http://www.imdb.com/title/tt1390404/?ref_=fn_tt_tt_1,1,English,USA,PG-13,3000000,2009,975,1.85
Francesca Gregorini,21,15,Amy Sedaris,433,5005,1929,Chris Kattan,boarding school|coming of age|female friendship|lesbian|new england,http://www.imdb.com/title/tt1151410/?ref_=fn_tt_tt_1,14,English,USA,R,3000000,2009,396,
Marcio Garcia,9,74,Kristi Clainos,652,,844,Emily Nelson,dealer|drugs|killer|police,http://www.imdb.com/title/tt1922679/?ref_=fn_tt_tt_1,9,English,Brazil,,3000000,2013,124,2.35
David Wain,98,136,Amy Poehler,3000,,7191,Jack McBrayer,halloween party|new york city|racism|romcom|spoof,http://www.imdb.com/title/tt2398249/?ref_=fn_tt_tt_1,85,English,USA,R,,2014,1000,1.85
Craig Moss,29,19,Ashley Martin,319,,845,Olivia Alexander,exorcism|female nudity|haunted house|lesbian kiss|masturbation,http://www.imdb.com/title/tt2417650/?ref_=fn_tt_tt_1,13,English,USA,R,3000000,2013,302,1.85
Michael Jai White,23,2000,Alex Meraz,2000,,3666,Jillian Murray,bad cop|college|second part|sequel|wrestler,http://www.imdb.com/title/tt1754264/?ref_=fn_tt_tt_1,30,English,USA,R,3000000,2011,606,1.85
John Boorman,87,128,Angie Dickinson,756,,2715,Carroll O'Connor,criminal|gangster|money|revenge|violence,http://www.imdb.com/title/tt0062138/?ref_=fn_tt_tt_1,128,English,USA,Approved,3000000,1967,754,2.35
Paolo Monico,2,3,Sarah Rafferty,1000,,2890,Salvatore Santone,number in title|single father,http://www.imdb.com/title/tt1252289/?ref_=fn_tt_tt_1,1,Italian,Italy,,3000000,2009,810,
Youssef Delara,17,8,David Bianchi,2000,,4469,Jason Priestley,dubstep|tied feet,http://www.imdb.com/title/tt2229377/?ref_=fn_tt_tt_1,9,English,USA,,800000,2013,715,2.35
Darin Scott,7,39,Shantel VanSanten,1000,,3024,John Robinson,eugene oregon|independent film|obsession,http://www.imdb.com/title/tt1327601/?ref_=fn_tt_tt_1,15,English,USA,R,3000000,2014,747,
Christian Sesma,6,9,Brooke Newton,904,,4092,Brett Wagner,police officer|police officer taken hostage,http://www.imdb.com/title/tt2048865/?ref_=fn_tt_tt_1,8,English,USA,R,3000000,2015,779,
Monte Hellman,9,96,Jack Taylor,201,,277,Fabio Testi,19th century|based on novel|disfigurement|harpooner|independent film,http://www.imdb.com/title/tt0095354/?ref_=fn_tt_tt_1,9,English,Italy,,3000000,1988,39,1.85
Kenneth Branagh,343,0,Derek Jacobi,2000,201148159,4671,Lily James,dress|duke|fairy godmother|fairy tale|pumpkin,http://www.imdb.com/title/tt1661199/?ref_=fn_tt_tt_1,323,English,USA,PG,95000000,2015,520,2.35
Brian Caunter,11,0,Stacy Keach,854,,1989,Frank Vincent,detective|killer|police|shootout|thong,http://www.imdb.com/title/tt1085382/?ref_=fn_tt_tt_1,14,English,USA,R,3000000,2009,602,1.78
Chris D'Arienzo,34,7,Cybill Shepherd,2000,,3648,Shea Whigham,doctor|letter|paternity|sex|testicles,http://www.imdb.com/title/tt0482461/?ref_=fn_tt_tt_1,20,English,USA,R,,2010,536,1.85
Walter Salles,71,179,Matheus Nachtergaele,119,5595428,167,Othon Bastos,brazil|letter|rio de janeiro brazil|sertao|teacher,http://www.imdb.com/title/tt0140888/?ref_=fn_tt_tt_1,257,Portuguese,Brazil,R,2900000,1998,14,2.35
Frank Capra,21,964,Glenn Ford,931,,2167,Thomas Mitchell,1930s|apple|dude|luck|new york city,http://www.imdb.com/title/tt0055312/?ref_=fn_tt_tt_1,40,English,USA,Approved,2900000,1961,416,2.35
Isaac Florentine,28,81,Nick Chinlund,640,,1517,Scott Evans,corrupt sheriff|drug cartel|flash drive|niece|sheriff,http://www.imdb.com/title/tt3511596/?ref_=fn_tt_tt_1,31,English,USA,,3000000,2015,277,
Susan Seidelman,35,39,Michael Nouri,267,3123749,1231,Brenda Vaccaro,title spoken by character,http://www.imdb.com/title/tt0439478/?ref_=fn_tt_tt_1,27,English,USA,R,1500000,2005,225,1.85
Michael Polish,30,35,Patrick Bauchau,216,,423,Mia Barron,child in peril|electroshock therapy|memory|memory loss|teenage girl,http://www.imdb.com/title/tt2837336/?ref_=fn_tt_tt_1,15,English,USA,,3000000,2014,158,
Heidi Ewing,73,4,James Ransone,875,100675,2305,Tempestt Bledsoe,cheating|economics|experiment|human nature|sumo wrestling,http://www.imdb.com/title/tt1152822/?ref_=fn_tt_tt_1,23,English,USA,PG-13,3000000,2010,412,
Richard Donner,154,503,Patrick Troughton,264,,673,Billie Whitelaw,ambassador|death|hospital|priest|stillborn child,http://www.imdb.com/title/tt0075005/?ref_=fn_tt_tt_1,310,English,UK,R,2800000,1976,139,2.35
Alexandre Aja,251,192,Maïwenn,447,3645438,923,Oana Pellea,car chase|plot twist|police van|rear ending a car|slasher,http://www.imdb.com/title/tt0338095/?ref_=fn_tt_tt_1,539,French,France,Unrated,2200000,2003,236,2.35
Leon Ford,57,18,Patrick Brammall,130,,362,Kelly Paterniti,alter ego|awkwardness|office|scientist|superhero,http://www.imdb.com/title/tt1509803/?ref_=fn_tt_tt_1,32,English,Australia,PG-13,,2010,96,1.85
Hank Braxtan,14,6,Gregory Cruz,679,,964,Allegra Carpenter,alaska|climate change|global|polar bear|scientific,http://www.imdb.com/title/tt3551400/?ref_=fn_tt_tt_1,17,English,USA,R,3000000,2015,234,2.35
Craig Brewer,159,153,Paula Jai Parker,275,22201636,727,Elise Neal,baby|friend|hip hop|pimp|stripper,http://www.imdb.com/title/tt0410097/?ref_=fn_tt_tt_1,206,English,USA,R,8000000,2005,247,1.85
Billy Wilder,181,0,Joe E. Brown,105,25000000,527,George Raft,all girl band|band|cross dressing|musician|yacht,http://www.imdb.com/title/tt0053291/?ref_=fn_tt_tt_1,350,English,USA,Not Rated,2883848,1959,103,1.66
John Carl Buechler,110,152,Terry Kiser,935,19170001,1855,William Butler,death|jason voorhees|massacre|slaughter|telekinesis,http://www.imdb.com/title/tt0095179/?ref_=fn_tt_tt_1,270,English,USA,R,2800000,1988,448,1.85
Victor Fleming,213,149,Terry,695,22202612,2509,Billie Burke,evil witch|tornado|witch|wizard|wizard of oz,http://www.imdb.com/title/tt0032138/?ref_=fn_tt_tt_1,533,English,USA,Passed,2800000,1939,421,1.37
Mel Brooks,129,0,Peter Boyle,1000,86300000,2703,Teri Garr,assistant|castle|experiment|frankenstein's monster|scientist,http://www.imdb.com/title/tt0072431/?ref_=fn_tt_tt_1,315,English,USA,PG,2800000,1974,595,1.85
George A. Romero,280,0,Shawn Roberts,569,952620,1797,Joe Dinicol,barn|film student|hospital|mummy|video camera,http://www.imdb.com/title/tt0848557/?ref_=fn_tt_tt_1,332,English,USA,R,2000000,2007,529,1.85
Rajkumar Hirani,15,124,Sanjay Dutt,464,,1761,Jimmy Shergill,love|professor of history|radio|satyagraha|unscrupulous builder,http://www.imdb.com/title/tt0456144/?ref_=fn_tt_tt_1,106,Hindi,India,PG-13,120000000,2006,426,2.35
Victor Nunez,61,9,Patricia Richardson,402,9054736,787,Vanessa Zima,beekeeper|bound and gagged|dysfunctional family|man with glasses|tied to a chair,http://www.imdb.com/title/tt0120402/?ref_=fn_tt_tt_1,57,English,USA,R,2700000,1997,222,1.66
Carroll Ballard,33,19,Kelly Reno,481,,681,Hoyt Axton,black horse|boy horse relationship|horse|rescued by a horse|training,http://www.imdb.com/title/tt0078872/?ref_=fn_tt_tt_1,90,English,USA,G,2700000,1979,81,1.85
Rohit Jugraj,1,2,Neeru Bajwa,258,,434,Diljit Dosanjh,,http://www.imdb.com/title/tt4080386/?ref_=fn_tt_tt_1,8,Panjabi,Canada,,3000000,2015,85,
Thorbjørn Christoffersen,2,0,Frank Hvam,122,,197,Casper Christensen,crew|cult film|denmark|earth|wristwatch,http://www.imdb.com/title/tt1095423/?ref_=fn_tt_tt_1,6,Danish,Denmark,Not Rated,,2008,33,1.85
John Ford,27,673,Cesar Romero,756,,1949,Jack Warden,falling into water|medical doctor|priest|roof leak|swimming in the ocean,http://www.imdb.com/title/tt0057007/?ref_=fn_tt_tt_1,65,English,USA,Not Rated,2686585,1963,370,1.85
Alex van Warmerdam,19,53,Ariane Schluter,20,,25,Henri Garcin,bare breasts|bra|panties|topless female nudity|underwear,http://www.imdb.com/title/tt0116729/?ref_=fn_tt_tt_1,5,Dutch,Netherlands,,2650000,1996,3,1.85
Victor Fleming,9,149,Esther Williams,760,,2555,Irene Dunne,heaven|pilot|teacher|training|world war two,http://www.imdb.com/title/tt0035959/?ref_=fn_tt_tt_1,27,English,USA,Passed,2627000,1943,675,1.37
Mel Brooks,121,0,David Huddleston,1000,119500000,4701,Harvey Korman,railroad|reference to douglas fairbanks|reference to jesse owens|reference to randolph scott|year 1874,http://www.imdb.com/title/tt0071230/?ref_=fn_tt_tt_1,363,English,USA,R,2600000,1974,1000,2.35
Joseph Zito,166,17,Tom Everett,158,32600000,467,Kimberly Beck,friday the thirteenth|hockey mask|jason voorhees|morgue|slasher,http://www.imdb.com/title/tt0087298/?ref_=fn_tt_tt_1,326,English,USA,R,1800000,1984,84,1.85
Pawel Pawlikowski,269,84,Agata Trzebuchowska,88,3826455,205,Agata Kulesza,convent|jew|jewish|nun|poland,http://www.imdb.com/title/tt2718492/?ref_=fn_tt_tt_1,123,Polish,Poland,PG-13,,2013,64,1.33
