director_name,num_critic_for_reviews,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,country,budget,aspect_ratio,movie_facebook_likes
Stanley Kubrick,103,Shelley Winters,617,,Crime|Drama|Romance,James Mason,Lolita ,67822,1403,Lois Maxwell,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1,207,UK,2000000,1.66,0
Jim Gillespie,66,Tom Berenger,13000,,Crime|Horror|Mystery|Thriller,Sylvester Stallone,Eye See You ,19706,15803,Charles S. Dutton,http://www.imdb.com/title/tt0160184/?ref_=fn_tt_tt_1,142,USA,55000000,2.35,448
Guillermo del Toro,224,Thomas Kretschmann,12000,81645152,Action|Horror|Sci-Fi|Thriller,Norman Reedus,Blade II ,158267,15371,Tony Curran,http://www.imdb.com/title/tt0187738/?ref_=fn_tt_tt_1,559,USA,54000000,1.85,0
Gabriele Muccino,202,Rosario Dawson,10000,69951824,Drama|Romance,Will Smith,Seven Pounds ,232710,14727,Madison Pettis,http://www.imdb.com/title/tt0814314/?ref_=fn_tt_tt_1,599,USA,55000000,2.35,26000
Walter Hill,279,Jason Momoa,13000,9483821,Action|Thriller,Sylvester Stallone,Bullet to the Head ,39247,25418,Jon Seda,http://www.imdb.com/title/tt1308729/?ref_=fn_tt_tt_1,131,USA,55000000,1.85,10000
Francis Ford Coppola,110,Joe Mantegna,14000,66676062,Crime|Drama,Al Pacino,The Godfather: Part III ,267980,16949,Bridget Fonda,http://www.imdb.com/title/tt0099674/?ref_=fn_tt_tt_1,545,USA,54000000,1.85,0
Cameron Crowe,190,Kirsten Dunst,5000,26838389,Comedy|Drama|Romance,Orlando Bloom,Elizabethtown ,58658,12700,Judy Greer,http://www.imdb.com/title/tt0368709/?ref_=fn_tt_tt_1,495,USA,57000000,1.85,0
Anthony Russo,136,Billy Gardell,277,75604320,Comedy|Romance,Todd Stashwick,You, Me and Dupree ,68417,847,Amanda Detmer,http://www.imdb.com/title/tt0463034/?ref_=fn_tt_tt_1,195,USA,54000000,1.85,0
Richard Lester,121,Ned Beatty,593,108200000,Action|Adventure|Romance|Sci-Fi,Margot Kidder,Superman II ,76331,2908,Jackie Cooper,http://www.imdb.com/title/tt0081573/?ref_=fn_tt_tt_1,269,USA,54000000,2.35,0
Martin Brest,131,Lenny Venito,117,5660084,Comedy|Crime|Romance,Todd Giebenhain,Gigli ,41620,286,David Backus,http://www.imdb.com/title/tt0299930/?ref_=fn_tt_tt_1,418,USA,54000000,2.35,2000
Steven Zaillian,127,Anthony Hopkins,14000,7221458,Drama|Thriller,Kate Winslet,All the King's Men ,20740,27614,Kevin Dunn,http://www.imdb.com/title/tt0405676/?ref_=fn_tt_tt_1,178,Germany,55000000,1.85,0
John Singleton,160,Vanessa Williams,23000,70327868,Action|Crime|Thriller,Christian Bale,Shaft ,58416,26527,Daniel von Bargen,http://www.imdb.com/title/tt0162650/?ref_=fn_tt_tt_1,301,Germany,46000000,2.35,0
Don Bluth,78,Kelsey Grammer,4000,58297830,Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance,Kirsten Dunst,Anastasia ,86347,6017,Bernadette Peters,http://www.imdb.com/title/tt0118617/?ref_=fn_tt_tt_1,191,USA,50000000,2.35,0
Baz Luhrmann,209,Kylie Minogue,1000,57386369,Drama|Musical|Romance,Jim Broadbent,Moulin Rouge! ,224013,2601,Richard Roxburgh,http://www.imdb.com/title/tt0203009/?ref_=fn_tt_tt_1,2319,USA,52500000,2.35,10000
Harold Becker,98,Teri Polo,12000,45207112,Crime|Mystery|Thriller,Steve Buscemi,Domestic Disturbance ,21283,13390,Matt O'Leary,http://www.imdb.com/title/tt0249478/?ref_=fn_tt_tt_1,190,USA,53000000,2.35,361
Scott Cooper,391,Benedict Cumberbatch,40000,62563543,Biography|Crime|Drama,Johnny Depp,Black Mass ,115216,63769,Adam Scott,http://www.imdb.com/title/tt1355683/?ref_=fn_tt_tt_1,289,USA,53000000,2.35,44000
Clint Eastwood,279,Chris Bauer,23000,33574332,Drama|History|War,Paul Walker,Flags of Our Fathers ,101221,24468,Tom McCarthy,http://www.imdb.com/title/tt0418689/?ref_=fn_tt_tt_1,415,USA,90000000,2.35,0
F. Gary Gray,216,Leslie Bibb,18000,73343413,Crime|Drama|Thriller,Gerard Butler,Law Abiding Citizen ,217480,22517,Michael Kelly,http://www.imdb.com/title/tt1197624/?ref_=fn_tt_tt_1,429,USA,50000000,2.35,21000
Robert Rodriguez,250,Rosario Dawson,16000,25031037,Action|Horror|Thriller,Quentin Tarantino,Grindhouse ,155496,22186,Zoë Bell,http://www.imdb.com/title/tt0462322/?ref_=fn_tt_tt_1,532,USA,53000000,2.35,0
Jonathan Demme,78,Kimberly Elise,852,22843047,Drama|History|Horror,Oprah Winfrey,Beloved ,6082,2397,Hill Harper,http://www.imdb.com/title/tt0120603/?ref_=fn_tt_tt_1,207,USA,55000000,1.85,853
Curtis Hanson,106,Robert Duvall,21000,5755286,Drama|Romance|Sport,Robert Downey Jr.,Lucky You ,18310,26334,Kelvin Han Yee,http://www.imdb.com/title/tt0338216/?ref_=fn_tt_tt_1,63,USA,55000000,2.35,672
Steven Spielberg,194,Tom Hanks,29000,164435221,Biography|Crime|Drama,Leonardo DiCaprio,Catch Me If You Can ,525801,48153,Jennifer Garner,http://www.imdb.com/title/tt0264464/?ref_=fn_tt_tt_1,667,USA,52000000,1.85,15000
Kathryn Bigelow,558,Harold Perrineau,1000,95720716,Drama|History|Thriller,Jennifer Ehle,Zero Dark Thirty ,216032,2759,Parker Sawyers,http://www.imdb.com/title/tt1790885/?ref_=fn_tt_tt_1,640,USA,40000000,1.85,39000
Peyton Reed,183,John Michael Higgins,4000,118683135,Comedy|Drama|Romance,Jon Favreau,The Break-Up ,102167,8315,Ann-Margret,http://www.imdb.com/title/tt0452594/?ref_=fn_tt_tt_1,483,USA,52000000,1.85,0
Phyllida Lloyd,238,Meryl Streep,14000,143704210,Comedy|Family|Musical|Romance,Colin Firth,Mamma Mia! ,145974,26002,Julie Walters,http://www.imdb.com/title/tt0795421/?ref_=fn_tt_tt_1,611,USA,52000000,2.35,10000
Garry Marshall,186,Taylor Lautner,14000,110476776,Comedy|Romance,Bradley Cooper,Valentine's Day ,95437,45696,Anne Hathaway,http://www.imdb.com/title/tt0817230/?ref_=fn_tt_tt_1,211,USA,52000000,1.85,9000
Jay Chandrasekhar,144,Jessica Simpson,631,80270227,Action|Adventure|Comedy,Alice Greczyn,The Dukes of Hazzard ,66382,2297,Michael Weston,http://www.imdb.com/title/tt0377818/?ref_=fn_tt_tt_1,612,USA,50000000,2.35,0
