director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,actor_3_name,facenumber_in_poster,movie_imdb_link,language,country,budget,title_year,imdb_score,aspect_ratio
19,842,1000,69700000,Dom DeLuise,2,http://www.imdb.com/title/tt0083642/?ref_=fn_tt_tt_1,English,USA,35000000,1982,5.8,2.35
0,716,1000,2840417,Callum Rennie,0,http://www.imdb.com/title/tt0120907/?ref_=fn_tt_tt_1,English,Canada,31000000,1999,6.8,1.85
14000,488,11000,242374454,William Hootkins,1,http://www.imdb.com/title/tt0082971/?ref_=fn_tt_tt_1,English,USA,18000000,1981,8.5,2.35
0,1000,3000,173585516,Devin Ratray,2,http://www.imdb.com/title/tt0104431/?ref_=fn_tt_tt_1,English,USA,18000000,1992,6.6,1.85
14000,252,559,128300000,Melinda Dillon,0,http://www.imdb.com/title/tt0075860/?ref_=fn_tt_tt_1,English,USA,19400870,1977,7.7,2.35
2,807,16000,20259297,Rick Gonzalez,0,http://www.imdb.com/title/tt0454919/?ref_=fn_tt_tt_1,English,USA,20000000,2006,4.7,2.35
12000,605,936,153665036,Ronny Cox,1,http://www.imdb.com/title/tt0092644/?ref_=fn_tt_tt_1,English,USA,28000000,1987,6.4,2.35
163,338,1000,132541238,Steve Harris,2,http://www.imdb.com/title/tt0305669/?ref_=fn_tt_tt_1,English,USA,33000000,2003,5.5,2.35
438,173,12000,130727000,Anthony Heald,0,http://www.imdb.com/title/tt0102926/?ref_=fn_tt_tt_1,English,USA,19000000,1991,8.6,1.85
122,617,1000,121697350,Kurt Fuller,2,http://www.imdb.com/title/tt0105793/?ref_=fn_tt_tt_1,English,USA,20000000,1992,7.0,1.85
79,218,608,117224271,Chris Pontius,1,http://www.imdb.com/title/tt1116184/?ref_=fn_tt_tt_1,English,USA,20000000,2010,7.1,1.78
82,85,813,102922376,Joseph Mascolo,0,http://www.imdb.com/title/tt0077766/?ref_=fn_tt_tt_1,English,USA,20000000,1978,5.7,2.35
67,597,2000,94497271,Ali Hillis,1,http://www.imdb.com/title/tt1014775/?ref_=fn_tt_tt_1,English,USA,20000000,2008,3.7,2.35
0,697,6000,137387272,Hayley McFarland,0,http://www.imdb.com/title/tt1457767/?ref_=fn_tt_tt_1,English,USA,20000000,2013,7.5,2.35
32,563,826,82301521,Jay Mohr,2,http://www.imdb.com/title/tt0368578/?ref_=fn_tt_tt_1,English,USA,32000000,2005,4.6,1.85
265,265,989,84518155,Ben Falcone,0,http://www.imdb.com/title/tt2103254/?ref_=fn_tt_tt_1,English,USA,20000000,2014,4.9,1.85
154,501,884,80050171,Jose Pablo Cantillo,0,http://www.imdb.com/title/tt0486822/?ref_=fn_tt_tt_1,English,USA,20000000,2007,6.9,1.85
0,487,2000,81257845,Mike White,1,http://www.imdb.com/title/tt0332379/?ref_=fn_tt_tt_1,English,USA,35000000,2003,7.1,1.85
545,545,1000,70360285,Bridgette Wilson-Sampras,0,http://www.imdb.com/title/tt0113855/?ref_=fn_tt_tt_1,English,USA,18000000,1995,5.8,1.85
118,40,489,12831121,Mark Camacho,0,http://www.imdb.com/title/tt0324554/?ref_=fn_tt_tt_1,English,USA,30000000,2004,7.0,2.35
322,861,1000,69148997,Brittany Daniel,4,http://www.imdb.com/title/tt0381707/?ref_=fn_tt_tt_1,English,USA,37000000,2004,5.4,1.85
729,552,8000,82624961,Beau Bridges,0,http://www.imdb.com/title/tt1033575/?ref_=fn_tt_tt_1,English,USA,20000000,2011,7.3,2.35
99,165,596,67325559,Ski Carr,0,http://www.imdb.com/title/tt0311289/?ref_=fn_tt_tt_1,English,USA,20000000,2003,7.1,1.85
30,318,742,62933793,Melissa Ordway,1,http://www.imdb.com/title/tt1294226/?ref_=fn_tt_tt_1,English,USA,20000000,2010,5.8,2.35
0,500,2000,56667870,Taran Killam,0,http://www.imdb.com/title/tt2024544/?ref_=fn_tt_tt_1,English,USA,20000000,2013,8.1,2.35
30,284,962,56398162,Jason Weaver,0,http://www.imdb.com/title/tt0303933/?ref_=fn_tt_tt_1,English,USA,20000000,2002,5.7,2.35
0,721,2000,60072596,Tasha Smith,8,http://www.imdb.com/title/tt1391137/?ref_=fn_tt_tt_1,English,USA,20000000,2010,4.4,1.85
13000,658,40000,56362352,Conchata Ferrell,0,http://www.imdb.com/title/tt0099487/?ref_=fn_tt_tt_1,English,USA,20000000,1990,7.9,1.85
17,418,11000,56154094,Brendan Coyle,0,http://www.imdb.com/title/tt2674426/?ref_=fn_tt_tt_1,English,UK,20000000,2016,7.6,2.35
0,582,982,65623128,Romeo Miller,5,http://www.imdb.com/title/tt2215285/?ref_=fn_tt_tt_1,English,USA,20000000,2012,4.8,1.85
607,109,813,,Tony Lo Bianco,0,http://www.imdb.com/title/tt0067116/?ref_=fn_tt_tt_1,English,USA,1800000,1971,7.8,1.85
24,851,15000,55461307,Jada Pinkett Smith,9,http://www.imdb.com/title/tt4651520/?ref_=fn_tt_tt_1,English,USA,20000000,2016,6.7,
