director_name,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,country,content_rating,title_year
Jonathan Frakes,Action|Adventure|Drama|Sci-Fi|Thriller,LeVar Burton,Star Trek: First Contact ,97838,6315,USA,PG-13,1996
Jimmy Hayward,Action|Drama|Fantasy|Thriller|Western,Michael Fassbender,Jonah Hex ,45729,14619,USA,PG-13,2010
Edward Zwick,Action|Drama|Mystery|Thriller|War,Denzel Washington,Courage Under Fire ,40126,33233,USA,R,1996
Tom Shadyac,Comedy|Fantasy|Romance,Maura Tierney,Liar Liar ,220392,2070,USA,PG-13,1997
Brad Furman,Biography|Crime|Drama|Thriller,Joseph Gilgun,The Infiltrator ,2581,2104,UK,R,2016
Terence Young,Drama|History|War,Laurence Olivier,Inchon ,491,2704,South Korea,PG,1981
Brian Levant,Comedy|Family|Fantasy,Jonathan Winters,The Flintstones ,60884,3244,USA,PG,1994
Olivier Megaton,Action|Crime|Thriller,Liam Neeson,Taken 2 ,238671,16410,France,PG-13,2012
David Zucker,Comedy,Regina Hall,Scary Movie 3 ,111526,3629,USA,PG-13,2003
Donald Petrie,Action|Comedy|Crime|Romance,Candice Bergen,Miss Congeniality ,137377,1574,USA,PG-13,2000
Eric Brevig,Action|Adventure|Family|Fantasy|Sci-Fi,Josh Hutcherson,Journey to the Center of the Earth ,85323,17925,USA,PG,2008
Garry Marshall,Comedy|Family|Romance,Anne Hathaway,The Princess Diaries 2: Royal Engagement ,53687,15362,USA,G,2004
Alan J. Pakula,Crime|Drama|Mystery|Thriller,Denzel Washington,The Pelican Brief ,59569,30063,USA,PG-13,1993
Joel Schumacher,Crime|Drama|Mystery|Thriller,Bradley Whitford,The Client ,45798,4043,USA,PG-13,1994
Rob Reiner,Adventure|Comedy|Drama,Morgan Freeman,The Bucket List ,184795,14868,USA,PG-13,2007
Phillip Noyce,Action|Thriller,Harrison Ford,Patriot Games ,81442,12757,USA,R,1992
Robert Luketic,Comedy|Romance,Adam Scott,Monster-in-Law ,43358,6292,Germany,PG-13,2005
Denis Villeneuve,Crime|Drama|Mystery|Thriller,Hugh Jackman,Prisoners ,383591,37321,USA,R,2013
Antoine Fuqua,Crime|Drama|Thriller,Denzel Washington,Training Day ,305929,22370,USA,R,2001
Dean Parisot,Adventure|Comedy|Sci-Fi,Alan Rickman,Galaxy Quest ,123558,26998,USA,PG,1999
Keenen Ivory Wayans,Comedy,Natasha Lyonne,Scary Movie 2 ,119590,1645,USA,R,2001
James Bobin,Adventure|Comedy|Family|Musical,Bill Cobbs,The Muppets ,75176,1336,USA,PG,2011
Stephen Norrington,Action|Horror,Sanaa Lathan,Blade ,191437,3174,USA,R,1998
Thomas Carter,Drama|Sport,Channing Tatum,Coach Carter ,92702,20299,USA,PG-13,2005
Roger Michell,Drama|Thriller,Sydney Pollack,Changing Lanes ,57281,758,USA,R,2002
Luis Llosa,Action|Adventure|Horror|Thriller,Frank Welker,Anaconda ,73539,3717,USA,PG-13,1997
David McNally,Comedy|Drama|Music|Romance,Adam Garcia,Coyote Ugly ,90539,3106,USA,PG-13,2000
Richard Curtis,Comedy|Drama|Romance,Colin Firth,Love Actually ,318634,28886,UK,R,2003
John Lasseter,Adventure|Animation|Comedy|Family|Fantasy,Kevin Spacey,A Bug's Life ,211226,24205,USA,G,1998
Albert Hughes,Horror|Mystery|Thriller,Johnny Depp,From Hell ,124765,41636,USA,R,2001
Luis Llosa,Action|Crime|Drama|Romance|Thriller,Sylvester Stallone,The Specialist ,50148,13331,Peru,R,1994
Ron Shelton,Comedy|Drama|Romance|Sport,Don Johnson,Tin Cup ,37911,3648,USA,R,1996
Melville Shavelson,Comedy|Family,Lucille Ball,Yours, Mine and Ours ,5888,7493,USA,Unrated,1968
Jesse Dylan,Comedy|Family|Romance|Sport,Josh Hutcherson,Kicking & Screaming ,30255,27351,USA,PG,2005
Garth Jennings,Adventure|Comedy|Sci-Fi,Zooey Deschanel,The Hitchhiker's Guide to the Galaxy ,155745,14073,USA,PG,2005
Joel Zwick,Comedy|Family|Fantasy|Romance,Dania Ramirez,Fat Albert ,9380,4604,USA,PG,2004
Russell Mulcahy,Action|Horror|Sci-Fi|Thriller,Milla Jovovich,Resident Evil: Extinction ,149549,16225,France,R,2007
Frank Coraci,Comedy|Romance,Bella Thorne,Blended ,87165,49743,USA,PG-13,2014
Wayne Wang,Adventure|Comedy|Drama,LL Cool J,Last Holiday ,21215,3757,USA,PG-13,2006
Curtis Hanson,Action|Adventure|Crime|Thriller,Meryl Streep,The River Wild ,32544,12161,USA,PG-13,1994
Frank Oz,Drama|Family|Fantasy,Steve Coogan,The Indian in the Cupboard ,20688,2965,USA,PG,1995
Oliver Stone,Crime|Drama|Thriller,Demián Bichir,Savages ,104301,1948,USA,R,2012
David R. Ellis,Action|Crime|Thriller,Richard Burgi,Cellular ,79141,1102,USA,PG-13,2004
Peter Howitt,Action|Adventure|Comedy,Kevin McNally,Johnny English ,114692,1461,UK,PG,2003
John A. Davis,Adventure|Animation|Comedy|Family|Fantasy,Nicolas Cage,The Ant Bully ,30055,33822,USA,PG,2006
David Lynch,Action|Adventure|Sci-Fi,Virginia Madsen,Dune ,97087,2449,USA,PG-13,1984
Julie Taymor,Drama|Fantasy|Musical|Romance,Jim Sturgess,Across the Universe ,91860,5405,USA,PG-13,2007
Sam Mendes,Drama|Romance,Leonardo DiCaprio,Revolutionary Road ,152591,53895,USA,R,2008
Richard Donner,Action|Crime|Drama|Thriller,Bruce Willis,16 Blocks ,112769,15053,Germany,PG-13,2006
Mathieu Kassovitz,Action|Adventure|Sci-Fi|Thriller,Vin Diesel,Babylon A.D. ,81523,15990,France,PG-13,2008
